Hindi	﻿English
दूसरा [doosaraa]	another
खराब [kharaab]	bad
बुनियादी [buniyaadee]	basic
सुन्दर [sundar]	beautiful
सर्वोत्तम [sarvottam]	best
बेहतर [behatar]	better
बड़ा [badaa]	big
स्वच्छ [svachchh]	clean
ठंडा [thandaa]	cold
त्रुटिहीन [trutiheen]	correct
अंधेरा [andheraa]	dark
कठिन [kathin]	difficult
गंदा [gandaa]	dirty
तीव्र [teevr]	fast
सही [sahee]	good
बेहतर गुणवत्ता वाली चीज	great
बहुत सुखद	great
सुखी [sukhee]	happy
स्वस्थ [svasth]	healthy
भारी [bhaaree]	heavy
गरम [garam]	hot
महत्वपूर्ण [mahatvapoorn]	important
वाम पंथ	left
हलका [halakaa]	light
निकट [nikat]	near
नया [nayaa]	new
अच्छा [achchhaa]	nice
यथार्थ [yathaarth]	real
धीमा [dheemaa]	slow
नरम [naram]	soft
तेज [tej]	strong
कमजोर [kamajor]	weak
अशुद्ध [ashuddh]	wrong
पहले बीता हुआ	ago
तमाम	all
स्वचालित [svachaalit]	automatic
उपलब्ध [upalabdh]	available
कड़ुवा [kaduvaa]	bitter
उबाऊ [ubaaoo]	boring
अत्यन्त महत्वपूर्ण [atyant mahatvapoorn]	central
निश्चित [nishchit]	certain
सस्ता [sastaa]	cheap
रासायनिक [raasaayanik]	chemical
बादल [baadal]	clear
बन्द [band]	closed
सामान्य [saamaany]	common
पूरा [pooraa]	complete
निर्दयी [nirdayee]	cruel
खतरनाक [khataranaak]	dangerous
सुकुमार [sukumaar]	delicate
अलग [alag]	different
असदृश	different
नीचे [neeche]	down
सूखा [sookhaa]	dry
हर [har]	each
आरंभ का	early
आसान [aasaan]	easy
किसी देश के आर्थिक भविष्य से संबंधित	economic
बिजली का [bijalee kaa]	electric
समान [samaan]	equal
दो से पूरी तरह विभाज्य	even
प्रत्येक [pratyek]	every
श्रेष्ठ [shreshth]	excellent
झूठा [jhoothaa]	fake
दूर [door]	far
मोटा [motaa]	fat
भरपूर या बड़ा	fat
कुछ [kuchh]	few
आखिरी [aakhiree]	final
आर्थिक [aarthik]	financial
स्थिर [sthir]	firm
गिरा देना [giraa denaa]	flat
अनुगामी [anugaamee]	following
विदेशी [videshee]	foreign
भूतपूर्व [bhootapoorv]	former
उत्कृष्ट [utkrusht]	fragile
मुफ्त [mupht]	free
अक्सर [aksar]	frequent
ताजा [taajaa]	fresh
भरा हुआ [bharaa huaa]	full
सम्पूर्ण [sampoorn]	full
और आगे का	further
भविष्य में [bhavishy men]	future
साधारण [saadhaaran]	general
औद्योगिक [audyogik]	industrial
रोचक [rochak]	interesting
अन्तर्राष्ट्रीय	international
अन्तिम [antim]	last
देरी [deree]	late
कानूनी [kaanoonee]	legal
द्रव [drav]	liquid
स्थानीय [sthaaneey]	local
नीचा [neechaa]	low
भाग्यवान	lucky
मुख्य [mukhy]	main
बड़ा [badaa]	major
अनेक [anek]	many
धातु जैसा	metal
सेना [senaa]	military
आधुनिक [aadhunik]	modern
ज्यादा [jyaadaa]	more
संकीर्ण [sankeern]	narrow
राष्ट्रीय [raashtreey]	national
प्राकृतिक [praakrutik]	natural
आवश्यक [aavashyak]	necessary
निकटवर्ती [nikatavartee]	next
सामान्य [saamaany]	normal
विरुद्ध [viruddh]	opposite
मूल [mool]	original
निजी [nijee]	own
साथ-साथ [saath-saath]	parallel
विशेष [vishesh]	particular
पिछला [pichhalaa]	past
निजी [nijee]	personal
भौतिक [bhautik]	physical
घृणित [ghrunit]	poor
सस्ता [sastaa]	popular
संभव [sambhav]	possible
उपस्थित [upasthit]	present
पूर्ववर्ती [poorvavartee]	previous
व्यक्तिगत [vyaktigat]	private
संभव [sambhav]	probable
व्यावसायिक [vyaavasaayik]	professional
जघन	public
शांत [shaant]	quiet
तैयार [taiyaar]	ready
हाल का [haal kaa]	recent
स्थायी [sthaayee]	regular
उत्तरदायी [uttaradaayee]	responsible
कड़ा [kadaa]	rigid
अशान्त [ashaant]	rough
गोल [gol]	round
सही-सलामत [sahee-salaamat]	safe
समान रूप से [samaan roop se]	same
सेकण्ड [sekand]	second
छिपा हुआ [chhipaa huaa]	secret
अलग [alag]	separate
विचारशील [vichaarasheel]	serious
निश्चित [nishchit]	set
अनेक [anek]	several
छोटा [chhotaa]	short
शांत [shaant]	silent
आसान [aasaan]	simple
एक [ek]	single
छोटा [chhotaa]	small
चिकना [chikanaa]	smooth
ठोस [thos]	solid
छितरा [chhitaraa]	sparse
विशेष [vishesh]	special
विशेष [vishesh]	specific
वर्गाकार [vargaakaar]	square
सामान्य [saamaany]	standard
चिपचिपा [chipachipaa]	sticky
सीधा [seedhaa]	straight
असामान्य [asaamaany]	strange
फैशनेबुल [phaishanebul]	stylish
अचानक [achaanak]	sudden
मीठा [meethaa]	sweet
लम्बा [lambaa]	tall
घन [ghan]	thick
पतला [patalaa]	thin
मजबूत [majaboot]	tight
सत्य [saty]	true
कुरूप [kuroop]	ugly
नीचे [neeche]	under
असामान्य [asaamaany]	unusual
सार्वजनिक [saarvajanik]	usual
भिन्न-भिन्न	various
गरम [garam]	warm
गीला [geelaa]	wet
पूरा [pooraa]	whole
