English	Thai
bad	เลว
basic	พื้นฐาน
beautiful	สวยงาม
best	ดีที่สุด
better	ดีกว่า
big	ใหญ่
clean	สะอาด
correct	ถูกต้อง
dark	มืด
difficult	ยาก
fast	รวดเร็ว
good	ดี
great	ยอดเยี่ยม
great	ยอดเยี่ยม
happy	โชคดี
heavy	ยาก
important	สำคัญ
light	เบา
near	ใกล้
new	ใหม่
nice	ดี
real	อย่างแท้จริง
right	ขวา (khwáá)
sharp	แหลมคม
slow	ช้า
soft	อ่อนโยน
strong	โดดเด่น
weak	อ่อนแอ
wrong	ซึ่งไม่ถูกต้อง
ago	เมื่อก่อน
automatic	อัตโนมัติ
available	ใช้ประโยชน์ได้
bitter	ขม
boring	น่าเบื่อ
central	สำคัญ
certain	ที่มั่นใจ
chemical	ทางเคมี
complete	ทั้งหมด
cruel	โหดร้าย
dangerous	ซึ่งเป็นอันตราย
delicate	อย่างประณีต
different	ต่างกัน
different	ซึ่งไม่เหมือนกัน
dry	แห้ง
each	แต่ละ
early	ก่อน
easy	ง่าย
economic	ประหยัด
electric	เกี่ยวกับกระแสไฟฟ้า
every	แต่ละ
excellent	ยอดเยี่ยม
fake	เท็จ
far	ไกล
fat	อ้วน
fat	ใหญ่
few	เล็กน้อย
firm	มั่นคง
following	ต่อไป
foreign	เกี่ยวกับต่างประเทศ
former	ก่อน
fragile	เปราะบาง
free	ซึ่งให้เปล่า
frequent	ซึ่งเป็นประจำ
full	เต็ม
full	โดยสมบูรณ์
general	ทั่วไป
industrial	ขยัน
interesting	น่าสนใจ
international	ระหว่างประเทศ
legal	ถูกกฎหมาย
loud	ดัง
low	ต่ำ
lucky	โชคดี
main	สำคัญที่สุด
major	สำคัญมาก
many	มากมาย
military	ทางทหาร
modern	สมัยใหม่
narrow	แคบ
natural	เป็นธรรมชาติ
necessary	จำเป็น
next	ติดกัน
normal	ปกติ
opposite	ที่อยู่ตรงกันข้าม
original	ซึ่งเป็นแบบฉบับ
personal	ส่วนตัว
poor	ยากจน
possible	เป็นไปได้
previous	แต่ก่อน
private	ที่เป็นส่วนตัว
probable	ที่น่าจะเป็นไปได้
professional	ที่มีความเชี่ยวชาญ
ready	เตรียมพร้อม
recent	เร็ว ๆ นี้
regular	ปกติ
rigid	แข็ง
rough	เอะอะโวยวาย
round	กลม ๆ
second	ที่สอง
secret	ที่เก็บไว้เป็นความลับ
separate	แตกต่างกัน
serious	เอาจริงเอาจัง
several	หลาย ๆ
short	ชั่วครู่
silent	ไร้เสียง
simple	ง่าย
small	เล็ก
smooth	เรียบ
solid	แข็ง
sparse	หร็อมแหร็ม
special	โดยเจาะจง
specific	โดยเฉพาะ
square	จัตุรัส
sticky	เหนียว
straight	ตรง
strange	แปลก
stylish	นำสมัย
sudden	ทันทีทันใด
tall	สัตว์
thick	หนาทึบ
thin	บาง
tight	คับแน่น
true	ที่เป็นเรื่องจริง
ugly	น่าเกลียด
under	ใต้
unusual	ผิดปกติ
usual	ที่เกิดขึ้นทุกวัน
various	หลากหลาย
wet	เปียก
whole	ทั้งหมด
wide	กว้าง