English	Slovak
black	čierny
blue	modrý
brown	hnedý
gray	sivý
green	zelený
orange	oranžový
pink	ružový
red	červený
violet	fialový
white	biely
yellow	žltý
couple	dvojica
eight	osem
eighteen	osemnásť
eighty	osemdesiat
eleven	jedenásť
fifteen	pätnásť
fifty	päťdesiat
five	päť
forty	štyridsať
four	štyri
fourteen	štrnásť
million	milión
nine	deväť
nineteen	devätnásť
ninety	deväťdesiat
nothing	nič
one	jeden
seven	sedmička
seventy	sedemdesiat
six	šesť
sixteen	šestnásť
sixty	šesťdesiat
ten	desať
third	tretí
thirteen	trinásť
thirty	tridsať
thousand	tisíc
thousand	tisíc
three	tri
twenty	dvadsať
two	dve
arm	ruka
back	chrbát
beak	zobák
blood	krv
body	trup
bone	kosť
brain	mozog
breath	dych
cell	bunka
chest	prsia
chest	hruď
chin	brada
ear	ucho
eye	oko
face	tvár
finger	prst
foot	noha
forehead	čelo
gene	gén
hair	chlp
hand	ruka
head	hlava
heart	srdce
knee	koleno
leg	noha
lip	pera
mouth	ústa
muscle	sval
nail	necht
neck	krk
nerve	nerv
nose	nos
skin	koža
stomach	žalúdok
tail	chvost
throat	hrdlo
thumb	palec
toe	prst
tongue	jazyk
tooth	zub
wing	krídlo
ant	mravec
bear	medveď
bee	včela
bird	vták
cat	mačka
cow	krava
dog	pes
elephant	slon
fish	ryba
fly	mucha
goat	koza
horse	kôň
insect	hmyz
lion	lev
monkey	opica
pig	prasa
sheep	ovca
snake	had
afternoon	popoludnie
age	vek
April	apríl
August	august
autumn	jeseň
beginning	začiatok
century	storočie
date	dátum
day	deň
December	december
end	záver
evening	večer
February	február
Friday	piatok
future	budúcnosť
hour	hodina
January	január
July	júl
June	Jún
May	máj
midnight	polnoc
minute	minúta
moment	moment
moment	chvíľa
Monday	pondelok
month	mesiac
morning	ráno
night	noc
November	November
now	teraz
October	október
past	minulosť
pause	prestávka
period	obdobie
present	prítomnosť
Saturday	Sobota
season	sezóna
second	sekunda
September	september
spring	jar
summer	leto
Sunday	nedeľa
Thursday	štvrtok
tomorrow	zajtra
Tuesday	utorok
Wednesday	Streda
week	týždeň
weekend	víkend
while	chvíľa
winter	zima
year	rok
bread	chlieb
breakfast	raňajky
butter	maslo
cake	koláč
cheese	syr
chocolate	čokoláda
egg	vajce
food	potrava
fruit	plod
lunch	obed
meal	jedlo
meat	mäso
oil	olej
rice	ryža
salad	šalát
salt	soľ
sandwich	sendvič
sauce	omáčka
soup	polievka
sugar	cukor
sweet	sladkosť
beer	pivo
coffee	káva
drink	nápoj
milk	mliečny
milkshake	mliečny koktail
tea	čaj
water	voda
wine	víno
apple	jablko
apricot	marhuľa
banana	banán
blackberry	cernica
cherry	čerešňa
lemon	citrón
nut	orech
orange	pomaranč
