Bosnian	﻿English
crn	black
plav	blue
smeđ	brown
siv	gray
zelen	green
narančast	orange
ružičast, roza	pink
crven	red
ljubičast	violet
bijel	white
žut	yellow
par	couple
osam	eight
osamnaest	eighteen
osamdeset	eighty
jedanaest	eleven
petnaest	fifteen
pedeset	fifty
prvo	first
pet	five
četrdeset	forty
četiri	four
četrnaest	fourteen
sto, stotina	hundred
milion	million
devet	nine
devetnaest	nineteen
devedeset	ninety
ništa, nula	nothing
jedan	one
sedam	seven
sedamnaest	seventeen
sedamdeset	seventy
šest	six
šesnaest	sixteen
šezdeset	sixty
deset, deset	ten
treće	third
trinaest	thirteen
trideset	thirty
hiljada	thousand
hiljada	thousand
tri	three
dvadeset	twenty
dva	two
ruka	arm
leđa	back
kljun	beak
krv	blood
tijelo, torzo	body
kost	bone
mozak	brain
dah	breath
ćelija	cell
grudi, prsa	chest
grudi	chest
brada	chin
uho	ear
oko	eye
lice	face
prst	finger
stopalo, stopa	foot
čelo, obrva	forehead
gen	gene
kosa	hair
kosa	hair
ruka, pesnica	hand
glava	head
srce	heart
koljeno, zglob koljena	knee
noga	leg
usna	lip
usta	mouth
mišić	muscle
nokat	nail
vrat	neck
živac	nerve
nos	nose
koža, sjemena opna	skin
želudac	stomach
rep	tail
ždrijelo	throat
palac	thumb
prst	toe
jezik	tongue
zub	tooth
krilo	wing
mrav	ant
medvjed	bear
pčela	bee
ptica	bird
mačka, mačak	cat
krava	cow
pas, kučka	dog
slon	elephant
riba	fish
muha	fly
koza	goat
konj	horse
insekti	insect
lav	lion
majmun, majmu	monkey
svinja	pig
ovce	sheep
zmija	snake
beba	baby
rođenje	birth
rođendan	birthday
dječak	boy
brat	brother
dijete	child
ćerka, kćerka	daughter
smrt	death
porodica, familija	family
otac	father
prijatelj	friend
djevojka	girl
djed, deda	grandfather
čovjek	human
muž	husband
život	life
čovjek	man
brak	marriage
majka	mother
komšija	neighbor
roditelj	parent
osoba	person
odnos, ljudski odnos	relationship
sestra	sister
sin	son
vjenčanje, svadba	wedding
vjenčanje, svadba	wedding
žena	wife
žena	woman
pivo	beer
kahva	coffee
piće	drink
mlijeko	milk
milkšejk	milkshake
čaj	tea
voda	water
vino	wine
hljeb, kruh	bread
doručak	breakfast
puter	butter
kolač	cake
sir	cheese
