English	Hindi
0 (number)	शून्य
1 (number)	एक
100	श्रेणी:100
1000	1000
1000	श्रेणी:1000
12	श्रेणी:12
14	श्रेणी:14
16	श्रेणी:16
17	श्रेणी:17
1728	1728
500	500
AIDS	एड्स
Abkhazia	अबखाजिया
Abraham	इब्राहिम
Abraham Lincoln	अब्राहम लिंकन
Absolute zero	परम ताप
Abu Dhabi	अबू धाबी
Acid	अम्ल
Acid rain	अम्लीय वर्षा
Adam Smith	एडम स्मिथ
Adansonia	बेऑबॉब
Adelaide	एडिलेड
Adolf Hitler	एडोल्फ हिटलर
Aesthetics	अलङ्कार
Afghanistan	अफ़्ग़ानिस्तान
Africa	अफ़्रीका
Africa	श्रेणी:अफ़्रीका
African American	अफ्रीकी अमरीकन
Agatha Christie	ऐगथा क्रिस्टी
Agra	आगरा
Agriculture	कृषि
Agriculture	श्रेणी:कृषि
Aircraft	वायुयान
Akhenaten	अखेनातेन
Akira Kurosawa	अकिरा कुरोसावा
Al Gore	अल्बर्ट गोर
Al-Qaeda	अल कायदा
Alabama	अलाबामा
Alan Turing	एलेन ट्यूरिंग
Alaska	अलास्का
Albania	अल्बानिया
Albert Abraham Michelson	अल्बर्ट ए मिकेल्सन
Albert Camus	आल्बेर कामु
Albert Einstein	अल्बर्ट आइनस्टाइन
Alcohol	शराब
Aleksandr Solzhenitsyn	अलेक्सान्द्र सोल्शेनीत्सिन
Alexander Fleming	अलेक्ज़ांडर फ्लेमिङ
Alexander Graham Bell	अलेक्ज़ांडर ग्राहम बेल
Alexander Pushkin	अलेक्सांद्र पूश्किन
Alexander the Great	अलेक्ज़ांडर महान
Alfred Hitchcock	एल्फ़्रेड हिचकॉक
Alfred Nobel	अल्फ़्रेद नोबेल
Algae	शैवाल
Algebra	बीजगणित
Algeria	अल्जीरिया
Algorithm	अल्गोरिद्म
Allah	अल्लाह
Alpha particle	अल्फा कण
Alphabet	मूलाक्षर
Alps	आल्प्स
Alternating current	प्रत्यावर्ती धारा
Aluminium	एलुमिनियम
Amazon River	आमेजन
American Civil War	अमरीकी गृहयुद्ध
American Samoa	अमेरिकी सामोआ
American football	अमरीकी फुटबॉल
Amerigo Vespucci	आमेरिगो वेस्पूची
Amman	अम्मान
Ampere	एम्पीयर
Amsterdam	एम्सटर्डम
Amun	अमुन
Anarchy	अशासन
Anatole France	अनातोले फ्रांस
Ancient Greek	प्राचीन यूनानी भाषा
Andes	एंडीज़
Andhra Pradesh	आंध्र प्रदेश
Andorra	अन्डोरा
Andy Warhol	एंडी वारहोल
Angel	फ़रिश्ता
Angola	अंगोला
Anguilla	ऐंगुइला
Anime	ऐनिमे
Ankara	अंकारा
Antananarivo	अन्टाननरीवो
Antarctica	अंटार्कटिका
Anthropology	मानवशास्त्र
Antigua and Barbuda	अंटीगुआ और बारबूडा
Antimony	एन्टिमोनी
Antisemitism	यहूदी विरोधवाद
Anton Chekhov	आंतोन चेखव
Anubis	अनूबिस
Aphrodite	ऐफ़्रोडाइटी
Apollo	अपोलो
Apple	सेब
Applied mathematics	व्यावहारिक गणित
April 14	14 अप्रैल
Arabian Peninsula	अरबी प्रायद्वीप
Arabian Sea	अरब सागर
Arabic alphabet	अरबी लिपि
Arabic language	अरबी भाषा
Aral Sea	अरल सागर
Arch	चाप
Archaeology	पुरातत्त्वशास्त्र
Archimedes	आर्किमिडिज़
Architecture	वास्तुशास्त्र
Arctic Ocean	उत्तरध्रुवीय महासागर
Area	क्षेत्रफल
Ares	एरीस
Argentina	अर्जेन्टीना
Argon	आर्गन
Arithmetic	अंकगणित
Arithmetic	श्रेणी:अंकगणित
Arizona	एरीजोना
Arkansas	अरकांसास
Armenia	आर्मीनिया
Arrow	बाण
Arsenic	आर्सेनिक
Art	कला
Artemis	आर्टेमिस
Arthur Compton	आर्थर एच काम्पटन
Artificial intelligence	आर्टिफिशियल इंटेलिजेंस
Asia	एशिया महाद्वीप
Asia	श्रेणी:एशिया
Assam	असम
Assembly language	असेम्बली भाषा
Astrology	फल ज्योतिष
Astrology	श्रेणी:ज्योतिष
Astronomical unit	खगोलीय इकाई
Astronomy	खगोल शास्त्र
Astronomy	श्रेणी:खगोल शास्त्र
Aten	अतेन
Atheism	श्रेणी:नास्तिकता
Athena	अथीना
Athens	एथेंस
Atlanta	अटलांटा
Atlantic Ocean	अन्ध महासागर
Atlas Mountains	एटलस पर्वत
Atmosphere	वायुमण्डल
Atomic mass unit	परमाण्विक भार इकाई
Attila the Hun	अटिला
Auckland	आकलैंड
August 15	15 अगस्त
Augustus	आगस्टस कैसर
Austin	ऑस्टिन
Australia	ऑस्ट्रेलिया
Austria	ऑस्ट्रिया
Autism	ऑटिज्म (आत्मवृति)
Autumn	वर्षा ऋतु
Avalanche	हिमप्रपात
Avatar	अवतार
Averroes	आवेरोस
Avesta	अवेस्ता
Azerbaijan	आज़र्बैजान
Babylon	बाबिल
Babylonia	बेबीलोनिया
Bacteria	जीवाणु
Baghdad	बग़दाद
Bahrain	बहरीन
Bali	बाली
Balkan Wars	बाल्कन युद्ध
Balkans	बाल्कन
Baltic Sea	बाल्टिक सागर
Bamako	बमाको
Bangalore	बंगलोर
Bangkok	बैंकॉक
Bangladesh	बांग्लादेश
Bangladesh	श्रेणी:बांग्लादेश
Bank	बैंक
Barbados	बारबाडोस
Barcelona	बार्सिलोना
Bari	बारी
Barley	जौ
Base (chemistry)	क्षार
Baseball	बेसबॉल
Bast (mythology)	बास्त
Baton Rouge	बेटन रूज
Battle of Trafalgar	ट्राफलगार का युद्ध
Bay of Bengal	बंगाल की खाड़ी
Bear	भालू
Beijing	बेजिंग
Belarus	बेलारूस
Belgrade	बेलग्रेड
Belize	बेलीज़
Bengal	बंगाल
Benito Mussolini	बेनिटो मुसोलिनी
Benjamin Disraeli	बेञ्जमिन डिज़्रैली
Benjamin Harrison	बेंजमिन हेरिसन
Bering Strait	बेरिंग जलसन्धि
Berkshire	बर्कशायर
Berlin	बर्लिन
Bermuda	बर्मूडा
Berne	बर्न
Bertrand Russell	बर्टराण्ड रसेल
Beryllium	बेरिलियम
Bhutan	भूटान
Bhutan	श्रेणी:भूटान
Bible	बाइबिल
Bicycle	सायकिल
Bihar	बिहार
Bill Clinton	विलियम क्लिंटन
Bill Gates	बिल गेट्स
Biochemistry	जैवरसायनिकी
Biochemistry	श्रेणी:जैवरसायनिकी
Biography	जीवनी
Biology	जीव विज्ञान
Biology	श्रेणी:जीव विज्ञान
Biosphere	जैवमण्डल
Biotechnology	जैवप्रौद्योगिकी
Biotechnology	श्रेणी:जैवप्रौद्योगिकी
Bird	पक्षी
Black	काला
Black Sea	कृष्ण सागर
Black hole	काल कोठरी
Black pepper	काली मिर्च
Blaise Pascal	ब्लेज पास्कल
Blindness	अन्धापन
Blog	ब्लॉग
Blood pressure	रक्तचाप
Blood type	रक्त वर्ग
Blue	नीला
Bodhisattva	बोधिसत्व
Boiling point	क्वथनांक
Bolivia	बोलीविया
Bollywood	बॉलीवुड
Bordeaux	बोर्दो
Boris Pasternak	बोरिस पास्टेरनक
Boron	बोरॉन्
Bosnia and Herzegovina	बॉस्निया और हर्ज़ेगोविना
Boson	बोसान
Bosporus	बोस्पोरुस जलसन्धि
Botany	वनस्पति विज्ञान
Botany	श्रेणी:वनस्पति विज्ञान
Botswana	बोत्सवाना
Brahma	ब्रह्मा
Brahmaputra River	ब्रह्मपुत्र नदी
Brass	पीतल
Brazil	ब्राज़ील
Brest	ब्रैस्त
Bridge	सेतु
Brindisi	ब्रिंडिसि
Bristol	ब्रिस्टल
British Empire	ब्रिटिश साम्राज्य
British Virgin Islands	ब्रिटिश वर्जिन द्वीप-समूह
Bromine	ब्रोमिन
Bronze	कांसा
Bronze Age	कांस्य युग
Brunei	ब्रुनेई
Bubonic plague	प्लेग
Bucharest	बुखारेस्ट
Buckminster Fuller	बकमिन्स्टर फुलर
Buddhism	बौद्ध धर्म
Buddhism	श्रेणी:बौद्ध धर्म
Buenos Aires	ब्युएनॉस एरीस
Bulgaria	बुल्गारिया
Buoyancy	उत्प्लावन बल
Burkina Faso	बुरकीना फ़ासो
Burma	म्यान्मार
Business	व्यापार
Byte	बाइट
C (programming language)	सी प्रोग्रामिंग भाषा
Cadmium	काडमियम
Calcium	काल्सियम
Calculator	कैलकुलेटर
Calculus	कलन
Calendar	पंचांग
California	कैलिफोर्निया
California	श्रेणी:केलिफोर्निया
Calvin Coolidge	कालविन कूलिज
Cambodia	कम्बोडिया
Camera	कैमरा
Canada	कनाडा
Canada	श्रेणी:कनाडा
Canary Islands	कैनरी द्वीप-समूह
Canberra	कैनबरा
Cancer	कर्कट रोग
Cancer (constellation)	कर्क
Candela	कैण्डेला
Cantonese (linguistics)	कैंटोनी भाषा
Cape Verde	केप वर्दे
Capitalism	पूंजीवाद
Carbon	कार्बन
Carbon dioxide	कार्बन डाइआक्साइड
Cardiff	कार्डिफ़
Carl David Anderson	कार्ल डी एन्डरसन
Carrot	गाजर
Cartesian coordinate system	कार्तीय निर्देशांक पद्धति
Cartography	श्रेणी:मानचित्रण
Caspian Sea	कैस्पियन सागर
