English	Portuguese
black	preto
blue	azul
brown	marron
gray	cinzento
green	verde
orange	cor de laranja
pink	rosado
red	vermelho
violet	violeta
white	branco
yellow	amarelo
couple	par
eight	oito
eighteen	dezoito
eighty	oitenta
eleven	onze
fifteen	quinze
fifty	cinquenta
five	cinco
forty	quarenta
four	quatro
fourteen	quatorze
million	milhão
nine	nove
nineteen	dezenove
ninety	noventa
nothing	nada
one	um
seven	sete
seventy	setenta
six	seis
sixteen	dezesseis
sixty	sessenta
ten	dez
third	terceiro
thirteen	treze
thirty	trinta
thousand	mil
thousand	mil
three	três
arm	braço
back	costas
beak	bico
blood	sangue
body	tronco
bone	osso
brain	cérebro
breath	hálito
cell	célula
chest	peito
chest	peito
chin	queixo
ear	orelha
eye	olho
face	rosto
finger	dedo
foot	pé
forehead	fronte
gene	gene
hair	cabelo
hair	pelo
hand	mão
head	cabeça
heart	coração
knee	joelho
leg	perna
lip	lábio
mouth	boca
muscle	músculo
nail	unha
neck	pescoço
nerve	nervo
nose	nariz
skin	pele
stomach	estômago
tail	cauda
throat	garganta
thumb	polegar
toe	dedo do pé
tongue	língua
tooth	dente
wing	ala
ant	formiga
bear	urso
bee	abelha
bird	pássaro
cat	gato
cow	vaca
dog	cão
elephant	elefante
fish	peixe
fly	mosca
goat	cabra
horse	cavalo
insect	inseto
lion	leão
monkey	macaco
pig	porco
sheep	ovelha
snake	serpente
afternoon	tarde
age	idade
April	abril
August	agosto
autumn	outono
beginning	começo
century	século
date	data
day	dia
December	dezembro
end	término
evening	tarde
February	fevereiro
Friday	Sexta-feira
future	futuro
hour	hora
January	janeiro
July	julho
June	junho
May	maio
midnight	meia-noite
minute	minuto
moment	momento
moment	instante
Monday	Segunda-feira
month	mês
morning	manhã
night	noite
November	novembro
now	agora
October	outubro
past	passado
pause	intervalo
period	período
present	presente
Saturday	sábado
season	temporada
second	segundo
September	setembro
spring	primavera
summer	verão
Sunday	domingo
Thursday	Quinta-feira
tomorrow	amanhã
Tuesday	Terça-feira
Wednesday	Quarta-feira
week	semana
weekend	fim de semana
while	um bocado
winter	inverno
year	ano
bread	pão
breakfast	pequeno-almoço
butter	manteiga
cake	bolo
cheese	queijo
chocolate	chocolate
egg	ovo
food	comida
fruit	fruta
lunch	almoço
meal	comida
meat	carne
oil	óleo
rice	arroz
salad	salada
salt	sal
sandwich	sanduíche
sauce	molho
soup	sopa
sugar	açúcar
sweet	doçura
beer	cerveja
coffee	café
drink	bebida
milk	leite
milkshake	batido
tea	chá
water	água
wine	vinho
apple	maçã
apricot	abricó
banana	banana
blackberry	amora
cherry	cereja
lemon	limão
nut	noz
orange	laranja
peach	pêssego
pear	pera
pineapple	ananás
plum	ameixa
raspberry	framboesa
strawberry	morango
bean	feijão
cabbage	couve
carrot	cenoura
cucumber	pepino
garlic	alho
olive	azeitona
onion	cebola
parsnip	nabo
potato	batata
radish	rabanete
tomato	tomate
baby	infante
birth	nascimento
birthday	aniversário
boy	rapaz
brother	irmão
daughter	filha
death	morte
family	família
father	pai
friend	amigo
girl	rapariga
grandfather	avô
human	humano
husband	marido
life	vida
man	homem
marriage	casamento
mother	mãe
neighbor	vizinho
parent	pai
person	pessoa
relationship	relacionamento
sister	companheira
son	filho
wedding	casamento
wedding	casamento
wife	esposa
woman	mulher
address	endereço
bathroom	sala de banho
bedroom	quarto
brick	tijolo
door	porta
floor	soalho
floor	andar
garage	garagem
garden	jardim
gate	portão
hall	átrio
home	lar
house	casa
kitchen	cozinha
roof	telhado
room	compartimento
shower	chuveiro
step	degrau
toilet	sanitário
wall	muro
well	poço
window	janela
bed	leito
carpet	carpete
chair	cadeira
cupboard	armário
curtain	cortina
desk	secretária
furniture	mobília
seat	lugar
shelf	prateleira
sink	banca da cozinha
table	mesa
bag	saco
boot	bota
cloth	pano
clothing	roupa
coat	casaco
collar	colarinho
hat	chapéu
jacket	casaco
jewel	jóia
ring	anel
shirt	camisa
shoe	sapato
skirt	saia
sock	meia
suitcase	mala
tie	gravata
air	ar
animal	animal
branch	ramo
evolution	evolução
farm	quinta
field	campo
fire	chama
flower	flor
forest	bosque
grass	relva
leaf	folha
life	vida
lightning	raio
moisture	humidade
nature	natureza
plant	planta
root	raiz
sex	sexo
sky	céu
sleep	sono
smell	odor
smoke	fumo
spring	fonte
stem	haste
stream	corrente
tree	árvore
wave	onda
weather	tempo
world	mundo
airport	aeródromo
bank	banco
bridge	ponte
building	edifício
capital	capital
castle	castelo
church	igreja
