English	Croatian
black	crn
blue	plav
brown	smeđa
gray	siv
green	zelen
orange	oranje
pink	ružičast
violet	ljubičast
white	bijel
yellow	žut
couple	dvoje
eight	osam
eighteen	osamnaest
eighty	osamdeset
eleven	jedanaest
fifteen	petnaest
fifty	pedeset
five	broj ili brojka pet
fourteen	četrnaest
million	milijun
nine	deveti
ninety	devedeset
nothing	ništa
one	jedan
seven	sedam
seventy	sedamdeset
six	šest
sixteen	šesnaest
sixty	šezdeset
ten	deset
third	treći
thirteen	broj ili znamenka trinaest
thirty	trideset
thousand	znamenka tisuću
thousand	broj tisuću
three	tri
twenty	dvadeset
arm	ruka
back	leđa
beak	kljun
blood	krv
body	trup bez udova
bone	kostur
brain	mozak
breath	dah
cell	stanica
chest	grudi
chest	grudi
chin	brada
ear	uho
eye	oko
face	lice
finger	prst
foot	stopalo
forehead	čelo
gene	gen
hair	kosa
hair	dlaka
hand	šaka
head	glava
heart	srce
knee	koljeno
leg	noga
lip	usna
mouth	usta
muscle	mišić
nail	nokat
neck	vrat
nerve	živac
nose	vršak
skin	koža
stomach	želudac
tail	rep
throat	ždrijelo
thumb	palac
tongue	jezik
tooth	zub
wing	strana igrališta
ant	mrav
bear	medvjed
bee	pčela
bird	ptica
cat	mačka
cow	krava
dog	pas
elephant	slon
fish	riba
fly	muha
goat	koza
horse	domaći konj
insect	kukac
lion	lav
monkey	majmun
pig	svinja
sheep	ovca
snake	zmija
baby	beba
birth	rođenje
birthday	rođendan
boy	dječak
brother	brat
child	dijete
daughter	kćerka
death	smrt
family	obitelj
father	otac
friend	prijatelj
girl	djevojčica
grandfather	djed
human	čovjek
husband	muž
man	muškarac
marriage	brak
mother	majka
neighbor	susjed
parent	roditelj
person	čovjek
relationship	odnos
sister	sestra
son	sin
wedding	vjenčanje
wife	žena
woman	žena
beer	pivo
coffee	kava
drink	napitak
milk	mlijeko
milkshake	mliječni napitak
tea	čajevi
water	voda
wine	vino
bread	kruh
breakfast	doručak
butter	maslac
cheese	sir
chocolate	čokolada
egg	jaje
food	hrana
fruit	plod
lunch	ručak
meal	obrok
meat	meso
oil	ulje
rice	riža
salad	salata
salt	sol
sandwich	sendvič
sauce	umak
soup	juha
sugar	šećer
sweet	slatkoća
apple	jabuka
apricot	marelica
banana	banana
blackberry	kupina
cherry	trešnja
lemon	limun
nut	orah
orange	naranča
peach	breskva
pear	kruške
pineapple	ananas
plum	šljiva
raspberry	malina
strawberry	jagoda
bean	grah
cabbage	kupus
carrot	mrkva
cucumber	krastavac
garlic	češnjak
olive	maslina
onion	luk
parsnip	korijen
potato	krumpir
radish	rotkvica
tomato	rajčica
address	adresa
bathroom	kupaonica
bedroom	spavaća soba
brick	cigla
door	vrata
floor	pod
floor	kat
garage	garaža
garden	vrt
gate	ograda
hall	predvorje hotela
home	kuca
house	kuca
kitchen	kuhinja
roof	krov
room	soba
shower	tuš
step	stepenica
toilet	toalet
wall	zid
well	bunar
window	prozor
bed	krevet
carpet	sag
chair	stolac
cupboard	sobica
curtain	zavjesa
desk	pisaći stol
furniture	pokućstvo
sink	slivnik
table	stol
bag	torba
boot	čizma
cloth	sukno
clothing	odjeća
coat	kaput
collar	ovratnik
hat	šešir
jacket	jakna
jewel	dragulj
ring	prsten
shirt	košulja
shoe	cipela
skirt	suknja
sock	čarapa
suitcase	ručni kovčeg
tie	kravata
actor	glumac
actress	glumica
businessman	poslovan čovjek
expert	stručnjak
general	general
journalist	novinar
judge	sudac
leader	vođa
minister	ministar
musician	glazbenik
photographer	fotograf
pilot	pilot
politician	političar
president	predsjednik
professional	profesionalac
representative	trgovački putnik
sailor	mornar
scientist	znanstvenik
secretary	tajnik
servant	sluga
soldier	vojnika
writer	pisac
airport	uzletište
bank	banka
bridge	most
building	građevina
capital	glavni grad
castle	tvrđava
church	crkva
cinema	kino
city	grad
factory	tvornica
flat	stan
hospital	bolnica
hotel	hotel
library	biblioteka
park	park
prison	zatvor
restaurant	restoran
road	cesta
school	škola
station	baza
street	ulica
structure	sastav
subway	podzemna željeznica
supermarket	velika samoposluga
theater	kazalište
town	grad
university	sveučilište
village	selo
accident	nesreća
boat	čamac
bus	autobus
car	automobil
