English	Slovak
0 (number)	0 (číslo)
1	1
10	10
100	100
100	Kategória:100
1000	1000
1000	Kategória:1000
1000 (number)	1000 (číslo)
101	101
105	105
11	11
110	110
115	115
12	12
12	Kategória:12
120	120
125	125
13	13
130	130
135	135
14	14
14	Kategória:14
140	140
144	144
145	145
15	15
150	150
1530s	30. roky 16. storočia
155	155
16	16
16	Kategória:16
160	160
165	165
17	17
17	Kategória:17
170	170
1728	1728
1728	Kategória:1728
175	175
1750s	50. roky 18. storočia
1750s	Kategória:50. roky 18. storočia
1760s	60. roky 18. storočia
1760s	Kategória:60. roky 18. storočia
1770s	70. roky 18. storočia
1770s	Kategória:70. roky 18. storočia
1780s	80. roky 18. storočia
1780s	Kategória:80. roky 18. storočia
1790s	90. roky 18. storočia
1790s	Kategória:90. roky 18. storočia
18	18
180	180
1820s	20. roky 19. storočia
1820s	Kategória:20. roky 19. storočia
1830s	30. roky 19. storočia
1830s	Kategória:30. roky 19. storočia
1840s	40. roky 19. storočia
1840s	Kategória:40. roky 19. storočia
1850s	50. roky 19. storočia
1860s	60. roky 19. storočia
1860s	Kategória:60. roky 19. storočia
1870s	70. roky 19. storočia
1870s	Kategória:70. roky 19. storočia
1880s	80. roky 19. storočia
1880s	Kategória:80. roky 19. storočia
1890s	90. roky 19. storočia
1890s	Kategória:90. roky 19. storočia
19	19
190	190
1900s	0. roky 20. storočia
1900s	Kategória:0. roky 20. storočia
1920s	20. roky 20. storočia
1920s	Kategória:20. roky 20. storočia
1930s	30. roky 20. storočia
1930s	Kategória:30. roky 20. storočia
1940s	40. roky 20. storočia
1940s	Kategória:40. roky 20. storočia
1950s	50. roky 20. storočia
1950s	Kategória:50. roky 20. storočia
1960s	60. roky 20. storočia
1960s	Kategória:60. roky 20. storočia
1970s	70. roky 20. storočia
1970s	Kategória:70. roky 20. storočia
1980s	80. roky 20. storočia
1980s	Kategória:80. roky 20. storočia
1990s	90. roky 20. storočia
1990s	Kategória:90. roky 20. storočia
2	2
20	20
200	200
21	21
22	22
23	23
24	24
24 (TV series)	24 (seriál)
25	25
26	26
27	27
28	28
29	29
3	3
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
40	40
400	400
41	41
42	42
42 (number)	42 (číslo)
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
50	50
50 (number)	50 (číslo)
500	500
500	Kategória:500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
A cappella	A cappella
ABC	ABC
AIDS	Aids
ALGOL	ALGOL
ATP	ATP
Aachen	Aachen
Aar	Aare
Aarhus	Århus
Abacus	Abakus (počítacia tabuľka)
Abadan	Ábádán
Abelian group	Abelovská grupa
Abidjan	Abidjan
Abkhazia	Abcházsko
Abolitionism	Abolicionizmus
Abortion	Interrupcia
Abraham	Abrahám (biblická postava)
Abraham Lincoln	Abraham Lincoln
Absinthe	Absint
Absolute magnitude	Absolútna hviezdna veľkosť
Absolute value	Absolútna hodnota (reálne a komplexné číslo)
Absolute zero	Absolútna nula
Absolutism (European history)	Absolutizmus
Abstract art	Abstraktné umenie
