Hebrew	﻿English
לאתחל	begin
לקנות (liknot)	buy
סגור	close
לבוא (le-vó)	come
שתה (shatah)	drink
לימצו (limtzo)	find
נתן (nātān)	give
לנשק (Lenashek)	kiss
צחק	laugh
(ללמוד, leel-mod)	learn
לשכב (Lish'kav)	lie
לשקר (Le'sha'ker)	lie
להאזין	listen
לאהוב	love
לקרוא (le-kára’a)	read
לרוץ (leráts)	run
לשבת	sit
לדבר (le-dabér)	talk
החל	use
לחכות (lehakot), להמתין (lehamtin)	wait
לכתוב (lihtov)	write
לשאול	ask
לבנות'לבנות /livnot/	build
התקשר	call
בחר	choose
למיין	classify
השווה	compare
להעתיק	copy
פצל	divide
הלך'הָלַךְ	happen
שנאה	hate
פרסום	publish
עונה (m) - Oné), (f) - Ona)	reply
שמר	save
לראות (li-rót)	see
שלח	send
גנב (ganav)	steal
עצר	stop
להציע (li-hitsi‘a)	suggest
הלך'הָלַךְ (halákh)	travel
