English	Georgian
0 (number)	ნული
1	1
1 (number)	ერთი
10	10
100	100
100	კატეგორია:100
1000	1000
1000	კატეგორია:1000
101	101
105	105
11	11
110	110
115	115
12	12
12	კატეგორია:12
120	120
125	125
13	13
130	130
135	135
14	14
14	კატეგორია:14
140	140
144	144
145	145
15	15
150	150
1530s	1530-იანები
155	155
16	16
16	კატეგორია:16
160	160
165	165
17	17
17	კატეგორია:17
170	170
1728	1728
1728	კატეგორია:1728
175	175
1750s	1750-იანები
1760s	1760-იანები
1770s	1770-იანები
1780s	1780-იანები
1790s	1790-იანები
18	18
180	180
1820s	1820-იანები
1830s	1830-იანები
1840s	1840-იანები
1850s	1850-იანები
1860s	1860-იანები
1870s	1870-იანები
1880s	1880-იანები
1890s	1890-იანები
19	19
190	190
1900s	1900-იანები
1900s	კატეგორია:1900-იანები
1920s	1920-იანები
1920s	კატეგორია:1920-იანები
1930s	1930-იანები
1930s	კატეგორია:1930-იანები
1940s	1940-იანები
1940s	კატეგორია:1940-იანები
1950s	1950-იანები
1950s	კატეგორია:1950-იანები
1960s	1960-იანები
1960s	კატეგორია:1960-იანები
1970s	1970-იანები
1970s	კატეგორია:1970-იანები
1980s	1980-იანები
1980s	კატეგორია:1980-იანები
1990s	1990-იანები
1990s	კატეგორია:1990-იანები
2	2
2 (number)	ორი
20	20
200	200
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
3	3
3 (number)	სამი
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
4 (number)	ოთხი
40	40
400	400
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
5 (number)	ხუთი
50	50
500	500
500	კატეგორია:500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (number)	ექვსი
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (number)	შვიდი
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (number)	რვა
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (number)	ცხრა
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
A (Cyrillic)	А
A cappella	ა კაპელა
AIDS	შიდსი
Aachen	აახენი
Aar	აარე
Aaron	არონი
Abbot	აბატი
Abel Tasman	აბელ ტასმანი
Abkhazia	აფხაზეთის ავტონომიური რესპუბლიკა
Abkhazia	კატეგორია:აფხაზეთი
Abortion	აბორტი
Abraham	აბრაამი
Abraham Lincoln	აბრაამ ლინკოლნი
Absinthe	აბსენტი
Abstract expressionism	აბსტრაქტული ექსპრესიონიზმი
Abu Dhabi	აბუ-დაბი
Abuja	აბუჯა
Acacia	აკაცია
Academy Award	ოსკარი
Acapulco	აკაპულკო
Acceleration	აჩქარება
Accountancy	კატეგორია:საბუღალტრო აღრიცხვა
Achilles	აქილევსი (მითოლოგია)
Acne vulgaris	აკნე
Aconcagua	აკონკაგუა
Acre (state)	აკრი (შტატი)
Actor	მსახიობი
Adam Smith	ადამ სმითი
Addis Ababa	ადის-აბება
Adenosine triphosphate	ადენოზინტრიფოსფორმჟავა
Adolf Eichmann	ადოლფ აიხმანი
Adolf Hitler	ადოლფ ჰიტლერი
Adonis	ადონისი (მითოლოგია)
Adriatic Sea	ადრიატიკის ზღვა
Advertising	რეკლამა
Aegean Sea	ეგეოსის ზღვა
Aeneas	ენეოსი
Afghanistan	ავღანეთი
Afghanistan	კატეგორია:ავღანეთი
Africa	აფრიკა
Africa	კატეგორია:აფრიკა
Afrikaans	აფრიკაანსი
Agamemnon	აგამემნონი
