English	Bulgarian
black	кафе без мляко
blue	син (m)
brown	кафяв
gray	сив цвят
green	не дозрял
orange	ориндж
pink	розов
red	червен (červen) (m)
violet	виолетов
white	бял
yellow	жълт
couple	двойка
eight	осем
eighty	осемдесет
eleven	единадесет
fifty	петдесет
five	пет
forty	четиридесет
million	от милион
nine	девет
ninety	деветдесет
nothing	нищо
seventy	седемдесет (sédemdeset)
six	шест
sixty	шестдесет
third	трети
thirteen	тринадесет
thirty	тридесет
thousand	хиляда
thousand	хиляда
three	три
twenty	двадесет (dvadeset)
two	две (dve)
arm	ръка
back	гръб
beak	клюн
blood	кръв
body	труп
bone	кост
brain	мозък
breath	дъх
cell	клетка
chin	брадичка
ear	ухо
eye	очи
face	лице
finger	пръст
forehead	чело
gene	ген
hair	коса
hair	косъм
hand	ръка
head	глава
heart	сърце
knee	коляно
leg	крак
lip	устна
mouth	уста
muscle	мускули
nail	нокът
neck	шия
nerve	нерв
nose	нос
skin	кожа
stomach	стомах
tail	опашка
throat	гърло
thumb	палец
tongue	език
tooth	зъб
wing	крило
ant	мравка
bear	мечка
bee	пчела
bird	птица
cat	котка
cow	крава
dog	куче
elephant	слон
fish	риба
fly	муха
goat	коза
horse	кон
insect	насекомо
lion	лъв
monkey	маймуна
pig	прасе
sheep	овца
snake	змия
baby	бебе
birth	раждане
birthday	рожден ден
boy	момче
brother	брат
daughter	дъщеря
death	смърт
family	семейство
father	баща
friend	приятел
girl	момиче
grandfather	баба и дядо
human	човек
husband	съпруг
man	мъж
marriage	брак
mother	майка
neighbor	съсед
parent	родител
person	човек
relationship	отношение
sister	сестра
son	син
wedding	сватба
wife	съпруга
woman	жена
beer	бира
coffee	кафе
drink	питие
milk	мляко
tea	чай
water	вода
wine	вино
bread	хляб
breakfast	закуска
butter	масло
cake	торта
cheese	сирене
chocolate	шоколад
egg	яйце
food	храна
fruit	плод
lunch	обед
meal	ядене
meat	месо
oil	масло
rice	Ориз
salad	салата
salt	сол
sandwich	сандвич
sauce	сос
soup	супа
sugar	захар
apple	ябълка
apricot	кайсия
banana	банан
blackberry	къпина
cherry	череша
lemon	лимон
nut	ядка
orange	портокал
peach	праскова
pear	круша
pineapple	ананас
plum	слива
raspberry	малина
strawberry	ягода
bean	бобена култура
cabbage	зелка
carrot	морков
cucumber	краставица
garlic	чесън
olive	маслина
onion	лук
parsnip	пащърнак
potato	картоф
radish	репичка
tomato	домат
address	адрес
bathroom	баня
bedroom	спалня
brick	тухла
door	врата
floor	под
floor	етаж
garage	гараж
garden	градина
gate	порта
