French	﻿English
noir	black
bleu	blue
marron	brown
gris	gray
vert	green
orange	orange
rose	pink
rouge	red
violet	violet
blanc	white
jaune	yellow
paire	couple
huit	eight
dix-huit	eighteen
quatre-vingts	eighty
onze	eleven
quinze	fifteen
cinquante	fifty
cinq	five
quarante	forty
quatre	four
quatorze	fourteen
cent	hundred
million	million
neuf	nine
dix-neuf	nineteen
quatre-vingt-dix	ninety
rien	nothing
un	one
sept	seven
soixante-dix	seventy
six	six
seize	sixteen
soixante	sixty
dix	ten
troisième	third
treize	thirteen
trente	thirty
mille	thousand
mille	thousand
trois	three
vingt	twenty
bras	arm
dos	back
bec	beak
sang	blood
tronc	body
os	bone
cerveau	brain
haleine	breath
cellule	cell
poitrine	chest
poitrine	chest
menton	chin
oreille	ear
oeil	eye
visage	face
doigt	finger
pied	foot
front	forehead
gène	gene
cheveux	hair
poil	hair
main	hand
esprit	head
cœur	heart
genou	knee
patte	leg
lèvre	lip
bouche	mouth
muscle	muscle
ongle	nail
cou	neck
nerf	nerve
nez	nose
peau	skin
estomac	stomach
queue	tail
gorge	throat
pouce	thumb
orteil	toe
langue	tongue
dent	tooth
aile	wing
fourmi	ant
ours	bear
abeille	bee
oiseau	bird
chat	cat
vache	cow
chien	dog
éléphant	elephant
poisson	fish
mouche	fly
chèvre	goat
cheval	horse
insecte	insect
lion	lion
singe	monkey
porc	pig
mouton	sheep
serpent	snake
petit enfant	baby
naissance	birth
anniversaire	birthday
garçon	boy
frère	brother
fille	daughter
mort	death
famille	family
père	father
copain	friend
fille	girl
grand-père	grandfather
homme	human
mari	husband
vie	life
homme	man
mariage	marriage
mère	mother
voisin	neighbor
parent	parent
personne	person
relation	relationship
soeur	sister
fils	son
mariage	wedding
mariage	wedding
femme	wife
femme	woman
bière	beer
café	coffee
boisson	drink
lait	milk
lait fouetté	milkshake
thé	tea
eau	water
vin	wine
pain	bread
petit déjeuner	breakfast
beurre	butter
gâteau	cake
fromage	cheese
chocolat	chocolate
oeuf	egg
nourriture	food
fruit	fruit
dîner	lunch
repas	meal
viande	meat
huile	oil
riz	rice
salade	salad
sel	salt
sandwich	sandwich
sauce	sauce
soupe	soup
sucre	sugar
douceur	sweet
pomme	apple
abricot	apricot
banane	banana
mûre	blackberry
cerise	cherry
citron	lemon
fruit à coque	nut
orange	orange
pêche	peach
poire	pear
ananas	pineapple
prune	plum
framboise	raspberry
fraise	strawberry
haricot	bean
chou	cabbage
carotte	carrot
concombre	cucumber
ail	garlic
olive	olive
oignon	onion
panais	parsnip
pomme de terre	potato
radis	radish
tomate	tomato
adresse	address
salle de bain	bathroom
chambre à coucher	bedroom
brique	brick
porte	door
plancher	floor
étage	floor
garage	garage
jardin	garden
porte	gate
hall	hall
maison	home
maison	house
cuisine	kitchen
toit	roof
pièce	room
douche	shower
marche	step
toilettes	toilet
mur	wall
puits	well
vitrine	window
lit	bed
tapis	carpet
chaise	chair
placard	cupboard
rideau	curtain
bureau	desk
mobilier	furniture
place	seat
étagère	shelf
évier	sink
table	table
sac	bag
botte	boot
tissu	cloth
costume	clothing
manteau	coat
col	collar
chapeau	hat
veston	jacket
pierre précieuse	jewel
anneau	ring
chemise	shirt
chaussure	shoe
jupe	skirt
chaussettes	sock
valise	suitcase
cravate	tie
comédien	actor
actrice	actress
négociant	businessman
expert	expert
général	general
journaliste	journalist
juge	judge
chef	leader
ministre	minister
musicien	musician
photographe	photographer
pilote	pilot
policier	policeman
politicien	politician
président	president
professionnel	professional
représentant	representative
marin	sailor
scientifique	scientist
secrétaire	secretary
domestique	servant
soldat	soldier
écrivain	writer
aérodrome	airport
banque	bank
pont	bridge
bâtiment	building
capitale	capital
château	castle
église	church
cinéma	cinema
grande ville	city
usine	factory
appartement	flat
hôpital	hospital
hôtel	hotel
bibliothèque	library
parc	park
prison	prison
restaurant	restaurant
route	road
école	school
poste	station
rue	street
construction	structure
métro	subway
supermarché	supermarket
théâtre	theater
ville	town
universitaire	university
village	village
accident	accident
bateau	boat
autobus	bus
automobile	car
anse	curve
express	express
vol	flight
voyage	journey
passager	passenger
avion	plane
navire	ship
dérapage	skid
rail	track
train	train
transport	transport
air	air
animal	animal
branche	branch
évolution	evolution
ferme	farm
champ	field
flamme	fire
fleur	flower
bois	forest
herbe	grass
feuille	leaf
vie	life
éclair	lightning
humidité	moisture
nature	nature
plante	plant
racine	root
sexe	sex
ciel	sky
sommeil	sleep
odeur	smell
fumée	smoke
source	spring
tige	stem
torrent	stream
arbre	tree
