English	German
black	schwarz
blue	blau
brown	braun
gray	grau
green	grün
orange	orange
pink	rosa, rosarot
red	rot
violet	lila, violett
white	weiß
yellow	gelb
couple	Paar
eight	acht
eighteen	achtzehn
eighty	achtzig
eleven	elf
fifteen	fünfzehn
fifty	fünfzig
five	fünf
forty	vierzig
four	vier
fourteen	vierzehn
million	Million
nine	neun
nineteen	neunzehn
ninety	neunzig
nothing	Nichts, Null
one	ein, eins
seven	sieben
seventy	siebzig
six	sechs
sixteen	sechzehn
sixty	sechzig
ten	zehn
third	dritte, dritter
thirteen	dreizehn
thirty	dreißig
thousand	tausend
thousand	tausend
three	drei
twenty	zwantig
two	zwei
arm	Arm
back	Rücken
beak	Schnabel
blood	Blut
body	Rumpf
bone	Knochen
brain	Gehirn
breath	Atem, Atemzug
cell	Zelle
chest	Brust
chest	Brust
chin	Kinn
ear	Ohr
eye	Auge
face	Gesicht
finger	Finger
foot	Fuß, Fuss
forehead	Stirn
gene	Gen
hair	Haare
hair	Haar
hand	Hand
head	Kopf, Haupt
heart	Herz
knee	Knie
leg	Bein
lip	Lippe
mouth	Mund
muscle	Muskel
nail	Nagel
neck	Hals
nerve	Nerv
nose	Nase
skin	Haut
stomach	Magen
tail	Schwanz
throat	Kehle
thumb	Daumen
toe	Zehe
tongue	Zunge
tooth	Zahn
wing	Flügel
ant	Ameise
bear	Bär
bee	Biene, Honigbiene
bird	Vogel
cat	Katze
cow	Kuh
dog	Hund
elephant	Elefant
fish	Fisch
fly	Fielge, Fliege
goat	Geiß, Ziege
horse	Pferd, Ross
insect	Insekt
lion	Löwe
monkey	Affe
pig	Schwein
sheep	Schaf
snake	Schlange
baby	Baby
birth	Geburt
birthday	Geburtstag
boy	Junge
brother	Bruder
child	Kind
daughter	Tochter
death	Tod
family	Familie
father	Vater
friend	Freund, Freundin
girl	Fräulein, Mädchen
grandfather	Großvater, Opa
human	Individuum, Einzelperson
husband	Ehemann, Mann
life	Leben
man	Mann
marriage	Ehe, Ehegemeinschaft
mother	Mutter
neighbor	Nachbar
parent	der Elternteil
person	Individuum, Einzelperson
relationship	Verwandtschaft, Beziehung
sister	Schwester
son	Sohn
wedding	Hochzeit
wedding	Eheschliessung, Heirat
wife	Ehefrau, Frau
woman	Frau
beer	Bier
coffee	Kaffe, Kaffee
drink	Getränk, Trank
milk	Milch
milkshake	Milchshake
tea	Tee
water	Wasser
wine	Wein
bread	Brot
breakfast	Frühstück
butter	Butter
cake	Kuchen
cheese	Käse
chocolate	Schokolade
egg	Ei
food	Essen, Nahrungsmittel
fruit	Frucht, Obst
lunch	Lunch, Mittagessen
meal	Essen, Mahlzeit
meat	Fleisch, Fleish
oil	Öl
rice	Reis
salad	Salat
salt	Salz
sandwich	Sandwich
sauce	Sauce, Soße
soup	Suppe
sugar	Zucker
sweet	Süßigkeit
apple	Apfel
apricot	Aprikose, Marille
banana	Banane
blackberry	Brombeere
cherry	Kirsche
lemon	Zitrone, Limone
nut	Schalenfrucht
orange	Orange, Apfelsine
peach	Pfirsich
pear	Birne
pineapple	Ananas
plum	Pflaume
raspberry	Himbeere
strawberry	Erdbeere
bean	Bohne
cabbage	Kohl
carrot	Möhre, Mohrrübe
cucumber	Gurke
garlic	Knoblauch
olive	Olive
onion	Zwiebel
parsnip	Pastinak
pea	Erbse
potato	Kartoffel
radish	Radieschen
tomato	Tomate
address	Adresse
bathroom	badezimmer
bedroom	Schlafzimmer
brick	Backstein, Ziegel
door	Tür
floor	Fußboden
floor	Geschoss, Etage
garage	Garage
garden	Garten
gate	Tor, Pforte
hall	Diele, Halle
home	Heim, Heimat
house	Haus
kitchen	küche
roof	Dach
room	Zimmer
shower	Dusche
step	Stufe, Treppe
toilet	Toilette
wall	Mauer
well	Brunnen
window	Fenster
bed	Bett
carpet	Teppich, Vorleger
chair	Stuhl
cupboard	Schrank
curtain	Gardine, Vorhang
desk	Schreibtisch
furniture	Möbel
seat	Sitz
shelf	Regal
sink	Spültisch
table	Tisch
bag	Handtasche
boot	Stiefel
cloth	Stoff
clothing	die Kleidung
coat	Mantel
collar	Kragen
hat	Hut
jacket	Jacke, Sakko
jewel	Edelstein, Juwel
ring	Ring
shirt	Hemd
shoe	Schuh
skirt	Rock
sock	Socke
suitcase	Koffer, Handkoffer
tie	Krawatte, Schlips
actor	Akteur, Schauspieler
actress	Schauspielerin
businessman	Geschäftsmann
expert	Experte
general	General
journalist	Journalist
judge	Richter
leader	Führer
minister	Minister
musician	Musikant, Musiker
photographer	Fotograf, Photograph
pilot	Pilot
policeman	Polizist
politician	Politiker
president	Präsident
professional	Fachmann, Profi
representative	Stellvertreter
sailor	Matrose, Seemann
scientist	Wissenschaftler
secretary	Sekretär
servant	Diener
soldier	Soldat
writer	Schriftsteller
airport	Flughafen, Flugplatz
bank	Bank
bridge	Brücke
building	Bau, Bauwerk
capital	die Hauptstadt
castle	Burg
church	Kirche
cinema	Kino
city	Metropole, Stadt
factory	Fabrik, Fertigungsanlage
flat	Appartement, Wohnung
hospital	Behandlungsraum, Krankenhaus
hotel	Hotel, Gasthaus
library	Bücherei
park	Park
prison	Gefängnis
restaurant	das Restaurant
road	Straße, Strecke
school	Schule
station	Station
street	Straße
structure	Konstruktion, Struktur
subway	Metro, U-Bahn
supermarket	Supermarkt
theater	Schauspielhaus, Theater
town	Stadt
university	Universität
village	Dorf
accident	Unfall, Unglück
boat	Boot
bus	Autobus, Bus
car	Auto, Kraftwagen
curve	Kurve
express	Schnellzug
flight	Fliegen, Flug
journey	Fahrt, Reise
passenger	Fahrgast, Passagier
plane	Flugzeug
ship	Schiff
skid	Schleudern
track	Gleis, Schiene
train	Zug
transport	Transport
air	Luft
animal	Kreatur, Tier
branch	Ast
evolution	Entwicklung
farm	Bauernhof
field	Feld
fire	Feuer, Flamme
flower	Blume
forest	Gehölz, Holz
grass	Gras, Ried
leaf	Blatt, Laub
life	Leben
lightning	Blitz
moisture	Feuchtigkeit
nature	Natur
plant	Gewächs, Pflanze
root	Wurzel
sex	Geschlecht
sky	Himmel
sleep	Schlaf, Schlummer
smell	Aroma, Geruch
smoke	Dunst, Qualm
spring	Brunnen, Quelle
stem	Stängel
stream	Strom
tree	Baum
wave	Welle
weather	Wetter
world	Welt
bank	Ufer
beach	Strand
current	Strömung
direction	Richtung
Earth	Erde
east	Osten
height	Höhe
hill	Hügel
island	Eiland, Insel
lake	See
land	Boden, Erdboden
map	Karte
Moon	Mond
north	Nord, Norden
plain	Ebene
region	Bereich, Region
river	Fluss
sea	Meer
south	Süd, Süden
space	Weltraum
star	Stern
sun	Sonne
west	westen, Westen
acid	Säure
chemical	die Chemikalie
chemical element	Element
coal	Kohle
cotton	Baumwolle
dust	Staub
earth	Erde
fat	Fett
glass	Glas
glue	Leim
grain	Korn
ice	Eis
iron	Eisen
leather	Leder
liquid	Flüssigkeit
matter	Materie, Stoff
metallic element	Metall
oil	Erdöl, Rohöl
poison	Gift
powder	Pulver, Staub
sand	Sand
silk	Seide
soap	Seife
steel	Stahl
wood	Holz
wool	Wolle
bag	Beutel
basket	Korb
bottle	Flasche
box	Kiste
can	dose
cup	Tasse
drawer	Schublade
envelope	Briefumschlag, Umschlag
glass	Glas
plate	Teller
camera	Kamera
camera	Fotoapparat
cellular phone	das Handy
clock	Uhr
computer	Computer, Rechner
elevator	Aufzug, Fahrstuhl
engine	Motor
instrument	Instrument
machine	Maschine
oven	Backofen, Ofen
television	Fernseher
watch	Uhr
addition	Addition
angle	Winkel
area	Fläche
center	Mitte, Mittelpunkt
circle	Kreis
curve	Kurve
degree	Grad
degree	Grad, Niveau
difference	Unterschied
distance	Abstand, Distanz
division	Segmentierung, Teilung
edge	Kante, Rand
element	Element
function	die Funktion
half	Hälfte
limit	Grenze
line	Linie, Zeile
net	Netz
order	Reihenfolge
outside	Äußere
percent	Prozent, Prozente
point	Punkt
purpose	Funktion, Zweck
result	Ergebnis
root	Wurzel
rule	Regel
set	Satz
side	Seite
square	Quadrat
square	Quadrat
substitution	Ersatz
surface	Oberfläche
total	Summe
ability	Fähigkeit
act	Tat
action	Akt, Tat
activity	Aktivität
addition	Ergänzung, Zugabe
amount	Menge
attack	Angriff, Anfall
attempt	Anstrengung, Bemühung
attitude	Standpunkt, Stellung
back	Rückseite
behavior	Benehmen, Verhalten
bit	Stückchen
blow	Schlag
break	Pause
campaign	Kampagne
case	Fall
chance	Chance, Gelegenheit
change	Abwechslung, Abänderung
choice	Wahl
condition	Zustand, Status
connection	Anschlussstück, Stecker
connection	Verbindung
crack	Kluft, Riss
crush	Zerquetschung
cut	Schnitt
damage	Beschädigung, Schaden
danger	Gefahr
death	Tod, tod
decoration	Verzierung
defense	Verteidigung, Abwehr
destruction	Vernichtung
detail	Einzelheit
dominance	Vorherrschaft, Oberherrschaft
drop	Tropfen
duty	Pflicht, Verpflichtung
