English	Tamil
0 (number)	சூனியமும் இடமதிப்புத் திட்டமும்
1530s	1530கள்
1750s	1750கள்
1760s	1760கள்
1770s	1770கள்
1780s	1780கள்
1790s	1790கள்
1820s	1820கள்
1830s	1830கள்
1840s	1840கள்
1850s	1850கள்
1860s	1860கள்
1870s	1870கள்
1880s	1880கள்
1890s	1890கள்
1900s	1900கள்
1920s	1920கள்
1930s	1930கள்
1940s	1940கள்
1950s	1950கள்
1960s	1960கள்
1970s	1970கள்
1980s	1980கள்
1990s	1990கள்
54	54
64	64
68	68
AIDS	எய்ட்ஸ்
Abacus	எண்சட்டம்
Abel Tasman	ஏபெல் டாஸ்மான்
Abelian group	பரிமாற்றுக் குலம்
Abkhazia	அப்காசியா
Abraham	ஆபிரகாம்
Abraham Lincoln	ஆபிரகாம் லிங்க்கன்
Abstract art	பண்பியல் ஓவியம்
Abstract expressionism	பண்பியல் வெளிப்பாட்டியம்
Abu Dhabi	அபுதாபி (நகரம்)
Abuja	அபுஜா
Academy Award	ஆஸ்கார் விருது
Accountancy	பகுப்பு:கணக்கியல்
Accra	அக்ரா
Acid	அமிலம்
Aconcagua	அக்கோன்காகுவா
Acoustics	ஒலியியல்
Acre	ஏக்கர்
Acropolis	அக்ரோபோலிஸ்
Acts of the Apostles	அப்போஸ்தலர் பணி
Addis Ababa	அடிஸ் அபாபா
Adelaide	அடிலெய்ட்
Adolescence	விடலைப் பருவம்
Adolf Hitler	இட்லர்
Adrenal gland	அண்ணீரகச் சுரப்பி
Aesop	ஈசாப்
Afghanistan	ஆப்கானிஸ்தான்
Africa	ஆப்பிரிக்கா
Africa	பகுப்பு:ஆப்பிரிக்கா
African American	ஆபிரிக்க அமெரிக்கர்
Afrikaans	ஆபிரிக்கான மொழி
Agatha Christie	அகதா கிறிஸ்டி
Agra	ஆக்ரா
Agriculture	வேளாண்மை
Aircraft carrier	விமானம் தாங்கிக் கப்பல்
Ajax (programming)	ஏஜாக்ஸ்
Akira Kurosawa	அகிரா குரோசாவா
Al Gore	ஆல் கோர்
Al-Qaeda	அல் கைடா
Alabama	அலபாமா
Alan Shepard	அலன் ஷெப்பர்ட்
Alaska	அலாஸ்கா
Albania	அல்பேனியா
Albany	ஆல்பெனி (நியூ யோர்க் மாநிலம்)
Albatross	அல்பட்ரோஸ்
Albedo	வெண் எகிர்சிதறல்
Albert Camus	அல்பேர்ட் காம்யு
Albert Einstein	ஆல்பர்ட் ஐன்ஸ்டைன்
Alberta	ஆல்பர்ட்டா
Albuquerque	ஆல்புகெர்க்கி (நியூ மெக்சிகோ)
Aleutian Islands	அலூசியன் தீவுகள்
Alexander Fleming	அலெக்ஸாண்டர் பிளெமிங்
Alexander Graham Bell	அலெக்சாண்டர் கிரகாம் பெல்
Alexander Pushkin	அலெக்சாண்டர் புஷ்கின்
Alfred Hitchcock	ஆல்ஃப்ரெட் ஹிட்ச்காக்
Alfred Nobel	அல்பிரட் நோபல்
Algae	பாசிகள்
Algebra	இயற்கணிதம்
Algebraic number	இயற்கணித எண்களும் விஞ்சிய எண்களும்
Algeria	அல்ஜீரியா
Alkali metal	கார மாழைகள்
Alkane	ஆல்க்கேன்
Alkene	ஆல்க்கீன்
Alkyne	ஆல்க்கைன்
Allah	அல்லாஹ்
Allergy	ஒவ்வாமை
Alloy	கலப்புலோகம்
Alphabet	நெடுங்கணக்கு
Alps	ஆல்ப்ஸ்
Alternating current	மாறுதிசை மின்னோட்டம்
Aluminium	அலுமினியம்
Alvar Aalto	அல்வார் ஆல்ட்டோ
Amazon River	அமேசான் ஆறு
Amber	அம்பர்
Amedeo Avogadro	அமேடியோ அவகாதரோ
American Civil War	அமெரிக்க உள்நாட்டுப் போர்
American football	அமெரிக்கக் காற்பந்தாட்டம்
Amharic	அம்ஹாரிய மொழி
Amine	அமைன்
Amino acid	அமினோ அமிலம்
Ammonia	அமோனியா
Amphibian	நிலநீர் வாழிகள்
Amsterdam	ஆம்ஸ்டர்டம்
Anal sex	குதவழிப் பாலுறவு
Anatomy	உடற்கூற்றியல்
Anchorage	ஏங்கரெஜ்
Andes	ஆண்டீய மலைத்தொடர்
Andhra Pradesh	ஆந்திரப் பிரதேசம்
Andrew Jackson	ஆன்ட்ரூ ஜாக்சன்
Angle	கோணம்
Angola	அங்கோலா
Anguilla	அங்கியுலா
Angular momentum	வளைவுந்தம்
Animal	விலங்கு
Animation	இயங்குபடம்
Ankara	அங்காரா
Annapolis	அனாபொலிஸ்
Anno Domini	அனோ டொமினி
Ant	எறும்பு
Antananarivo	அண்டனானரீவோ
Antarctica	அண்டார்டிக்கா
Antenna (radio)	அலைக்கம்பம்
Anthrax	ஆந்த்ராக்ஸ்
Anthropology	மானிடவியல்
Anthropology	பகுப்பு:மானிடவியல்
Antigua and Barbuda	அன்டிகுவா பர்புடா
Antimony	ஆண்ட்டிமனி
Aphrodite	அப்ரடைட்டி
Apollo	அப்போலோ
Apollo program	அப்பல்லோ திட்டம்
Appalachian Mountains	ஆப்பலேச்சிய மலைத்தொடர்
Apple	ஆப்பிள்
Applied mathematics	செயல்முறைக் கணிதம்
April	ஏப்ரல்
April 14	ஏப்ரல் 14
April Fools' Day	ஏப்ரல் முட்டாள்கள் நாள்
Aquarium	நீர்வாழ் உயிரினங்கள் காட்சிச்சாலை
Arabian Sea	அரபிக்கடல்
Arabic language	அரபு மொழி
Aral Sea	ஏரல் கடல்
Archaeology	தொல்பொருளியல்
Architect	கட்டடக் கலைஞர்
Architecture	கட்டிடக்கலை
Architecture	பகுப்பு:கட்டிடக்கலை
Archive	ஆவணக் காப்பகம்
Arctic Ocean	ஆர்க்டிக் பெருங்கடல்
Area	பரப்பளவு
Ares	ஏரிஸ்
Argentina	அர்ஜென்டினா
Argentina	பகுப்பு:அர்ஜென்டினா
Aristotle	அரிஸ்டாட்டில்
Arithmetic	எண்கணிதம்
Arizona	அரிசோனா
Arkansas	ஆர்கன்சா
Armenia	ஆர்மீனியா
Aromatic hydrocarbon	அரோமாட்டிக் ஹைடிரோகார்பன்
Arsenic	ஆர்சனிக்
Art	கலை
Art Nouveau	ஆர்ட் நூவோ
Art history	கலை வரலாறு
Artemis	ஆர்ட்டெமிஸ்
Artery	தமனி
Arthropod	கணுக்காலி
Arthur Conan Doyle	ஆர்தர் கொனன் டொயில்
Artillery	பீரங்கி
Aruba	அருபா
Asia	ஆசியா
Asia	பகுப்பு:ஆசியா
Aspirin	ஆஸ்பிரின்
Assam	அஸ்ஸாம்
Asteroid	சிறுகோள்
Astrology	சோதிடம்
Astronaut	விண்ணோடி
Astronomical unit	வானியல் அலகு
Astronomy	வானியல்
Astrophysics	வானியற்பியல்
Athena	அத்தீனா
Athens	ஏதென்ஸ்
Athletics (track and field)	தட கள விளையாட்டுக்கள்
Atlanta	அட்லான்டா
Atlantic Ocean	அட்லாண்டிக் பெருங்கடல்
Atom	அணு
Atomic number	அணு எண்
Atomic physics	அணுவியல்
Attila the Hun	அற்றிலா த ஹன்
August	ஆகஸ்டு
August 1	ஆகஸ்டு 1
August 15	ஆகஸ்டு 15
August 6	ஆகஸ்டு 6
Augusta	அகஸ்தா (மேய்ன்)
Austin	ஆஸ்டின்
Australia	ஆஸ்திரேலியா
Australia	பகுப்பு:ஆஸ்திரேலியா
Australian dollar	அவுஸ்திரேலிய டொலர்
Austria	ஆஸ்திரியா
Autism	மதியிறுக்கம்
Automobile	தானுந்து
Avalanche	பனிச்சரிவு
Avatar	அவதாரம்
Axe	கோடரி
Azerbaijan	அசர்பைஜான்
Aztec	அஸ்டெக் நாகரிகம்
Babylon	பாபேல்
Bacteria	கோலுரு நுண்ணுயிர்
Bactrian Camel	இரட்டைத்திமில் ஒட்டகம்
Badminton	பூப்பந்தாட்டம்
Baghdad	பாக்தாத்
Bahrain	பஹ்ரேய்ன்
Balance sheet	ஐந்தொகை (கணக்கியல்)
Bali	பாலி
Ball	பந்து
Baltic Sea	பால்டிக் கடல்
Baltimore	பால்ட்டிமோர்
Bamboo	மூங்கில்
Banana	வாழை
Bangalore	பெங்களூரு
Bangkok	பேங்காக்
Bangladesh	வங்காளதேசம்
Bank	வங்கி
Bar (unit)	பார் (அளவை)
Barbados	பார்படோசு
Barcelona	பார்செலோனா
Barium	பேரியம்
Barley	பார்லி
Baseball	அடிப்பந்தாட்டம்
Basketball	கூடைப்பந்தாட்டம்
Bat	வௌவால்
Baton Rouge	பாடன் ரூஜ்
Battalion	பட்டாலியன்
Bavaria	பவேரியா
Bay of Bengal	வங்காள விரிகுடா
Bear	கரடி
Beaver	பீவர்
Bed	கட்டில்
Bee	தேனீ
Beetle	வண்டு
Beijing	பெய்ஜிங்
Beirut	பெய்ரூட்
Belarus	பெலருஸ்
Belgium	பெல்ஜியம்
Belgrade	பெல்கிறேட்
Belize	பெலீசு
Benin	பெனின்
Benito Mussolini	பெனிற்ரோ முசோலினி
Benjamin Franklin	பெஞ்சமின் பிராங்கிளின்
Bering Strait	பெரிங் நீரிணை
Berlin	பெர்லின்
Beta decay	பீட்டா சிதைவு
Betelgeuse	திருவாதிரை (நட்சத்திரம்)
Bhutan	பூட்டான்
Bhutan	பகுப்பு:பூட்டான்
Bible	விவிலியம்
Bicycle	மிதிவண்டி
Big Bang	பெரு வெடிப்புக் கோட்பாடு
Bihar	பீகார்
Bill Clinton	பில் கிளின்டன்
Bill Gates	பில் கேட்ஸ்
Biodiversity	உயிரியற் பல்வகைமை
Biogeography	உயிர்ப்புவியியல்
Biological warfare	உயிரியல் போர்
Biology	உயிரியல்
Biology	பகுப்பு:உயிரியல்
Biotechnology	உயிரித் தொழில்நுட்பம்
Bird	பறவை
Birth control	கருத்தடை
Bisexuality	இருபால்சேர்க்கை
Bismarck	பிஸ்மார்க்
Bit	இருமம்
Black	கருப்பு
Black Sea	கருங்கடல்
Black hole	கருங்குழி
Blaise Pascal	பிலைய்சு பாஸ்கல்
Blog	வலைப்பதிவு
Blood	குருதி
Blue	நீலம்
Boat	படகு
Bob Marley	பாப் மார்லி
Bobby Fischer	பாபி ஃபிஷர்
Bodhisattva	போதிசத்துவர்
Boiling point	கொதிநிலை
Boise	பொய்சி
Bolivia	பொலிவியா
Bolivia	பகுப்பு:பொலிவியா
Bone	எலும்பு
Bone marrow	எலும்பு மச்சை
Bonsai	பொன்சாய்
Boris Pasternak	போரிஸ் பாஸ்ரர்நாக்
Borneo	போர்ணியோ
Boron	போரான்
Bosnia and Herzegovina	பொசுனியா எர்செகோவினா
Boston	பாஸ்டன்
Bot	வார்ப்புரு:தானியங்கி
Botanical garden	தாவரவியல் பூங்கா
Botany	தாவரவியல்
Botswana	போட்ஸ்வானா
Bow (weapon)	வில்
Boxing	குத்துச்சண்டை
Brahma	பிரம்மா
Brain	மனித மூளை
Brass	பித்தளை
Brazil	பிரேசில்
Brazil	பகுப்பு:பிரேசில்
Bread	ரொட்டி
Brick	செங்கல்
Bridge	பாலம்
Bridgetown	பிரிஜ்டவுண்
Brigade	பிரிகேட்
Brisbane	பிறிஸ்பேன்
British Columbia	பிரிட்டிஷ் கொலம்பியா
British Virgin Islands	பிரித்தானிய கன்னித் தீவுகள்
Bromine	புரோமின்
Bronze	வெண்கலம்
Bronze Age	வெண்கலக் காலம்
Brooklyn Bridge	புரூக்ளின் பாலம்
Brownian motion	பிரௌனியன் இயக்கம்
Bruce Lee	புரூஸ் லீ
Brunei	புரூணை
Brussels	பிரசல்ஸ்
Bucharest	புக்கரெஸ்ட்
Buckingham Palace	பக்கிங்ஹாம் அரண்மனை
Budapest	புடாபெஸ்ட்
Buddhism	பௌத்தம்
Buenos Aires	புவெனஸ் ஐரிஸ்
Buffalo	பஃபலோ (நியூ யோர்க்)
Building	கட்டிடம்
Bujumbura	புசும்புரா
Bulgaria	பல்கேரியா
Burkina Faso	புர்கினா பாசோ
Burma	மியான்மார்
Burundi	பகுப்பு:புருண்டி
Bus	பேருந்து
Butter	வெண்ணெய்
Butterfly	பட்டாம்பூச்சி
Butterfly effect	பட்டாம்பூச்சி விளைவு
C (programming language)	சி நிரலாக்கல் மொழி
CN Tower	சி. என். கோபுரம்
COBOL	கோபால் நிரலாக்க மொழி
Cadmium	காட்மியம்
Caesium	சீசியம்
Caffeine	காஃவீன்
Cairo	கெய்ரோ
Calcite	கால்சைட்
Calcium	கல்சியம்
Calculus	நுண்கணிதம்
California	கலிபோர்னியா
Calvin Coolidge	கால்வின் கூலிஜ்
Cambodia	கம்போடியா
Camel	ஒட்டகம்
Camera	படம்பிடிகருவி
Cameroon	கமரூன்
Canada	கனடா
Canada	பகுப்பு:கனடா
Canadian dollar	கனடா டொலர்
Canberra	கான்பரா
Cancer	புற்றுநோய்
Canidae	நாய்ப் பேரினம்
Capacitor	மின்தேக்கி
Cape Verde	கேப் வேர்ட்
Capital	தலைநகரம்
Capitalism	முதலாளித்துவம்
Carbon	கரிமம்
Carbon dioxide	காபனீரொட்சைட்டு
Cardamom	ஏலக்காய்
Caribbean	கரிபியன்
Caribbean Sea	கரிபியக் கடல்
Carnivore	ஊனுண்ணி
Carnivorous plant	ஊனுண்ணித் தாவரம்
Carolus Linnaeus	கரோலஸ் லின்னேயஸ்
Carrot	மஞ்சள் முள்ளங்கி
Carson City	கார்சன் நகரம்
Cartesian coordinate system	காட்டீசியன் ஆள்கூற்று முறைமை
Cartography	நிலப்படவரைவியல்
Casino	சூதாட்டரங்கம்
Caspian Sea	கஸ்பியன் கடல்
Caste	சாதி
Cat	பூனை
Catalysis	வினைவேக மாற்றி
Celestial sphere	வானக்கோளம்
Cell (biology)	கலம்
Cellulose	மாவியம்
Celsius	செல்சியஸ்
Cement	சிமெந்து
Centimetre	சதம மீட்டர்
Central African Republic	மத்திய ஆபிரிக்கக் குடியரசு
Central America	நடு அமெரிக்கா
Century	நூற்றாண்டு
Cereal	தானியங்கள்
Cerium	சீரியம்
Chad	சாட்
Chair	கதிரை
Channel Tunnel	கால்வாய் சுரங்கம்
Charles Darwin	சார்லஸ் டார்வின்
Charles Dickens	சார்லஸ் டிக்கின்ஸ்
Charleston	சார்ல்ஸ்டன் (மேற்கு வேர்ஜினியா)
Charlie Chaplin	சார்லி சாப்ளின்
Charlotte	ஷார்லட்
Che Guevara	சே குவேரா
Chechnya	செச்சினியா
Cheese	பாலாடைக் கட்டி
Chemical bond	வேதியியற் பிணைப்பு
Chemical compound	சேர்மம்
Chemical element	தனிமம்
Chemical engineering	வேதிப் பொறியியல்
Chemical reaction	வேதியியற் தாக்கம்
Chemical warfare	வேதியியல் யுத்தம்
Chemistry	வேதியியல்
Chennai	சென்னை
Chess	சதுரங்கம்
Cheyenne	செயென்
Chicago	சிகாகோ
Chicken	கோழி
Chile	சிலி
Chimpanzee	சிம்ப்பன்சி
China	பகுப்பு:சீனா
China	சீனா
Chlorine	குளோரின்
Chlorophyll	பச்சையம்
Chocolate	சாக்கலேட்
Chordate	முதுகுநாணி
Christiaan Huygens	கிறிஸ்டியான் ஹைஜன்ஸ்
Christianity	கிறிஸ்தவம்
Christmas	கிறிஸ்துமஸ்
Christmas tree	கிறிஸ்துமஸ் மரம்
Christopher Columbus	கொலம்பஸ்
Chromium	குரோமியம்
Cinnamon	கருவா
Circle	வட்டம்
Civilization	நாகரிகம்
Clarinet	கிளாரினெட்
Class (computer science)	வகுப்பு (கணினியியல்)
Claude Monet	கிளாடு மோனெ
Clavicle	காறை எலும்பு
Cleveland	கிளீவ்லன்ட்
Cloning	படியெடுப்பு
Clothing	உடை
Clove	கிராம்பு
Coal	நிலக்கரி
Cockroach	கரப்பான்
Cocktail	காக்டெய்ல்கள்
Coconut	தேங்காய்
Cocos (Keeling) Islands	கொகோசு (கீலிங்) தீவுகள்
Coffee	காப்பி
Colloid	கூழ்மம்
Colombia	கொலொம்பியா
Colombo	கொழும்பு
Color	நிறம்
Color blindness	நிறக்குருடு
Colorado	கொலராடோ
Colosseum	கொலோசியம், ரோம்
Colossus of Rhodes	ரோடொஸின் கொலோசஸ்
Columbia	கொலம்பியா (தென் கரொலைனா)
Columbia University	கொலம்பியா பல்கலைக்கழகம்
Columbus	கொலம்பஸ் (ஒகைய்யோ)
Comet	வால்வெள்ளி
Commonwealth of Nations	பொதுநலவாய நாடுகள்
Communication	தொடர்பாடல்
Communism	பொதுவுடமை
Comoros	கொமொரோசு
Compiler	நிரல்மொழிமாற்றி
Complex number	சிக்கலெண்
Computed tomography	கணிக்கப்பட்ட குறுக்குவெட்டு வரைவி வரிக் கண்ணோட்டம்
Computer	கணினி
Computer architecture	கணினி கட்டுமானம்
Computer network	கணினி வலையமைப்பு
Computer science	கணினியியல்
Computer virus	கணினி நச்சுநிரல்
Computer-aided design	கணினி உதவு வடிவமைப்பும் வரைதலும்
Concord	காங்கர்ட் (நியூ ஹாம்சயர்)
Concrete	காங்கிறீற்று
Condom	ஆணுறை
Cone (geometry)	கூம்பு
Confederate States of America	அமெரிக்க மாநிலங்களின் கூட்டமைப்பு
Congo	கொங்கோ
Congo River	காங்கோ ஆறு
Conic section	கூம்பு வெட்டு
Connecticut	கொனெக்ரிகட்
Consumption (economics)	நுகர்வு
Continent	கண்டம்
Continental drift	கண்டப்பெயர்ச்சி
