Finnish	﻿English
musta	black
sininen	blue
ruskea	brown
harmaa	gray
raaka	green
oranssi	orange
vaaleanpunainen	pink
punainen	red
violetti	violet
valkoinen	white
Keltainen	yellow
pari	couple
kahdeksan	eight
kahdeksantoista	eighteen
kahdeksankymmentä	eighty
yksitoista	eleven
viisitoista	fifteen
viisikymmentä	fifty
viisi	five
neljäkymmentä	forty
neljä	four
neljätoista	fourteen
miljoona	million
yhdeksän	nine
yhdeksäntoista	nineteen
yhdeksänkymmentä	ninety
ei mitään	nothing
yksi	one
seitsemän	seven
seitsemänkymmentä	seventy
kuusi	six
kuusitoista	sixteen
kuusikymmentä	sixty
kymmenen	ten
kolmas	third
kolmetoista	thirteen
kolmekymmentä	thirty
tuhat	thousand
tuhat	thousand
kolme	three
kaksikymmentä	twenty
käsivarsi	arm
selkä	back
nokka	beak
veri	blood
yläruumis	body
luu	bone
aivot	brain
henki	breath
solu	cell
rinta	chest
rinta	chest
leuka	chin
korva	ear
silmä	eye
kasvot	face
sormi	finger
jalka	foot
otsa	forehead
geeni	gene
hiukset	hair
karva	hair
käsi	hand
pää	head
sydän	heart
polvi	knee
jalka	leg
huuli	lip
suu	mouth
lihas	muscle
kynsi	nail
kaula	neck
hermo	nerve
nenä	nose
iho	skin
maha	stomach
häntä	tail
kurkku	throat
peukalo	thumb
varvas	toe
kieli	tongue
hammas	tooth
laita	wing
muurahainen	ant
karhu	bear
mehiläinen	bee
lintu	bird
kissa	cat
lehmä	cow
koira	dog
norsu	elephant
kala	fish
kärpänen	fly
vuohi	goat
hevonen	horse
hyönteinen	insect
leijona	lion
apina	monkey
sika	pig
lammas	sheep
käärme	snake
vauva	baby
syntymä	birth
syntymäpäivä	birthday
poika	boy
veli	brother
lapsi	child
tytär	daughter
kuolema	death
suku	family
isä	father
ystävä	friend
tyttö	girl
isoisä	grandfather
ihminen	human
aviomies	husband
elämä	life
mies	man
avioliitto	marriage
äiti	mother
naapuri	neighbor
vanhempi	parent
henkilö	person
suhde	relationship
sisko	sister
poika	son
häät	wedding
häät	wedding
vaimo	wife
nainen	woman
olut	beer
kahvi	coffee
juoma	drink
maito	milk
pirtelö	milkshake
tee	tea
vesi	water
viini	wine
leipä	bread
aamiainen	breakfast
voi	butter
kakku	cake
juusto	cheese
suklaa	chocolate
muna	egg
ruoka	food
hedelmä	fruit
lounas	lunch
ateria	meal
liha	meat
öljy	oil
riisi	rice
salaatti	salad
suola	salt
voileipä	sandwich
kastike	sauce
keitto	soup
sokeri	sugar
makeus	sweet
omena	apple
aprikoosi	apricot
banaani	banana
karhunvatukka	blackberry
kirsikka	cherry
sitruuna	lemon
pähkinä	nut
appelsiini	orange
persikka	peach
päärynä	pear
ananas	pineapple
luumu	plum
vattu	raspberry
mansikka	strawberry
papu	bean
kaali	cabbage
porkkana	carrot
