Bulgarian	English
Нула	0 (number)
1	1
1 (число)	1 (number)
10	10
100	100
1000	1000
101	101
105	105
11	11
110	110
115	115
12	12
120	120
125	125
13	13
130	130
135	135
14	14
140	140
144	144
145	145
15	15
150	150
155	155
16	16
160	160
165	165
17	17
170	170
1728	1728
175	175
18	18
180	180
19	19
190	190
2	2
20	20
200	200
21	21
22	22
23	23
24	24
24 (сериал)	24 (TV series)
25	25
26	26
27	27
28	28
29	29
3	3
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
40	40
400	400
41	41
42	42
42 (число)	42 (number)
43	43
44	44
45	45
46	46
47	47
48	48
49	49
49 (число)	49 (number)
5	5
5 (число)	5 (number)
50	50
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
А	A (Cyrillic)
А капела	A cappella
ABC	ABC
Синдром на придобитата имунна недостатъчност	AIDS
ALGOL	ALGOL
АТП	ATP
АЗ Алкмаар	AZ (football club)
Аахен	Aachen
Олборг	Aalborg
Орхус	Aarhus
Аарон (Библия)	Aaron
Абадан	Abadan
Абревиатура	Abbreviation
Корем	Abdomen
Абел Тасман	Abel Tasman
Абърдийн	Aberdeen
Абиджан	Abidjan
Абхазия	Abkhazia
Категория:Абхазия	Abkhazia
Аборт	Abortion
Ейбрахам Линкълн	Abraham Lincoln
Абсент	Absinthe
Абсолютна звездна величина	Absolute magnitude
Абсолютна стойност	Absolute value
Абсолютна нула	Absolute zero
Абсолютизъм	Absolutism (European history)
Абу Даби	Abu Dhabi
Абу Даби	Abu Dhabi (emirate)
Абуджа	Abuja
Акация	Acacia
Награди на филмовата академия на САЩ	Academy Award
Акапулко	Acapulco
Ускорение	Acceleration
Ястребови	Accipitridae
Счетоводство	Accountancy
Категория:Счетоводство	Accountancy
Акра	Accra
Винителен падеж	Accusative case
