Hungarian	English
0 (szám)	0 (number)
1	1
1 (szám)	1 (number)
10	10
10 (szám)	10 (number)
100	100
100 (szám)	100 (number)
1000	1000
1000 (szám)	1000 (number)
101	101
105	105
11	11
11 (szám)	11 (number)
110	110
115	115
12	12
12 (szám)	12 (number)
120	120
125	125
13	13
13 (szám)	13 (number)
130	130
135	135
14	14
14 (szám)	14 (number)
140	140
144	144
145	145
15	15
15 (szám)	15 (number)
150	150
1530-as évek	1530s
155	155
16	16
16 (szám)	16 (number)
160	160
165	165
17	17
17 (szám)	17 (number)
170	170
1728	1728
175	175
1750-es évek	1750s
1760-as évek	1760s
1770-es évek	1770s
1780-as évek	1780s
1790-es évek	1790s
18	18
18 (szám)	18 (number)
180	180
1820-as évek	1820s
1830-as évek	1830s
1840-es évek	1840s
1850-es évek	1850s
1860-as évek	1860s
1870-es évek	1870s
1880-as évek	1880s
1890-es évek	1890s
Kategória:1890-es évek	1890s
19	19
19 (szám)	19 (number)
190	190
1900-as évek	1900s
Kategória:1900-as évek	1900s
1920-as évek	1920s
Kategória:1920-as évek	1920s
1930-as évek	1930s
Kategória:1930-as évek	1930s
1940-es évek	1940s
Kategória:1940-es évek	1940s
1950-es évek	1950s
Kategória:1950-es évek	1950s
1960-as évek	1960s
Kategória:1960-as évek	1960s
1970-es évek	1970s
Kategória:1970-es évek	1970s
1980-as évek	1980s
Kategória:1980-as évek	1980s
1990-es évek	1990s
Kategória:1990-es évek	1990s
2	2
2 (szám)	2 (number)
20	20
20 (szám)	20 (number)
200	200
21	21
21 (szám)	21 (number)
22	22
22 (szám)	22 (number)
23	23
23 (szám)	23 (number)
24	24
24 (televíziós sorozat)	24 (TV series)
24 (szám)	24 (number)
25	25
25 (szám)	25 (number)
26	26
26 (szám)	26 (number)
27	27
27 (szám)	27 (number)
28	28
28 (szám)	28 (number)
29	29
29 (szám)	29 (number)
3	3
3 (szám)	3 (number)
30	30
30 (szám)	30 (number)
300	300
31	31
31 (szám)	31 (number)
32	32
32 (szám)	32 (number)
33	33
33 (szám)	33 (number)
34	34
34 (szám)	34 (number)
35	35
35 (szám)	35 (number)
36	36
36 (szám)	36 (number)
37	37
37 (szám)	37 (number)
38	38
38 (szám)	38 (number)
39	39
39 (szám)	39 (number)
4	4
4 (szám)	4 (number)
40	40
40 (szám)	40 (number)
400	400
41	41
41 (szám)	41 (number)
42	42
42 (szám)	42 (number)
43	43
43 (szám)	43 (number)
44	44
45	45
45 (szám)	45 (number)
46	46
46 (szám)	46 (number)
47	47
48	48
49	49
49 (szám)	49 (number)
5	5
5 (szám)	5 (number)
50	50
50 (szám)	50 (number)
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (szám)	6 (number)
60	60
60 (szám)	60 (number)
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (szám)	7 (number)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (szám)	8 (number)
80	80
80 (szám)	80 (number)
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (szám)	9 (number)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
A cappella	A cappella
ABC	ABC
AIDS	AIDS
ALGOL	ALGOL
ATP	ATP
AZ Alkmaar	AZ (football club)
Aachen	Aachen
Aalborg	Aalborg
Aare	Aar
Földimalac	Aardvark
Århus	Aarhus
Abakusz	Abacus
Ábádán	Abadan
Apát	Abbot
Rövidítés	Abbreviation
Abel Janszoon Tasman	Abel Tasman
Abel-csoport	Abelian group
Abházia	Abkhazia
Kategória:Abházia	Abkhazia
Abolicionizmus	Abolitionism
Terhességmegszakítás	Abortion
Ábrahám (ősatya)	Abraham
Abraham Lincoln	Abraham Lincoln
Abszint	Absinthe
Abszolút fényesség	Absolute magnitude
Abszolútérték-függvény	Absolute value
Abszolút nulla fok	Absolute zero
Absztrakt művészet	Abstract art
Absztrakt expresszionizmus	Abstract expressionism
Absztrakció	Abstraction
Abu Dzabi	Abu Dhabi
Abuja	Abuja
Akácia	Acacia
Oscar-díj	Academy Award
Gyorsulás	Acceleration
Vágómadárfélék	Accipitridae
Harmonika	Accordion
Accra	Accra
Tárgyeset	Accusative case
Acetaldehid	Acetaldehyde
Ecetsav	Acetic acid
Aceton	Acetone
Acetilkolin	Acetylcholine
Acetilén	Acetylene
Akherón	Acheron
Közönséges cickafark	Achillea millefolium
Akhilleusz	Achilles
Sav	Acid
Savas eső	Acid rain
Aconcagua	Aconcagua
Makk	Acorn
Kategória:Akusztika	Acoustics
Fellegvár	Acropolis
Aktínium	Actinium
Színész	Actor
Apostolok Cselekedetei	Acts of the Apostles
Argumentum ad hominem	Ad hominem
Ada (programozási nyelv)	Ada (programming language)
Adam Smith	Adam Smith
Adana	Adana
Függőség	Addiction
Addisz-Abeba	Addis Ababa
Adenin	Adenine
Adenozin-trifoszfát	Adenosine triphosphate
Melléknév	Adjective
Tengernagy	Admiral
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Adónisz	Adonis
Örökbefogadás	Adoption
Mellékvese	Adrenal gland
Adriai-tenger	Adriatic Sea
Advent	Advent
Határozószó	Adverb
Reklám	Advertising
Égei-tenger	Aegean Sea
Aineiasz	Aeneas
Aiolosz	Aeolus
Aerodinamika	Aerodynamics
Aeroszol	Aerosol
Aiszkhülosz	Aeschylus
Aiszóposz	Aesop
Esztétika	Aesthetics
Toldalék	Affix
Afganisztán	Afghanistan
Kategória:Afganisztán	Afghanistan
Afrika	Africa
Kategória:Afrika	Africa
Afrikaans nyelv	Afrikaans
Agamemnón	Agamemnon
Agaragar	Agar
Achát	Agate
Agatha Christie	Agatha Christie
Agresszió	Aggression
Állkapocs nélküliek	Agnatha
Agnoszticizmus	Agnosticism
Agora	Agora
Agra	Agra
Mezőgazdaság	Agriculture
Kategória:Mezőgazdaság	Agriculture
Agrigento	Agrigento
Aikidó	Aikido
Airbus	Airbus
Repülőgép	Aircraft
Repülőgép-hordozó	Aircraft carrier
Légitársaság	Airline
Repülőtér	Airport
Ajax (egyértelműsítő lap)	Ajax
Aiasz (Telamón fia)	Ajax (mythology)
Ajax	Ajax (programming)
Ehnaton	Akhenaten
Kuroszava Akira	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Káida	Al-Qaeda
Alabama	Alabama
Kategória:Alabama	Alabama
Alan Shepard	Alan Shepard
Alan Turing	Alan Turing
Alanin	Alanine
Alaszka	Alaska
Kategória:Alaszka	Alaska
Alban Berg	Alban Berg
Albánia	Albania
Kategória:Albánia	Albania
Albatroszfélék	Albatross
Albedó	Albedo
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Alberta (tartomány)	Alberta
Albinizmus	Albinism
Albit	Albite
Nagylemez	Album
Albuquerque	Albuquerque
Alkímia	Alchemy
Kategória:Alkímia	Alchemy
Alkoholok	Alcohol
Aldous Huxley	Aldous Huxley
Alec Guinness	Alec Guinness
Alekszandr Iszajevics Szolzsenyicin	Aleksandr Solzhenitsyn
Aleppó	Aleppo
Aleut-szigetek	Aleutian Islands
Alexander	Alexander
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Pope	Alexander Pope
Alekszandr Szergejevics Puskin	Alexander Pushkin
III. Alexandrosz makedón király	Alexander the Great
Id. Alexandre Dumas	Alexandre Dumas
Alexandria	Alexandria
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Bernhard Nobel	Alfred Nobel
Alfred North Whitehead	Alfred North Whitehead
Alfréd angol király	Alfred the Great
Alga	Algae
Algebra	Algebra
Kategória:Algebra	Algebra
Algebrai szám	Algebraic number
Algéria	Algeria
Kategória:Algéria	Algeria
Algír	Algiers
Algoritmus	Algorithm
Alhambra	Alhambra
Ali kalifa	Ali
Alkálifém	Alkali metal
Alkaloidok	Alkaloid
Alkánok	Alkane
Alkének	Alkene
Alkinek	Alkyne
Allah	Allah
Allegória	Allegory
Allél	Allele
Allen Ginsberg	Allen Ginsberg
Allergia	Allergy
Allofón	Allophone
Allosaurus	Allosaurus
Allotrópia	Allotropy
Almati	Almaty
Mandula	Almond
Alfa	Alpha (letter)
Alfa Centauri	Alpha Centauri
Ábécé	Alphabet
Alpok	Alps
Elzász	Alsace
Kategória:Természetgyógyászat	Alternative medicine
Alternatív gyógymód	Alternative medicine
Altruizmus	Altruism
Alumínium	Aluminium
Alumínium-oxid	Aluminium oxide
Alvar Aalto	Alvar Aalto
Alzheimer-kór	Alzheimer's disease
Légyölő galóca	Amanita muscaria
Gyilkos galóca	Amanita phalloides
Amarilliszfélék	Amaryllidaceae
Amazonas	Amazon River
Borostyán (ásvány)	Amber
Szent Ambrus	Ambrose
Amerikai bölény	American Bison
Fekete medve	American Black Bear
Amerikai polgárháború	American Civil War
Amerikai függetlenségi háború	American Revolutionary War
Amerikai Szamoa	American Samoa
ASCII	American Standard Code for Information Interchange
Amerikai futball	American football
Kategória:Amerikai futball	American football
Amerícium	Americium
Amerigo Vespucci	Amerigo Vespucci
Ametiszt	Amethyst
Aminok	Amine
Aminosav	Amino acid
Amisok	Amish
Ammán	Amman
Villamos műszerek	Ammeter
Ammónia	Ammonia
Amnézia	Amnesia
Amnesztia	Amnesty
Amper	Ampere
Amfetamin	Amphetamine
Kétéltűek	Amphibian
Amfiteátrum	Amphitheatre
Amfóra	Amphora
Amszterdam	Amsterdam
Ámon	Amun
Amur	Amur
Anabaptizmus	Anabaptist
Anagramma	Anagram
Koordinátageometria	Analytic geometry
Anarchizmus	Anarchism
Kategória:Anarchizmus	Anarchism
Récefélék	Anatidae
Anatole France	Anatole France
Kategória:Anatómia	Anatomy
Anatómia	Anatomy
Klazomenai Anaxagorasz	Anaxagoras
Anaximandrosz	Anaximander
Anchorage	Anchorage
Ógörög nyelv	Ancient Greek
Kategória:Ókor	Ancient history
Andalúzia	Andalusia
Anders Celsius	Anders Celsius
Andok	Andes
Ándhra Pradés	Andhra Pradesh
Andorra	Andorra
Kategória:Andorra	Andorra
Andrea Palladio	Andrea Palladio
Andrej Dmitrijevics Szaharov	Andrei Sakharov
Andrej Arszenyjevics Tarkovszkij	Andrei Tarkovsky
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Andrew Lloyd Webber	Andrew Lloyd Webber
Androméda	Andromeda
Androméda (csillagkép)	Andromeda (constellation)
Androméda (keresztnév)	Andromeda (mythology)
Androméda-galaxis	Andromeda Galaxy
Andy Warhol	Andy Warhol
Angara	Angara River
Angyal	Angel
Angel-vízesés	Angel Falls
Szög	Angle
Angola	Angola
Kategória:Angola	Angola
Anguilla	Anguilla
Impulzusmomentum	Angular momentum
Boethius	Anicius Manlius Severinus Boethius
Anilin	Aniline
Állatok	Animal
Anime	Anime
Kategória:Anime	Anime
Animizmus	Animism
Ánizs	Anise
Ankara	Ankara
Annapurna	Annapurna
Boleyn Anna	Anne Boleyn
Gyűrűsférgek	Annelid
Anód	Anode
Lúdalakúak	Anseriformes
Kategória:Lúdalakúak	Anseriformes
Hangyák	Ant
Antiochia	Antakya
Antalya (város)	Antalya
Antananarivo	Antananarivo
Antarktisz	Antarctica
Kategória:Antarktisz	Antarctica
Antares	Antares
Antenna	Antenna (radio)
Anthony Hopkins	Anthony Hopkins
Lépfene	Anthrax
Antropológia	Anthropology
Antropozófia	Anthroposophy
Antibiotikum	Antibiotic
Ellenanyag	Antibody
Antikrisztus	Antichrist
Anticiklon	Anticyclone
Antigoné	Antigone
Antigua és Barbuda	Antigua and Barbuda
Antianyag	Antimatter
Antimon	Antimony
Antioxidáns	Antioxidant
Antiszemitizmus	Antisemitism
Légszivattyú csillagkép	Antlia
