Vietnamese	English
1 (số)	1 (number)
10 (số)	10 (number)
100 (số)	100 (number)
Thể loại:1000	1000
1000 (số)	1000 (number)
11 (số)	11 (number)
12 (số)	12 (number)
13	13
13 (số)	13 (number)
14 (số)	14 (number)
15 (số)	15 (number)
16 (số)	16 (number)
17 (số)	17 (number)
Thể loại:1728	1728
Thể loại:Thập niên 1750	1750s
Thể loại:Thập niên 1760	1760s
Thể loại:Thập niên 1770	1770s
Thể loại:Thập niên 1780	1780s
Thể loại:Thập niên 1790	1790s
18 (số)	18 (number)
Thể loại:Thập niên 1820	1820s
Thể loại:Thập niên 1830	1830s
Thể loại:Thập niên 1840	1840s
Thể loại:Thập niên 1860	1860s
Thể loại:Thập niên 1870	1870s
Thể loại:Thập niên 1880	1880s
Thể loại:Thập niên 1890	1890s
19 (số)	19 (number)
Thể loại:Thập niên 1900	1900s
Thể loại:Thập niên 1920	1920s
Thể loại:Thập niên 1930	1930s
Thể loại:Thập niên 1940	1940s
Thể loại:Thập niên 1950	1950s
Thể loại:Thập niên 1960	1960s
Thập niên 1970	1970s
Thể loại:Thập niên 1970	1970s
Thập niên 1980	1980s
Thể loại:Thập niên 1980	1980s
Thập niên 1990	1990s
Thể loại:Thập niên 1990	1990s
2 (số)	2 (number)
20 (số)	20 (number)
21 (số)	21 (number)
22 (số)	22 (number)
23 (số)	23 (number)
24 (số)	24 (number)
25 (số)	25 (number)
26 (số)	26 (number)
27 (số)	27 (number)
28 (số)	28 (number)
29 (số)	29 (number)
3 (số)	3 (number)
30 (số)	30 (number)
31 (số)	31 (number)
32 (số)	32 (number)
33 (số)	33 (number)
34 (số)	34 (number)
35 (số)	35 (number)
36 (số)	36 (number)
37 (số)	37 (number)
38 (số)	38 (number)
39 (số)	39 (number)
4 (số)	4 (number)
40 (số)	40 (number)
41 (số)	41 (number)
42 (số)	42 (number)
43 (số)	43 (number)
45 (số)	45 (number)
46 (số)	46 (number)
49 (số)	49 (number)
5 (số)	5 (number)
50 (số)	50 (number)
6 (số)	6 (number)
60 (số)	60 (number)
7 (số)	7 (number)
8 (số)	8 (number)
80 (số)	80 (number)
9 (số)	9 (number)
A	A
ABC	ABC
AIDS	AIDS
ATP	ATP
Aachen	Aachen
Aarhus	Aarhus
Abel Tasman	Abel Tasman
Nhóm giao hoán	Abelian group
Abidjan	Abidjan
Abkhazia	Abkhazia
Abraham (Kinh Thánh)	Abraham
Abraham Lincoln	Abraham Lincoln
Giá trị tuyệt đối	Absolute value
Nhiệt độ không tuyệt đối	Absolute zero
Abu Dhabi	Abu Dhabi
Abuja	Abuja
Chi Keo	Acacia
Giải Oscar	Academy Award
Gia tốc	Acceleration
Accra	Accra
Axít axetic	Acetic acid
Achilles (thần thoại)	Achilles
Axít	Acid
Mưa axít	Acid rain
Mụn	Acne vulgaris
Aconcagua	Aconcagua
Âm học	Acoustics
Thể loại:Âm học	Acoustics
Mẫu Anh	Acre
Acre (bang)	Acre (state)
Nhóm Actini	Actinide
Diễn viên	Actor
Ada (ngôn ngữ lập trình)	Ada (programming language)
Adam Smith	Adam Smith
Bao báp	Adansonia
Addis Ababa	Addis Ababa
Adelaide	Adelaide
Adenine	Adenine
Adenosine triphosphate	Adenosine triphosphate
Đô đốc	Admiral
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Biển Adriatic	Adriatic Sea
Quảng cáo	Advertising
Aeneas	Aeneas
Khí động lực học	Aerodynamics
Aeschylus	Aeschylus
Mỹ học	Aesthetics
Phụ tố	Affix
Afghanistan	Afghanistan
Thể loại:Afghanistan	Afghanistan
Châu Phi	Africa
Thể loại:Châu Phi	Africa
Người Mỹ gốc Phi	African American
Afrikaans	Afrikaans
Agatha Christie	Agatha Christie
Siêu lớp Cá không hàm	Agnatha
Thuyết bất khả tri	Agnosticism
Agra	Agra
Nông nghiệp	Agriculture
Thể loại:Nông nghiệp	Agriculture
Aikido	Aikido
Ain	Ain
Không quân	Air force
Airbus	Airbus
Thể loại:Khí cụ bay	Aircraft
Hàng không mẫu hạm	Aircraft carrier
Sân bay	Airport
Ajax	Ajax
Ajax (lập trình)	Ajax (programming)
Akhenaton	Akhenaten
Kurosawa Akira	Akira Kurosawa
Al Gore	Al Gore
Al-Qaeda	Al-Qaeda
Alabama	Alabama
Alan Turing	Alan Turing
Alaska	Alaska
Albania	Albania
Thể loại:Albania	Albania
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Alberta	Alberta
Thể loại:Alberta	Alberta
Album	Album
Albuquerque, New Mexico	Albuquerque
Giả kim thuật	Alchemy
Thể loại:Giả kim thuật	Alchemy
Rượu (hoá học)	Alcohol
Đồ uống có cồn	Alcoholic beverage
Chứng nghiện rượu	Alcoholism
Anđehyt	Aldehyde
Aldous Huxley	Aldous Huxley
Alexandr Isayevich Solzhenitsyn	Aleksandr Solzhenitsyn
Quần đảo Aleutian	Aleutian Islands
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Aleksandr Sergeyevich Pushkin	Alexander Pushkin
Alexandros Đại đế	Alexander the Great
Alexandre Dumas	Alexandre Dumas
Alexandre Dumas con	Alexandre Dumas
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred Đại đế	Alfred the Great
Tảo	Algae
Đại số	Algebra
Thể loại:Đại số	Algebra
Số đại số	Algebraic number
Algérie	Algeria
Thể loại:Algérie	Algeria
Algiers	Algiers
Thuật toán	Algorithm
Pháo đài Alhambra	Alhambra
Kim loại kiềm	Alkali metal
Ancaloit	Alkaloid
Ankan	Alkane
Anken	Alkene
Phúng dụ	Allegory
Allele	Allele
Allen Ginsberg	Allen Ginsberg
Allosaurus	Allosaurus
Thù hình	Allotropy
Hợp kim	Alloy
Almaty	Almaty
Alpha (chữ)	Alpha (letter)
Hạt alpha	Alpha particle
Alps	Alps
Alsace	Alsace
Sao Ngưu Lang	Altair
Dãy núi Altay	Altay Mountains
Điện xoay chiều	Alternating current
Thể loại:Y học thay thế	Alternative medicine
Nhôm	Aluminium
Ôxít nhôm	Aluminium oxide
Nấm tử thần	Amanita phalloides
Họ Loa kèn đỏ	Amaryllidaceae
Amaterasu	Amaterasu
Sông Amazon	Amazon River
Hổ phách	Amber
Nội chiến Hoa Kỳ	American Civil War
Samoa thuộc Mỹ	American Samoa
ASCII	American Standard Code for Information Interchange
Amerigo Vespucci	Amerigo Vespucci
Amin	Amine
Axít amin	Amino acid
Amman	Amman
Ampe kế	Ammeter
Amoniac	Ammonia
Ampe	Ampere
Biên độ	Amplitude
Amsterdam	Amsterdam
Amur	Amur
Anaheim, California	Anaheim
Tình dục hậu môn	Anal sex
Hình học giải tích	Analytic geometry
Anatole France	Anatole France
Thể loại:Giải phẫu học	Anatomy
Giải phẫu học	Anatomy
Anchorage	Anchorage
Thể loại:Lịch sử cổ đại	Ancient history
Andalucia	Andalusia
Biển Andaman	Andaman Sea
Andes	Andes
Andhra Pradesh	Andhra Pradesh
Andorra	Andorra
Andrei Dmitrievich Sakharov	Andrei Sakharov
Andrew Jackson	Andrew Jackson
Andrew Johnson	Andrew Johnson
Tiên Nữ	Andromeda (constellation)
Thiên hà Andromeda	Andromeda Galaxy
Andy Warhol	Andy Warhol
Thiếu máu	Anemia
Máy đo gió	Anemometer
Gây mê	Anesthesia
Sông Angara	Angara River
Thiên sứ	Angel
Thác nước Ángel	Angel Falls
Góc	Angle
Anh giáo	Anglicanism
Angola	Angola
Thể loại:Angola	Angola
Anguilla	Anguilla
Mô men động lượng	Angular momentum
Vận tốc góc	Angular velocity
Anilin	Aniline
Động vật	Animal
Hoạt hình Nhật Bản	Anime
Thể loại:Anime	Anime
Ankara	Ankara
Công Nguyên	Anno Domini
Bộ Ngỗng	Anseriformes
Thể loại:Bộ Ngỗng	Anseriformes
Kiến	Ant
Antalya	Antalya
Antananarivo	Antananarivo
Châu Nam Cực	Antarctica
Ăngten	Antenna (radio)
Bệnh than	Anthrax
Nhân chủng học	Anthropology
Thể loại:Nhân chủng học	Anthropology
Kháng sinh	Antibiotic
Kháng thể	Antibody
Kháng nguyên	Antigen
Antigua và Barbuda	Antigua and Barbuda
Phản vật chất	Antimatter
Antimon	Antimony
Chủ nghĩa bài Do Thái	Antisemitism
Thể loại:Chủ nghĩa bài Do Thái	Antisemitism
Tức Đồng	Antlia
Antofagasta	Antofagasta
Antoine Lavoisier	Antoine Lavoisier
Anton Pavlovich Chekhov	Anton Chekhov
Antonio Vivaldi	Antonio Vivaldi
Hậu môn	Anus
Apache	Apache
Aphrodite (thần thoại)	Aphrodite
Họ Hoa tán	Apiaceae
Bộ Yến	Apodiformes
Apollo (thần thoại)	Apollo
Apollo (định hướng)	Apollo (disambiguation)
Chương trình Apollo	Apollo program
Thể loại:Chương trình Apollo	Apollo program
Dãy Appalachian	Appalachian Mountains
Viêm ruột thừa	Appendicitis
Táo tây	Apple
Toán học ứng dụng	Applied mathematics
Tháng tư	April
14 tháng 4	April 14
Cá tháng tư	April Fools' Day
Thiên Yến	Apus
Nước cường toan	Aqua regia
Ngọc berin	Aquamarine
Bảo Bình (chòm sao)	Aquarius (constellation)
Thiên Ưng	Aquila (constellation)
Aquitaine	Aquitaine
Thiên Đàn (chòm sao)	Ara (constellation)
Bán đảo Ả Rập	Arabian Peninsula
Tiếng Ả Rập	Arabic language
Họ Ráy	Araceae
Aragon	Aragon
Biển Aral	Aral Sea
Khảo cổ học	Archaeology
Thể loại:Khảo cổ học	Archaeology
Archaeopteryx	Archaeopteryx
Tổng lãnh thiên thần	Archangel
Liên đại Thái cổ	Archean
Archimedes	Archimedes
Quần đảo	Archipelago
Kiến trúc sư	Architect
Kiến trúc	Architecture
Thể loại:Kiến trúc	Architecture
Bắc Băng Dương	Arctic Ocean
Diện tích	Area
Họ Cau	Arecaceae
Argentina	Argentina
Thể loại:Argentina	Argentina
Agon	Argon
Bạch Dương (chòm sao)	Aries (constellation)
Aristoteles	Aristotle
Cấp số cộng	Arithmetic progression
Arizona	Arizona
Thể loại:Arizona	Arizona
Arkansas	Arkansas
Arles	Arles
Armenia	Armenia
Thể loại:Armenia	Armenia
Lục quân	Army
Arras	Arras
Asen	Arsenic
Nghệ thuật	Art
Thể loại:Lịch sử nghệ thuật	Art history
Artemis (thần thoại)	Artemis
Chi Ngải	Artemisia (plant)
Arthur Conan Doyle	Arthur Conan Doyle
Arthur Rimbaud	Arthur Rimbaud
Arthur Schopenhauer	Arthur Schopenhauer
Arthur Wellesley, Công tước thứ nhất của Wellington	Arthur Wellesley
Trí tuệ nhân tạo	Artificial intelligence
Pháo binh	Artillery
Thể loại:Nghệ thuật	Arts
Aruba	Aruba
Asgard (thần thoại)	Asgard
Châu Á	Asia
Thể loại:Châu Á	Asia
Asmara	Asmara
Nhựa đường	Asphalt
Aspirin	Aspirin
Assam	Assam
Ám sát	Assassination
Hợp ngữ	Assembly language
Hiệp hội các quốc gia Đông Nam Á	Association of Southeast Asian Nations
Assyria	Assyria
Astana	Astana
Astatin	Astatine
Họ Cúc	Asteraceae
Tiểu hành tinh	Asteroid
Vành đai tiểu hành tinh	Asteroid belt
Quyển astheno	Asthenosphere
Bệnh suyễn	Asthma
Loạn thị	Astigmatism (eye)
Sinh học thiên văn	Astrobiology
Nhà du hành vũ trụ	Astronaut
Đơn vị thiên văn	Astronomical unit
Thiên văn học	Astronomy
Thể loại:Thiên văn học	Astronomy
Chủ đề:Thiên văn học	Astronomy
Vật lý thiên văn	Astrophysics
Thể loại:Vật lý thiên văn	Astrophysics
ATM (giao thức)	Asynchronous Transfer Mode
Thể loại:Thuyết vô thần	Atheism
Athena (thần thoại)	Athena
Athena	Athens
Thể loại:Điền kinh	Athletics
Atlanta, Georgia	Atlanta
Đại Tây Dương	Atlantic Ocean
Thể loại:Đại Tây Dương	Atlantic Ocean
Atlantis	Atlantis
Đảo san hô vòng	Atoll
Nguyên tử	Atom
Đồng hồ nguyên tử	Atomic clock
Nguyên tử lượng	Atomic mass
Đơn vị khối lượng nguyên tử	Atomic mass unit
Số nguyên tử	Atomic number
Au	Au
Auckland	Auckland
Đấu giá	Auction
Tháng tám	August
1 tháng 8	August 1
15 tháng 8	August 15
6 tháng 8	August 6
Auguste Comte	Auguste Comte
Augustine thành Hippo	Augustine of Hippo
Augustus	Augustus
Ngự Phu	Auriga (constellation)
Cực quang	Aurora (astronomy)
Austin, Texas	Austin
Australasia	Australasia
Úc	Australia
Thể loại:Úc	Australia
Đô la Úc	Australian dollar
Áo	Austria
Thể loại:Áo	Austria
Đế quốc Áo-Hung	Austria-Hungary
Tự kỷ	Autism
Tự truyện	Autobiography
Ô tô	Automobile
Mùa thu	Autumn
Auvergne	Auvergne (region)
Averroes	Averroes
Thể loại:Hàng không	Aviation
Hàng không	Aviation
Avignon	Avignon
Bơ (thực vật)	Avocado
Tiên đề	Axiom
Ayn Rand	Ayn Rand
Azerbaijan	Azerbaijan
Thể loại:Azerbaijan	Azerbaijan
Azores	Azores
Azurit	Azurite
B	B
BASIC	BASIC
Vi khuẩn	Bacteria
Thể loại:Vi khuẩn	Bacteria
Lạc đà hai bướu	Bactrian Camel
Cầu lông	Badminton
Vịnh Baffin	Baffin Bay
Đảo Baffin	Baffin Island
Bagdad	Baghdad
Thể loại:Bahamas	Bahamas
Bahrain	Bahrain
Thể loại:Bahrain	Bahrain
Baku	Baku
Balder (thần thoại)	Baldr
Quần đảo Balears	Balearic Islands
Bali	Bali
Balkan	Balkans
Kịch múa	Ballet
Tên lửa đạn đạo	Ballistic missile
Bút bi	Ballpoint pen
Biển Baltic	Baltic Sea
Baltimore, Maryland	Baltimore
Bamako	Bamako
Tre	Bamboo
Chuối	Banana
Bengaluru	Bangalore
Bangkok	Bangkok
Bangladesh	Bangladesh
Thể loại:Bangladesh	Bangladesh
Bangui	Bangui
Banjul	Banjul
Ngân hàng	Bank
Tiền giấy	Banknote
Báp têm	Baptism
Baptist	Baptist
Barbados	Barbados
Barbra Streisand	Barbra Streisand
Barcelona	Barcelona
Thể loại:Barcelona	Barcelona
Biển Barents	Barents Sea
Bari	Barium
Áp kế	Barometer
Barranquilla	Barranquilla
Thùng (đơn vị)	Barrel (unit)
Baryon	Baryon
Bazan	Basalt
Bazơ	Base (chemistry)
Bóng chày	Baseball
Thể loại:Bóng chày	Baseball
É	Basil
Bóng rổ	Basketball
Thể loại:Bóng rổ	Basketball
Basse-Normandie	Basse-Normandie
Kèn dăm kép	Bassoon
Bastille	Bastille
Người dơi	Batman
Trận Austerlitz	Battle of Austerlitz
Trận Marathon	Battle of Marathon
Trận Midway	Battle of Midway
Trận Verdun	Battle of Verdun
Trận Waterloo	Battle of Waterloo
Trận Ardennes (Thế chiến thứ hai)	Battle of the Bulge
Trận Somme (1916)	Battle of the Somme
Thiết giáp hạm	Battleship
Bauxit	Bauxite
Bayern	Bavaria
Thể loại:Bayern	Bavaria
Nguyệt quế	Bay Laurel
Vịnh Bengal	Bay of Bengal
Bayonne	Bayonne
Thang sức gió Beaufort	Beaufort scale
Becơren	Becquerel
Bia (đồ uống)	Beer
Thể loại:Bia	Beer
Bắc Kinh	Beijing
Beirut	Beirut
Belarus	Belarus
Thể loại:Belarus	Belarus
Belfast	Belfast
Bỉ	Belgium
Belgrade	Belgrade
Belize	Belize
Belo Horizonte	Belo Horizonte
Benelux	Benelux
Bénin	Benin
Benito Mussolini	Benito Mussolini
Benjamin Franklin	Benjamin Franklin
Benjamin Harrison	Benjamin Harrison
Bergen	Bergen
Biển Bering	Bering Sea
Eo biển Bering	Bering Strait
Berlin	Berlin
Thể loại:Berlin	Berlin
Bermuda	Bermuda
Thể loại:Bermuda	Bermuda
Tam giác Bermuda	Bermuda Triangle
Bern	Berne
Bernhard Riemann	Bernhard Riemann
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Berili	Beryllium
Bette Davis	Bette Davis
Bhutan	Bhutan
Thể loại:Bhutan	Bhutan
Kinh Thánh	Bible
Thể loại:Kinh thánh	Bible
Xe đạp	Bicycle
Vụ Nổ Lớn	Big Bang
Bihar	Bihar
Áo tắm hai mảnh	Bikini
Mật	Bile
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Sao đôi	Binary star
Hóa sinh	Biochemistry
Thể loại:Hóa sinh	Biochemistry
Vũ khí sinh học	Biological warfare
Sinh học	Biology
Thể loại:Sinh học	Biology
Wikipedia:Trang chính Sinh học	Biology
Quần xã sinh vật	Biome
Lý sinh học	Biophysics
Sinh quyển	Biosphere
Công nghệ sinh học	Biotechnology
Thể loại:Công nghệ sinh học	Biotechnology
Chim	Bird
Birmingham, Alabama	Birmingham
Bishkek	Bishkek
Giám mục	Bishop
Bitmut	Bismuth
Bissau	Bissau
Bit	Bit
Đen	Black
Biển Đen	Black Sea
Vật đen	Black body
Hố đen	Black hole
Blaise Pascal	Blaise Pascal
Blender (phần mềm)	Blender (software)
Chiến tranh chớp nhoáng	Blitzkrieg
Bloemfontein	Bloemfontein
Blog	Blog
Máu	Blood
Huyết tương	Blood plasma
Nhóm máu	Blood type
Xanh lam	Blue
Cá voi xanh	Blue Whale
Nhạc blues	Blues
Thuyền máy	Boat
Bob Dylan	Bob Dylan
Bobby Fischer	Bobby Fischer
Bồ Tát	Bodhisattva
Chỉ số khối cơ thể	Body mass index
Bohemia	Bohemia
Nhiệt độ bay hơi	Boiling point
Bolivia	Bolivia
Bollywood	Bollywood
Bolshevik	Bolshevik
Bom	Bomb
Máy bay ném bom	Bomber
Trái phiếu	Bond (finance)
Xương	Bone
Tủy xương	Bone marrow
Bonn	Bonn
Bonsai	Bonsai
Sách	Book
Sách Khải Huyền (Tân Ước)	Book of Revelation
Bumerang	Boomerang
Bordeaux	Bordeaux
Boris Leonidovich Pasternak	Boris Pasternak
Borneo	Borneo
Bo	Boron
Bosna và Hercegovina	Bosnia and Herzegovina
Boson	Boson
Eo biển Bosporus	Bosporus
Boston, Massachusetts	Boston
Tiêu bản:Bot	Bot
Thực vật học	Botany
Thể loại:Thực vật học	Botany
Botswana	Botswana
Thể loại:Botswana	Botswana
Bourgogne	Bourgogne
Đảo Bouvet	Bouvet Island
Cung	Bow (weapon)
Bowling	Bowling
Quyền Anh	Boxing
Brahmaputra	Brahmaputra River
Não	Brain
Tập kích não	Brainstorming
Bram Stoker	Bram Stoker
Brandenburg	Brandenburg
Họ Cải	Brassicaceae
Nịt ngực	Brassiere
Bratislava	Bratislava
Braunschweig	Braunschweig
Brasil	Brazil
Thể loại:Brasil	Brazil
Brazzaville	Brazzaville
Bánh mì	Bread
Vú	Breast
Ung thư vú	Breast cancer
Bremen	Bremen
Bretagne	Bretagne
Gạch	Brick
Cầu	Bridge
Thể loại:Cầu	Bridges
Bridgetown	Bridgetown
Lữ đoàn	Brigade
Brisbane	Brisbane
Bristol	Bristol
British Columbia	British Columbia
Đế quốc Anh	British Empire
Quần đảo Virgin thuộc Anh	British Virgin Islands
Thể loại:Người Anh	British people
Brôm	Bromine
Đồng thiếc	Bronze
Thời đại đồ đồng	Bronze Age
Nâu	Brown
Gấu nâu	Brown Bear
Lý Tiểu Long	Bruce Lee
Brunei	Brunei
Thể loại:Brunei	Brunei
Bruxelles	Brussels
Dịch hạch	Bubonic plague
Bucharest	Bucharest
Cung điện Buckingham	Buckingham Palace
Buckminster Fuller	Buckminster Fuller
Budapest	Budapest
Phật	Buddha
Phật giáo	Buddhism
Thể loại:Phật giáo	Buddhism
Buenos Aires	Buenos Aires
Bujumbura	Bujumbura
Bulgaria	Bulgaria
Thể loại:Bulgaria	Bulgaria
Lực đẩy Archimedes	Buoyancy
Burkina Faso	Burkina Faso
Myanma	Burma
Thể loại:Myanma	Burma
Thể loại:Burundi	Burundi
Xe buýt	Bus
Thể loại:Doanh nhân	Businesspeople
Buster Keaton	Buster Keaton
Butan	Butane
Bơ	Butter
Bướm ngày	Butterfly
Byte	Byte
C	C
C (ngôn ngữ lập trình)	C (programming language)
CHAOS	CHAOS (Linux distribution)
Tháp CN	CN Tower
COBOL	COBOL
Cacao	Cacao
Họ Xương rồng	Cactus
Cadmi	Cadmium
Điêu Cụ	Caelum
Xêzi	Caesium
Caffein	Caffeine
Cairo	Cairo
Calais	Calais
Canxit	Calcite
Canxi	Calcium
Cacbonat canxi	Calcium carbonate
Ôxít canxi	Calcium oxide
Giải tích	Calculus
Lịch	Calendar
California	California
Thể loại:California	California
Caligula	Caligula
Ca-lo	Calorie
Calvados	Calvados
Calvin Coolidge	Calvin Coolidge
Campuchia	Cambodia
Thể loại:Campuchia	Cambodia
Kỷ Cambri	Cambrian
Cambridge	Cambridge
Cambridge, Massachusetts	Cambridge
Cambridge (định hướng)	Cambridge (disambiguation)
Lạc đà	Camel
Camembert (phó mát)	Camembert (cheese)
Máy ảnh	Camera
Cameroon	Cameroon
Canada	Canada
Thể loại:Canada	Canada
Kênh đào	Canal
Quần đảo Canaria	Canary Islands
Thể loại:Quần đảo Canaria	Canary Islands
Canberra	Canberra
Ung thư	Cancer
Cự Giải (chòm sao)	Cancer (constellation)
Họ Chó	Canidae
Đại Khuyển	Canis Major
Tiểu Khuyển	Canis Minor
Cần sa	Cannabis
Cannes	Cannes
Ăn thịt đồng loại	Cannibalism
Canon	Canon (company)
Canterbury	Canterbury
Tiếng Quảng Đông	Cantonese (linguistics)
Canute Đại đế	Canute the Great
Điện dung	Capacitance
Tụ điện	Capacitor
Cape Horn	Cape Horn
Cape Town	Cape Town
Cabo Verde	Cape Verde
Mũi Hảo Vọng	Cape of Good Hope
Thủ đô	Capital
Tư bản	Capital (economics)
Tử hình	Capital punishment
Chủ nghĩa tư bản	Capitalism
Ma Kiết (chòm sao)	Capricornus
Caracas	Caracas
Khế	Carambola
Cara	Carat (mass)
Cara	Carat (purity)
Cacbon	Carbon
