Croatian	﻿English
crn	black
plav	blue
smeđa	brown
siv	gray
zelen	green
oranje	orange
ružičast	pink
ljubičast	violet
bijel	white
žut	yellow
dvoje	couple
osam	eight
osamnaest	eighteen
osamdeset	eighty
jedanaest	eleven
petnaest	fifteen
pedeset	fifty
broj ili brojka pet	five
četrnaest	fourteen
milijun	million
deveti	nine
devedeset	ninety
ništa	nothing
jedan	one
sedam	seven
sedamdeset	seventy
šest	six
šesnaest	sixteen
šezdeset	sixty
deset	ten
treći	third
broj ili znamenka trinaest	thirteen
trideset	thirty
znamenka tisuću	thousand
broj tisuću	thousand
tri	three
dvadeset	twenty
ruka	arm
leđa	back
kljun	beak
krv	blood
trup bez udova	body
kostur	bone
mozak	brain
dah	breath
stanica	cell
grudi	chest
grudi	chest
brada	chin
uho	ear
oko	eye
lice	face
prst	finger
stopalo	foot
čelo	forehead
gen	gene
kosa	hair
dlaka	hair
šaka	hand
glava	head
srce	heart
koljeno	knee
noga	leg
usna	lip
usta	mouth
mišić	muscle
nokat	nail
vrat	neck
živac	nerve
vršak	nose
koža	skin
želudac	stomach
rep	tail
ždrijelo	throat
palac	thumb
jezik	tongue
zub	tooth
strana igrališta	wing
mrav	ant
medvjed	bear
pčela	bee
ptica	bird
mačka	cat
krava	cow
pas	dog
slon	elephant
riba	fish
muha	fly
koza	goat
domaći konj	horse
kukac	insect
lav	lion
majmun	monkey
svinja	pig
ovca	sheep
zmija	snake
beba	baby
rođenje	birth
rođendan	birthday
dječak	boy
brat	brother
dijete	child
kćerka	daughter
smrt	death
obitelj	family
otac	father
prijatelj	friend
djevojčica	girl
djed	grandfather
čovjek	human
muž	husband
muškarac	man
brak	marriage
majka	mother
susjed	neighbor
roditelj	parent
čovjek	person
odnos	relationship
sestra	sister
sin	son
vjenčanje	wedding
žena	wife
žena	woman
pivo	beer
kava	coffee
napitak	drink
mlijeko	milk
mliječni napitak	milkshake
čajevi	tea
voda	water
vino	wine
kruh	bread
doručak	breakfast
maslac	butter
sir	cheese
čokolada	chocolate
jaje	egg
hrana	food
plod	fruit
ručak	lunch
obrok	meal
meso	meat
ulje	oil
riža	rice
salata	salad
sol	salt
sendvič	sandwich
umak	sauce
juha	soup
šećer	sugar
slatkoća	sweet
jabuka	apple
marelica	apricot
banana	banana
