Yiddish	English
0 (נומער)	0 (number)
1 (נומער)	1 (number)
10 (נומער)	10 (number)
100 (נומער)	100 (number)
1000 (נומער)	1000 (number)
11 (נומער)	11 (number)
12 (נומער)	12 (number)
13 (נומער)	13 (number)
14 (נומער)	14 (number)
15 (נומער)	15 (number)
16 (נומער)	16 (number)
17 (נומער)	17 (number)
18 (נומער)	18 (number)
19 (נומער)	19 (number)
1920ער	1920s
קאַטעגאָריע:1920ער	1920s
1930ער	1930s
קאַטעגאָריע:1930ער	1930s
1940ער	1940s
קאַטעגאָריע:1990ער	1990s
2 (נומער)	2 (number)
צוואנציק	20 (number)
21 (נומער)	21 (number)
22 (נומער)	22 (number)
23 (נומער)	23 (number)
24 (נומער)	24 (number)
25 (נומער)	25 (number)
26 (נומער)	26 (number)
27 (נומער)	27 (number)
28 (נומער)	28 (number)
29 (נומער)	29 (number)
3 (נומער)	3 (number)
30 (נומער)	30 (number)
31 (נומער)	31 (number)
32 (נומער)	32 (number)
33 (נומער)	33 (number)
34 (נומער)	34 (number)
35 (נומער)	35 (number)
36 (נומער)	36 (number)
37 (נומער)	37 (number)
38 (נומער)	38 (number)
39 (נומער)	39 (number)
4 (נומער)	4 (number)
40 (נומער)	40 (number)
41 (נומער)	41 (number)
42 (נומער)	42 (number)
43 (נומער)	43 (number)
45 (נומער)	45 (number)
46 (נומער)	46 (number)
49 (נומער)	49 (number)
5 (נומער)	5 (number)
50 (נומער)	50 (number)
6 (נומער)	6 (number)
60 (נומער)	60 (number)
7 (נומער)	7 (number)
8 (נומער)	8 (number)
80 (נומער)	80 (number)
9 (נומער)	9 (number)
עידס	AIDS
אהרן הכהן	Aaron
קורץ ווארט	Abbreviation
בויך	Abdomen
אבארטאציע	Abortion
אברהם אבינו	Abraham
עברעהעם לינקולן	Abraham Lincoln
אבוזשא	Abuja
אסקאר	Academy Award
בוך האלטעריי	Accountancy
אקוזאטיוו	Accusative case
עכו	Acre
אקטיאר	Actor
אדם הראשון	Adam
צוגעבן	Addition
אדיעקטיוו	Adjective
אדאלף אייכמאן	Adolf Eichmann
אדאלף היטלער	Adolf Hitler
ערוואקסענער	Adult
אדווערב	Adverb
אדווערטייזונג	Advertising
אגאישער ים	Aegean Sea
איניעס	Aeneas
עסטעטיק	Aesthetics
פרעפיקס	Affix
אפגאניסטאן	Afghanistan
קאַטעגאָריע:אפגאניסטאן	Afghanistan
אפריקע	Africa
קאַטעגאָריע:אפריקע	Africa
אגנאסטיציזם	Agnosticism
לאנדווירטשאפט	Agriculture
קאַטעגאָריע:לאנדווירטשאפט	Agriculture
ערבוס	Airbus
פלי געזעלשאפט	Airline
פליפעלד	Airport
על גאור	Al Gore
אל-קאידא	Al-Qaeda
אלאבאמא	Alabama
אלאסקע	Alaska
אלבאני	Albany
אלבערט איינשטיין	Albert Einstein
אלבערטא	Alberta
אלקאהאל	Alcohol
אלקאהאלישע געטראנקען	Alcoholic beverage
אלקאהאליזם	Alcoholism
אלעקסאנדער דער גרויסער	Alexander the Great
אלפרעד דרייפוס	Alfred Dreyfus
אלפרעד היטשקאק	Alfred Hitchcock
אלפרעד נאבעל	Alfred Nobel
אלגעברע	Algebra
קאַטעגאָריע:אלגעברע	Algebra
אלדזשיר	Algeria
אלגאריטם	Algorithm
געמיש מעטאלען	Alloy
אלמאטיע	Almaty
אלפא	Alpha (letter)
אלפן	Alps
קאַטעגאָריע:אלטערנאטיווע מעדיצין	Alternative medicine
אלצהיימערס קרענק	Alzheimer's disease
אמאזאנאס (טייך)	Amazon River
אמעריקאנער פוסבאל	American football
אמיש	Amish
אמאן (יארדן)	Amman
אמסטערדאם	Amsterdam
אנארכיזם	Anarchism
קאַטעגאָריע:אנארכיזם	Anarchism
אנארכיע	Anarchy
קאטשקע	Anatidae
קאַטעגאָריע:אנאטאמיע	Anatomy
אנאטאמיע	Anatomy
אנדארא	Andorra
קאַטעגאָריע:אנדארא	Andorra
ענדרו זשעקסאן	Andrew Jackson
ענדרו זשאנסאן	Andrew Johnson
בעלי חיים	Animal
מוראשקע	Ant
אנטארקטיקע	Antarctica
אנטראפאלאגיע	Anthropology
אנטיביאטיק	Antibiotic
אנטיסעמיטיזם	Antisemitism
קאַטעגאָריע:אנטיסעמיטיזם	Antisemitism
אנטאן פאוולאוויטש טשעכאוו	Anton Chekhov
אנטווערפן	Antwerp
עפל	Apple
אפריל	April
1 אין אפריל	April Fools' Day
אראבער	Arab
אראבישע ליגע	Arab League
ארכעאלאגיע	Archaeology
קאַטעגאָריע:ארכעאלאגיע	Archaeology
ארכיפעלאג	Archipelago
ארכיטעקטור	Architecture
קאַטעגאָריע:ארכיטעקטור	Architecture
שטח	Area
פאלמע	Arecaceae
ארגענטינע	Argentina
קאַטעגאָריע:ארגענטינע	Argentina
אריסטו	Aristotle
חשבון	Arithmetic
אריזאנע	Arizona
ארון הברית	Ark of the Covenant
ארקענסאו	Arkansas
ארמעניע	Armenia
קאַטעגאָריע:ארמעניע	Armenia
קונסט	Art
קאַטעגאָריע:קונסט	Arts
אזיע	Asia
קאַטעגאָריע:אזיע	Asia
הינריכטונג	Assassination
אשור	Assyria
אסטאנא	Astana
אסטערויד	Asteroid
אסטראנאמיע	Astronomy
קאַטעגאָריע:אסטראנאמיע	Astronomy
אטען	Athens
אטלאנטא	Atlanta
אטלאנטישער אקעאן	Atlantic Ocean
אטמאספער	Atmosphere
אטאם	Atom
אטאם נומער	Atomic number
אויגוסט	August
אויסטראליע	Australia
קאַטעגאָריע:אויסטראליע	Australia
עסטרייך	Austria
קאַטעגאָריע:עסטרייך	Austria
אויטאביאגראפיע	Autobiography
אויטאמאביל	Automobile
הארבסט	Autumn
איבן ראשד	Averroes
קאַטעגאָריע:אוויאציע	Aviation
אקסיאם	Axiom
אזערביידזשאן	Azerbaijan
בבל	Babylon
באקטעריע	Bacteria
באגדאד	Baghdad
קאַטעגאָריע:באהאמאס	Bahamas
באקו	Baku
באל-פאוינט פעדער	Ballpoint pen
באלטימאר, מערילענד	Baltimore
באנאן	Banana
באנגלאדעש	Bangladesh
באנק	Bank
קאַטעגאָריע:בענק	Banks
בארברא סטרייסאנד	Barbra Streisand
בארצעלאנע	Barcelona
גערשטן	Barley
בעיסבאל	Baseball
באזעל	Basel
באסקעטבאל	Basketball
בייערן	Bavaria
ביעטש	Beach
בער	Bear
ביר	Beer
ביירוט	Beirut
בעלארוסיע	Belarus
קאַטעגאָריע:בעלארוס	Belarus
בעלגיע	Belgium
קאַטעגאָריע:בעלגיע	Belgium
בעלגראד	Belgrade
בעליז	Belize
בענזשעמען פרענקלין	Benjamin Franklin
בענזשעמין העריסאן	Benjamin Harrison
בערלין	Berlin
בערן	Berne
בית לחם	Bethlehem
בייבל	Bible
