Hungarian	﻿English
fekete	black
kék	blue
barna	brown
szürke	gray
zöld	green
narancs	orange
kicsattanó	pink
piros	red
lila	violet
fehér	white
sárga	yellow
pár	couple
nyolc	eight
tizennyolc	eighteen
nyolcvan	eighty
tizenegy	eleven
tizenöt	fifteen
ötven	fifty
öt	five
negyven	forty
négy	four
tizennégy	fourteen
millió	million
kilenc	nine
tizenkilenc	nineteen
kilencven	ninety
semmi	nothing
egy	one
hét	seven
hetven	seventy
hat	six
tizenhat	sixteen
hatvan	sixty
tíz	ten
harmadik	third
tizenhárom	thirteen
harminc	thirty
ezer	thousand
három	three
kar	arm
hát	back
csőr	beak
vér	blood
törzs	body
csont	bone
agy	brain
légzés	breath
sejt	cell
mell	chest
mellkas	chest
áll	chin
fül	ear
szem	eye
arc	face
ujj	finger
láb	foot
homlok	forehead
gén	gene
haj	hair
hajszál	hair
kéz	hand
fej	head
szív	heart
térd	knee
láb	leg
ajak	lip
száj	mouth
izom	muscle
köröm	nail
nyak	neck
ideg	nerve
orr	nose
bőr	skin
gyomor	stomach
farok	tail
torok	throat
hüvelykujj	thumb
lábujj	toe
nyelv	tongue
fog	tooth
szél	wing
hangya	ant
medve	bear
méh	bee
madár	bird
macska	cat
tehén	cow
kutya	dog
elefántfélék	elephant
hal	fish
légy	fly
kecske	goat
ló	horse
rovar	insect
oroszlán	lion
majom	monkey
disznó	pig
juh	sheep
kígyó	snake
délután	afternoon
kor	age
Április	April
augusztus	August
ősz	autumn
kezdet	beginning
évszázad	century
dátum	date
nap	day
December	December
vég	end
est	evening
Február	February
Péntek	Friday
jövő	future
óra	hour
Január	January
Július	July
Június	June
május	May
éjfél	midnight
perc	minute
pillanat	moment
pillanat	moment
Hétfő	Monday
hónap	month
reggel	morning
éjszaka	night
November	November
most	now
Október	October
múlt	past
szünet	pause
fázis	period
jelen	present
Szombat	Saturday
idény	season
másodperc	second
Szeptember	September
tavasz	spring
nyár	summer
Vasárnap	Sunday
Csütörtök	Thursday
holnap	tomorrow
Kedd	Tuesday
Szerda	Wednesday
hét	week
tél	winter
év	year
kenyér	bread
reggeli	breakfast
vaj	butter
tészta	cake
sajt	cheese
csoki	chocolate
tojás	egg
táplálék	food
gyümölcs	fruit
ebéd	lunch
étel	meal
hús	meat
olaj	oil
rizs	rice
saláta	salad
só	salt
szendvics	sandwich
mártás	sauce
leves	soup
cukor	sugar
sör	beer
kávé	coffee
ital	drink
tej	milk
turmix	milkshake
tea	tea
víz	water
bor	wine
alma	apple
sárgabarack	apricot
banán	banana
szeder	blackberry
cseresznye	cherry
citrom	lemon
dió	nut
narancs	orange
őszibarack	peach
körte	pear
ananász	pineapple
szilva	plum
málna	raspberry
eper	strawberry
bab	bean
káposzta	cabbage
sárgarépa	carrot
uborka	cucumber
fokhagyma	garlic
olajbogyó	olive
vöröshagyma	onion
paszternák	parsnip
krumpli	potato
retek	radish
paradicsom	tomato
kisbaba	baby
születés	birth
születésnap	birthday
fiú	boy
fiú testvér	brother
lány	daughter
halál	death
termékcsalád, család	family
apa	father
barát	friend
lány	girl
nagyapa	grandfather
ember	human
férj	husband
élet	life
férfi	man
házasság	marriage
anya	mother
szomszéd	neighbor
személy	person
kapcsolat	relationship
apáca	sister
fiú	son
házasságkötés	wedding
feleség	wife
asszony	woman
cím	address
fürdőszoba	bathroom
hálószoba	bedroom
tégla	brick
ajtó	door
padló	floor
emelet	floor
garázs	garage
kert	garden
kapu	gate
hall	hall
lakhely	home
épület	house
konyha	kitchen
fedél	roof
szoba	room
zuhany	shower
vécé	toilet
fal	wall
kút	well
ablak	window
ágy	bed
szőnyeg	carpet
szék	chair
szekrény	cupboard
függöny	curtain
íróasztal	desk
bútor	furniture
polc	shelf
mosogató	sink
asztal	table
zsák	bag
csizma	boot
anyag	cloth
öltözet	clothing
kabát	coat
gallér	collar
kalap	hat
zakó	jacket
ékszer	jewel
karika	ring
ing	shirt
cipő	shoe
szoknya	skirt
zokni	sock
bőrönd	suitcase
nyakkendő	tie
ég	air
állati	animal
ág	branch
evolúció	evolution
farm	farm
mező	field
láng	fire
virág	flower
erdő	forest
marihuána	grass
levél	leaf
élet	life
villámlás	lightning
nedvesség	moisture
természet	nature
növény	plant
gyökér	root
nem	sex
ég	sky
alvás	sleep
illat	smell
füst	smoke
forrás	spring
szár	stem
áradat	stream
fa	tree
hullám	wave
idő	weather
világ	world
repülőtér	airport
bank	bank
híd	bridge
épület	building
főváros	capital
vár	castle
templom	church
mozi	cinema
város	city
