Gujarati	English
એડ્સ	AIDS
અફઘાનિસ્તાન	Afghanistan
આફ્રિકા	Africa
આલ્બર્ટ આઇન્સ્ટાઇન	Albert Einstein
સિકંદર	Alexander the Great
આંધ્ર પ્રદેશ	Andhra Pradesh
ઍન્ટાર્કટિકા	Antarctica
અરબ સાગર	Arabian Sea
Category:કલા	Arts
એશિયા	Asia
આસામ	Assam
ખગોળશાસ્ત્ર	Astronomy
એટલાન્ટીક મહાસાગર	Atlantic Ocean
ઑસ્ટ્રેલિયા	Australia
ઑસ્ટ્રિયા	Austria
બાલી	Bali
બેંગલોર	Bangalore
બાઇબલ	Bible
બિહાર	Bihar
કાળું કાણું	Black hole
બ્રહ્મા	Brahma
ગૌતમ બુદ્ધ	Buddha
રાજધાની	Capital
મૂડીવાદ	Capitalism
કાર્બન	Carbon
ગાય	Cattle
રસાયણ શાસ્ત્ર	Chemistry
ચેન્નઈ	Chennai
ધૂમકેતુ	Comet
કમ્પ્યૂટર	Computer
સૉફ્ટવેર	Computer software
નક્ષત્ર	Constellation
તાંબુ	Copper
દેશ	Country
ક્રિકેટ	Cricket
મરણ	Death
દિલ્હી	Delhi
ઢાકા	Dhaka
પૃથ્વી	Earth
ધરતીકંપ	Earthquake
રીંગણ	Eggplant
વિદ્યુત-ચુંબકીય તરંગો	Electromagnetic radiation
અંગ્રેજી ભાષા	English language
યુરોપ	Europe
Fair use	Fair use
બળ	Force
ફ્રાઁસ	France
ગણેશ	Ganesha
ગંગા	Ganges
ભૂગોળ	Geography
Category:ભૂગોળ	Geography
ભૂમિતિ	Geometry
ગોઆ	Goa
સોનું	Gold
ગુજરાત	Gujarat
ઉષ્મા	Heat
હીલિયમ	Helium
હિમાલય	Himalayas
હિંદુ	Hinduism
હૈદરાબાદ	Hyderabad
હાઈડ્રોજન	Hydrogen
આઇસલૅન્ડ	Iceland
ભારત	India
Category:ભારત	India
સિંધૂ	Indus River
લોખંડ	Iron
આઇઝેક ન્યુટન	Isaac Newton
ઇસ્લામ	Islam
જમ્મુ અને કાશ્મીર	Jammu and Kashmir
જાપાન	Japan
ગુરુ ગ્રહ	Jupiter
કર્ણાટક	Karnataka
કાઠમંડુ	Kathmandu
કૃષ્ણ	Krishna
લાહોર	Lahore
ભાષા	Language
દાળ	Lentil
પ્રકાશવર્ષ	Light-year
એશીયાઇ સિંહ	Lion
સાહિત્ય	Literature
Category:સાહિત્ય	Literature
લંડન	London
મહારાષ્ટ્ર	Maharashtra
મહાત્મા ગાંધી	Mahatma Gandhi
મણિપુર	Manipur
માર્ક ટ્વેઇન	Mark Twain
દળ	Mass
ગણિત	Mathematics
Category:ગણિત	Mathematics
બુધ (ગ્રહ)	Mercury (planet)
ચંદ્ર	Moon
મહંમદ	Muhammad
મુંબઈ	Mumbai
નિહારિકા	Nebula
નીલ આર્મસ્ટ્રૉંગ	Neil Armstrong
નેલ્સન મંડેલા	Nelson Mandela
નેપાળ	Nepal
નૅપ્ચ્યુન (ગ્રહ)	Neptune
નીલ્સ હેન્રીક અબૅલ	Niels Henrik Abel
નાઇટ્રોજન	Nitrogen
ઉત્તર અમેરિકા	North America
ઓરિસ્સા	Orissa
ઑક્સીજન	Oxygen
પ્રશાંત મહાસાગર	Pacific Ocean
પાકિસ્તાન	Pakistan
મોર	Peafowl
Category:વ્યક્તિત્વ	People
ચીન	People's Republic of China
આવર્ત કોષ્ટક	Periodic table
ભૌતિક શાસ્ત્ર	Physics
પ્લૂટો (ગ્રહ)	Pluto
Category:રાજનીતી	Politics
Public domain	Public domain
પંજાબ	Punjab (India)
રામ	Rama
રામાયણ	Ramayana
સંસ્કૃત ભાષા	Sanskrit
શનિ (ગ્રહ)	Saturn
વિજ્ઞાન	Science
Category:વિજ્ઞાન	Science
શિવ	Shiva
સિક્કિમ	Sikkim
સિલિકોન	Silicon
ચાંદી	Silver
સૂર્યમંડળ	Solar System
દક્ષીણ અમેરિકા	South America
સ્પેઇન	Spain
સૂર્ય	Sun
હંસ	Swan
તમિલનાડૂ	Tamil Nadu
થાઇલેન્ડ	Thailand
વાઘ	Tiger
ત્સુનામી	Tsunami
સંયુક્ત રાજ્ય અમેરિકા	United States
યુરેનસ (ગ્રહ)	Uranus
ઉત્તર પ્રદેશ	Uttar Pradesh
શુક્ર (ગ્રહ)	Venus
ધોધ	Waterfall
તરંગલંબાઇ	Wavelength
વેલિંગ્ટન	Wellington
પશ્ચિમ બંગાળ	West Bengal
ક્ષ-કિરણો	X-ray
યાક	Yak
