Arabic	﻿English
أسود	black
أزرق	blue
بني	brown
رمادي	gray
أخضر	green
برتقالي	orange
وردي	pink
أحمر	red
بنفسجي	violet
أبيض	white
أصفر	yellow
ثمانية	eight
ثمانية عشر	eighteen
ثمانون	eighty
أحد عشر	eleven
خمسة عشر	fifteen
خمسون	fifty
خمسة	five
أربعون	forty
أربعة	four
أربعة عشر	fourteen
مائة	hundred
مليون	million
تسعة	nine
تسعة عشر	nineteen
تسعون	ninety
صِفر، لا شيء	nothing
واحد	one
سبعة	seven
سبعة عشر (sábʕaʈ ʕášar)	seventeen
سبعون	seventy
ستة	six
ستة عشر	sixteen
ستون	sixty
عشرة	ten
ثلاثة عشر	thirteen
ثلاثون	thirty
ألف	thousand
ألف	thousand
ثلاثة	three
عشرون	twenty
اثنان	two
ذراع	arm
ظهر	back
منقار	beak
دم	blood
جسم, جسد	body
عظم	bone
دماغ	brain
نفس	breath
خلية	cell
صدر	chest
صدر	chest
ذقن	chin
أذن	ear
عين	eye
وجه	face
إسبع, إصبع	finger
قدم	foot
جبهة	forehead
مورثه	gene
شعر	hair
وبر	hair
يد, كف	hand
رأس	head
قلب	heart
ركبة	knee
ساق	leg
شفة	lip
فم	mouth
عضلة	muscle
ظفر	nail
عنق	neck
عصب	nerve
أنف	nose
جلد	skin
معدة	stomach
ذيل	tail
بلعوم	throat
إبهام	thumb
إبهام الرجل	toe
لسان	tongue
سن	tooth
جناح	wing
نملة	ant
دب	bear
نحلة	bee
طائر	bird
قط	cat
بقرة	cow
كلب	dog
فيل	elephant
سمك	fish
ذبابة	fly
عنزة	goat
حصان	horse
حشرة	insect
أسد	lion
قرد	monkey
خنزير	pig
خروف	sheep
أفعى	snake
رضيع	baby
ولادة	birth
يوم ميلاد, عيد ميلاد	birthday
ولد, صبي	boy
أخ	brother
ولد	child
ابنة	daughter
موت	death
عائلة	family
أب	father
صديق	friend
بنت	girl
جد	grandfather
رجل, إنسان	human
زوج	husband
حياه	life
رجل	man
زواج، حياة الزواج	marriage
أم	mother
جار	neighbor
أحد الوالِدين	parent
شخص	person
قرابة	relationship
أخت	sister
ابن	son
زواج (zawá:j) (m)	wedding
عرس	wedding
زوجة	wife
امرأة	woman
بيرة	beer
قهوة	coffee
شراب	drink
حليب	milk
كوكتيل	milkshake
شاي	tea
ماء	water
نبيذ	wine
خبز	bread
إفطار	breakfast
زبدة	butter
كعك	cake
جبن	cheese
شوكولا	chocolate
بيضة	egg
طعام	food
فاكهة	fruit
غداء	lunch
وجبة	meal
لحم	meat
زيت	oil
أرز	rice
سلطة	salad
ملح	salt
السندويتش	sandwich
صلصة	sauce
حساء	soup
سكر	sugar
حلاوة	sweet
تفاحة	apple
مشمش	apricot
موز	banana
تُوت	blackberry
كرز	cherry
ليمون	lemon
جوز	nut
برتقال	orange
دراق	peach
إجاص	pear
أناناس	pineapple
خوخ	plum
توت أحمر, توت العليق	raspberry
فراولة	strawberry
فاصولياء	bean
ملفوف	cabbage
جزر	carrot
خيار	cucumber
ثوم	garlic
زيتون	olive
بصل	onion
جزر أبيض	parsnip
البازلاء	pea
بطاطس	potato
الفجل	radish
طماطم	tomato
عنوان	address
الحمّام	bathroom
غرفة نوم	bedroom
قرميد	brick
باب	door
أرضية	floor
طابق	floor
مرآب	garage
بستان	garden
بوابة	gate
صاله، ردهه	hall
مسكن	home
بيت	house
مطبخ	kitchen
سقف	roof
غرفة	room
حمام, دش	shower
سلم	step
مرحاض	toilet
جدار	wall
بئر	well
نافذة	window
سرير	bed
سجادة	carpet
كرسي	chair
خِزانه	cupboard
ستارة	curtain
مكتب	desk
أثاث	furniture
مقعد للجلوس	seat
رف	shelf
المغسلة	sink
طاولة	table
الحقيبة	bag
جزمة	boot
ثوب	cloth
ملابِس، ألبِسه، أغطِيه	clothing
معطف	coat
ياقة	collar
قبعة	hat
السترة	jacket
مجوهرات	jewel
خاتم	ring
قميص	shirt
حذاء	shoe
تنورة	skirt
جورب	sock
الحقيبة	suitcase
ربطة عنق	tie
ممثل	actor
الممثّلة	actress
رجل أعمال	businessman
خبير	expert
لواء	general
صحفي	journalist
قاضي	judge
زعيم	leader
وزير	minister
موسيقي	musician
مصور	photographer
قبطان	pilot
شرطي	policeman
سياسي، رجل سياسه	politician
رئيس الدوله	president
محترف	professional
ممثل	representative
بحار	sailor
العالم	scientist
سكرتير	secretary
خادم	servant
جندي	soldier
كاتب ؛ مؤلف	writer
مطار	airport
مصرف	bank
جسر	bridge
بناء	building
عاصمة	capital
قلعة	castle
