Hebrew	﻿English
שחור	black
כחול (kakhól)	blue
חום	brown
אפור	gray
ירוק	green
אורנג'	orange
ורוד	pink
אדום (adom)	red
סגול	violet
לבן	white
צהוב	yellow
שמונה	eight
שמונה עשרה	eighteen
שמונים	eighty
אחד עשר	eleven
כמשה עשר	fifteen
חמישים	fifty
חמישה	five
ארבעים	forty
ארבע עשרה	fourteen
מיליון	million
תשעה	nine
תשע עשרה	nineteen
תשעים	ninety
כלום	nothing
אחת (ákhat) (f) (used in counting), אחד (ékhad) (m)	one
שבעה־עשר (shivá-asár)	seventeen
שבעים	seventy
שש	six
שש עשרה	sixteen
שישים	sixty
עשר	ten
שלוש עשרה	thirteen
שלושים	thirty
אלף	thousand
אלף (élef)	thousand
שלושה	three
עשרים (esrím)	twenty
שתיים (štáyim) (f) (used for numbering), שניים (šnáyim) (m)	two
זרוע	arm
גב	back
מקור	beak
דם	blood
גו	body
עצם	bone
מוח	brain
נפש	breath
תא	cell
חזה (m)	chest
סנטר	chin
אוזן	ear
עין	eye
פנים	face
אצבע	finger
כף רגל	foot
מצח	forehead
גן	gene
שיער	hair
יד	hand
ראש	head
לב	heart
ברך	knee
רגל	leg
שפה	lip
פה	mouth
שריר	muscle
ציפורן	nail
צוואר	neck
עצב	nerve
אף	nose
עור	skin
קיבה	stomach
זנב	tail
לוע	throat
אגודל	thumb
אצבעות כף הרגל	toe
לשון	tongue
שן	tooth
כנף	wing
נמליים	ant
דוב	bear
דבורה	bee
ציפור	bird
חתול	cat
פרה	cow
כלב	dog
פיליים	elephant
דג	fish
זבוב	fly
עז	goat
סוס הבית	horse
חרק	insect
אריה	lion
קוף	monkey
חזיר	pig
כבס	sheep
נחש	snake
אחר-צהריים	afternoon
גיל	age
אפריל	April
אבגוסט	August
סתיו	autumn
מאה	century
יממה	day
דצמבר	December
ערב	evening
פברואר	February
יום שישי	Friday
עתיד	future
שעה	hour
ינואר	January
יולי	July
יוני	June
מאי	May
חצות	midnight
דקה	minute
מומנט	moment
יום שני	Monday
חודש (hodesh)	month
בוקר	morning
לילה	night
נובמבר	November
אוקטובר	October
עבר	past
הווה	present
יום השבת	Saturday
עונה (oh-NAH)	season
שנייה	second
ספטמבר	September
אביב	spring
קיץ	summer
יום ראשון	Sunday
יום חמישי	Thursday
יום שלישי	Tuesday
יום רביעי	Wednesday
שבוע	week
סוף שבוע (m) (Friday and Saturday in Israel)	weekend
חורף	winter
שנה	year
לחם	bread
ארוחת בוקר	breakfast
חמאה	butter
עוגה	cake
גבינה	cheese
שוקולד	chocolate
ביצה	egg
אוכל	food
פרי	fruit
ארוחת צהריים	lunch
ארוחה	meal
בשר	meat
שמן	oil
ארז	rice
סלט	salad
מלח	salt
לחמניה	sandwich
רוטב	sauce
מרק	soup
סוכר	sugar
בירה	beer
קפה	coffee
משקה	drink
חלב	milk
מילקשייק	milkshake
תה	tea
מים	water
יין	wine
תפוח	apple
משמש	apricot
בננה	banana
תות	blackberry
דובדבן	cherry
לימון	lemon
אגוז	nut
תפוח	orange
אפרסק	peach
אגס	pear
אננס	pineapple
שזיף	plum
פטל	raspberry
תות שדה	strawberry
שעועית	bean
כרוב	cabbage
גזר	carrot
מלפפון	cucumber
שום	garlic
זית	olive
בצל	onion
גזר לבן	parsnip
תפוח אדמה	potato
צנון	radish
עגבניה	tomato
ינקות	baby
לידה	birth
יום הולדת	birthday
ילד (yéled) (m), בחור (bakhúr) (m)	boy
אח	brother
בת	daughter
מוות	death
משפחה	family
אבא	father
חבר	friend
בת	girl
סבא	grandfather
האדם הנבון	human
בעל	husband
גבר	man
נישואים	marriage
אמא	mother
הורה (hore) (m), הורה (hora) (f)	parent
אחות	sister
בן	son
חתונה	wedding
אישה	wife
אישה	woman
כתובת	address
חדר אמבטיה	bathroom
חדר שנה	bedroom
לבנה	brick
דלת	door
רצפה	floor
רצפה	floor
מוסך	garage
גן	garden
שער	gate
מבואה	hall
בית	home
בית מגורים	house
מטבח	kitchen
גג	roof
חדר	room
מקלחת	shower
בית שימוש	toilet
חומה	wall
באר	well
חלון	window
מיטה	bed
שטיח	carpet
כיסא	chair
ארון	cupboard
וילון	curtain
שולחן (m)	desk
ריהוט	furniture
מדף	shelf
כיור	sink
שולחן	table
מגפיים	boot
טקסטיל	cloth
ביגוד	clothing
מעיל	coat
צווארון (tzavaron)	collar
כובע	hat
מקטורן	jacket
תכשיט	jewel
מעגל	ring
חולצה	shirt
נעליים	shoe
חצאית	skirt
גרב	sock
מזוודה	suitcase
עניבה	tie
אוויר	air
בעל חיים	animal
ענף	branch
אבולוציה	evolution
משק	farm
שדה	field
אש	fire
פרח	flower
יער	forest
עשב	grass
עלה	leaf
חיים	life
בזק	lightning
טבע	nature
צמח	plant
בסיס	root
זוויג	sex
שמיים	sky
שינה	sleep
ריח (m)	smell
מעיין	spring
זרם	stream
עץ	tree
גל	wave
מזג אוויר	weather
עולם	world
נמל תעופה	airport
בנק	bank
גשר	bridge
בנין	building
עיר בירה	capital
טירה	castle
כנסייה	church
קולנוע	cinema
עיר	city
בית חרושת	factory
דירה	flat
בית חולים	hospital
מלון	hotel
ספריה	library
פרק	park
בית כלא	prison
מסעדה	restaurant
כביש	road
בית-ספר	school
תחנה	station
רחוב	street
רכבת תחתית	subway
מרכול	supermarket
תיאטרון	theater
עיירה	town
כפר	village
תאונה	accident
סירה	boat
אבטובוס	bus
מכונית	car
מסע	journey
נוסע	passenger
אבירון	plane
ספינה	ship
פס	track
רכבת	train
שחקן	actor
שחקנית	actress
גנרל	general
עיתונאי	journalist
שופט	judge
מוביל	leader
שר	minister
מוזיקאי	musician
צלם	photographer
טייס	pilot
שוטר	policeman
פוליטיקאי	politician
יורד ים	sailor
מזכיר	secretary
חייל	soldier
סופר	writer
חוף	beach
זרם	current
כדור הארץ	Earth
מזרח	east
גבה	height
גבעה	hill
אי	island
בריכה	lake
קרקע	land
מפה	map
לבנה	Moon
צפון	north
מישור	plain
נהר	river
ים	sea
דרום	south
חלל	space
כוכב	star
שמש	sun
מערב	west
ענן	cloud
טל	dew
ערפל	fog
קרה	frost
גשם (m) (geshem)	rain
קשת	rainbow
שלג	snow
סופה	storm
רעם	thunder
רוח	wind
חומצה	acid
כימיקל	chemical
element יסוד כימי	chemical
פחם	coal
אבק	dust
שומן	fat
זכוכית	glass
דבק	glue
גלידה	ice
ברזל	iron
עור	leather
element מתכת	metallic
נפט	oil
רעל	poison
חול	sand
משי	silk
סבון	soap
פלדה	steel
עץ	wood
צמר	wool
תיק (tik)	bag
סל	basket
בקבוק	bottle
מגרה	drawer
מעטפה	envelope
צלחת	plate
פעמון	bell
לחצן	button
רובה	gun
פטיש	hammer
מפתח	key
מנעול	lock
גפרור	match
מסמר	nail
מחט	needle
משאבה	pump
חבל	rope
מספריים	scissors
קפיץ	spring
בול	stamp
שוט	whip
סכום	addition
זווית	angle
שטח	area
מעגל	circle
עקומה	curve
מעלה	degree
רמה	degree
שוני	difference
מרחק	distance
קצה	edge
רכיב	element
חצי	half
גבול	limit
ישר	line
רשת	net
אחוז	percent
פונקציה	purpose
כלל	rule
קבוצה	set
ריבוע	square
ריבוע	square
פני שטח	surface
פעולה	action
פעילות	activity
הרחבה	addition
כמות	amount
מתקפה	attack
נסיון	attempt
התנהגות	behavior
מכה	blow
בידור	break
מסע קידום	campaign
מופע	case
הזדמנות	chance
שינוי	change
מצב	condition
מחבר	connection
סכנה	danger
מוות	death
קישוט	decoration
טיפה	drop
נפילה	fall
מאמר	feature
חזית	front
חור (m)	hole
אינטרנט	internet
בעיטה	kick
סוג (soog) (m)	kind
קשר	knot
רשימה	list
רוב	majority
רוח (f), מוח (m)	mind
ביצועים	operation
חלק	part
כוח	power
מאפיין	property
איכות	quality
דין וחשבון	report
מנוחה	rest
דבר	thing
טיפול	treatment
אמנות	art
אמן	artist
מברשת	brush
צבעים	color
קונצרט	concert
עיצוב	design
בידור	entertainment
דיו	ink
אופן	manner
סרט	movie
מוזאון	museum
מוזיקה	music
תו	note
תזמורת	orchestra
צבע	paint
תמונה	painting
נייר	paper
עט	pen
עיפרון	pencil
תמונה	picture
שירה	poetry
קצב	rhythm
צורה	shape
זמר	singer
זמר	song
סגנון	style
חשבון	account
יתרון	advantage
פרסומת	advertisement
עצה	advice
קשב	attention
מתן הרשאות	authority
שטר כסף	banknote
הון	capital
המחאה	cheque
ועדה	committee
תחרות	competition
חוזה	contract
עלות	cost
עיצה	council
לקוח	customer
צורך	demand
מחלקה	department
קושי	difficulty
מנהל	director
משטר כלכלי	economy
נסיון	experience
טופס	form
לקבץ	group
עזרה	help
חופשה	holiday
הכנסה	income
תעשייה	industry
ביטוח	insurance
ריבית	interest
חשבונית	invoice
משימה	job
דין	law
ניהול	management
סמן	mark
שוק	market
חומר גלם	material
פגישה	meeting
כסף	money
עבודה	occupation
משרד	office
פעולה	operation
חבילה	package
בעיה (f) (1)	problem
תוצר	product
רכוש	property
שארית	rest
זכות	right
פלג	section
שירות	service
מניה	share
חנות	shop
מיומנות	skill
מבנה	structure
טבלה	table
מס	tax
צוות	team
מסחר	trade
ערך	value
עבודה	work
עובד	worker
הכרזה	announcement
תגובה	answer
ארגומנט	argument
סֵפֶר	book
שיחה	call
גרפמה	character
מחלוקת	controversy
נתונים	data
החלטה	decision
מילון	dictionary
דיון	discussion
הרגשה (hargasha) (f)	feeling
הומור	humor
רעיון	idea
ראיון	interview
בלשנות	language
שפה טבעית	language
תו	letter
מכתב	letter
שקר לבן	lie
הבעת פנים	look
כתב עת	magazine
דאר	mail
זיכרון	memory
תקלה	mistake
שם (šem) (m)	name
עיתון	newspaper
ביאור	note
מספר	number
דף	page
הגייה	pronunciation
הצעה	proposal
מחאה	protest
שאילתה	question
תגובה	reaction
תבונה	reason
סוד (m)	secret
משפט	sentence
סימן	sign
כתיב	spelling
הצהרה'הַצְהָרָה (ha-tseharah) (f)	statement
עצם	subject
קול	voice
מילה	word
כתיבה	writing
day (shalom)	good
luck בהצלחה (behatzlecha)	good
morning בוקר טוב (bóker tov)	good
הלו	hello
are you מה שלומך (ma shlomkha?),	how
thanks תודה רבה (todá rabá)	many
לא (lo)	no
you very much תודה רבה (todá rabá)	thank
כ	yes
בריטניה	Britain
סין	China
Republic הרפובליקה הצ'כית	Czech
הרפובליקה של צרפת	France
הרפובליקה הפדרלית של גרמניה	Germany
הרפובליקה של הודו	India
איטליה	Italy
יפן	Japan
ממלכת ספרד	Spain
States of America ארצות הברית	United
מצלמה	camera
phone טלפון סלולרי	cellular
שעון	clock
מחשב	computer
מעלית	elevator
מנוע	engine
מכונה	machine
תנור	oven
טלוויזיה (televizia) (f)	television
שעון	watch
כיתה	class
חינוך	education
פדגוגיה	education
ציון	grade
הכרה	knowledge
תלמיד	student
מורה	teacher
תרגול	training
פחד	fear
שנאה	hate
אהבה	love
עונג	pleasure
הלם	shock
נזלת	cold
שיעול	cough
מחלה	disease
רופא	doctor
בריאות	health
וסת	menstruation
אח	nurse
כאב	pain
חולה	patient
להב	blade
שלשלת	chain
אלה	club
נוצה	feather
דגל	flag
מסגרת	frame
נקודת אחיזה	handle
תפריט	menu
האם (ha-óm)	nut
סיכה	pin
צינור	pipe
בול דואר	postage
מתנה	present
מפרש	sail
זרע	seed
מקל	stick
סלע	stone
גלגל	wheel
תיל	wire
מטען חשמלי	charge
אנרגיה	energy
אור	light
מסה	mass
מדידה	measurement
מראה	mirror
לחץ	pressure
תהליך	process
קול	sound
אדים	steam
כוח	strength
זמן	time
יחידה	unit
משקל	weight
חבר (m)	boyfriend
פעילות	date
אורח	guest
נשיקה	kiss
מסיבה	party
מין	sex
חיוך	smile
הפתעה	surprise
בקר	visit
ביולוגיה	biology
סיבה	cause
כימיה	chemistry
השוואה	comparison
השפעה	consequence
בקרה	control
אירוע	event
עובדה	fact
ליבה	kernel
פעולת שירות	method
מופע	phase
פרוצדורה	procedure
תוכנית	program
פרוייקט	project
מחקר	research
מדע	science
חברה	society
מערכת	system
טכנולוגיה	technology
תאוריה	theory
בעיה	trouble
משתמש	user
צבא	army
בסיס	base
גילדה	club
פלוגה	company
מדינה	country
בית משפט	court
עבירה	crime
תרבות	culture
רפובליקה	democracy
בחירות	election
קיום	existence
ממשלה	government
היסטוריה	history
מלך	king
חבר	member
אומה	nation
רעש	noise
ארגון	organization
דרכון	passport
שלום	peace
בני אדם	people
משטרה	police
אוכלוסייה	population
ענישה	punishment
רוחניות ואמונה	religion
דת	religion
מדינה	state
איחוד	union
מלחמה	war
צוואה	will
כדור	ball
כדור בסיס	baseball
אופניים	bike
יריב	competitor
גביע	cup
כדורגל	football
משחק	game
שער	goal
יעד	goal
זהב	gold
גולף	golf
שחקן	player
כסף	silver
