Portuguese	﻿English
outro	another
mau	bad
básico	basic
lindo	beautiful
melhor	best
melhor	better
grande	big
limpo	clean
frio	cold
certo	correct
escuro	dark
difícil	difficult
sujo	dirty
rápido	fast
bom	good
grande	great
formidável	great
feliz	happy
sadio	healthy
pesado	heavy
quente	hot
importante	important
esquerdo	left
leve	light
pequeno	little
próximo	near
novo	new
simpático	nice
verdadeiro	real
direito	right
agudo	sharp
semelhante	similar
lento	slow
macio	soft
forte	strong
fraco	weak
errado	wrong
tudo	all
qualquer	any
automático	automatic
disponível	available
amargo	bitter
enfadonho	boring
ambos	both
claro	bright
quebrado	broken
central	central
certo	certain
barato	cheap
químico	chemical
limpo	clear
fechado	closed
vulgar	common
comum	common
completo	complete
consciente	conscious
cruel	cruel
perigoso	dangerous
delicado	delicate
triste	deplorable
diferente	different
diferente	different
abaixo	down
seco	dry
cada	each
começo	early
fácil	easy
poupado	economic
poupado	economic
eléctrico	electric
igual	equal
par	even
cada	every
excelente	excellent
falso	fake
longe	far
gordo	fat
grande	fat
pouco	few
final	final
financeiro	financial
firme	firm
raso	flat
seguinte	following
estrangeiro	foreign
passado	former
delicado	fragile
gratuito	free
frequente	frequent
fresco	fresh
cheio	full
total	full
mais longe	further
futuro	future
geral	general
industrial	industrial
interessante	interesting
internacional	international
último	last
tarde	late
legal	legal
líquido	liquid
local	local
alto	loud
baixo	low
afortunado	lucky
principal	main
principal	major
muitos	many
metálico	metal
militar	military
moderno	modern
mais	more
muito	much
estreito	narrow
nacional	national
natural	natural
necessário	necessary
vizinho	next
nenhum	no
normal	normal
fora de	off
sobre	on
oposto	opposite
original	original
outro	other
próprio	own
paralelo	parallel
especial	particular
passado	past
pessoal	personal
físico	physical
político	political
pobre	poor
popular	popular
possível	possible
presente	present
prévio	previous
privado	private
provável	probable
profissional	professional
público	public
calado	quiet
pronto	ready
recente	recent
regular	regular
responsável	responsible
rígido	rigid
brutal	rough
redondo	round
seguro	safe
mesmo	same
segundo	second
clandestino	secret
separado	separate
sério	serious
prescrito	set
vários	several
curto	short
silencioso	silent
simples	simple
único	single
pequeno	small
macio	smooth
sólido	solid
ralo	sparse
especial	special
específico	specific
quadrado	square
delicado	squeamish
uniformizado	standard
viscoso	sticky
direito	straight
estranho	strange
elegante	stylish
súbito	sudden
doce	sweet
alto	tall
grossa	thick
fino	thin
apertado	tight
verdadeiro	true
feio	ugly
debaixo de	under
invulgar	unusual
vulgar	usual
diverso	various
quente	warm
molhado	wet
inteiro	whole
