English	Asturian
10	10
100	100
1000	1000
101	101
105	105
11	11
110	110
115	115
12	12
120	120
125	125
13	13
130	130
135	135
14	14
140	140
144	144
145	145
15	15
150	150
1530s	Años 1530
155	155
16	16
160	160
165	165
17	17
170	170
1728	1728
175	175
1750s	Años 1750
1760s	Años 1760
1770s	Años 1770
1780s	Años 1780
1790s	Años 1790
18	18
180	180
1820s	Años 1820
1830s	Años 1830
1840s	Años 1840
1850s	Años 1850
1860s	Años 1860
1870s	Años 1870
1880s	Años 1880
1890s	Años 1890
19	19
190	190
1900s	Años 1900
1920s	Años 1920
1930s	Años 1930
1940s	Años 1940
1950s	Años 1950
1960s	Años 1960
1970s	Años 1970
1980s	Años 1980
1990s	Años 1990
2	2
2 (number)	Dos
20	20
200	200
21	21
22	22
23	23
24	24
25	25
26	26
27	27
28	28
29	29
3	3
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
40	40
400	400
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
50	50
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
AIDS	SIDA
Abdomen	Abdome
Abortion	Albuertu
Abraham Lincoln	Abraham Lincoln
Academy Award	Premios Oscar
Acceleration	Aceleración
Acorn	Llande
Acre	Acre (unidá de superficie)
Acre	San Xuan d'Acre
Acre (state)	Acre (Brasil)
Actinide	Actínidu
Actor	Actor
Adam Smith	Adam Smith
Adolf Hitler	Adolf Hitler
Aegean Sea	Mar Exéu
Aerodynamics	Aerodinámica
Afghanistan	Afganistán
Afghanistan	Categoría:Afganistán
Africa	África
Africa	Categoría:África
Afrikaans	Afrikaans
Agriculture	Agricultura
Agriculture	Categoría:Agricultura
Al Gore	Al Gore
Alabama	Alabama
Alan Turing	Alan Turing
Alaska	Alaska
Albania	Albania
Albania	Categoría:Albania
Albedo	Albedu
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albuquerque	Albuquerque, Nuevu Méxicu
Alcohol	Alcohol
Aldebaran	Aldebarán
Alexander Graham Bell	Alexander Graham Bell
Alexander the Great	Alexandru Magno
Alfred Hitchcock	Alfred Hitchcock
Algebra	Álxebra
Algebra	Categoría:Álxebra
Algeria	Arxelia
Algeria	Categoría:Arxelia
Algorithm	Algoritmu
Alkali metal	Alcalín
Allergy	Alerxa
Alpha (letter)	Alfa
Alphabet	Alfabetu
Alps	Alpes
Altair	Altair
Aluminium	Aluminiu
Alzheimer's disease	Alzheimer
Amazon River	Ríu Amazones
Amber	Ámbar
Amelia Earhart	Amelia Earhart
American Civil War	Guerra de Secesión
American Standard Code for Information Interchange	ASCII
Amerigo Vespucci	Amerigo Vespucci
Ampere	Amperiu
Amsterdam	Amsterdam
Anarchism	Anarquismu
Anchorage	Anchorage
Andalusia	Andalucía
Anders Celsius	Anders Celsius
Andes	Andes
Andorra	Andorra
Andorra	Categoría:Andorra
Anemometer	Anemómetru
Anesthesia	Anestesioloxía y reanimación
Angle	Ángulu
Angola	Angola
Angola	Categoría:Angola
Animal	Animal
Animal husbandry	Ganadería
Anime	Anime
Annapolis	Annapolis, Maryland
Anode	Ánodu
Ant	Formiga
Antarctica	Antártida
Anthropology	Antropoloxía
Anthropology	Categoría:Antropoloxía
Antigua and Barbuda	Antigua y Barbuda
Antipope	Antipapa
Antoine Lavoisier	Antoine Lavoisier
Anton Chekhov	Anton Chekhov
Aorta	Aorta
Apple	Malus domestica
April	Abril
April 14	14 d'abril
Aquarium	Acuariu (recipiente)
Arab League	Lliga d'Estaos Árabes
Arabian Peninsula	Arabia
Arabic alphabet	Alfabetu árabe
Arabic language	Idioma Árabe
Aragon	Aragón
Archaeology	Arqueoloxía
Archaeology	Categoría:Arqueoloxía
Architecture	Arquiteutura
Architecture	Categoría:Arquiteutura
Arctic Ocean	Océanu Glacial Árticu
Are	Área (unidá de superficie)
Argentina	Arxentina
Argentina	Categoría:Arxentina
Argon	Argón
Aries (constellation)	Aries
Aristotle	Aristóteles
Arithmetic	Aritmética
Arizona	Arizona
Arkansas	Arkansas
Armenia	Armenia
Armenia	Categoría:Armenia
Armenian language	Armeniu
Arquebus	Arcabuz
Art	Arte
Art Deco	Art Decó
Artemis	Artemisa
Artillery	Artillería
Arts	Categoría:Artes
Asclepius	Asclepiu
Asia	Asia
Asia	Categoría:Asia
Aspirin	Aspirina
Asteroid	Asteroide
Asteroid belt	Cinturón d'asteroides
Astrolabe	Astrolabiu
Astrology	Astroloxía
Astrology	Categoría:Astroloxía
Astronomer	Astrónomu
Astronomical unit	Unidá astronómica
Astronomy	Astronomía
Astronomy	Categoría:Astronomía
Athena	Atenea
Athens	Atenes
Atlanta	Atlanta
Atlantic Ocean	Océanu Atlánticu
Atlantis	Atlántida
Atom	Átomu
Atomic mass	Masa atómica
Atomic mass unit	Unidá de masa atómica
Atomic number	Númberu atómicu
August	Agostu
August 1	1 d'agostu
August 15	15 d'agostu
August 6	6 d'agostu
Augusta	Augusta, Maine
Auguste Comte	Auguste Comte
Augustine of Hippo	Agustín d'Hipona
Augustus	César Augustu
Australia	Australia
Australia	Categoría:Australia
Australian dollar	Dólar australianu
Austria	Austria
Austria	Categoría:Austria
Automobile	Automóvil
Autumn	Seronda
Auvergne (region)	Auvernia
Avalanche	Ádene
Avena	Avena
Aviation	Categoría:Aviación
Axe	Hachu
Azerbaijan	Azerbaiyán
Azimuth	Acimut
Aztec	Mexica
B	B
Babylonia	Babilonia
Badminton	Bádminton
Bahrain	Bahrein
Balearic Islands	Islles Baleares
Balkans	Balcanes
Baltic Sea	Mar Bálticu
Baltimore	Baltimore
Banana	Plátanu
Bangladesh	Bangladesh
Banknote	Billete
Barbados	Barbados
Barcelona	Barcelona
Barley	Cebada
Barn Owl	Curuxa
Bat	Esperteyu
Battle of Lepanto (1571)	Batalla de Lepanto
Battle of Thermopylae	Batalla de les Termópiles
Bavaria	Estáu Llibre de Baviera
Beach	Sablera
Bear	Osu
Bee	Abeya
Beer	Cerveza
Beijing	Pequín
Belarus	Bielorrusia
Belarus	Categoría:Bielorrusia
Belgium	Bélxica
Belgium	Categoría:Bélxica
Belgrade	Belgradu
Belize	Belice
Belize	Categoría:Belice
Belo Horizonte	Belo Horizonte
Benin	Benin
Benin	Categoría:Benín
Benito Mussolini	Benito Mussolini
Berlin	Berlín
Bermuda	Islles Bermudes
Berne	Berna
Beryllium	Beriliu
Beta (letter)	Beta
Beta decay	Emisión beta
Beverly Hills	Beverly Hills
Bhutan	Bután
Bhutan	Categoría:Bhutan
Bible	Biblia
Bible	Categoría:Biblia
Bicycle	Bicicleta
Big Bang	Teoría del Big Bang
Bill Gates	Bill Gates
Billy Wilder	Billy Wilder
Biochemistry	Bioquímica
Biography	Biografía
Biology	Bioloxía
Biology	Categoría:Bioloxía
Biophysics	Biofísica
Bird	Páxaru
Bismarck	Bismarck, Dakota del Norte
Bit	Bit
Black Forest	Selva Prieta
Black Sea	Mar Negru
Black hole	Furacu prietu
Blackbird	Ñerbatu
Blog	Blogue
Blue	Azul
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Boiling point	Puntu d'ebullición
Bolivia	Bolivia
Bolivia	Categoría:Bolivia
Bolshevik	Bolxevique
Book of Joshua	Xosué
Book of Judges	Xueces
Book of Mormon	Llibru del Mormón
Book of Numbers	Númberos
Book of Revelation	Apocalipsis
Boolean algebra (structure)	Álxebra de Boole
Bordeaux	Bordeos
Boron	Boru
Bosnia and Herzegovina	Bosnia-Herzegovina
Bosnia and Herzegovina	Categoría:Bosnia-Herzegovina
Bosporus	Bósforo
Bot	Plantía:Bot
Botany	Botánica
Botswana	Botsuana
Botswana	Categoría:Botswana
Bowling	Bolos
Boxing	Boxéu
Boyle's law	Llei de Boyle-Mariotte
Bratislava	Bratislava
Brazil	Brasil
Brazil	Categoría:Brasil
Bread	Pan
Bretagne	Bretaña
Bridges	Categoría:Pontes
British Isles	Islles britániques
British people	Categoría:Británicos
Bronze	Bronce
Bronze Age	Edá de Bronce
Brown	Marrón
Brown Bear	Osu Pardu
Bruce Lee	Bruce Lee
Brunei	Brunei
Brussels	Bruseles
Bucharest	Bucarest
Budapest	Budapest
Buddhism	Budismu
Bulgaria	Bulgaria
Bulgaria	Categoría:Bulgaria
Burkina Faso	Burkina Faso
Burkina Faso	Categoría:Burkina Faso
Burma	Myanmar
Burma	Categoría:Myanmar
Butter	Mantega
Butterfly	Pumarina
Byte	Byte
C	C
C (programming language)	Llinguaxe de programación C
Cabaret	Cabaré
Calcium	Calciu
Calendar	Repertoriu
California	California
California	Categoría:California
Cambodia	Camboya
Cambodia	Categoría:Camboya
Cameroon	Camerún
Cameroon	Categoría:Camerún
Canada	Canadá
Canada	Categoría:Canadá
Canadian dollar	Dólar canadiense
Canary Islands	Canaries
Canary Islands	Categoría:Canaries
Cancer (constellation)	Cáncer (constelación)
Canidae	Canidae
Cape Horn	Cabu d'Hornos
Cape Town	Ciudá del Cabu
Cape Verde	Cabu Verde
Cape Verde	Categoría:Cabu Verde
Cape of Good Hope	Cabu de Bona Esperanza
Capital punishment	Pena de muerte
Capitalism	Capitalismu
Caracas	Caracas
Carbon	Carbonu
Card game	Xuegu de cartes
Cardiology	Cardioloxía
Caribbean Sea	Mar Caribe
Carnival	Antroxu
Carson City	Carson City, Nevada
Cartography	Cartografía
Castle	Castiellu
Castries	Castries
Cat	Gatu
Catalonia	Cataluña
Catalonia	Categoría:Cataluña
Catharism	Catarismu
Cathode	Cátodu
Cayman Islands	Islles Caimán
Cecil Rhodes	Cecil Rhodes
Celestial equator	Ecuador celeste
Celestial sphere	Esfera celeste
Cenozoic	Cenozoicu
Central African Republic	República Centroafricana
Central America	América Central
Central nervous system	Sistema nerviosu central
Century	Sieglu
Ceres (dwarf planet)	1 Ceres
Chad	Chad
Chad	Categoría:Chad
Champagne (wine)	Xampán
Charlemagne	Carlomagno
Charles Darwin	Charles Darwin
Charles de Gaulle	Charles de Gaulle
Charleston	Charleston, Virxinia Occidental
Charlie Chaplin	Charles Chaplin
Che Guevara	Ernesto Guevara de la Serna
Cheese	Quesu
Chemical element	Elementu químicu
Chemistry	Química
Chemistry	Categoría:Química
Chess	Axedrez
Child	Neñu
Chile	Chile
Chile	Categoría:Chile
China	Categoría:China
Chlorine	Cloru
Chocolate	Chicolate
Chordate	Chordata
Christianity	Cristianismu
Christianity	Categoría:Cristianismu
Christopher Columbus	Cristóbal Colón
Chromium	Cromu (elementu)
Church	Ilesia
Cider	Sidra
Circle	Círculu
Circulatory system	Sistema cardiovascular
Clothing	Categoría:Indumentaria
Clothing	Ropa
Coast	Costa
Codeine	Codeína
Coffee	Café
Coin	Moneda
Colombia	Colombia
Colombia	Categoría:Colombia
Color	Color
Colorado	Colorado
Columbia	Columbia, Carolina del Sur
Columbidae	Palomba
Coma	Coma (médicu)
Comet	Cometa
Comma (punctuation)	Coma (puntuación)
Commonwealth of Nations	Mancomunidá Británica de Naciones
Communication	Categoría:Comunicaciones
Communism	Comunismu
Communism	Categoría:Comunismu
Comoros	Comores
Comoros	Categoría:Comores
Compiler	Compilador
Computer	Computadora
Computer file	Ficheru informáticu
Computer hardware	Soporte físicu
Computer programming	Programación
Computer science	Informática
Computer software	Programa d'ordenador
Concord	Concord, New Hampshire
Confederate States of America	Estaos Confederaos d'América
Confucius	Confucio
Connecticut	Connecticut
Consonant	Consonante
Constellation	Constelación
Constitution (political)	Constitución
Continent	Continente
Contract	Contratu
Coordinate system	Coordenada
Coordinated Universal Time	Tiempu Coordináu Universal
Copyright	Derechos d'autor
Cornwall	Cornualles
Costa Rica	Costa Rica
Coulomb	Culombiu
Cretaceous	Cretácicu
Crete	Creta
Croatia	Croacia
Croatia	Categoría:Croacia
Cronus	Cronos
Crucifixion	Crucifixón
Cuba	Cuba
Cuba	Categoría:Cuba
Cubic metre	Metru cúbicu
Culture	Cultura
Culture	Categoría:Cultura
Curitiba	Curitiba
Currency	Categoría:Monedes
Cybele	Cibeles
Cylinder (geometry)	Cilindru
Cyprus	Chipre
Cyprus	Categoría:Chipre
Cyrillic alphabet	Alfabetu cirílicu
Czech Republic	República Checa
Czech Republic	Categoría:República Checa
D	D
DNA	Ácidu desoxirribonucleicu
DVD	DVD
Dagger	Daga
Dam	Presa d'agua
Dance	Danza
Dance	Categoría:Danza
Dante Alighieri	Dante Alighieri
Danube	Ríu Danubiu
Dark matter	Materia escuro
Darwin	Darwin
Data structure	Estructura de datos
Day	Día
Dead Sea	Mar Muertu
December	Avientu
December 31	31 d'avientu
December 8	8 d'avientu
Declination	Declinación (astronomía)
Degree (angle)	Grau sexaxesimal
Delaware	Delaware
Delta (letter)	Delta
Democracy	Democracia
Democratic Party (United States)	Partíu Demócrata de los Estaos Xuníos
Democratic Republic of the Congo	República Democrática del Congo
Demography	Demografía
Demography	Categoría:Demografía
Denmark	Dinamarca
Denmark	Categoría:Dinamarca
Density	Densidá (física)
Desert	Ermu
Deuterium	Deuteriu
Deuteronomy	Deuteronomiu
Dew	Rosada
Diabetes mellitus	Diabetes
Diacritic	Diacríticu
Dialectic	Dialéutica
Dialectical materialism	Materialismu dialéuticu
Diameter	Diámetru
Diana	Diana Spencer
Diarrhea	Foria
Dictatorship	Dictadura
Dictionary	Diccionariu
Dinosaur	Dinosauriu
Disambiguation	Categoría:Uiquipedia:Dixebra
Disease	Enfermedá
Dmitri Mendeleev	Dimitri Ivánovich Mendeléyev
Dog	Perru
Doha	Doha
Dolmen	Dolmen
Dolphin	Toliña
Dominica	Dominica
Dominica	Categoría:Dominica
Dominican Republic	República Dominicana
Door	Puerta
Dresden	Dresde
Druid	Druidismu
Drum	Tambor
Dubai	Dubai
Dublin	Ciudá de Dublín
Duck	Coríu
Duke University	Universidá de Duke
E	E
E-mail	Corréu electrónicu
ETA	Euskadi Ta Askatasuna
Earth	Tierra
East Germany	República Democrática Alemana
East Timor	Timor Oriental
East Timor	Categoría:Timor Oriental
Eastern Orthodox Church	Ilesia ortodoxa
Eccentricity (mathematics)	Escentricidá
Echidna (mythology)	Equidna (mitoloxía)
Ecliptic	Eclíptica
Ecology	Ecoloxía
Ecology	Categoría:Ecoloxía
Economics	Economía
Economics	Categoría:Economía
Economy	Economía
Ecuador	Ecuador
Ecuador	Categoría:Ecuador
Edgar Allan Poe	Edgar Allan Poe
Edgar Rice Burroughs	Edgar Rice Burroughs
Edinburgh	Edimburgo
Edmund Hillary	Edmund Hillary
Education	Educación
Education	Categoría:Educación
Edward Jenner	Edward Jenner
Egg (biology)	Güevu (bioloxía)
Egypt	Exipto
Eiffel Tower	Torre Eiffel
El Cid	Rodrigo Díaz de Vivar
El Paso	El Paso, Texas
El Salvador	El Salvador
Elbe	Ríu Elba
Electricity	Lletricidá
Electromagnetic spectrum	Espectru electromagnéticu
Electron	Electrón
Electronegativity	Electronegatividá
Elephant	Elefante
Ellipse	Elipse
Elm	Llamera
Energy	Enerxía (física)
Engineering	Inxeniería
Engineering	Categoría:Inxeniería
England	Inglaterra
English Channel	Canal de la Mancha
English language	Inglés
English language	Categoría:Inglés
Enrico Fermi	Enrico Fermi
Enthalpy	Entalpía
Eocene	Eocenu
Eos	Eos
Epicurus	Epicuru
Epigraphy	Epigrafía
Epsilon	Epsilon
Equator	Llinia ecuatorial
Equatorial Guinea	Guinea Ecuatorial
Eratosthenes	Eratóstenes
Eris (dwarf planet)	136199 Eris
Eris (mythology)	Eris
Esperanto	Esperanto
Estonia	Categoría:Estonia
Ethiopia	Etiopía
Ethiopia	Categoría:Etiopía
Etymology	Etimoloxía
Euclid	Euclides
Eukaryote	Eukaryota
Euphemism	Eufemismu
Euphrates	Éufrates
Eurasia	Eurasia
Euro	Euru
Europa (moon)	Europa (lluna)
Europe	Europa
Europe	Categoría:Europa
European Union	Xunión Europea
European Union	Categoría:Xunión Europea
Even-toed ungulate	Artiodactyla
Executive (government)	Poder executivu
Exodus	Éxodu
Expo (exhibition)	Esposición Universal
Eye	Güeyu
F	F
Fairy	fada
Falkland Islands	Islles Malvines
Farad	Faradiu
Fascism	Fascismu
February	Febreru
February 12	12 de febreru
February 14	14 de febreru
February 2	2 de febreru
February 22	22 de febreru
February 29	29 de febreru
Federated States of Micronesia	Estaos Federaos de Micronesia
Feminism	Feminismu
Fencing	Esgrima
Ferdinand Magellan	Fernão de Magalhães
Ferdinand de Saussure	Ferdinand de Saussure
Fermentation (biochemistry)	Formentación
Fidel Castro	Fidel Castro
Fiji	Fiyi
Film	Categoría:Cine
Fingerprint	Buelga dactilar
Finland	Finlandia
Finland	Categoría:Finlandia
First Epistle to the Corinthians	1Corintios
First language	Llingua materna
Fish	Pexe
Fish	Categoría:Pexes
Florida	Florida
Flour	Fariña
Fluorite	Fluorita
Fog	Borrina
Food	Alimentu
Foot	Pie (anatomía)
Foot (unit of length)	Pie (unidá)
Force	Fuercia
Forest	Viesca
Fox	Raposu
France	Francia
France	Categoría:Francia
Francis Drake	Francis Drake
Francisco Franco	Francisco Franco
Frankfort	Frankfort, Kentucky
Frankfurt	Frankfurt
Franz Kafka	Franz Kafka
French Revolution	Revolución Francesa
French people	Categoría:Franceses
Frequency	Frecuencia
Friday	Vienres
Friedrich Engels	Friedrich Engels
Full moon	Lluna enllena
Fundamental	Categoría:Principal
Fundamentalism	Fundamentalismu relixosu
Fungus	Fungi
G	G
GNOME	GNOME
Gabon	Gabón
Gaia (mythology)	Gaia
Galaxy	Galaxa
Galicia (Central Europe)	Galicia (Europa central)
Galicia (Spain)	Galicia
Galileo Galilei	Galileo Galilei
Galley	Galera
Game	Xuegu
Gamma	Gamma
Gamma ray	Radiación gamma
Ganymede	Ganímedes (mitoloxía)
Garden	Xardín
Gas	Gas
Gastrointestinal tract	Aparatu dixestivu
Gautama Buddha	Buda Gautama
Gay	Gai
Gemini (constellation)	Xéminis
Gemstone	Xema (xeoloxía)
Genealogy	Xenealoxía
Genesis	Xénesis
Genetics	Xenética
Geodesy	Xeodesia
Geography	Xeografía
Geography	Categoría:Xeografía
Geology	Categoría:Xeoloxía
Geology	Xeoloxía
Geometry	Xeometría
Geometry	Categoría:Xeometría
Geopolitics	Xeopolítica
George Bernard Shaw	George Bernard Shaw
George Lucas	George Lucas
George Orwell	George Orwell
George W. Bush	George Walker Bush
George Washington	George Washington
Georgia (country)	Xorxa
Georgia (country)	Categoría:Xorxa
German language	Alemán
Germany	Alemaña
Germany	Categoría:Alemaña
Ghana	Ghana
Ghana	Categoría:Ghana
Ghent	Gante
Gibraltar	Xibraltar
Giordano Bruno	Giordano Bruno
Giorgio de Chirico	Giorgio de Chirico
Giraffe	Xirafa
Glacier	Glaciar
Glasnost	Glasnost
Globalization	Globalización
God	Dios
Gold	Oru
Golda Meir	Golda Meir
Googol	Googol
Graffiti	Grafiti
Gram	Gramu
Grammar	Gramática
Granada	Granada
Graphical user interface	Interfaz gráfica d'usuariu
Gravitation	Gravedá
Gray Wolf	Llobu
Great Barrier Reef	Gran barrera de coral
Great Britain	Gran Bretaña
Great Lakes	Grandes Llagos
Great Rift Valley	Gran valle del rift
Greece	Grecia
Greece	Categoría:Grecia
Greek alphabet	Alfabetu griegu
Greek alphabet	Categoría:Alfabetu griegu
Greek mythology	Mitoloxía griega
Greek mythology	Categoría:Mitoloxía griega
Greenland	Groenlandia
Greenland	Categoría:Groenlandia
Greenpeace	Greenpeace
Group (periodic table)	Grupu de la tabla periódica
Guadeloupe	Guadalupe (Francia)
Guatemala	Categoría:Guatemala
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Guinea	Guinea
Guinea-Bissau	Guinea-Bissáu
Gustav Klimt	Gustav Klimt
H	H
H. G. Wells	Herbert George Wells
Hacker	Hacker
Hades	Hades
Haiti	Haití
Halberd	Alabarda
Half-life	Periodu de semidesintegración
Halogen	Halóxenu
Hamas	Hamas
Hammurabi	Hammurabi
Hanover	Hannover
Harrisburg	Harrisburg, Pennsylvania
Harry Houdini	Harry Houdini
Hartford	Hartford, Connecticut
Havana	L'Habana
Hawaii	Hawaii
Head of state	Xefe d'Estáu
Hebrew alphabet	Alfabetu hebréu
Hecate	Hécate
Hectare	Hectárea
Helena	Helena, Montana
Helios	Heliu (mitoloxía)
Helium	Heliu (elementu)
Henri Bergson	Henri Bergson
Henry (unit)	Henriu
Henry Ford	Henry Ford
Herat	Herat (ciudá)
Hero of Alexandria	Herón d'Alexandría
Herodotus	Herodotu
Hertz	Herciu
Hesse	Hesse
Hesse	Categoría:Hesse
Hestia	Hestia
Hexagon	Hexágonu
Himalayas	Himalaya
Hippie	Hippie
Hippocrates	Hipócrates
Hiroshima	Hiroshima
Histology	Histoloxía
History	Hestoria
History	Categoría:Historia
Hokusai	Katsushika Hokusai
Hollywood	Hollywood
Holocene	Holocenu
Homer	Homero
Hominidae	Homínidu
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homosexuality	Homosexualidá
Honduras	Hondures
Honey	Miel
Hong Kong	Hong Kong
Horizon	Horizonte
Horse	Caballu
Hour	Hora
House Sparrow	Gurrión
Houston	Houston
Human	Homo sapiens sapiens
Humanities	Categoría:Ciencies humanes
Humphrey Bogart	Humphrey Bogart
Hungary	Hungría
Hungary	Categoría:Hungría
Hydrogen	Hidróxenu
Hyperion (moon)	Hiperión (satélite)
Hyperion (mythology)	Hiperión (mitoloxía)
Hypothesis	Hipótesis
I	I
Iapetus (mythology)	Xapetu (titán)
Iberian Peninsula	Península Ibérica
Ice	Xelu
Iceland	Islandia
Iceland	Categoría:Islandia
Ido	Ido
Igloo	Iglú
Iliad	Ilíada
Immanuel Kant	Immanuel Kant
Imperialism	Imperialismu
Independence	Independencia
India	India
India	Categoría:India
Indian Ocean	Océanu Índicu
Indira Gandhi	Indira Gandhi
Indonesia	Indonesia
Indonesia	Categoría:Indonesia
Inertia	Inercia
Insect	Inseutu
Insulin	Insulina
International Labour Organization	Organización Internacional del Trabayu
International Monetary Fund	Fondu Monetariu Internacional
International System of Units	Sistema Internacional d'Unidaes
Internet	Internet
Internet	Categoría:Internet
Invertebrate	Invertebráu
Io (moon)	Ío (lluna)
Ion	Ion
Iran	Irán
Iran	Categoría:Irán
Iraq	Iraq
Iraq	Categoría:Iraq
Ireland	Islla d'Irlanda
Irish Republican Army	IRA
Irish Sea	Mar d'Irlanda
Irish people	Categoría:Irlandeses
Iron	Fierro
Iron Age	Edá del Fierro
Isaac Asimov	Isaac Asimov
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Islam	Islam
Islam	Categoría:Islam
Islamabad	Islamabad
Island	Islla (xeografía)
