Persian	English
۰ (عدد)	0 (number)
۱ (میلادی)	1
۱ (عدد)	1 (number)
۱۰ (عدد)	10 (number)
۱۰۰ (میلادی)	100
رده:۱۰۰ (میلادی)	100
۱۰۰ (عدد)	100 (number)
۱۱ (عدد)	11 (number)
۱۲ (عدد)	12 (number)
۱۳ (میلادی)	13
۱۳ (عدد)	13 (number)
۱۴ (عدد)	14 (number)
۱۴۰ (میلادی)	140
۱۴۴ (میلادی)	144
۱۵ (میلادی)	15
۱۵ (عدد)	15 (number)
۱۶ (عدد)	16 (number)
۱۷ (عدد)	17 (number)
۱۸ (عدد)	18 (number)
۱۹ (عدد)	19 (number)
۱۹۰ (میلادی)	190
۲ (میلادی)	2
۲ (عدد)	2 (number)
۲۰ (عدد)	20 (number)
۲۱ (عدد)	21 (number)
۲۲ (عدد)	22 (number)
۲۴ (مجموعه تلویزیونی)	24 (TV series)
۲۸ (عدد)	28 (number)
۲۹ (عدد)	29 (number)
۳ (عدد)	3 (number)
۳۰ (میلادی)	30
۳۰ (عدد)	30 (number)
۳۱ (میلادی)	31
۳۱ (عدد)	31 (number)
۳۳ (عدد)	33 (number)
۳۴ (میلادی)	34
۳۴ (عدد)	34 (number)
۳۵ (عدد)	35 (number)
۳۶ (عدد)	36 (number)
۳۷ (عدد)	37 (number)
۳۸ (عدد)	38 (number)
۳۹ (عدد)	39 (number)
۴ (میلادی)	4
۴ (عدد)	4 (number)
۴۰ (عدد)	40 (number)
۴۱ (عدد)	41 (number)
۴۲ (عدد)	42 (number)
۴۶ (میلادی)	46
۴۸ (میلادی)	48
۵ (عدد)	5 (number)
۵۰ (عدد)	50 (number)
۶ (عدد)	6 (number)
۶۰ (عدد)	60 (number)
۶۲ (میلادی)	62
۶۴ (میلادی)	64
۷ (عدد)	7 (number)
۷۹ (میلادی)	79
۸ (عدد)	8 (number)
۸۰ (عدد)	80 (number)
۸۱ (میلادی)	81
۸۶ (میلادی)	86
۹ (عدد)	9 (number)
۹۲ (میلادی)	92
۹۹ (میلادی)	99
A	A
آ (سیریلیک)	A (Cyrillic)
ایدز	AIDS
الگول	ALGOL
آخن	Aachen
هارون	Aaron
چرتکه	Abacus
آبادان	Abadan
آبل تاسمان	Abel Tasman
گروه آبلی	Abelian group
ابردین (اسکاتلند)	Aberdeen
آبیجان	Abidjan
