Hebrew	﻿English
יפה	beautiful
גדול	big
קר	cold
קשה	difficult
במהירות	fast
טוב (tov)	good
שמח	happy
חם	hot
שמאל	left
:he:ארך'ארוך	long
חדש	new
נחמד	nice
ימין (yemín)	right
איטי	slow
חלש	weak
אחרי (ahre) (1,2), לאחר (leahar) (1,2)	after
אוטומטי	automatic
זמין	available
משעמם	boring
שניהם	both
ודאי	certain
זול	cheap
נסגר	closed
משותף (me'shutaf)	common
מסוכן	dangerous
למטה	down
קל	easy
חשמלי	electric
שווה	equal
זוגי (zoogi)	even
כל	every
לא נכון	false
סופי	final
זר	foreign
חופשי	free
תעשייתי	industrial
מעניין	interesting
בינלאומי	international
אחרון	last
נוזל	liquid
רם	loud
בר מזל (bar mazal) (m)	lucky
ראשי (Ra'shi) (m), ראשית (Ra'shit) (f)	main
מתכתי	metal
צבא	military
יותר	more
הכרחי	necessary
רגיל	normal
מקורי	original
אחר	other
מקבילי	parallel
אישי	personal
פיזי	physical
אפשרי	possible
פרטי	private
כנראה	probable
שקט	quiet
סדיר	regular
אחראי	responsible
שני (sheni) (m), שניה (shnia) (f)	second
רציני	serious
קצר	short
כסף'כֶּסֶף (késef)	silver
קטן	small
בפרט	special
מוזר	strange
פתאוםי	sudden
עוגה	sweet
אמיתי	true
רטוב (ratov)	wet
