English	Telugu
0 (number)	సున్న
1 (number)	ఒకటి
10 (number)	పది
2 (number)	రెండు
3 (number)	మూడు
6 (number)	ఆరు
7 (number)	ఏడు
8 (number)	ఎనిమిది
AIDS	ఎయిడ్స్
Abdomen	ఉదరము
Abkhazia	అబ్‌ఖజియా
Acacia	తుమ్మ
Acceleration	త్వరణము
Acne vulgaris	మొటిమ
Acupuncture	ఆక్యుపంక్చర్
Adam Smith	ఆడం స్మిత్
Adolf Hitler	ఎడాల్ఫ్ హిట్లర్
Adrenal gland	అధివృక్క గ్రంధి
Afghanistan	ఆఫ్ఘనిస్తాన్
Africa	ఆఫ్రికా
Agra	ఆగ్రా
Agriculture	వ్యవసాయం
Alan Turing	అలాన్ ట్యూరింగ్‌
Albert Einstein	ఆల్బర్ట్ ఐన్‌స్టీన్
Alexander Pushkin	అలెగ్జాండర్ పుష్కిన్
Alexander the Great	అలెగ్జాండర్
Alfred Nobel	ఆల్ ఫ్రెడ్ నోబెల్
Algeria	అల్జీరియా
Algorithm	అల్గారిథం
Alkali metal	క్షార లోహము
Aluminium	అల్యూమినియం
Amino acid	ఎమైనో ఆమ్లాలు
Amphibian	ఉభయచరము
Anatomy	శరీర నిర్మాణ శాస్త్రము
Andhra Pradesh	ఆంధ్ర ప్రదేశ్
Angola	అంగోలా
Animal	జంతువు
Animal husbandry	పశు పోషణ
Ankara	అంకారా
Annelid	అనెలిడా
Ant	చీమ
Anton Chekhov	అంటోన్ చెకోవ్
Apiaceae	అంబెల్లిఫెరె
April	ఏప్రిల్
April 14	ఏప్రిల్ 14
Arabian Sea	అరేబియా సముద్రము
Armenia	ఆర్మేనియా
Artery	ధమని
Arthritis	గౌటు
Arthropod	ఆర్థ్రోపోడా
Asbestos	రాతినార
Asia	ఆసియా
Assam	అసోం
Asteraceae	ఆస్టరేసి
Asteroid belt	ఆస్టెరాయిడ్ పట్టీ
Asthma	ఉబ్బసము
Astronaut	వ్యోమగామి
Astronomy	ఖగోళ శాస్త్రము
August	ఆగష్టు
August 1	ఆగష్టు 1
