Serbian	English
0 (број)	0 (number)
1	1
1 (број)	1 (number)
10	10
100	100
1000	1000
101	101
105	105
11	11
110	110
115	115
12	12
120	120
125	125
13	13
130	130
135	135
14	14
140	140
144	144
145	145
15	15
150	150
155	155
16	16
160	160
165	165
17	17
170	170
1728	1728
175	175
Категорија:1750-е	1750s
Категорија:1760-е	1760s
Категорија:1770-е	1770s
Категорија:1780-е	1780s
Категорија:1790-е	1790s
18	18
180	180
Категорија:1820-е	1820s
Категорија:1830-е	1830s
Категорија:1840-е	1840s
Категорија:1860-е	1860s
Категорија:1870-е	1870s
Категорија:1880-е	1880s
1890е	1890s
Категорија:1890-е	1890s
19	19
190	190
1900е	1900s
Категорија:1900-е	1900s
1920е	1920s
Категорија:1920-е	1920s
1930е	1930s
Категорија:1930-е	1930s
1940е	1940s
Категорија:1940-е	1940s
1950е	1950s
Категорија:1950-е	1950s
1960е	1960s
Категорија:1960-е	1960s
1970е	1970s
Категорија:1970-е	1970s
1980е	1980s
Категорија:1980-е	1980s
1990е	1990s
Категорија:1990-е	1990s
2	2
2 (број)	2 (number)
20	20
200	200
21	21
22	22
23	23
23 (број)	23 (number)
24	24
25	25
26	26
27	27
28	28
29	29
3	3
3 (број)	3 (number)
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
4 (број)	4 (number)
40	40
400	400
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
5 (број)	5 (number)
50	50
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (број)	6 (number)
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (број)	7 (number)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (број)	8 (number)
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (број)	9 (number)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A (слово латинице)	A
А (ћириличко)	A (Cyrillic)
Сида	AIDS
АТП	ATP
ФК АЗ Алкмар	AZ (football club)
Ахен	Aachen
Орхус	Aarhus
Арон	Aaron
Абакус (рачунање)	Abacus
Абадан	Abadan
Ава	Abbot
Абревијатор	Abbreviation
Абел Тасман	Abel Tasman
Абелова група	Abelian group
Абердин	Aberdeen
Абиџан	Abidjan
Абхазија	Abkhazia
Аболиционизам	Abolitionism
Побачај	Abortion
Аврам	Abraham
Абрахам Линколн	Abraham Lincoln
Апсинт	Absinthe
Апсолутна звездана величина	Absolute magnitude
Апсолутна вредност	Absolute value
Апсолутна нула	Absolute zero
Апсолутизам	Absolutism (European history)
Апстрактна уметност	Abstract art
Апстрактни експресионизам	Abstract expressionism
Апстракција	Abstraction
Абуџа	Abuja
Акација	Acacia
Награда Америчке филмске академије	Academy Award
Акапулко	Acapulco
Убрзање	Acceleration
Акра	Accra
Акузатив	Accusative case
Сирћетна киселина	Acetic acid
Ацетилхолин	Acetylcholine
Ацетилен	Acetylene
Хајдучка трава	Achillea millefolium
Ахил	Achilles
Киселина	Acid
Кисела киша	Acid rain
Акне	Acne vulgaris
Аконкагва	Aconcagua
Жир	Acorn
Акустика	Acoustics
Категорија:Акустика	Acoustics
Акри	Acre (state)
Акропољ	Acropolis
Актиноиди	Actinide
Актинијум	Actinium
Глумац	Actor
Дела апостолска	Acts of the Apostles
Ad hominem	Ad hominem
Ada (програмски језик)	Ada (programming language)
Адам Смит	Adam Smith
Адана	Adana
Баобаб	Adansonia
Зависност	Addiction
Адис Абеба	Addis Ababa
Сабирање	Addition
Аделејд	Adelaide
Аден	Aden
Аденин	Adenine
Аденозин трифосфат	Adenosine triphosphate
Адијабатски систем	Adiabatic process
Придеви	Adjective
Адолесценција	Adolescence
Адолф Ајхман	Adolf Eichmann
Адолф Хитлер	Adolf Hitler
Адонис	Adonis
Усвојење	Adoption
Јадранско море	Adriatic Sea
Одрасли	Adult
Прилози	Adverb
Егејско море	Aegean Sea
Енеја	Aeneas
Енеида	Aeneid
Еол	Aeolus
Аеродинамика	Aerodynamics
Аеросоли	Aerosol
Есхил	Aeschylus
Езоп	Aesop
Естетика	Aesthetics
Авганистан	Afghanistan
Категорија:Авганистан	Afghanistan
Африка	Africa
Категорија:Африка	Africa
Afroamerikanci	African American
Африканс	Afrikaans
Агамемнон	Agamemnon
Агар	Agar
Ахат	Agate
Агата Кристи	Agatha Christie
Агресија (људско понашање)	Aggression
Кичмењаци без вилица	Agnatha
Агностицизам	Agnosticism
Агора	Agora
Агорафобија	Agoraphobia
Агра	Agra
Пољопривреда	Agriculture
Категорија:Пољопривреда	Agriculture
Аикидо	Aikido
Ен (Рона-Алпи)	Ain
Ратно ваздухопловство	Air force
Ербас	Airbus
Ваздухоплов	Aircraft
Категорија:Авиони	Aircraft
Носач авиона	Aircraft carrier
Авио-компанија	Airline
Аеродром	Airport
Ајакс	Ajax
Акхенатон	Akhenaten
Акира Куросава	Akira Kurosawa
