French	English
Zéro	0 (number)
1	1
1 (nombre)	1 (number)
10	10
10 (nombre)	10 (number)
100	100
Catégorie:100	100
100 (nombre)	100 (number)
1000	1000
Catégorie:1000	1000
1000 (nombre)	1000 (number)
101	101
105	105
11	11
11 (nombre)	11 (number)
110	110
115	115
12	12
Catégorie:12	12
12 (nombre)	12 (number)
120	120
125	125
13	13
13 (nombre)	13 (number)
130	130
135	135
14	14
Catégorie:14	14
14 (nombre)	14 (number)
140	140
144	144
145	145
15	15
15 (nombre)	15 (number)
150	150
Années 1530	1530s
155	155
16	16
Catégorie:16	16
16 (nombre)	16 (number)
160	160
165	165
17	17
Catégorie:17	17
17 (nombre)	17 (number)
170	170
1728	1728
Catégorie:1728	1728
175	175
Années 1750	1750s
Catégorie:Années 1750	1750s
Années 1760	1760s
Années 1770	1770s
Catégorie:Années 1770	1770s
Années 1780	1780s
Années 1790	1790s
18	18
18 (nombre)	18 (number)
180	180
Années 1820	1820s
Années 1830	1830s
Années 1840	1840s
Années 1850	1850s
Années 1860	1860s
Années 1870	1870s
Années 1880	1880s
Années 1890	1890s
19	19
19 (nombre)	19 (number)
190	190
Années 1900	1900s
Catégorie:Années 1900	1900s
Années 1920	1920s
Catégorie:Années 1920	1920s
Années 1930	1930s
Catégorie:Années 1930	1930s
Années 1940	1940s
Catégorie:Années 1940	1940s
Années 1950	1950s
Catégorie:Années 1950	1950s
Années 1960	1960s
Catégorie:Années 1960	1960s
Années 1970	1970s
Catégorie:Années 1970	1970s
Années 1980	1980s
Catégorie:Années 1980	1980s
Années 1990	1990s
Catégorie:Années 1990	1990s
2	2
2 (nombre)	2 (number)
20	20
20 (nombre)	20 (number)
200	200
21	21
21 (nombre)	21 (number)
22	22
22 (nombre)	22 (number)
23	23
23 (nombre)	23 (number)
24	24
24 heures chrono	24 (TV series)
24 (nombre)	24 (number)
25	25
25 (nombre)	25 (number)
26	26
26 (nombre)	26 (number)
27	27
27 (nombre)	27 (number)
28	28
28 (nombre)	28 (number)
29	29
29 (nombre)	29 (number)
3	3
3 (nombre)	3 (number)
30	30
30 (nombre)	30 (number)
300	300
31	31
31 (nombre)	31 (number)
32	32
32 (nombre)	32 (number)
33	33
33 (nombre)	33 (number)
34	34
34 (nombre)	34 (number)
35	35
35 (nombre)	35 (number)
36	36
36 (nombre)	36 (number)
37	37
37 (nombre)	37 (number)
38	38
38 (nombre)	38 (number)
39	39
39 (nombre)	39 (number)
4	4
4 (nombre)	4 (number)
40	40
40 (nombre)	40 (number)
400	400
41	41
41 (nombre)	41 (number)
42	42
42 (nombre)	42 (number)
43	43
43 (nombre)	43 (number)
44	44
45	45
45 (nombre)	45 (number)
46	46
46 (nombre)	46 (number)
47	47
48	48
49	49
49 (nombre)	49 (number)
5	5
5 (nombre)	5 (number)
50	50
50 (nombre)	50 (number)
500	500
Catégorie:500	500
51	51
52	52
