English	Greek
0 (number)	Μηδέν
1	1
10	10
100	100
1000	1000
101	101
105	105
11	11
110	110
115	115
12	12
120	120
125	125
13	13
130	130
135	135
14	14
140	140
144	144
145	145
15	15
150	150
155	155
16	16
160	160
165	165
17	17
170	170
1728	1728
175	175
18	18
180	180
1870s	Κατηγορία:Δεκαετία 1870
1880s	Κατηγορία:Δεκαετία 1880
1890s	Κατηγορία:Δεκαετία 1890
19	19
190	190
1900s	Δεκαετία 1900
1900s	Κατηγορία:Δεκαετία 1900
1920s	Δεκαετία 1920
1920s	Κατηγορία:Δεκαετία 1920
1930s	Δεκαετία 1930
1930s	Κατηγορία:Δεκαετία 1930
1940s	Δεκαετία 1940
1940s	Κατηγορία:Δεκαετία 1940
1950s	Δεκαετία 1950
1950s	Κατηγορία:Δεκαετία 1950
1960s	Δεκαετία 1960
1960s	Κατηγορία:Δεκαετία 1960
1970s	Δεκαετία 1970
1970s	Κατηγορία:Δεκαετία 1970
1980s	Δεκαετία 1980
1980s	Κατηγορία:Δεκαετία 1980
1990s	Δεκαετία 1990
1990s	Κατηγορία:Δεκαετία 1990
2	2
20	20
200	200
21	21
22	22
23	23
24	24
24 (TV series)	24 (τηλεοπτική σειρά)
25	25
26	26
27	27
28	28
29	29
3	3
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
40	40
400	400
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
50	50
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (number)	Seven
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
ABC	ABC
AIDS	AIDS
Aachen	Άαχεν
Aalborg	Άλμπορκ
Aar	Άαρ
Aarhus	Ώρχους
Aaron	Ααρών
Abacus	Άβακας
Abbot	Αββάς
Abbreviation	Συντομογραφία
Abel Tasman	Άμπελ Τάσμαν
Abelian group	Αβελιανή ομάδα
Aberdeen	Αμπερντήν
Abkhazia	Αμπχαζία
Abkhazia	Κατηγορία:Αμπχαζία
Abortion	Έκτρωση
Abraham	Αβραάμ
Abraham Lincoln	Αβραάμ Λίνκολν
Absolute zero	Απόλυτο μηδέν
Absolutism (European history)	Απολυταρχία
Abstract art	Αφηρημένη τέχνη
Abstract expressionism	Αφηρημένος Εξπρεσιονισμός
Acacia	Ακακία
Academy Award	Όσκαρ
Acceleration	Επιτάχυνση
Accountancy	Λογιστική
Accountancy	Κατηγορία:Λογιστική
Accra	Άκρα
Accusative case	Αιτιατική
Acetic acid	Οξικό οξύ
Acetone	Ακετόνη
Acetylcholine	Ακετυλοχολίνη
Acetylene	Αιθίνιο
Acheron	Αχέρων
Achilles	Αχιλλέας
Acid	Οξύ
Acne vulgaris	Ακμή
Acoustics	Ακουστική
Acre	Έικρ
Acre	Αντιόχεια (της Πτολεμαΐδος)
Actinide	Ακτινίδες
Actinium	Ακτίνιο
Actor	Ηθοποιός
Ad hominem	Ad hominem
Ada (programming language)	Ada
Adam	Αδάμ
Adam Smith	Άνταμ Σμιθ
Adana	Άδανα
Adansonia	Αδανσονία
Addis Ababa	Αντίς Αμπέμπα
Addition	Άθροιση
Adelaide	Αδελαΐδα
Adenine	Αδενίνη
Adiabatic process	Αδιαβατική μεταβολή
Adolf Eichmann	Άντολφ Άιχμαν
Adolf Hitler	Αδόλφος Χίτλερ
Adonis	Άδωνις
Adriatic Sea	Αδριατική θάλασσα
Advent	Σαρανταήμερο (νηστεία)
Advertising	Διαφήμιση
Aegean Sea	Αιγαίο Πέλαγος
Aeneas	Αινείας
Aeolus	Αίολος (μυθολογία)
Aerodynamics	Αεροδυναμική
Aeschylus	Αισχύλος
Aesop	Αίσωπος
Aesthetics	Αισθητική
Afghanistan	Αφγανιστάν
Afghanistan	Κατηγορία:Αφγανιστάν
Africa	Αφρική
Africa	Κατηγορία:Αφρική
Afrikaans	Αφρικάανς γλώσσα
Agamemnon	Αγαμέμνονας
Agar	Άγαρ
Agatha Christie	Αγκάθα Κρίστι
Agnosticism	Αγνωστικισμός
Agora	Αρχαία Αγορά
Agoraphobia	Αγοραφοβία
Agra	Άγκρα
Agrigento	Αγκριτζέντο
Aikido	Αϊκίντο
Airbus	Airbus
Aircraft	Κατηγορία:Αεροσκάφη
Aircraft carrier	Αεροπλανοφόρο
Airport	Αεροδρόμιο
Akhenaten	Ακενατόν
Akira Kurosawa	Ακίρα Κουροσάβα
Al Capone	Αλ Καπόνε
Al Gore	Αλ Γκορ
Al-Qaeda	Αλ Κάιντα
Alabama	Αλαμπάμα
Alan Turing	Άλαν Τούρινγκ
Alanine	Αλανίνη
Alaska	Αλάσκα
Alaska	Κατηγορία:Αλάσκα
Albania	Αλβανία
Albania	Κατηγορία:Αλβανία
Albedo	Λευκαύγεια
Albert Camus	Αλμπέρ Καμύ
Albert Einstein	Άλμπερτ Αϊνστάιν
Albert Schweitzer	Άλμπερτ Σβάιτσερ
Albert Speer	Άλμπερτ Σπέερ
Alberta	Αλμπέρτα
Album	Άλμπουμ
Alchemy	Αλχημεία
Aldebaran	Αλντεμπαράν
Alec Guinness	Άλεκ Γκίνες
Alexander	Αλέξανδρος
Alexander Graham Bell	Αλεξάντερ Γκράχαμ Μπελ
Alexander Pushkin	Αλέξανδρος Πούσκιν
Alexander the Great	Αλέξανδρος ο Μέγας
Alexandre Dumas	Αλέξανδρος Δουμάς (πατέρας)
Alexandria	Αλεξάνδρεια
Alfred Hitchcock	Άλφρεντ Χίτσκοκ
Alfred Nobel	Άλφρεντ Νομπέλ
Alfred Russel Wallace	Άλφρεντ Ράσελ Γουάλας
Alfred the Great	Αλφρέδος του Ουέσσεξ
Algae	Φύκη
Algebra	Άλγεβρα
Algebra	Κατηγορία:Άλγεβρα
Algebraic number	Αλγεβρικός αριθμός
Algeria	Αλγερία
Algeria	Κατηγορία:Αλγερία
Algiers	Αλγέρι
Algorithm	Αλγόριθμος
Alhambra	Αλάμπρα
Alkali metal	Αλκάλια
Alkane	Αλκάνια
Alkene	Αλκένια
Alkyne	Αλκίνιο
Allegory	Αλληγορία
Allen Ginsberg	Άλλεν Γκίνσμπεργκ
Allosaurus	Αλλόσαυρος
Allotropy	Αλλότροπα
Alloy	Κράμα
Almanac	Αλμανάκ
Alpha (letter)	Άλφα
Alphabet	Αλφάβητο
Alps	Άλπεις
Alsace	Αλσατία
Alternating current	Εναλλασσόμενο ρεύμα
Alternative medicine	Εναλλακτική ιατρική
Aluminium	Αργίλιο
Alvar Aalto	Αλβάρ Αάλτο
Amazon River	Αμαζόνιος
Amber	Κεχριμπάρι
Ambrose	Αμβρόσιος Μεδιολάνων
Amedeo Avogadro	Αμεντέο Αβογκάντρο
Amelia Earhart	Αμέλια Έρχαρτ
American Civil War	Αμερικανικός Εμφύλιος Πόλεμος
American Samoa	Αμερικανική Σαμόα
American Standard Code for Information Interchange	ASCII
Americium	Αμερίκιο
Amerigo Vespucci	Αμέριγκο Βεσπούκι
Amethyst	Αμέθυστος
Amino acid	Αμινοξύ
Amman	Αμμάν
Ammeter	Αμπερόμετρο
Ammonia	Αμμωνία
Amnesty	Αμνηστία
Ampere	Αμπέρ (μονάδα μέτρησης)
Amphetamine	Αμφεταμίνη
Amphibian	Αμφίβια
Amphitheatre	Αμφιθέατρο
Amphora	Αμφορέας
Amsterdam	Άμστερνταμ
Amsterdam	Κατηγορία:Άμστερνταμ
Amun	Άμων
Anabaptist	Αναβαπτιστές
Anarchism	Αναρχισμός
Anarchism	Κατηγορία:Αναρχισμός
Anatomy	Κατηγορία:Ανατομία
Anatomy	Ανατομία
Anaxagoras	Αναξαγόρας
Anaximander	Αναξίμανδρος
Anchor	Άγκυρα πλοίου
Ancient Greek	Αρχαία ελληνική γλώσσα
Ancient history	Κατηγορία:Αρχαία ιστορία
Andalusia	Ανδαλουσία
Andes	Άνδεις
Andorra	Ανδόρρα
Andorra	Κατηγορία:Ανδόρρα
Andrei Sakharov	Αντρέι Ζαχάρωφ
Andrei Tarkovsky	Αντρέι Ταρκόφσκι
Andromeda	Ανδρομέδα
Andromeda (constellation)	Ανδρομέδα (αστερισμός)
Andromeda (mythology)	Ανδρομέδα (μυθολογία)
Andromeda Galaxy	Γαλαξίας της Ανδρομέδας
Anemia	Αναιμία
Angel	Άγγελος
Angle	Γωνία
Angola	Αγκόλα
Angola	Κατηγορία:Αγκόλα
Anguilla	Ανγκουίλα
Angular momentum	Στροφορμή
Animal	Ζώο
Animal husbandry	Κτηνοτροφία
Anime	Anime
Animism	Ανιμισμός
Ankara	Άγκυρα
Anne Boleyn	Άννα Μπολέυν
Annunciation	Ευαγγελισμός της Θεοτόκου
Ant	Μυρμήγκι
Antakya	Αντιόχεια
Antalya	Αττάλεια
Antananarivo	Ανταναναρίβο
Antarctica	Ανταρκτική
Antarctica	Κατηγορία:Ανταρκτική
Antares	Αντάρης
Anthony Hopkins	Άντονυ Χόπκινς
Anthropology	Ανθρωπολογία
Anthropology	Κατηγορία:Ανθρωπολογία
Antibiotic	Αντιβιoτικό
Antichrist	Αντίχριστος
Anticyclone	Υψηλό Βαρομετρικό
Antigen	Αντιγόνο
Antigone	Αντιγόνη (μυθολογία)
Antigua and Barbuda	Αντίγκουα και Μπαρμπούντα
Antigua and Barbuda	Κατηγορία:Αντίγκουα και Μπαρμπούντα
Antimatter	Αντιύλη
Antimony	Αντιμόνιο
Antisemitism	Αντισημιτισμός
Antisemitism	Κατηγορία:Αντισημιτισμός
Antlia	Αντλία (αστερισμός)
Antoine Lavoisier	Αντουάν Λωράν Λαβουαζιέ
Anton Bruckner	Άντον Μπρούκνερ
Anton Chekhov	Αντόν Τσέχωφ
Antonio Vivaldi	Αντόνιο Βιβάλντι
Antwerp	Αμβέρσα
Antwerp (province)	Αμβέρσα (επαρχία)
Anubis	Άνουβις
Aorta	Αορτή
Aphrodite	Αφροδίτη (μυθολογία)
Apia	Άπια
Apocrypha	Απόκρυφα
Apollo	Απόλλων
Apple	Μήλο
Apricot	Βερικοκιά
April	Απρίλιος
April 14	14 Απριλίου
April Fools' Day	Πρωταπριλιά
Apulia	Απουλία
Apus	Πτηνόν
Aqaba	Άκαμπα
Aqua regia	Βασιλικό Ύδωρ
Aquarius (constellation)	Υδροχόος (αστερισμός)
Aqueduct	Υδραγωγείο
Aquila (constellation)	Αετός (αστερισμός)
Aquitaine	Ακουιτανία
Ara (constellation)	Βωμός (αστερισμός)
Arab League	Αραβικός Σύνδεσμος
Arabian Peninsula	Αραβία
Arabic alphabet	Αραβικό αλφάβητο
Arabic language	Αραβική γλώσσα
Aragon	Αραγωνία
Aral Sea	Αράλη
Aram Khachaturian	Άραμ Χατσατουριάν
Arcadia	Νομός Αρκαδίας
Arcangelo Corelli	Αρκάντζελο Κορέλι
Archaeology	Αρχαιολογία
Archaeology	Κατηγορία:Αρχαιολογία
Archbishop	Αρχιεπίσκοπος
Archean	Αρχαιοζωικός αιώνας
Archimedes	Αρχιμήδης
Archipelago	Αρχιπέλαγος
Architecture	Αρχιτεκτονική
Architecture	Κατηγορία:Αρχιτεκτονική
Arctic	Αρκτική
Arctic Circle	Αρκτικός Κύκλος
Arctic Ocean	Αρκτικός Ωκεανός
Arctic fox	Αρκτική αλεπού
Area	Έκταση
Ares	Άρης (μυθολογία)
Argentina	Αργεντινή
Argentina	Κατηγορία:Αργεντινή
Argon	Αργό
Argos	Άργος
Aria	Άρια
Ariadne	Αριάδνη
Arianism	Αρειανισμός
Aries (constellation)	Κριός (αστερισμός)
Aristarchus of Samos	Αρίσταρχος ο Σάμιος
Aristophanes	Αριστοφάνης
Aristotle	Αριστοτέλης
Arithmetic	Αριθμητική
Arius	Άρειος
Arizona	Αριζόνα
Ark of the Covenant	Κιβωτός της Διαθήκης
Arles	Αρλ
Armadillo	Αρμαντίλλο
Armenia	Αρμενία
Armenia	Κατηγορία:Αρμενία
Armenian language	Αρμενική γλώσσα
Army	Στρατός
Arrow	Βέλος (όπλο)
Arsenic	Αρσενικό (χημικό στοιχείο)
Art	Τέχνη
Art history	Κατηγορία:Ιστορία της τέχνης
Artemis	Άρτεμις
Artery	Αρτηρία
Arthritis	Ουρική αρθρίτιδα
