English	Polish
black	czarny
blue	niebieski
brown	brązowy
gray	szary
green	zielony
orange	pomarańczowy
pink	różowy
red	czerwień
violet	fioletowy
white	biały
yellow	żółty
couple	para
eight	osiem
eighteen	osiemnaście
eighty	osiemdziesiąt
eleven	jedenaście
fifteen	piętnaście
fifty	pięćdziesiąt
five	piątka
forty	czterdzieści
four	cztery
fourteen	czternaście
million	milion
nine	dziewięć
nineteen	dziewiętnaście
ninety	dziewięćdziesiąt
nothing	nic
one	jeden
seven	siedem
seventy	siedemdziesiąt
six	sześć
sixteen	szesnaście
sixty	sześćdziesiąt
ten	dziesięć
third	trzeci
thirteen	trzynaście
thirty	trzydzieści
thousand	tysiąc
thousand	tysiąc
three	trzy
arm	ramię
back	plecy
beak	dziób
blood	krew
body	tułów
bone	kość
brain	mózg
breath	oddech
cell	komórka
chest	pierś
chest	pierś
chin	podbródek
ear	ucho
eye	oko
face	twarz
finger	palec
foot	stopa
forehead	czoło
gene	gen
hair	włosy
hair	włos
hand	ręka
head	głowa
heart	serce
knee	kolano
leg	noga
lip	warga
mouth	usta
muscle	mięsień
nail	paznokieć
neck	szyja
nerve	nerw
nose	nos
skin	skóra
stomach	żołądek
tail	ogon
throat	gardło
thumb	kciuk
tongue	język
tooth	ząb
wing	skrzydło
ant	mrówka
bear	niedźwiedź
bee	pszczoła
bird	ptak
cat	kot
cow	krowa
dog	pies
elephant	słoń
fish	ryba
fly	mucha
goat	koza
horse	koń
insect	owad
lion	lew
monkey	małpa
pig	świnia
sheep	owca
snake	wąż
afternoon	popołudnie
age	wiek
April	kwiecień
August	sierpień
autumn	jesień
beginning	rozpoczęcie
century	wiek
date	data
day	dzień
December	grudzień
end	zakończenie
evening	wieczór
February	luty
Friday	piątek
future	przyszłość
hour	godzina
January	styczeń
July	lipiec
June	czerwiec
May	maj
midnight	północ
minute	minuta
moment	moment
moment	chwila
Monday	poniedziałek
month	miesiąc
morning	rano
night	noc
November	listopad
now	obecnie
October	październik
past	przeszłość
pause	antrakt
period	okres
present	teraźniejszość
Saturday	sobota
season	sezon
second	sekunda
September	wrzesień
spring	wiosna
summer	lato
Sunday	niedziela
Thursday	czwartek
tomorrow	jutro
Tuesday	wtorek
Wednesday	środa
week	tydzień
weekend	weekend
while	chwila
winter	zima
year	rok
bread	chleb
breakfast	śniadanie
butter	masło
cake	tort
cheese	ser
chocolate	czekolada
egg	jajko
food	jedzenie
fruit	owoc
lunch	lunch
meal	posiłek
meat	mięso
oil	oliwa
rice	ryż
salad	sałatka
salt	sól
sandwich	kanapka
sauce	sos
soup	zupa
sugar	cukier
sweet	słodycz
beer	piwo
coffee	kawa
drink	napój
milk	mleko
milkshake	napój mleczny
tea	herbata
water	woda
wine	wino
apple	jabłko
apricot	morela
banana	banan
blackberry	jeżyna
cherry	wiśnia
lemon	cytryna
nut	orzech
orange	pomarańcza
peach	brzoskwinia
pear	gruszka
pineapple	ananas
plum	śliwka
raspberry	malina
strawberry	truskawka
bean	fasola
cabbage	kapusta
carrot	marchew
cucumber	ogórek
garlic	czosnek
olive	oliwka
onion	cebula
parsnip	pasternak
potato	ziemniak
radish	rzodkiew
tomato	pomidor
baby	niemowlę
birth	narodziny
birthday	urodziny
boy	chłopiec
brother	brat
daughter	córka
death	śmierć
family	rodzina
father	ojciec
friend	przyjaciel
girl	dziewczynka
grandfather	dziadek
human	człowiek
husband	mąż
life	życie
man	mężczyzna
marriage	małżeństwo
mother	matka
neighbor	sąsiad
parent	rodzić
person	osoba
relationship	związek
sister	siostra
son	syn
wedding	ślub
wedding	małżeństwo
wife	żona
woman	kobieta
address	adres
bathroom	łazienka
bedroom	sypialnia
brick	cegła
door	drzwi
floor	podłoga
floor	piętro
garage	garaż
garden	ogród
gate	brama
hall	hall
home	dom
house	dom
kitchen	kuchnia
roof	dach
room	pokój
shower	prysznic
step	stopień
toilet	ubikacja
wall	mur
well	studnia
window	okno
bed	łóżko
carpet	dywan
chair	krzesło
cupboard	szafa
curtain	zasłona
desk	biurko
furniture	meble
shelf	półka
sink	zlew
table	stół
bag	torba
boot	but
cloth	tkanina
clothing	odzież
coat	płaszcz
collar	kołnierz
hat	kapelusz
jacket	marynarka
jewel	klejnot
ring	pierścionek
shirt	koszula
shoe	but
skirt	spódnica
sock	skarpetka
suitcase	walizka
tie	krawat
air	powietrze
animal	zwierzę
branch	gałąź
evolution	rozwój
farm	zagroda
field	pole
fire	płomień
flower	kwiat
forest	las
grass	trawa
leaf	liść
life	życie
lightning	błyskawica
moisture	wilgoć
nature	przyroda
plant	roślina
root	korzeń
sex	płeć
sky	niebo
sleep	sen
smell	woń
smoke	opary
spring	źródło
stem	łodyga
stream	strumień
tree	drzewo
wave	fala
weather	pogoda
world	świat
airport	lotnisko
bank	bank
bridge	most
building	budynek
capital	stolica
castle	zamek
church	kościół
cinema	kino
city	duże miasto
factory	fabryka
flat	mieszkanie
hospital	szpital
hotel	hotel
