Polish	﻿English
czarny	black
niebieski	blue
brązowy	brown
szary	gray
zielony	green
pomarańczowy	orange
różowy	pink
czerwień	red
fioletowy	violet
biały	white
żółty	yellow
para	couple
osiem	eight
osiemnaście	eighteen
osiemdziesiąt	eighty
jedenaście	eleven
piętnaście	fifteen
pięćdziesiąt	fifty
piątka	five
czterdzieści	forty
cztery	four
czternaście	fourteen
milion	million
dziewięć	nine
dziewiętnaście	nineteen
dziewięćdziesiąt	ninety
nic	nothing
jeden	one
siedem	seven
siedemdziesiąt	seventy
sześć	six
szesnaście	sixteen
sześćdziesiąt	sixty
dziesięć	ten
trzeci	third
trzynaście	thirteen
trzydzieści	thirty
tysiąc	thousand
tysiąc	thousand
trzy	three
ramię	arm
plecy	back
dziób	beak
krew	blood
tułów	body
kość	bone
mózg	brain
oddech	breath
komórka	cell
pierś	chest
pierś	chest
podbródek	chin
ucho	ear
oko	eye
twarz	face
palec	finger
stopa	foot
czoło	forehead
gen	gene
włosy	hair
włos	hair
ręka	hand
głowa	head
serce	heart
kolano	knee
noga	leg
warga	lip
usta	mouth
mięsień	muscle
paznokieć	nail
szyja	neck
nerw	nerve
nos	nose
skóra	skin
żołądek	stomach
ogon	tail
gardło	throat
kciuk	thumb
język	tongue
ząb	tooth
skrzydło	wing
mrówka	ant
niedźwiedź	bear
pszczoła	bee
ptak	bird
kot	cat
krowa	cow
pies	dog
słoń	elephant
ryba	fish
mucha	fly
koza	goat
koń	horse
owad	insect
lew	lion
małpa	monkey
świnia	pig
owca	sheep
wąż	snake
popołudnie	afternoon
wiek	age
kwiecień	April
sierpień	August
jesień	autumn
rozpoczęcie	beginning
wiek	century
data	date
dzień	day
grudzień	December
zakończenie	end
wieczór	evening
luty	February
piątek	Friday
przyszłość	future
godzina	hour
styczeń	January
lipiec	July
czerwiec	June
maj	May
północ	midnight
minuta	minute
moment	moment
chwila	moment
poniedziałek	Monday
miesiąc	month
rano	morning
noc	night
listopad	November
obecnie	now
październik	October
przeszłość	past
antrakt	pause
okres	period
teraźniejszość	present
sobota	Saturday
sezon	season
sekunda	second
wrzesień	September
wiosna	spring
lato	summer
niedziela	Sunday
czwartek	Thursday
jutro	tomorrow
wtorek	Tuesday
środa	Wednesday
tydzień	week
weekend	weekend
chwila	while
zima	winter
rok	year
chleb	bread
śniadanie	breakfast
masło	butter
tort	cake
ser	cheese
czekolada	chocolate
jajko	egg
jedzenie	food
owoc	fruit
lunch	lunch
posiłek	meal
mięso	meat
oliwa	oil
ryż	rice
sałatka	salad
sól	salt
kanapka	sandwich
sos	sauce
zupa	soup
cukier	sugar
słodycz	sweet
piwo	beer
kawa	coffee
napój	drink
mleko	milk
napój mleczny	milkshake
herbata	tea
woda	water
wino	wine
jabłko	apple
morela	apricot
banan	banana
jeżyna	blackberry
wiśnia	cherry
cytryna	lemon
orzech	nut
pomarańcza	orange
brzoskwinia	peach
gruszka	pear
ananas	pineapple
śliwka	plum
malina	raspberry
truskawka	strawberry
fasola	bean
kapusta	cabbage
marchew	carrot
ogórek	cucumber
czosnek	garlic
oliwka	olive
cebula	onion
pasternak	parsnip
ziemniak	potato
rzodkiew	radish
pomidor	tomato
niemowlę	baby
narodziny	birth
urodziny	birthday
chłopiec	boy
brat	brother
córka	daughter
śmierć	death
rodzina	family
ojciec	father
przyjaciel	friend
dziewczynka	girl
dziadek	grandfather
człowiek	human
mąż	husband
życie	life
mężczyzna	man
małżeństwo	marriage
matka	mother
sąsiad	neighbor
rodzić	parent
osoba	person
związek	relationship
siostra	sister
syn	son
ślub	wedding
małżeństwo	wedding
żona	wife
kobieta	woman
adres	address
łazienka	bathroom
sypialnia	bedroom
cegła	brick
drzwi	door
podłoga	floor
piętro	floor
garaż	garage
ogród	garden
brama	gate
hall	hall
dom	home
dom	house
kuchnia	kitchen
dach	roof
pokój	room
prysznic	shower
stopień	step
ubikacja	toilet
mur	wall
studnia	well
okno	window
łóżko	bed
dywan	carpet
krzesło	chair
szafa	cupboard
zasłona	curtain
biurko	desk
meble	furniture
półka	shelf
zlew	sink
stół	table
torba	bag
but	boot
tkanina	cloth
odzież	clothing
płaszcz	coat
kołnierz	collar
kapelusz	hat
marynarka	jacket
klejnot	jewel
pierścionek	ring
koszula	shirt
but	shoe
spódnica	skirt
skarpetka	sock
walizka	suitcase
krawat	tie
powietrze	air
zwierzę	animal
gałąź	branch
rozwój	evolution
zagroda	farm
pole	field
płomień	fire
kwiat	flower
las	forest
trawa	grass
liść	leaf
życie	life
błyskawica	lightning
wilgoć	moisture
przyroda	nature
roślina	plant
korzeń	root
płeć	sex
niebo	sky
sen	sleep
woń	smell
opary	smoke
źródło	spring
łodyga	stem
strumień	stream
drzewo	tree
fala	wave
pogoda	weather
świat	world
lotnisko	airport
bank	bank
most	bridge
budynek	building
stolica	capital
zamek	castle
kościół	church
kino	cinema
duże miasto	city
fabryka	factory
mieszkanie	flat
szpital	hospital
hotel	hotel
biblioteka	library
park	park
więzienie	prison
restauracja	restaurant
droga	road
szkoła	school
posterunek	station
ulica	street
budowa	structure
metro	subway
supersam	supermarket
teatr	theater
miasto	town
uniwersytet	university
wieś	village
wypadek	accident
łódź	boat
autobus	bus
samochód	car
zakole	curve
ekspres	express
lot	flight
podróż	journey
pasażer	passenger
samolot	plane
statek	ship
szyna	track
pociąg	train
przewóz	transport
aktor	actor
aktorka	actress
człowiek interesu	businessman
znawca	expert
generał	general
dziennikarz	journalist
sędzia	judge
przywódca	leader
minister	minister
muzyk	musician
fotograf	photographer
pilot	pilot
policjant	policeman
polityk	politician
prezydent	president
zawodowiec	professional
przedstawiciel	representative
marynarz	sailor
uczony	scientist
sekretarka	secretary
służący	servant
żołnierz	soldier
pisarz	writer
brzeg	bank
plaża	beach
prąd	current
kierunek	direction
Ziemia	Earth
wschód	east
wysokość	height
wzgórze	hill
wyspa	island
jezioro	lake
ląd	land
mapa	map
księżyc	Moon
północ	north
równina	plain
rzeka	river
morze	sea
południe	south
kosmos	space
gwiazda	star
słońce	sun
zachód	west
chmura	cloud
rosa	dew
mgła	fog
szron	frost
deszcz	rain
tęcza	rainbow
śnieg	snow
burza	storm
grzmot	thunder
wiatr	wind
kwas	acid
substancja chemiczna	chemical
element pierwiastek	chemical
węgiel	coal
bawełna	cotton
kurz	dust
ziemia	earth
tłuszcz	fat
kieliszek	glass
klej	glue
ziarnko	grain
lód	ice
żelazo	iron
skóra	leather
płyn	liquid
materia	matter
element stop	metallic
ropa naftowa	oil
trucizna	poison
proszek	powder
piasek	sand
jedwab	silk
mydło	soap
stal	steel
drewno	wood
wełna	wool
torba	bag
kosz	basket
butelka	bottle
pudełko	box
słój	can
filiżanka	cup
szuflada	drawer
koperta	envelope
lustro	glass
talerz	plate
dzwon	bell
przycisk	button
rewolwer	gun
młoteczek	hammer
hak	hook
klucz	key
zamek	lock
zapałka	match
gwóźdź	nail
igła	needle
pompa	pump
sznur	rope
nożyczki	scissors
sprężyna	spring
pieczątka	stamp
bat	whip
dodawanie	addition
kąt	angle
powierzchnia	area
środek	center
koło	circle
krzywa	curve
stopień	degree
poziom	degree
różnica	difference
odległość	distance
rozbiór	division
brzeg	edge
pierwiastek	element
funkcja	function
połowa	half
kres	limit
linia	line
sieć	net
procent	percent
kropka	point
cel	purpose
wynik	result
root	root
przepis	rule
zestaw	set
strona	side
kwadrat	square
kwadrat	square
wymiana	substitution
powierzchnia	surface
ilość	total
umiejętność	ability
akt	act
działanie	action
aktywność	activity
dodatek	addition
ilość	amount
atak	attack
próba	attempt
stosunek	attitude
tył	back
zachowanie	behavior
kawałek	bit
cios	blow
przerwa	break
kampania	campaign
proces	case
okazja	chance
zmiana	change
wybór	choice
stan	condition
łącznik	connection
pęknięcie	crack
cięcie	cut
zniszczenie	damage
zagrożenie	danger
ozdoba	decoration
obrona	defense
zniszczenie	destruction
szczegół	detail
władza	dominance
kropla	drop
obowiązek	duty
starania	effort
upadek	fall
cecha	feature
walka	fight
przód	front
uderzenie	hit
dziura	hole
wzrost	increase
powiększenie	increase
sieć	internet
podskok	jolt
kopnięcie	kick
typ	kind
węzeł	knot
lista	list
większość	majority
sprawa	matter
umysł	mind
działanie	operation
przeciwieństwo	opposite
wybuch	outburst
część	part
część	part
charakter	personality
kawałek	piece
miejsce	place
lokalizacja	position
siła	power
praktyka	practice
zadanie	project
właściwość	property
gatunek	quality
łagodne usposobienie	quiet
reportaż	report
obowiązek	responsibility
spoczynek	rest
powrót	return
wejście	rise
ryzyko	risk
plac	seat
zestaw	set
cisza	silence
położenie	situation
kawałek	slice
stan	state
krok	step
przerwa	stop
smak	taste
rzecz	thing
zenit	top
dotknięcie	touch
traktowanie	treatment
dreszcz	tremble
podstęp	trick
typ	type
użycie	use
sposób	way
zużycie	wear
całość	whole
wola	will
pragnienie	wish
sztuka	art
artysta	artist
orkiestra	band
szczotka	brush
farba	color
koncert	concert
projekt	design
odmienność	diversity
rozrywka	entertainment
przebój	hit
wyobrażenie	image
atrament	ink
sposób	manner
warstwa	movie
muzeum	museum
muzyka	music
nuta	note
orkiestra	orchestra
farba	paint
malowidło	painting
papier	paper
pióro	pen
ołówek	pencil
odbicie	picture
wiersz	poem
poezja	poetry
uderzenie	rhythm
forma	shape
śpiewak	singer
pieśń	song
scena	stage
styl	style
moda	vogue
rachunek	account
korzyść	advantage
reklama	advertisement
porada	advice
naprawienie	agreement
uwaga	attention
pełnomocnictwo	authority
banknot	banknote
transakcja	bargain
znak firmowy	brand
interes	business
kapitał	capital
drobne	change
czek	cheque
komisja	committee
spółka	company
konkurencja	competition
zarzut	complaint
kontrakt	contract
kopia	copy
rada	council
lekcja	course
klient	customer
potrzeba	demand
dział	department
trudność	difficulty
zarządzający	director
gospodarka	economy
środowisko	environment
doświadczenie	experience
firma	firm
formularz	form
grupa	group
pomoc	help
wakacje	holiday
dochody	income
przemysł	industry
ubezpieczenie	insurance
procent	interest
rachunek	invoice
praca	job
prawo	law
urlop	leave
strata	loss
kierownictwo	management
znak	mark
rynek	market
materiał	material
średnia	mean
spotkanie	meeting
pieniądze	money
zajęcie	occupation
propozycja	offer
biuro	office
funkcjonariusz	officer
uruchomienie	operation
posiadacz	owner
paczka	package
zapłata	payment
plan	plan
cena	price
kłopot	problem
produkt	product
zysk	profit
własność	property
stawka	rate
reszta	rest
nagroda	reward
prawo	right
sprzedaż	sale
sekcja	section
sekcja	section
obsługa	service
udział	share
sklep	shop
widowisko	show
umiejętność	skill
personel	staff
powodzenie	success
utrzymanie	support
tabela	table
podatek	tax
drużyna	team
handel	trade
wartość	value
praca	work
robotnik	worker
komunikat	announcement
odpowiedź	answer
zgoda	approval
argument	argument
książka	book
telefon	call
znak	character
spór	controversy
wołanie	cry
dane	data
decyzja	decision
słownik	dictionary
dyskusja	discussion
niepewność	doubt
przeżycie	experience
uczucie	feeling
humor	humor
myśl	idea
informacja	information
zainteresowanie	interest
wywiad	interview
mowa	language
język	language
litera	letter
list	letter
kłamstwo	lie
spojrzenie	look
czasopismo	magazine
poczta	mail
pamięć	memory
wspomnienie	memory
błąd	mistake
imię	name
gazeta	newspaper
notatka	note
numer	number
pogląd	opinion
strona	page
wymowa	pronunciation
propozycja	proposal
protest	protest
zapytanie	question
reakcja	reaction
powód	reason
stosunki	relation
prośba	request
sekret	secret
zdanie	sentence
znak	sign
mowa	speech
ortografia	spelling
kryterium	standard
oświadczenie	statement
temat	subject
wniosek	suggestion
głos	voice
słowo	word
pismo	writing
regards załączam pozdrowienia	best
you speak English czy mówisz po angielsku	do
day dzień dobry	good
luck powodzenia	good
birthday wszystkiego najlepszego z okazji urodzin	happy
halo	hello
are you Jak się masz	how
thanks dziękuję bardzo	many
nie	no
przepraszam	sorry
przepraszam	sorry
you very much dziękuję bardzo	thank
is your name Jak się nazywasz	what
tak	yes
welcome proszę	you're
Brytania	Britain
Chiny	China
Republic Czechy, Republika Czeska	Czech
Republika Francuska	France
Republika Federalna Niemiec	Germany
Republika Indii	India
Włochy	Italy
Japonia	Japan
Królestwo Hiszpanii	Spain
States of America Stany Zjednoczone	United
aparat fotograficzny	camera
aparat fotograficzny	camera
phone telefon komórkowy	cellular
zegar	clock
komputer	computer
winda	elevator
silnik	engine
narzędzie	instrument
maszyna	machine
piekarnik	oven
telewizor	television
zegarek	watch
klasa	class
kształtowanie	education
edukacja	education
wykształcenie	education
egzamin	examination
stopień	grade
wiedza	knowledge
student	student
nauczyciel	teacher
szkolenie	training
strach	fear
nienawiść	hate
zamiłowanie	love
przyjemność	pleasure
nadzieja	promise
szok	shock
opieka	care
przeziębienie	cold
kaszel	cough
choroba	disease
lekarz	doctor
zdrowie	health
menstruacja	menstruation
pielęgniarka	nurse
operacja	operation
ból	pain
pacjent	patient
ścieg	stitch
ostrze	blade
tablica	board
karta	card
łańcuch	chain
maczuga	club
okładka	cover
pióro	feather
flaga	flag
rama	frame
rączka	handle
menu	menu
nakrętka	nut
szpilka	pin
rura	pipe
opłata pocztowa	postage
prezent	present
żagiel	sail
