Thai	﻿English
เลว	bad
พื้นฐาน	basic
สวยงาม	beautiful
ดีที่สุด	best
ดีกว่า	better
ใหญ่	big
สะอาด	clean
ถูกต้อง	correct
มืด	dark
ยาก	difficult
รวดเร็ว	fast
ดี	good
ยอดเยี่ยม	great
ยอดเยี่ยม	great
โชคดี	happy
ยาก	heavy
สำคัญ	important
เบา	light
ใกล้	near
ใหม่	new
ดี	nice
อย่างแท้จริง	real
ขวา (khwáá)	right
แหลมคม	sharp
ช้า	slow
อ่อนโยน	soft
โดดเด่น	strong
อ่อนแอ	weak
ซึ่งไม่ถูกต้อง	wrong
เมื่อก่อน	ago
อัตโนมัติ	automatic
ใช้ประโยชน์ได้	available
ขม	bitter
น่าเบื่อ	boring
สำคัญ	central
ที่มั่นใจ	certain
ทางเคมี	chemical
ทั้งหมด	complete
โหดร้าย	cruel
ซึ่งเป็นอันตราย	dangerous
อย่างประณีต	delicate
ต่างกัน	different
ซึ่งไม่เหมือนกัน	different
แห้ง	dry
แต่ละ	each
ก่อน	early
ง่าย	easy
ประหยัด	economic
เกี่ยวกับกระแสไฟฟ้า	electric
แต่ละ	every
ยอดเยี่ยม	excellent
เท็จ	fake
ไกล	far
อ้วน	fat
ใหญ่	fat
เล็กน้อย	few
มั่นคง	firm
ต่อไป	following
เกี่ยวกับต่างประเทศ	foreign
ก่อน	former
เปราะบาง	fragile
ซึ่งให้เปล่า	free
ซึ่งเป็นประจำ	frequent
เต็ม	full
โดยสมบูรณ์	full
ทั่วไป	general
ขยัน	industrial
น่าสนใจ	interesting
ระหว่างประเทศ	international
ถูกกฎหมาย	legal
ดัง	loud
ต่ำ	low
โชคดี	lucky
สำคัญที่สุด	main
สำคัญมาก	major
มากมาย	many
ทางทหาร	military
สมัยใหม่	modern
แคบ	narrow
เป็นธรรมชาติ	natural
จำเป็น	necessary
ติดกัน	next
ปกติ	normal
ที่อยู่ตรงกันข้าม	opposite
ซึ่งเป็นแบบฉบับ	original
ส่วนตัว	personal
ยากจน	poor
เป็นไปได้	possible
แต่ก่อน	previous
ที่เป็นส่วนตัว	private
ที่น่าจะเป็นไปได้	probable
ที่มีความเชี่ยวชาญ	professional
เตรียมพร้อม	ready
เร็ว ๆ นี้	recent
ปกติ	regular
แข็ง	rigid
เอะอะโวยวาย	rough
กลม ๆ	round
ที่สอง	second
ที่เก็บไว้เป็นความลับ	secret
แตกต่างกัน	separate
เอาจริงเอาจัง	serious
หลาย ๆ	several
ชั่วครู่	short
ไร้เสียง	silent
ง่าย	simple
เล็ก	small
เรียบ	smooth
แข็ง	solid
หร็อมแหร็ม	sparse
โดยเจาะจง	special
โดยเฉพาะ	specific
จัตุรัส	square
เหนียว	sticky
ตรง	straight
แปลก	strange
นำสมัย	stylish
ทันทีทันใด	sudden
สัตว์	tall
หนาทึบ	thick
บาง	thin
คับแน่น	tight
ที่เป็นเรื่องจริง	true
น่าเกลียด	ugly
ใต้	under
ผิดปกติ	unusual
ที่เกิดขึ้นทุกวัน	usual
หลากหลาย	various
เปียก	wet
ทั้งหมด	whole
