English	Slovenian
9 ; nine	devet ; devet
AIDS	AIDS
AOX value	vrednost adsorbljivih organskih halogenov ; vrednost AOX
ASEAN ; Association of Southeast Asian Nations	ASEAN ; Zveza držav Jugovzhodne Azije
Aegean Sea	Egejsko morje
Afghanistan ; Transitional Islamic State of Afghanistan	Afganistan
Africa	Afrika
Afrikaans	Afrikaans ; Afrikanščina
Albania ; Republic of Albania	Albanija
Algeria ; People's Democratic Republic of Algeria	Ljudska demokratična republika Alžirija ; Alžirija
American Samoa	Ameriška Samoa
Americas	Severna, Srednja in Južna Amerika
Ames test	Amesov preskus
Amsterdam	Amsterdam
Andorra ; Principality of Andorra	Andora
Angola ; Republic of Angola	Angola
Anguilla	Angvila
Antarctic Ocean ; Southern Ocean	Južni ocean
Antarctic ecosystem	antarktični ekosistem
Antarctica	Antarktika
Antigua and Barbuda	Antigva in Barbuda
April	apríl
Arctic Ocean	Severno ledeno morje
Arctic ecosystem	arktični ekosistem
Argentina ; Argentine Republic	Argentina
Arizona	Arizona
Armenia	Armenija
Articulata	členjenost
Aruba	Aruba
Asia	Azija
Athens	Atene
August	avgúst
Australia ; Commonwealth of Australia	Avstralija
Austria ; Republic of Austria	Avstrija
Austria-Hungary ; Austro-Hungarian Empire	Avstro-Ogrska
Azerbaijan ; Republic of Azerbaijan	Azerbajdžan
BBS ; bulletin board system	elektronska oglasna deska
Bahamas ; Commonwealth of the Bahamas ; Bahama Islands	Bahami
Bahrain	Bahrajn
Bangladesh ; People's Republic of Bangladesh	Bangladeš
Basque ; Basque	baskovščina
Beijing	Peking
Belarus ; Republic of Belarus	Belorusija
Belarusan ; Belarusan ; Belarusian ; Belorussian ; Byelorussian	beloruščina ; beloruščina ; beloruščina ; beloruščina ; beloruščina
Belgium ; Kingdom of Belgium	Belgija
Belgrade	Beograd
Belize	Belize
Bengali ; Bengali	bengalščina
Berlin	Berlin
Bermuda	Bermuda
Berne	Bern
Bhutan ; Kingdom of Bhutan	Butan
Black Sea	Črno morje
Bolivia ; Republic of Bolivia	Bolivija
Bonn	Bonn
Bosnia and Herzegovina ; Republic of Bosnia and Herzegovina	Bosna in Hercegovina
Bosnian ; Bosnian	bosanščina
Botswana ; Republic of Botswana	Bocvana
Brazil	Brazilija
Breton ; Breton	bretonščina
Brunei ; Negara Brunei Darussalam	Brunej
Brussels	Bruselj
Bulgaria ; Republic of Bulgaria	Bolgarija
Bulgarian	Bolgar
Bulgarian ; Bulgarian	bolgarščina
Burundi ; Republic of Burundi	Burundi
CD-ROM	zgoščenka
