English	Dutch
black	zwart
blue	blauw
brown	bruin
gray	grij
green	groen
orange	oranje
pink	roze
red	rood
violet	violet
white	wit
yellow	geel
couple	[het] paar
eight	acht
eighteen	achttien
eighty	tachtig
eleven	elf
fifteen	vijftien
fifty	vijftig
first	eerste, 1e
five	vijf
forty	veertig
four	vier
fourteen	veertien
hundred	honderd
million	miljoen
nine	negen
nineteen	negentien
ninety	negentig
nothing	niets
one	één
seven	zeven
seventeen	zeventien
seventy	zeventig
six	zes
sixteen	zestien
sixty	zestig
ten	tien
third	[de] derde, 3de
thirteen	dertien
thirty	dertig
thousand	duizend
thousand	duizend
three	drie
twenty	twintig
two	twee
arm	[de] arm
back	[de] rug
beak	[de] snavel
blood	[het] bloed
body	[de] romp
bone	[het] bot
brain	[de] hersenen, [de] hersens
breath	[de] adem
cell	[de] cel
chest	[de] borst, [de] borstkast
chest	[de] borstkast
chin	[de] kin
ear	[het] oor
eye	[het] oog
face	[het] gezicht, [het] gelaat
finger	[de] vinger
foot	[de] voet
forehead	[het] voorhoofd
gene	[het] gen
hair	[het] haar, [de] haren (pl.)
hair	[het] haar
hand	[de] hand
head	[het] hoofd
heart	[het] hart
knee	[de] knie
leg	[het] been
lip	[de] lip
mouth	[de] mond
muscle	[de] spier
nail	[de] nagel
neck	[de] hals
nerve	[de] zenuw
nose	[de] neus
skin	[de] huid
stomach	[de] maag
tail	[de] staart
throat	[de] keel
thumb	[de] duim
toe	[de] teen
tongue	[de] tong
tooth	[de] tand
wing	[de] vleugel
ant	[de] mier
bear	[de] beer {m}, [de] berin {f}
bee	[de] bij
bird	[de] vogel
cat	[de] kat, [de] poes {f}
cow	[de] koe
dog	[de] hond
elephant	[de] olifant
fish	[de] vis
fly	[de] vlieg
goat	[de] geit
horse	[het] paard
insect	[het] insect
lion	[de] leeuw
monkey	[de] aap {m}, [de] apin {f}
pig	[het] zwijn, [het] varken
sheep	[het] schaap
snake	[de] slang, [het] serpent (archaism)
baby	[de] baby
birth	[de] geboorte
birthday	[de] verjaardag
boy	[de] jongen
brother	[de] broer
child	[het] kind
daughter	[de] dochter
death	[de] dood
family	[de] familie
father	[de] vader
friend	[de] vriend {m}, [de] vriendin {f}
girl	[het] meisje
grandfather	[de] grootvader, [de] opa
human	[de] mens, [de] homosapien
husband	[de] echtgenoot
life	[het] leven
man	[de] (volwassen) man
marriage	[het] huwelijk
mother	[de] moeder
neighbor	[de] buurman {m}, [de] buurvrouw {f}
parent	[de] ouder
person	[de] persoon
relationship	[de] relatie
sister	[de] zus
son	[de] zoon
wedding	[de] bruiloft
wedding	[het] huwelijk
wife	[de] echtgenote, [de] vrouw
woman	[de] vrouw
beer	[het] bier
coffee	[de] koffie
drink	[het] drankje
milk	[de] melk
milkshake	[de] milkshake
tea	[de] thee
water	[het] water
wine	[de] wijn
bread	[het] brood
breakfast	[het] ontbijt
butter	[de] boter
cake	[de] cake
cheese	[de] kaas
chocolate	[de] chocola, [de] chocolade
egg	[het] ei
food	[het] voedsel
fruit	[de] vrucht
lunch	[de] lunch, [het] middageten
meal	[de] maaltijd
meat	[het] vlees
oil	[de] olie
rice	[de] rijst
salad	[de] salade
salt	[het] zout, [het] tafelzout
sandwich	[de] sandwich
sauce	[de] saus
soup	[de] soep
sugar	[de] suiker
sweet	[het] zoet
apple	[de] appel
apricot	abrikoos
banana	banaan
blackberry	moerbei
cherry	kers
