English	Hebrew
0 (number)	0 (מספר)
1	1
1 (number)	1 (מספר)
10	10
10 (number)	10 (מספר)
100	100
100 (number)	100 (מספר)
1000	1000
1000 (number)	1000 (מספר)
101	101
105	105
11	11
11 (number)	11 (מספר)
110	110
115	115
12	12
12 (number)	12 (מספר)
120	120
125	125
13	13
13 (number)	13 (מספר)
130	130
135	135
14	14
14 (number)	14 (מספר)
140	140
144	144
145	145
15	15
15 (number)	15 (מספר)
150	150
155	155
16	16
16 (number)	16 (מספר)
160	160
165	165
17	17
17 (number)	17 (מספר)
170	170
1728	1728
175	175
18	18
18 (number)	18 (מספר)
180	180
19	19
19 (number)	19 (מספר)
190	190
1900s	העשור הראשון של המאה ה-20
1920s	שנות ה-20 של המאה ה-20
1930s	שנות ה-30 של המאה ה-20
1940s	שנות ה-40 של המאה ה-20
1950s	שנות ה-50 של המאה ה-20
1960s	שנות ה-60 של המאה ה-20
1970s	שנות ה-70 של המאה ה-20
1980s	שנות ה-80 של המאה ה-20
1990s	שנות ה-90 של המאה ה-20
2	2
2 (number)	2 (מספר)
20	20
20 (number)	20 (מספר)
200	200
21	21
21 (number)	21 (מספר)
22	22
22 (number)	22 (מספר)
23	23
23 (number)	23 (מספר)
24	24
24 (TV series)	24 (סדרת טלוויזיה)
24 (number)	24 (מספר)
25	25
25 (number)	25 (מספר)
26	26
26 (number)	26 (מספר)
27	27
27 (number)	27 (מספר)
28	28
28 (number)	28 (מספר)
29	29
29 (number)	29 (מספר)
3	3
3 (number)	3 (מספר)
30	30
30 (number)	30 (מספר)
300	300
31	31
31 (number)	31 (מספר)
32	32
32 (number)	32 (מספר)
33	33
33 (number)	33 (מספר)
34	34
34 (number)	34 (מספר)
35	35
35 (number)	35 (מספר)
36	36
36 (number)	36 (מספר)
37	37
37 (number)	37 (מספר)
38	38
38 (number)	38 (מספר)
39	39
39 (number)	39 (מספר)
4	4
4 (number)	4 (מספר)
40	40
40 (number)	40 (מספר)
400	400
41	41
41 (number)	41 (מספר)
42	42
42 (number)	42 (מספר)
43	43
43 (number)	43 (מספר)
44	44
45	45
45 (number)	45 (מספר)
46	46
46 (number)	46 (מספר)
47	47
48	48
49	49
49 (number)	49 (מספר)
5	5
5 (number)	5 (מספר)
50	50
