Ukrainian	English
0 (число)	0 (number)
1	1
1 (число)	1 (number)
10	10
10 (число)	10 (number)
100	100
1000	1000
101	101
105	105
11	11
11 (число)	11 (number)
110	110
115	115
12	12
12 (число)	12 (number)
120	120
125	125
13	13
13 (число)	13 (number)
130	130
135	135
14	14
14 (число)	14 (number)
140	140
144	144
145	145
15	15
15 (число)	15 (number)
150	150
1530-ті	1530s
155	155
16	16
16 (число)	16 (number)
160	160
165	165
17	17
17 (число)	17 (number)
170	170
1728	1728
175	175
1750-ті	1750s
Категорія:1750-ті	1750s
1760-ті	1760s
Категорія:1760-ті	1760s
1770-ті	1770s
Категорія:1770-ті	1770s
1780-ті	1780s
Категорія:1780-ті	1780s
1790-ті	1790s
Категорія:1790-ті	1790s
18	18
180	180
1820-ті	1820s
Категорія:1820-ті	1820s
1830-ті	1830s
Категорія:1830-ті	1830s
1840-ві	1840s
Категорія:1840-ві	1840s
1850-ті	1850s
1860-ті	1860s
Категорія:1860-ті	1860s
1870-ті	1870s
Категорія:1870-ті	1870s
1880-ті	1880s
Категорія:1880-ті	1880s
1890-ті	1890s
Категорія:1890-ті	1890s
19	19
190	190
1900-ті	1900s
Категорія:1900-ті	1900s
1920-ті	1920s
Категорія:1920-ті	1920s
1930-ті	1930s
Категорія:1930-ті	1930s
1940-ві	1940s
Категорія:1940-ві	1940s
1950-ті	1950s
Категорія:1950-ті	1950s
1960-ті	1960s
Категорія:1960-ті	1960s
1970-ті	1970s
Категорія:1970-ті	1970s
1980-ті	1980s
Категорія:1980-ті	1980s
1990-ті	1990s
Категорія:1990-ті	1990s
2	2
2 (число)	2 (number)
20	20
200	200
21	21
22	22
23	23
24	24
24 (телесеріал)	24 (TV series)
25	25
26	26
27	27
28	28
29	29
3	3
3 (число)	3 (number)
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
4 (число)	4 (number)
40	40
400	400
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
5 (число)	5 (number)
50	50
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (число)	6 (number)
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (число)	7 (number)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (число)	8 (number)
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (число)	9 (number)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A (латиниця)	A
Аз	A (Cyrillic)
А капела	A cappella
СНІД	AIDS
АЛГОЛ	ALGOL
Аахен	Aachen
Аарон (Біблія)	Aaron
Абак	Abacus
Абадан	Abadan
Абат	Abbot
Абревіатура	Abbreviation
Черевце	Abdomen
Абердін	Aberdeen
Абіджан	Abidjan
Абхазія	Abkhazia
Категорія:Абхазія	Abkhazia
Аболіціонізм	Abolitionism
Аборт	Abortion
Авраам	Abraham
Абрахам Лінкольн	Abraham Lincoln
Абсент	Absinthe
Абсолютна величина	Absolute value
Абсолютний нуль	Absolute zero
Абстрактне мистецтво	Abstract art
Абстрактний експресіонізм	Abstract expressionism
Абстракція	Abstraction
Абу-Дабі	Abu Dhabi
Абу-Дабі	Abu Dhabi (emirate)
Абуджа	Abuja
Акація	Acacia
Оскар (премія)	Academy Award
Акапулько	Acapulco
Прискорення	Acceleration
Яструбові	Accipitridae
Акордеон	Accordion
Бухгалтерський облік	Accountancy
Категорія:Бухгалтерський облік і аудит	Accountancy
Аккра	Accra
Знахідний відмінок	Accusative case
Оцтова кислота	Acetic acid
Ацетон	Acetone
Ацетилхолін	Acetylcholine
Ацетилен	Acetylene
Ахеронт	Acheron
Деревій звичайний	Achillea millefolium
Ахіллес	Achilles
Кислота	Acid
Кислотні дощі	Acid rain
Аконкаґуа	Aconcagua
Акустика	Acoustics
Категорія:Акустика	Acoustics
Акр	Acre
Акко (місто)	Acre
Акрі	Acre (state)
Акрополь	Acropolis
Актиноїди	Actinide
Актиній	Actinium
Кіноактор	Actor
Діяння святих апостолів	Acts of the Apostles
Акупунктура	Acupuncture
Argumentum ad Hominem	Ad hominem
Ada	Ada (programming language)
Адам	Adam
Адам Сміт	Adam Smith
Адана	Adana
Баобаб	Adansonia
Аддис-Абеба	Addis Ababa
Аделаїда	Adelaide
Аден	Aden
Аденін	Adenine
Аденозинтрифосфат	Adenosine triphosphate
Адіабатичний процес	Adiabatic process
Адідже	Adige
Прикметник	Adjective
Адмірал	Admiral
Адольф Гітлер	Adolf Hitler
Адоніс	Adonis
Адопція	Adoption
Адріатичне море	Adriatic Sea
Адсорбція	Adsorption
Дорослий	Adult
Прислівник	Adverb
Реклама	Advertising
Егейське море	Aegean Sea
Еней	Aeneas
Енеїда	Aeneid
Еол	Aeolus
Аеродинаміка	Aerodynamics
Аерозолі	Aerosol
Есхіл	Aeschylus
Естетика	Aesthetics
Афікс	Affix
Афганістан	Afghanistan
Категорія:Афганістан	Afghanistan
Африка	Africa
Категорія:Африка	Africa
Африкаанс	Afrikaans
Агамемнон	Agamemnon
Агар-агар	Agar
Агат (мінерал)	Agate
Крісті Аґата	Agatha Christie
Агресія	Aggression
Безщелепні	Agnatha
Агностицизм	Agnosticism
Агора	Agora
Агорафобія	Agoraphobia
Агра	Agra
Сільське господарство	Agriculture
Категорія:Сільське господарство	Agriculture
Айкідо	Aikido
Ен	Ain
Військово-Повітряні Сили	Air force
Літак	Aircraft
Категорія:Літаки	Aircraft
Авіаносець	Aircraft carrier
Авіалінії	Airline
Аеропорт	Airport
Аякс	Ajax
Аякс Теламонід	Ajax (mythology)
AJAX	Ajax (programming)
Аменхотеп IV Ехнатон	Akhenaten
Куросава Акіра	Akira Kurosawa
Ґор Альберт	Al Gore
Аль-Каїда	Al-Qaeda
Алабама (штат)	Alabama
Категорія:Алабама	Alabama
Алан Шепард	Alan Shepard
Тюрінг Алан Матісон	Alan Turing
Аланін	Alanine
Аляска	Alaska
Категорія:Аляска	Alaska
Берг Альбан	Alban Berg
Албанія	Albania
Категорія:Албанія	Albania
Олбані (Нью-Йорк)	Albany
Альбатросові	Albatross
Альбедо	Albedo
Камю Альбер	Albert Camus
Альберт Ейнштейн	Albert Einstein
Швейцер Альберт	Albert Schweitzer
Альберта	Alberta
Категорія:Альберта	Alberta
Альбінізм	Albinism
Альбіт	Albite
Музичний альбом	Album
Алхімія	Alchemy
Спирти	Alcohol
Спиртні напої	Alcoholic beverage
Алкоголізм	Alcoholism
Альдебаран	Aldebaran
Альдегіди	Aldehyde
Вільха	Alder
Хакслі Олдос	Aldous Huxley
Солженіцин Александр Ісайович	Aleksandr Solzhenitsyn
Халеб	Aleppo
Алеутські острови	Aleutian Islands
Олександр	Alexander
Белл Александер Ґрем	Alexander Graham Bell
Гамілтон Александер	Alexander Hamilton
Пушкін Олександр Сергійович	Alexander Pushkin
Александр Македонський	Alexander the Great
Александр Дюма (батько)	Alexandre Dumas
Александрія	Alexandria
Альфред Хічкок	Alfred Hitchcock
Нобель Альфред Бернард	Alfred Nobel
Альфред I	Alfred the Great
Водорості	Algae
Алгебра	Algebra
Категорія:Алгебра	Algebra
Алжир	Algeria
Категорія:Алжир	Algeria
Алжир (місто)	Algiers
Алгоритм	Algorithm
Альгамбра	Alhambra
Алі ібн Абі Таліб	Ali
Лужні метали	Alkali metal
Алкалоїди	Alkaloid
Алкани	Alkane
Алкени	Alkene
Алкіни	Alkyne
Аллах	Allah
Алегорія	Allegory
Алельні гени	Allele
Гінсберг Аллен	Allen Ginsberg
Алергія	Allergy
Алітерація	Alliteration
Алотропія	Allotropy
Сплави	Alloy
Альманах	Almanac
Алмати	Almaty
Алое	Aloe
Альфа (літера)	Alpha (letter)
Альфа Центавра	Alpha Centauri
Альфа-частинки	Alpha particle
Алфавіт	Alphabet
Альпи	Alps
Категорія:Альпи	Alps
Ельзас	Alsace
Альтаїр	Altair
Вівтар	Altar
Алтай (гори)	Altay Mountains
Змінний струм	Alternating current
Категорія:Альтернативна медицина	Alternative medicine
Альтернативна медицина	Alternative medicine
Альтруїзм	Altruism
Алюміній	Aluminium
Оксид алюмінію	Aluminium oxide
Аалто Алвар Гуґо	Alvar Aalto
Хвороба Альцгеймера	Alzheimer's disease
Мухомор червоний	Amanita muscaria
Мухомор зелений	Amanita phalloides
Аматерасу Омікамі	Amaterasu
Амазонка (річка)	Amazon River
Бурштин (смола)	Amber
Амвросій Медіоланський	Ambrose
Амедео Авогадро	Amedeo Avogadro
Ергарт Амелія	Amelia Earhart
Бізон американський	American Bison
Барибал	American Black Bear
Громадянська війна в США	American Civil War
Східне Самоа	American Samoa
ASCII	American Standard Code for Information Interchange
