Telugu	English
ఏప్రిల్	April
అస్సామీ భాష	Assamese ; Assamese
ఆగస్టు	August
బంగ్లాదేశ్	Bangladesh ; People's Republic of Bangladesh
బెంగాళీ భాష	Bengali ; Bengali
కంబోడియా	Cambodia ; Kingdom of Cambodia
కెనడా	Canada
Chad	Chad ; Republic of Chad
డిసెంబరు	December
నిర్వచనము	Definition ; definition
ఇండియా	India ; Republic of India
ఇండోనేసియా	Indonesia ; Republic of Indonesia
ఇరాన్	Iran ; Islamic Republic of Iran
జనవరి	January
జూలై	July
జూన్	June
కన్నడ భాష	Kannada ; Kannada
కజకిస్తాన్	Kazakhstan ; Republic of Kazakhstan
కిర్గిజ్‌స్తాన్	Kyrgyzstan ; Kyrgyz Republic
ముంబాయి	Mumbai ; Bombay
బర్మా	Myanmar
నేపాలీ భాష	Nepali ; Nepali
నవంబర్	November
అక్టోబర్	October
పాకిస్తాన్	Pakistan ; Islamic Republic of Pakistan
సంస్కృతం	Sanskrit ; Sanskrit
శని	Saturn
దక్షిణాఫ్రికా	South Africa
స్పెయిన	Spain
శ్రీలంక	Sri Lanka
టెహరాన	Tehran
తెలుగు	Telugu ; Telugu
థాయిలాండ్	Thailand
యురేనస్	Uranus
వికీపీడియా	Wikipedia
విక్షనర	Wiktionary
విశేషణము	adjective ; describing word
దాదాపు ; దరిదాపు	almost
అల్యూమినియం	aluminium
చీమ	ant
జింక	antelope
ఎల్లప్పుడు ; నిరంతరం	anytime
విలుకాడు	archer ; archer
ఆగమనము	arrival
బాణం	arrow
ఖగోళ శాస్త్రము	astronomy
దాడి	attack
వేలం	auction
దొంగిలించు	bag ; pocket ; steal
బొడ్డు	belly button ; bellybutton ; navel ; omphalos ; omphalus ; umbilicus
గుడ్డి	blind
బ్లాగు	blog ; weblog ; web log
విల్లు ; ధనుస్సు	bow
తెచ్చు	bring
తూటా	bullet
అధికార వర్గం	bureaucracy
కాల్షియమ్	calcium
చాటు ; ముసుగు	camouflage
రాజధాని	capital
కర్బనం	carbon
కుర్చీ	chair
మూలకము	chemical element ; element
చుట్ట	cigar
మేఘము	cloud
తోకచుక్క	comet
హల్లు	consonant
రాగి	copper
నేరము	crime
ముడి చమురు	crude oil
చెవిటి	deaf
ప్రజాస్వామ్యం	democracy
పద కోశము ; నిఘంటువు	dictionary
జీర్ణము	digestion
చందా ; విరాళము	donation
చందా	donation
తలుపు ; ద్వారము	door
దుస్తులు ; బట్టలు	dress
ధరింపజేయు	dress ; clothe
తాగు	drink ; gulp ; quaff ; sip
పొడి	dry
బాతు	duck
భూకంపం	earthquake
సులువైన	easy ; piece of cake ; like shooting fish in a barrel
మోచేయి	elbow
రాయబార కార్యాలయం	embassy ; diplomatic mission
ఖాళీ	empty
మెదడువాపు	encephalitis
శత్రువు	enemy
అంచనా	estimate
కనుబొమ	eyebrow
ఊబ	fat ; obese
వేలు	finger
జిరాఫీ	giraffe
బంగారం	gold
బాతు	goose
భ్రాంతి	hallucination
ఇల్లు	home ; home ; house
తేనె	honey
గుర్రం	horse
గంట	hour
ఆకలి	hunger ; hunger ; hunger
హైడ్రోజన్	hydrogen
దుమ్ములగొండి	hyena
వ్యక్తి	individual
ఇనుము	iron
కీలు	joint ; articulation
క్రిప్టాన్	krypton
సీసం	lead
కాలు	leg
చిరుతపులి	leopard
అప్పు	liability
ద్రవం	liquid
కాలేయం	liver
ఊపిరితిత్తి	lung
ఆడ గుర్రం	mare
వ్యాపారి	merchant
పాదరసం	mercury
పాలు	milk
నెల	month
అత్త	mother-in-law ; mother in law
నత్రజని	nitrogen
ముక్కు	nose
నామవాచకము	noun ; substantive
నవల	novel
అనాధ	orphan
ఆక్సిజన్	oxygen
పుట ; పేజీ	page
అరచేయి	palm
చిలుక	parrot
భాషాభాగము	part of speech ; lexical category
పెన్సిలు	pencil
భయం	phobia
పావురం	pigeon ; dove
తలము	plane
ధృవపు ఎలుగుబంట	polar bear
దానిమ్మపండు	pomegranate
ఆలుగడ్డ	potato ; patato
రాణి	queen
కుందేలు	rabbit
చదువు	read
కప్పు	roof ; roof ; roof
త్యాగం	sacrifice
శాస్త్రవేత్త	scientist
రహస్య	secret
అమ్ము ; విక్రయించు	sell
గొర్రె	sheep
పట్టు	silk
వెండి	silver
నిదానము	slow
సబ్బు	soap
సోడియమ్	sodium
నక్షత్రం	star
ొట్ట ; కడుపు	stomach
వ్యూహాత్మక	strategic
విషయము	subject ; topic
హఠాత్తుగా	sudden ; abrupt ; precipitous
గంధకము	sulphur
ఆశ్చర్యపరచు	surprise
బల్ల	table
బోధించు ; నేర్పు	teach
టెక్నీషియమ్	technetium
బొటనవేలు	thumb
మ్రోత	thunder
కాలివేలు	toe
చెట్టు	tree
త్రికోణమితి	trigonometry
ట్రొఫి	trophy
ప్యాంటు	trousers
మూత్రం	urine
ఉపయోగకరము	useful
క్రియాపదము	verb
వాల్‌రస్	walrus
నీరు ; జలము	water
చక్రాలకుర్చీ	wheelchair
తెల్లని	white
కిటికీ	window
మంత్రగత్తె	witch
కలప	wood
పదము	word
గాయము	wound
