Greek	﻿English
μαύρος	black
μπλε	blue
καφέ	brown
γκρι	gray
πράσινο	green
πορτοκαλής	orange
ροζ	pink
κόκκινος	red
μοβ	violet
άσπρος	white
κίτρινος	yellow
ζευγάρι	couple
οχτώ	eight
δεκαοχτώ	eighteen
ογδόντα	eighty
έντεκα	eleven
δεκαπέντε	fifteen
πενήντα	fifty
πρώτος % πρώτη % πρώτο	first
πέντε	five
σαράντα	forty
τέσσερις % τέσσερις % τέσσερα	four
δεκατέσσερα	fourteen
εκατό(ν)	hundred
εκατομμύριο	million
εννιά	nine
δεκαεννιά	nineteen
ενενήντα	ninety
μηδέν	nothing
ένας	one
εφτά	seven
δεκαεφατά	seventeen
εβδομήντα	seventy
έξι	six
δεκαέξι	sixteen
εξήντα	sixty
δέκα	ten
τρίτος, τρίτη	third
δεκατρία	thirteen
τριάντα	thirty
χίλιοι	thousand
χίλια	thousand
τρεις, τρεις	three
είκοσι	twenty
δύο	two
χέρι	arm
ράχη	back
ράμφος	beak
αίμα	blood
κορμός	body
κόκαλο	bone
εγκέφαλος	brain
ανάσα	breath
κελί	cell
στήθος	chest
στήθος	chest
πηγούνι, σαγόνι	chin
αφτί	ear
μάτι	eye
πρόσωπο	face
δάχτυλο	finger
πόδι	foot
μέτωπο	forehead
γονίδιο	gene
μαλλιά	hair
τρίχα	hair
χέρι	hand
κεφάλι	head
καρδιά	heart
γόνατο	knee
πόδι	leg
χείλος	lip
στόμα	mouth
μυς	muscle
νύχι	nail
λαιμός	neck
νεύρο	nerve
μύτη	nose
δέρμα	skin
στομάχι	stomach
ουρά	tail
λαρύγγι	throat
αντίχειρας	thumb
δάχτυλο ποδιού	toe
γλώσσα	tongue
δόντι	tooth
φτερό	wing
μυρμήγκι	ant
αρκούδα	bear
μέλισσα	bee
πουλί	bird
γάτα	cat
αγελάδα	cow
σκύλος	dog
ελέφαντας	elephant
ψάρι	fish
μύγα	fly
κατσίκα	goat
άλογο	horse
έντομο	insect
λιοντάρι	lion
πίθηκος	monkey
γουρούνι	pig
πρόβατο	sheep
φίδι	snake
βρέφος	baby
γέννα	birth
γενέθλια	birthday
