English	Telugu
April	ఏప్రిల్
Assamese ; Assamese	అస్సామీ భాష
August	ఆగస్టు
Bangladesh ; People's Republic of Bangladesh	బంగ్లాదేశ్
Bengali ; Bengali	బెంగాళీ భాష
Cambodia ; Kingdom of Cambodia	కంబోడియా
Canada	కెనడా
Chad ; Republic of Chad	Chad
December	డిసెంబరు
Definition ; definition	నిర్వచనము
India ; Republic of India	ఇండియా
Indonesia ; Republic of Indonesia	ఇండోనేసియా
Iran ; Islamic Republic of Iran	ఇరాన్
January	జనవరి
July	జూలై
June	జూన్
Kannada ; Kannada	కన్నడ భాష
Kazakhstan ; Republic of Kazakhstan	కజకిస్తాన్
Kyrgyzstan ; Kyrgyz Republic	కిర్గిజ్‌స్తాన్
Mumbai ; Bombay	ముంబాయి
Myanmar	బర్మా
Nepali ; Nepali	నేపాలీ భాష
November	నవంబర్
October	అక్టోబర్
Pakistan ; Islamic Republic of Pakistan	పాకిస్తాన్
Sanskrit ; Sanskrit	సంస్కృతం
Saturn	శని
South Africa	దక్షిణాఫ్రికా
Spain	స్పెయిన
Sri Lanka	శ్రీలంక
Tehran	టెహరాన
Telugu ; Telugu	తెలుగు
Thailand	థాయిలాండ్
Uranus	యురేనస్
Wikipedia	వికీపీడియా
Wiktionary	విక్షనర
adjective ; describing word	విశేషణము
almost	దాదాపు ; దరిదాపు
aluminium	అల్యూమినియం
ant	చీమ
antelope	జింక
anytime	ఎల్లప్పుడు ; నిరంతరం
archer ; archer	విలుకాడు
arrival	ఆగమనము
arrow	బాణం
astronomy	ఖగోళ శాస్త్రము
attack	దాడి
auction	వేలం
bag ; pocket ; steal	దొంగిలించు
belly button ; bellybutton ; navel ; omphalos ; omphalus ; umbilicus	బొడ్డు
blind	గుడ్డి
blog ; weblog ; web log	బ్లాగు
bow	విల్లు ; ధనుస్సు
bring	తెచ్చు
bullet	తూటా
bureaucracy	అధికార వర్గం
calcium	కాల్షియమ్
camouflage	చాటు ; ముసుగు
capital	రాజధాని
carbon	కర్బనం
chair	కుర్చీ
chemical element ; element	మూలకము
cigar	చుట్ట
cloud	మేఘము
comet	తోకచుక్క
consonant	హల్లు
copper	రాగి
crime	నేరము
crude oil	ముడి చమురు
deaf	చెవిటి
democracy	ప్రజాస్వామ్యం
dictionary	పద కోశము ; నిఘంటువు
digestion	జీర్ణము
donation	చందా ; విరాళము
donation	చందా
door	తలుపు ; ద్వారము
dress	దుస్తులు ; బట్టలు
dress ; clothe	ధరింపజేయు
drink ; gulp ; quaff ; sip	తాగు
dry	పొడి
duck	బాతు
earthquake	భూకంపం
easy ; piece of cake ; like shooting fish in a barrel	సులువైన
elbow	మోచేయి
embassy ; diplomatic mission	రాయబార కార్యాలయం
empty	ఖాళీ
encephalitis	మెదడువాపు
enemy	శత్రువు
estimate	అంచనా
eyebrow	కనుబొమ
fat ; obese	ఊబ
finger	వేలు
giraffe	జిరాఫీ
gold	బంగారం
goose	బాతు
hallucination	భ్రాంతి
home ; home ; house	ఇల్లు
honey	తేనె
horse	గుర్రం
hour	గంట
hunger ; hunger ; hunger	ఆకలి
hydrogen	హైడ్రోజన్
hyena	దుమ్ములగొండి
individual	వ్యక్తి
iron	ఇనుము
joint ; articulation	కీలు
krypton	క్రిప్టాన్
lead	సీసం
leg	కాలు
leopard	చిరుతపులి
liability	అప్పు
liquid	ద్రవం
liver	కాలేయం
lung	ఊపిరితిత్తి
mare	ఆడ గుర్రం
merchant	వ్యాపారి
mercury	పాదరసం
milk	పాలు
month	నెల
mother-in-law ; mother in law	అత్త
nitrogen	నత్రజని
nose	ముక్కు
noun ; substantive	నామవాచకము
novel	నవల
orphan	అనాధ
oxygen	ఆక్సిజన్
page	పుట ; పేజీ
palm	అరచేయి
parrot	చిలుక
part of speech ; lexical category	భాషాభాగము
pencil	పెన్సిలు
phobia	భయం
pigeon ; dove	పావురం
plane	తలము
polar bear	ధృవపు ఎలుగుబంట
pomegranate	దానిమ్మపండు
potato ; patato	ఆలుగడ్డ
queen	రాణి
rabbit	కుందేలు
read	చదువు
roof ; roof ; roof	కప్పు
sacrifice	త్యాగం
scientist	శాస్త్రవేత్త
secret	రహస్య
sell	అమ్ము ; విక్రయించు
sheep	గొర్రె
silk	పట్టు
silver	వెండి
slow	నిదానము
soap	సబ్బు
sodium	సోడియమ్
star	నక్షత్రం
stomach	ొట్ట ; కడుపు
strategic	వ్యూహాత్మక
subject ; topic	విషయము
sudden ; abrupt ; precipitous	హఠాత్తుగా
sulphur	గంధకము
surprise	ఆశ్చర్యపరచు
table	బల్ల
teach	బోధించు ; నేర్పు
technetium	టెక్నీషియమ్
thumb	బొటనవేలు
thunder	మ్రోత
toe	కాలివేలు
tree	చెట్టు
trigonometry	త్రికోణమితి
trophy	ట్రొఫి
trousers	ప్యాంటు
urine	మూత్రం
useful	ఉపయోగకరము
verb	క్రియాపదము
walrus	వాల్‌రస్
water	నీరు ; జలము
wheelchair	చక్రాలకుర్చీ
white	తెల్లని
window	కిటికీ
witch	మంత్రగత్తె
wood	కలప
word	పదము
wound	గాయము
