Thai	English
พ.ศ. 544	1
1	1 (number)
พ.ศ. 553	10
10	10 (number)
พ.ศ. 643	100
100	100 (number)
พ.ศ. 1543	1000
1000	1000 (number)
พ.ศ. 644	101
พ.ศ. 648	105
พ.ศ. 554	11
11	11 (number)
พ.ศ. 653	110
พ.ศ. 658	115
พ.ศ. 555	12
12	12 (number)
พ.ศ. 663	120
พ.ศ. 668	125
พ.ศ. 556	13
13	13 (number)
พ.ศ. 673	130
พ.ศ. 678	135
พ.ศ. 557	14
หมวดหมู่:พ.ศ. 557	14
14	14 (number)
พ.ศ. 683	140
พ.ศ. 687	144
พ.ศ. 688	145
พ.ศ. 558	15
15	15 (number)
พ.ศ. 693	150
พ.ศ. 698	155
พ.ศ. 559	16
16	16 (number)
พ.ศ. 703	160
พ.ศ. 708	165
พ.ศ. 560	17
17	17 (number)
พ.ศ. 713	170
พ.ศ. 2271	1728
พ.ศ. 718	175
หมวดหมู่:คริสต์ทศวรรษ 1750	1750s
หมวดหมู่:คริสต์ทศวรรษ 1760	1760s
หมวดหมู่:คริสต์ทศวรรษ 1770	1770s
หมวดหมู่:คริสต์ทศวรรษ 1780	1780s
หมวดหมู่:คริสต์ทศวรรษ 1790	1790s
พ.ศ. 561	18
18	18 (number)
พ.ศ. 723	180
หมวดหมู่:คริสต์ทศวรรษ 1820	1820s
หมวดหมู่:คริสต์ทศวรรษ 1830	1830s
หมวดหมู่:คริสต์ทศวรรษ 1840	1840s
หมวดหมู่:คริสต์ทศวรรษ 1860	1860s
คริสต์ทศวรรษ 1870	1870s
หมวดหมู่:คริสต์ทศวรรษ 1870	1870s
หมวดหมู่:คริสต์ทศวรรษ 1880	1880s
หมวดหมู่:คริสต์ทศวรรษ 1890	1890s
พ.ศ. 562	19
19	19 (number)
พ.ศ. 733	190
หมวดหมู่:คริสต์ทศวรรษ 1900	1900s
หมวดหมู่:คริสต์ทศวรรษ 1920	1920s
หมวดหมู่:คริสต์ทศวรรษ 1930	1930s
หมวดหมู่:คริสต์ทศวรรษ 1940	1940s
หมวดหมู่:คริสต์ทศวรรษ 1950	1950s
หมวดหมู่:คริสต์ทศวรรษ 1960	1960s
หมวดหมู่:คริสต์ทศวรรษ 1970	1970s
หมวดหมู่:คริสต์ทศวรรษ 1980	1980s
หมวดหมู่:คริสต์ทศวรรษ 1990	1990s
พ.ศ. 545	2
2	2 (number)
พ.ศ. 563	20
20	20 (number)
พ.ศ. 743	200
พ.ศ. 564	21
21	21 (number)
พ.ศ. 565	22
22	22 (number)
พ.ศ. 566	23
23	23 (number)
พ.ศ. 567	24
24 (ซีรี่ส์)	24 (TV series)
24	24 (number)
พ.ศ. 568	25
25	25 (number)
พ.ศ. 569	26
26	26 (number)
พ.ศ. 570	27
27	27 (number)
พ.ศ. 571	28
28	28 (number)
พ.ศ. 572	29
29	29 (number)
พ.ศ. 546	3
3	3 (number)
พ.ศ. 573	30
30	30 (number)
พ.ศ. 843	300
พ.ศ. 574	31
31	31 (number)
พ.ศ. 575	32
32	32 (number)
พ.ศ. 576	33
33	33 (number)
พ.ศ. 577	34
34	34 (number)
พ.ศ. 578	35
35	35 (number)
พ.ศ. 579	36
36	36 (number)
พ.ศ. 580	37
37	37 (number)
พ.ศ. 581	38
38	38 (number)
พ.ศ. 582	39
39	39 (number)
พ.ศ. 547	4
4	4 (number)
พ.ศ. 583	40
40	40 (number)
พ.ศ. 943	400
พ.ศ. 584	41
41	41 (number)
พ.ศ. 585	42
42	42 (number)
พ.ศ. 586	43
43	43 (number)
พ.ศ. 587	44
พ.ศ. 588	45
45	45 (number)
พ.ศ. 589	46
46	46 (number)
พ.ศ. 590	47
พ.ศ. 591	48
พ.ศ. 592	49
49	49 (number)
พ.ศ. 548	5
5	5 (number)
พ.ศ. 593	50
50	50 (number)
พ.ศ. 1043	500
พ.ศ. 594	51
พ.ศ. 595	52
พ.ศ. 596	53
พ.ศ. 597	54
พ.ศ. 598	55
พ.ศ. 599	56
พ.ศ. 600	57
พ.ศ. 601	58
พ.ศ. 602	59
พ.ศ. 549	6
6	6 (number)
พ.ศ. 603	60
60	60 (number)
พ.ศ. 604	61
พ.ศ. 605	62
พ.ศ. 606	63
พ.ศ. 607	64
พ.ศ. 608	65
พ.ศ. 609	66
พ.ศ. 610	67
พ.ศ. 611	68
พ.ศ. 612	69
พ.ศ. 550	7
7	7 (number)
พ.ศ. 613	70
พ.ศ. 614	71
พ.ศ. 615	72
พ.ศ. 616	73
พ.ศ. 617	74
พ.ศ. 618	75
พ.ศ. 619	76
พ.ศ. 620	77
พ.ศ. 621	78
พ.ศ. 622	79
พ.ศ. 551	8
8	8 (number)
พ.ศ. 623	80
80	80 (number)
พ.ศ. 624	81
พ.ศ. 625	82
พ.ศ. 626	83
พ.ศ. 627	84
พ.ศ. 628	85
พ.ศ. 629	86
พ.ศ. 630	87
พ.ศ. 631	88
พ.ศ. 632	89
พ.ศ. 552	9
9	9 (number)
พ.ศ. 633	90
พ.ศ. 634	91
พ.ศ. 635	92
พ.ศ. 636	93
พ.ศ. 637	94
พ.ศ. 638	95
พ.ศ. 639	96
พ.ศ. 640	97
พ.ศ. 641	98
พ.ศ. 642	99
A	A
A (ซีริลลิก)	A (Cyrillic)
ABC	ABC
เอดส์	AIDS
อาเคิน	Aachen
ลูกคิด	Abacus
แอเบล แทสมัน	Abel Tasman
อาบิดจาน	Abidjan
การแท้ง	Abortion
อับราฮัม	Abraham
อับราฮัม ลิงคอล์น	Abraham Lincoln
โชติมาตรสัมบูรณ์	Absolute magnitude
ค่าสัมบูรณ์	Absolute value
ศูนย์สัมบูรณ์	Absolute zero
นามธรรม	Abstraction
อาบูจา	Abuja
รางวัลออสการ์	Academy Award
ความเร่ง	Acceleration
หมวดหมู่:การบัญชี	Accountancy
กรดน้ำส้ม	Acetic acid
อะซิโตน	Acetone
อคิลลีส	Achilles
กรด	Acid
ฝนกรด	Acid rain
สิว	Acne vulgaris
ยอดเขาอากอนกากวา	Aconcagua
สวนศาสตร์	Acoustics
หมวดหมู่:สวนศาสตร์	Acoustics
อะโครโพลิส	Acropolis
แอกทิไนด์	Actinide
แอกทิเนียม	Actinium
นักแสดง	Actor
กิจการของอัครทูต	Acts of the Apostles
ภาษาเอดา	Ada (programming language)
อาดัม	Adam
แอดัม สมิธ	Adam Smith
การบวก	Addition
กระบวนการอะเดียแบติก	Adiabatic process
คำวิเศษณ์	Adjective
วัยรุ่น	Adolescence
อดอล์ฟ ฮิตเลอร์	Adolf Hitler
ต่อมหมวกไต	Adrenal gland
โฆษณา	Advertising
ทะเลอีเจียน	Aegean Sea
อีเนียส	Aeneas
ละอองลอย	Aerosol
อีสป	Aesop
สุนทรียศาสตร์	Aesthetics
หน่วยคำเติม	Affix
ประเทศอัฟกานิสถาน	Afghanistan
หมวดหมู่:ประเทศอัฟกานิสถาน	Afghanistan
ทวีปแอฟริกา	Africa
หมวดหมู่:ทวีปแอฟริกา	Africa
แอฟริกันอเมริกัน	African American
ภาษาแอฟริคานส์	Afrikaans
โมรา	Agate
อกาธา คริสตี	Agatha Christie
เกษตรกรรม	Agriculture
หมวดหมู่:เกษตรกรรม	Agriculture
ไอคิโด	Aikido
กองทัพอากาศ	Air force
แอร์บัส	Airbus
อากาศยาน	Aircraft
หมวดหมู่:อากาศยาน	Aircraft
เรือบรรทุกอากาศยาน	Aircraft carrier
ท่าอากาศยาน	Airport
อาแจ็กซ์	Ajax (mythology)
เอแจ็กซ์	Ajax (programming)
ฟาโรห์อเคนาเตน	Akhenaten
อากิระ คุโรซาวา	Akira Kurosawa
อัล กอร์	Al Gore
มลรัฐแอละแบมา	Alabama
แอลัน ทัวริง	Alan Turing
มลรัฐอะแลสกา	Alaska
ประเทศแอลเบเนีย	Albania
อัลแบร์ กามู	Albert Camus
อัลเบิร์ต ไอน์สไตน์	Albert Einstein
รัฐแอลเบอร์ตา	Alberta
อัลบั้ม	Album
การเล่นแร่แปรธาตุ	Alchemy
แอลกอฮอล์	Alcohol
สุรา	Alcoholic beverage
อัลดัส ฮักซลีย์	Aldous Huxley
อเล็ก กินเนสส์	Alec Guinness
อเล็กซานเดอร์ (ชื่อ)	Alexander
อเล็กซานเดอร์ เฟลมมิง	Alexander Fleming
อเล็กซานเดอร์ เกรแฮม เบลล์	Alexander Graham Bell
อเล็กซานเดอร์มหาราช	Alexander the Great
อเล็กซานเดรีย	Alexandria
อัลเฟร็ด ฮิตช์ค็อก	Alfred Hitchcock
อัลเฟรด โนเบล	Alfred Nobel
อัลเฟรด รัสเซล วอลเลซ	Alfred Russel Wallace
สมเด็จพระเจ้าอัลเฟรดมหาราช	Alfred the Great
สาหร่าย	Algae
พีชคณิต	Algebra
หมวดหมู่:พีชคณิต	Algebra
จำนวนเชิงพีชคณิต	Algebraic number
ประเทศแอลจีเรีย	Algeria
ขั้นตอนวิธี	Algorithm
อัลฮัมบรา	Alhambra
อะลีย์	Ali
โลหะแอลคาไล	Alkali metal
อัลเคน	Alkane
แอลคีน	Alkene
อัลลอฮ์	Allah
สัญลักษณ์แฝงคติ	Allegory
โรคภูมิแพ้	Allergy
โลหะผสม	Alloy
อัลมาตี	Almaty
อัลมอนด์	Almond
แอลฟา	Alpha (letter)
อนุภาคแอลฟา	Alpha particle
อักษร	Alphabet
เทือกเขาแอลป์	Alps
แคว้นอัลซาซ	Alsace
เทือกเขาอัลไต	Altay Mountains
อะลูมิเนียม	Aluminium
อะลูมิเนียมออกไซด์	Aluminium oxide
อะมาเตระสุ	Amaterasu
แม่น้ำแอมะซอน	Amazon River
อำพัน	Amber
แอมโบรสแห่งมิลาน	Ambrose
อาเมเดโอ อาโวกาโดร	Amedeo Avogadro
อเมเลีย เอียร์ฮาร์ต	Amelia Earhart
หมีดำ	American Black Bear
สงครามกลางเมืองอเมริกา	American Civil War
