German	﻿English
schwarz	black
blau	blue
braun	brown
grau	gray
grün	green
orange	orange
rosa, rosarot	pink
rot	red
lila, violett	violet
weiß	white
gelb	yellow
Paar	couple
acht	eight
achtzehn	eighteen
achtzig	eighty
elf	eleven
fünfzehn	fifteen
fünfzig	fifty
fünf	five
vierzig	forty
vier	four
vierzehn	fourteen
Million	million
neun	nine
neunzehn	nineteen
neunzig	ninety
Nichts, Null	nothing
ein, eins	one
sieben	seven
siebzig	seventy
sechs	six
sechzehn	sixteen
sechzig	sixty
zehn	ten
dritte, dritter	third
dreizehn	thirteen
dreißig	thirty
tausend	thousand
tausend	thousand
drei	three
zwantig	twenty
zwei	two
Arm	arm
Rücken	back
Schnabel	beak
Blut	blood
Rumpf	body
Knochen	bone
Gehirn	brain
Atem, Atemzug	breath
Zelle	cell
Brust	chest
Brust	chest
Kinn	chin
Ohr	ear
Auge	eye
Gesicht	face
Finger	finger
Fuß, Fuss	foot
Stirn	forehead
Gen	gene
Haare	hair
Haar	hair
Hand	hand
Kopf, Haupt	head
Herz	heart
Knie	knee
Bein	leg
Lippe	lip
Mund	mouth
Muskel	muscle
Nagel	nail
Hals	neck
Nerv	nerve
Nase	nose
Haut	skin
Magen	stomach
Schwanz	tail
Kehle	throat
Daumen	thumb
Zehe	toe
Zunge	tongue
Zahn	tooth
Flügel	wing
Ameise	ant
Bär	bear
Biene, Honigbiene	bee
Vogel	bird
Katze	cat
Kuh	cow
Hund	dog
Elefant	elephant
Fisch	fish
Fielge, Fliege	fly
Geiß, Ziege	goat
Pferd, Ross	horse
Insekt	insect
Löwe	lion
Affe	monkey
Schwein	pig
Schaf	sheep
Schlange	snake
Baby	baby
Geburt	birth
Geburtstag	birthday
Junge	boy
Bruder	brother
Kind	child
Tochter	daughter
Tod	death
Familie	family
Vater	father
Freund, Freundin	friend
Fräulein, Mädchen	girl
Großvater, Opa	grandfather
Individuum, Einzelperson	human
Ehemann, Mann	husband
Leben	life
Mann	man
Ehe, Ehegemeinschaft	marriage
Mutter	mother
Nachbar	neighbor
der Elternteil	parent
Individuum, Einzelperson	person
Verwandtschaft, Beziehung	relationship
Schwester	sister
Sohn	son
Hochzeit	wedding
Eheschliessung, Heirat	wedding
Ehefrau, Frau	wife
Frau	woman
Bier	beer
Kaffe, Kaffee	coffee
Getränk, Trank	drink
Milch	milk
Milchshake	milkshake
Tee	tea
Wasser	water
Wein	wine
Brot	bread
Frühstück	breakfast
Butter	butter
Kuchen	cake
Käse	cheese
Schokolade	chocolate
Ei	egg
Essen, Nahrungsmittel	food
Frucht, Obst	fruit
Lunch, Mittagessen	lunch
Essen, Mahlzeit	meal
Fleisch, Fleish	meat
Öl	oil
Reis	rice
Salat	salad
Salz	salt
Sandwich	sandwich
Sauce, Soße	sauce
Suppe	soup
Zucker	sugar
Süßigkeit	sweet
Apfel	apple
Aprikose, Marille	apricot
Banane	banana
Brombeere	blackberry
Kirsche	cherry
Zitrone, Limone	lemon
Schalenfrucht	nut
Orange, Apfelsine	orange
Pfirsich	peach
Birne	pear
Ananas	pineapple
Pflaume	plum
Himbeere	raspberry
Erdbeere	strawberry
Bohne	bean
Kohl	cabbage
Möhre, Mohrrübe	carrot
Gurke	cucumber
Knoblauch	garlic
Olive	olive
Zwiebel	onion
Pastinak	parsnip
Erbse	pea
Kartoffel	potato
Radieschen	radish
Tomate	tomato
Adresse	address
badezimmer	bathroom
Schlafzimmer	bedroom
Backstein, Ziegel	brick
Tür	door
Fußboden	floor
Geschoss, Etage	floor
Garage	garage
Garten	garden
Tor, Pforte	gate
Diele, Halle	hall
Heim, Heimat	home
Haus	house
küche	kitchen
Dach	roof
Zimmer	room
Dusche	shower
Stufe, Treppe	step
Toilette	toilet
Mauer	wall
Brunnen	well
Fenster	window
Bett	bed
Teppich, Vorleger	carpet
Stuhl	chair
Schrank	cupboard
Gardine, Vorhang	curtain
Schreibtisch	desk
Möbel	furniture
Sitz	seat
Regal	shelf
Spültisch	sink
Tisch	table
Handtasche	bag
Stiefel	boot
Stoff	cloth
die Kleidung	clothing
Mantel	coat
Kragen	collar
Hut	hat
Jacke, Sakko	jacket
Edelstein, Juwel	jewel
Ring	ring
Hemd	shirt
Schuh	shoe
Rock	skirt
Socke	sock
Koffer, Handkoffer	suitcase
Krawatte, Schlips	tie
Akteur, Schauspieler	actor
Schauspielerin	actress
Geschäftsmann	businessman
Experte	expert
General	general
Journalist	journalist
Richter	judge
Führer	leader
Minister	minister
Musikant, Musiker	musician
Fotograf, Photograph	photographer
Pilot	pilot
Polizist	policeman
Politiker	politician
Präsident	president
Fachmann, Profi	professional
Stellvertreter	representative
Matrose, Seemann	sailor
Wissenschaftler	scientist
Sekretär	secretary
Diener	servant
Soldat	soldier
Schriftsteller	writer
Flughafen, Flugplatz	airport
Bank	bank
Brücke	bridge
Bau, Bauwerk	building
die Hauptstadt	capital
Burg	castle
Kirche	church
Kino	cinema
Metropole, Stadt	city
Fabrik, Fertigungsanlage	factory
Appartement, Wohnung	flat
Behandlungsraum, Krankenhaus	hospital
Hotel, Gasthaus	hotel
Bücherei	library
Park	park
Gefängnis	prison
das Restaurant	restaurant
Straße, Strecke	road
Schule	school
Station	station
Straße	street
Konstruktion, Struktur	structure
Metro, U-Bahn	subway
Supermarkt	supermarket
Schauspielhaus, Theater	theater
Stadt	town
Universität	university
Dorf	village
Unfall, Unglück	accident
Boot	boat
Autobus, Bus	bus
Auto, Kraftwagen	car
Kurve	curve
Schnellzug	express
Fliegen, Flug	flight
Fahrt, Reise	journey
Fahrgast, Passagier	passenger
Flugzeug	plane
Schiff	ship
Schleudern	skid
Gleis, Schiene	track
Zug	train
Transport	transport
Luft	air
Kreatur, Tier	animal
Ast	branch
Entwicklung	evolution
Bauernhof	farm
Feld	field
Feuer, Flamme	fire
Blume	flower
Gehölz, Holz	forest
Gras, Ried	grass
Blatt, Laub	leaf
Leben	life
Blitz	lightning
Feuchtigkeit	moisture
Natur	nature
Gewächs, Pflanze	plant
Wurzel	root
Geschlecht	sex
Himmel	sky
Schlaf, Schlummer	sleep
Aroma, Geruch	smell
Dunst, Qualm	smoke
Brunnen, Quelle	spring
Stängel	stem
Strom	stream
Baum	tree
Welle	wave
Wetter	weather
Welt	world
Ufer	bank
Strand	beach
Strömung	current
Richtung	direction
Erde	Earth
Osten	east
Höhe	height
Hügel	hill
Eiland, Insel	island
See	lake
Boden, Erdboden	land
Karte	map
Mond	Moon
Nord, Norden	north
Ebene	plain
Bereich, Region	region
Fluss	river
Meer	sea
Süd, Süden	south
Weltraum	space
Stern	star
Sonne	sun
westen, Westen	west
Säure	acid
die Chemikalie	chemical
element Element	chemical
Kohle	coal
Baumwolle	cotton
Staub	dust
Erde	earth
Fett	fat
Glas	glass
Leim	glue
Korn	grain
Eis	ice
Eisen	iron
Leder	leather
Flüssigkeit	liquid
Materie, Stoff	matter
element Metall	metallic
Erdöl, Rohöl	oil
Gift	poison
Pulver, Staub	powder
Sand	sand
Seide	silk
Seife	soap
Stahl	steel
Holz	wood
Wolle	wool
Beutel	bag
Korb	basket
Flasche	bottle
Kiste	box
dose	can
Tasse	cup
Schublade	drawer
Briefumschlag, Umschlag	envelope
Glas	glass
Teller	plate
Kamera	camera
Fotoapparat	camera
phone das Handy	cellular
Uhr	clock
Computer, Rechner	computer
Aufzug, Fahrstuhl	elevator
Motor	engine
Instrument	instrument
Maschine	machine
Backofen, Ofen	oven
Fernseher	television
Uhr	watch
Addition	addition
Winkel	angle
Fläche	area
Mitte, Mittelpunkt	center
Kreis	circle
Kurve	curve
Grad	degree
Grad, Niveau	degree
Unterschied	difference
Abstand, Distanz	distance
Segmentierung, Teilung	division
Kante, Rand	edge
Element	element
die Funktion	function
Hälfte	half
Grenze	limit
Linie, Zeile	line
Netz	net
Reihenfolge	order
Äußere	outside
Prozent, Prozente	percent
Punkt	point
Funktion, Zweck	purpose
Ergebnis	result
Wurzel	root
Regel	rule
Satz	set
Seite	side
Quadrat	square
Quadrat	square
Ersatz	substitution
Oberfläche	surface
Summe	total
Fähigkeit	ability
Tat	act
Akt, Tat	action
Aktivität	activity
Ergänzung, Zugabe	addition
Menge	amount
Angriff, Anfall	attack
Anstrengung, Bemühung	attempt
Standpunkt, Stellung	attitude
Rückseite	back
Benehmen, Verhalten	behavior
Stückchen	bit
Schlag	blow
Pause	break
Kampagne	campaign
Fall	case
Chance, Gelegenheit	chance
Abwechslung, Abänderung	change
Wahl	choice
Zustand, Status	condition
Anschlussstück, Stecker	connection
Verbindung	connection
Kluft, Riss	crack
Zerquetschung	crush
Schnitt	cut
Beschädigung, Schaden	damage
Gefahr	danger
Tod, tod	death
Verzierung	decoration
Verteidigung, Abwehr	defense
Vernichtung	destruction
Einzelheit	detail
Vorherrschaft, Oberherrschaft	dominance
Tropfen	drop
Pflicht, Verpflichtung	duty
Kraftanstrengung	effort
Fall, Sturz	fall
Charakteristik, Eigenschaft	feature
Bekämpfung, Kampf	fight
Front, Vorderseite	front
Schlag, Hieb	hit
Höhle	hole
Wachstum	increase
Zunahme, Zuwachs	increase
Internet	internet
Ruck	jolt
Tritt	kick
Art, Gattung	kind
Knoten	knot
Liste	list
Mehrheit	majority
Affäre, Geschäft	matter
Geist, Verstand	mind
Betrieb	operation
Gegenteil	opposite
Ausbruch, Eruption	outburst
Anteil, Teil	part
Teil	part
Charakter	personality
Stück, Teil	piece
Platz	place
Stelle, Position	position
Energie, Kraft	power
Praxis	practice
Projekt, Aufgabe	project
Eigenschaft	property
Qualität	quality
Gelassenheit, Ruhe	quiet
Reichweite	reach
Bericht	report
Verantwortung	responsibility
Rest	rest
