Hindi	﻿English
बिना दूध का	black
भूरा [bhooraa]	brown
धूसर [dhoosar]	gray
कच्चा [kachchaa]	green
नारंगी [naarangee]	orange
गुलाबी रंग का	pink
बैगनी	violet
सफेद [saphed]	white
पीला [peelaa]	yellow
दो साथी	couple
आठ [aath]	eight
अस्सी [assee]	eighty
ग्यारह [gyaarah]	eleven
पंद्रह [pandrah]	fifteen
पचास [pachaas]	fifty
पांच	five
चालीस [chaalees]	forty
चौदह [chaudah]	fourteen
दस लाख [das laakh]	million
नौ [nau]	nine
उन्नीस [unnees]	nineteen
नब्बे [nabbe]	ninety
कुछ नहीं [kuchh naheen]	nothing
एक (ek) (numeral: १)	one
सत्तर [sattar]	seventy
छः [chhah]	six
सोलह [solah]	sixteen
साठ [saath]	sixty
दस (das)	ten
तीन [teen]	third
तेरह [terah]	thirteen
तीस [tees]	thirty
हजार [hajaar]	thousand
हजार [hajaar]	thousand
तीन [teen]	three
दो (do)	two
बांह	arm
पीठ [peeth]	back
चोंच [chonch]	beak
रक्त [rakt]	blood
शरीर [shareer]	body
हड्डी	bone
दिमाग [dimaag]	brain
सांस [saans]	breath
कोशिका [koshikaa]	cell
वक्ष [vaksh]	chest
छाती [chhaatee]	chest
ठुड्डी	chin
कान [kaan]	ear
आंख [aankh]	eye
मुख [mukh]	face
उंगली	finger
जीन [jeen]	gene
बाल [baal]	hair
बाल [baal]	hair
हाथ [haath]	hand
सिर [sir]	head
हृदय [hruday]	heart
घुटना [ghutanaa]	knee
टांग	leg
होंठ [honth]	lip
मुंह	mouth
पेशी [peshee]	muscle
नाखून [naakhoon]	nail
गरदन [garadan]	neck
नस [nas]	nerve
नाक [naak]	nose
त्वचा	skin
आमाशय	stomach
पिछला हिस्सा [pichhalaa hissaa]	tail
गला [galaa]	throat
अंगूठा	thumb
जीभ [jeebh]	tongue
दांत [daant]	tooth
पंख [pankh]	wing
चींटी [cheentee]	ant
भालू [bhaaloo]	bear
मधुमक्खी [madhumakkhee]	bee
चिड़िया [chidiyaa]	bird
बिल्ली [billee]	cat
गाय [gaay]	cow
कुत्ता [kuttaa]	dog
हाथी [haathee]	elephant
मछली [machhalee]	fish
उड़ना [udanaa]	fly
बकरा [bakaraa]	goat
घोड़ा	horse
कीड़ा [keedaa]	insect
शेर [sher]	lion
बंदर	monkey
सुअर [suar]	pig
भेड़ [bhed]	sheep
सर्प [sarp]	snake
तीसरा पहर [teesaraa pahar]	afternoon
अप्रैल [aprail]	April
अगस्त [agast]	August
शरद ऋतु [sharad rritu]	autumn
आरम्भ [aarambh]	beginning
शताब्दी [shataabdee]	century
किसी पत्र में दिन	date
दिसम्बर	December
संध्या [sandhyaa]	evening
फ़रवरी	February
शुक्रवार [shukravaar]	Friday
भविष्य [bhavishy]	future
घंटा [ghantaa]	hour
जनवरी [janavaree]	January
जुलाई [julaaee]	July
जून [joon]	June
मई [maee]	May
आधी रात [aadhee raat]	midnight
मिनट [minat]	minute
इसी क्षण	moment
सोमवार	Monday
महिना (mahinā)	month
सुबह [subah]	morning
रात [raat]	night
नवंबर [navambar]	November
अब [ab]	now
अक्टूबर [aktoobar]	October
अतीत [ateet]	past
मध्यान्तर [madhyaantar]	pause
काल [kaal]	period
वर्तमान [vartamaan]	present
शनिश्चरवार	Saturday
मौसम [mausam]	season
क्षण [kshan]	second
सितंबर [sitambar]	September
वसन्त [vasant]	spring
ग्रीष्म	summer
रविवार [ravivaar]	Sunday
गुरुवार [guruvaar]	Thursday
मंगलवार [mangalavaar]	Tuesday
बुधवार [budhavaar]	Wednesday
सप्ताह [saptaah]	week
सप्ताहांत [saptaahaant]	weekend
समय [samay]	while
जाड़ा [jaadaa]	winter
वर्ष [varsh]	year
रोटी [rotee]	bread
नाश्ता [naashtaa]	breakfast
मक्खन [makkhan]	butter
चीज [cheej]	cheese
चाकलेट [chaakalet]	chocolate
अंडा [andaa]	egg
आहार [aahaar]	food
फल [phal]	fruit
दोपहर का खाना	lunch
भोजन [bhojan]	meal
मांस [maans]	meat
तेल [tel]	oil
चावल (ćāval)	rice
सलाद [salaad]	salad
नमक [namak]	salt
सैंडविच [saindavich]	sandwich
चटनी [chatanee]	sauce
शोरबा [shorabaa]	soup
चीनी [cheenee]	sugar
मीठापन [meethaapan]	sweet
बियर [biyar]	beer
कॉफ़ी	coffee
पानी के अतिरिक्त दूसरे पेय	drink
दूध [doodh]	milk
चाय [chaay]	tea
पानी [paanee]	water
अंगूरी शराब	wine
सेब [seb]	apple
खुबानी [khubaanee]	apricot
केला [kelaa]	banana
शहतूत [shahatoot]	blackberry
चेरी [cheree]	cherry
नींबू [neemboo]	lemon
सुपारी [supaaree]	nut
नारंगी [naarangee]	orange
आड़ू [aadoo]	peach
नाशपाती [naashapaatee]	pear
अनन्नास [anannaas]	pineapple
बेर का फल	plum
रसभरी [rasabharee]	raspberry
हिसालू [hisaaloo]	strawberry
सेम [sem]	bean
बंदगोभी [bandagobhee]	cabbage
गाजर [gaajar]	carrot
ककड़ी [kakadee]	cucumber
लहसुन [lahasun]	garlic
जैतून (jaitūn), ज़ैतून (zaitūn)	olive
प्याज [pyaaj]	onion
चुकंदर [chukandar]	parsnip
आलू [aaloo]	potato
मूली [moolee]	radish
टमाटर [tamaatar]	tomato
शिशु [shishu]	baby
प्रसव [prasav]	birth
जन्मदिन [janmadin]	birthday
लड़का [ladakaa]	boy
भाई [bhaaee]	brother
बेटा (m), बेटी (f)	child
बेटी [betee]	daughter
मृत्यु [mrutyu]	death
फ़ैमिली	family
पिता [pitaa]	father
मित्र [mitr]	friend
लड़की [ladakee]	girl
दादा [daadaa]	grandfather
मानव [maanav]	human
पति [pati]	husband
पुरूष [puroosh]	man
विवाह [vivaah]	marriage
माता [maataa]	mother
पड़ोसी [padosee]	neighbor
व्यक्ति [vyakti]	person
सम्बन्ध [sambandh]	relationship
बहन [bahan]	sister
पुत्र [putr]	son
शादी [shaadee]	wedding
पत्नी [patnee]	wife
औरत [aurat]	woman
पता [pataa]	address
गुसलख़ाना	bathroom
शयनकक्ष [shayanakaksh]	bedroom
ईंट [eent]	brick
द्वार [dvaar]	door
फर्श [pharsh]	floor
तल्ला मंजिल	floor
गैरेज [gairej]	garage
उद्यान [udyaan]	garden
द्वार [dvaar]	gate
प्रतीक्षा-कक्ष [prateekshaa-kaksh]	hall
घर [ghar]	home
गृह [gruh]	house
रसोईघर [rasoeeghar]	kitchen
छत [chhat]	roof
कमरा [kamaraa]	room
फुहार में स्नान करना	shower
कार्य [kaary]	step
शौचालय [shauchaalay]	toilet
दीवार [deevaar]	wall
कुंआं	well
खिड़की [khidakee]	window
बिस्तर (bistar)	bed
कालीन [kaaleen]	carpet
कुर्सी [kursee]	chair
अलमारी [alamaaree]	cupboard
पर्दा [pardaa]	curtain
