Vietnamese	﻿English
không sữa	black
(màu) xanh (blue or green), xanh lam	blue
màu nâu	brown
xám	gray
non	green
cam	orange
màu hồng	pink
màu tím	violet
trắng	white
màu vàng	yellow
hai người	couple
tám	eight
số năm	five
triệu	million
chín	nine
không có gì	nothing
một	one
mười	ten
số thứ ba	third
một nghìn	thousand
con số một nghìn	thousand
ba, ba	three
hai	two
cánh tay	arm
cái lưng	back
máu	blood
thân người	body
bộ xương	bone
bộ não	brain
hơi thở	breath
tế bào	cell
cằm	chin
tai	ear
mắt	eye
mặt	face
ngón tay	finger
trán	forehead
gen	gene
tóc	hair
lông	hair
bàn tay	hand
cái đầu	head
tim	heart
đầu gối	knee
chân	leg
môi	lip
miệng	mouth
cơ bắp	muscle
móng	nail
cổ	neck
dây thần kinh	nerve
mũi	nose
da	skin
dạ dày	stomach
đuôi	tail
cổ họng	throat
ngón tay cái	thumb
lưỡi	tongue
răng	tooth
cánh	wing
con kiến	ant
con gấu	bear
con ong	bee
con chim	bird
con mèo	cat
bò cái	cow
con chó	dog
con voi	elephant
cá	fish
con ruồi	fly
con dê	goat
ngựa	horse
côn trùng	insect
sư tử	lion
con khỉ	monkey
lợn đực thiến	pig
con cừu	sheep
con rắn	snake
buổi chiều	afternoon
chín ngấu	age
Tháng tư	April
tháng tám	August
mùa thu	autumn
sự bắt đầu	beginning
thế kỷ	century
ngày tháng	date
ngày	day
Tháng mười hai	December
buổi tối	evening
Tháng hai	February
Thứ Sáu	Friday
giờ	hour
Tháng một	January
Tháng bảy	July
Tháng sáu	June
Tháng năm	May
nửa đêm	midnight
phút	minute
một chốc lát	moment
Thứ Hai	Monday
buổi sáng	morning
đêm	night
Tháng mười một	November
hiện nay	now
Tháng mười	October
quá khứ	past
lúc tạm nghỉ	pause
giai đoạn	period
Thứ Bảy	Saturday
mùa	season
giây	second
Tháng chín	September
mùa xuân	spring
mùa hè	summer
Chủ nhật	Sunday
Thứ Năm	Thursday
Thứ Ba	Tuesday
Thứ Tư	Wednesday
tuần	week
ngày cuối tuần	weekend
một lúc	while
mùa đông	winter
năm	year
bánh mỳ	bread
bữa sáng	breakfast
bơ	butter
pho mát	cheese
sô cô la	chocolate
quả trứng	egg
lương thực	food
quả	fruit
bữa trưa	lunch
bữa ăn	meal
thịt	meat
dầu	oil
rau trộn dầu giấm	salad
muối	salt
xăng-duýt	sandwich
nước chấm	sauce
xúp	soup
đường	sugar
tính chất ngọt	sweet
rượu bia	beer
cà phê	coffee
đồ uống	drink
sữa	milk
sữa khuấy	milkshake
trà	tea
nước	water
rượu	wine
quả táo	apple
quả chuối	banana
quả anh đào	cherry
quả chanh	lemon
quả hạch	nut
quả cam	orange
cây đào	peach
quả lê	pear
quả dứa	pineapple
quả mận	plum
quả mâm xôi	raspberry
quả	strawberry
đậu	bean
cải bắp	cabbage
củ cà rốt	carrot
quả dưa chuột	cucumber
cây tỏi	garlic
quả ô liu	olive
củ hành	onion
cây củ cải vàng	parsnip
cây củ cải	radish
cà chua	tomato
trẻ sơ sinh	baby
sinh nhật	birthday
con trai	boy
anh	brother
con gái	daughter
chết	death
gia đình	family
cha	father
bạn	friend
con gái	girl
ông bà	grandfather
con người	human
người chồng	husband
đàn ông	man
kết hôn	marriage
mẹ	mother
người láng giềng	neighbor
cha	parent
người	person
mối quan hệ	relationship
chị	sister
con trai	son
đám cưới	wedding
vợ	wife
người đàn bà đã có chồng	woman
địa chỉ	address
gạch	brick
cái cửa	door
sàn nhà	floor
tầng	floor
vườn	garden
cổng	gate
hành lang	hall
nhà	home
căn nhà	house
bếp	kitchen
mái nhà	roof
phòng	room
sự tắm dưới vòi hoa sen	shower
bậc	step
nhà vệ sinh	toilet
bức tường	wall
giếng	well
cửa sổ	window
giường	bed
thảm	carpet
ghế	chair
tủ	cupboard
màn cửa	curtain
bàn viết	desk
đồ dùng trong nhà	furniture
giá	shelf
bồn rửa bát	sink
