English	Persian
0 (number)	۰ (عدد)
1	۱ (میلادی)
1 (number)	۱ (عدد)
10 (number)	۱۰ (عدد)
100	۱۰۰ (میلادی)
100	رده:۱۰۰ (میلادی)
100 (number)	۱۰۰ (عدد)
11 (number)	۱۱ (عدد)
12 (number)	۱۲ (عدد)
13	۱۳ (میلادی)
13 (number)	۱۳ (عدد)
14 (number)	۱۴ (عدد)
140	۱۴۰ (میلادی)
144	۱۴۴ (میلادی)
15	۱۵ (میلادی)
15 (number)	۱۵ (عدد)
16 (number)	۱۶ (عدد)
17 (number)	۱۷ (عدد)
18 (number)	۱۸ (عدد)
19 (number)	۱۹ (عدد)
190	۱۹۰ (میلادی)
2	۲ (میلادی)
2 (number)	۲ (عدد)
20 (number)	۲۰ (عدد)
21 (number)	۲۱ (عدد)
22 (number)	۲۲ (عدد)
24 (TV series)	۲۴ (مجموعه تلویزیونی)
28 (number)	۲۸ (عدد)
29 (number)	۲۹ (عدد)
3 (number)	۳ (عدد)
30	۳۰ (میلادی)
30 (number)	۳۰ (عدد)
31	۳۱ (میلادی)
31 (number)	۳۱ (عدد)
33 (number)	۳۳ (عدد)
34	۳۴ (میلادی)
34 (number)	۳۴ (عدد)
35 (number)	۳۵ (عدد)
36 (number)	۳۶ (عدد)
37 (number)	۳۷ (عدد)
38 (number)	۳۸ (عدد)
39 (number)	۳۹ (عدد)
4	۴ (میلادی)
4 (number)	۴ (عدد)
40 (number)	۴۰ (عدد)
41 (number)	۴۱ (عدد)
42 (number)	۴۲ (عدد)
46	۴۶ (میلادی)
48	۴۸ (میلادی)
5 (number)	۵ (عدد)
50 (number)	۵۰ (عدد)
6 (number)	۶ (عدد)
60 (number)	۶۰ (عدد)
62	۶۲ (میلادی)
64	۶۴ (میلادی)
7 (number)	۷ (عدد)
79	۷۹ (میلادی)
8 (number)	۸ (عدد)
80 (number)	۸۰ (عدد)
81	۸۱ (میلادی)
86	۸۶ (میلادی)
9 (number)	۹ (عدد)
92	۹۲ (میلادی)
99	۹۹ (میلادی)
A	A
A (Cyrillic)	آ (سیریلیک)
AIDS	ایدز
ALGOL	الگول
Aachen	آخن
Aaron	هارون
Abacus	چرتکه
Abadan	آبادان
Abel Tasman	آبل تاسمان
Abelian group	گروه آبلی
Aberdeen	ابردین (اسکاتلند)
Abidjan	آبیجان
Abkhazia	آبخاز
Abortion	سقط جنین
Abraham	ابراهیم
Abraham Lincoln	آبراهام لینکلن
Absolute value	قدر مطلق (ریاضی)
Absolute zero	صفر مطلق
Abstract art	هنر انتزاعی
Abstract expressionism	اکپرسیونیسم انتزاعی
Abstraction	تجرید
Abuja	آبوجا
Academy Award	جایزه اسکار
Acceleration	شتاب
Accordion	آکوردئون
Accountancy	حسابداری
Acetaldehyde	استالدهید
Acetone	استون
Acetylene	استیلن
Acheron	آخرون
Achillea millefolium	بومادران
Achilles	آشیل
Acid	اسید
Actinide	آکتینید
Actinium	آکتینیوم
Actor	هنرپیشه
Acts of the Apostles	اعمال رسولان
Acupuncture	طب سوزنی
Ad hominem	مغالطه توسل به شخص
Ada (programming language)	ایدا
Adam	آدم
Adam Smith	آدام اسمیت
Adana	آدانا
Addiction	اعتیاد
Addis Ababa	آدیس آبابا
Addition	جمع (ریاضی)
Adelaide	آدلاید
Adiabatic process	فرآیند بی‌دررو
Adjective	صفت (دستور زبان)
Admiral	دریادار
Adolf Hitler	آدولف هیتلر
Adonis	آدونیس
Adoption	فرزندخواندگی
Adriatic Sea	دریای آدریاتیک
Advertising	تبلیغات
Aegean Sea	دریای اژه
Aeneas	آینیاس
Aeneid	انه‌اید
Aeolus	آیولوس
Aerodynamics	آیرودینامیک
Aeschylus	آشیلوس
Aesop	ازوپ
Aesthetics	زیبایی‌شناسی
Afghanistan	افغانستان
Afghanistan	رده:افغانستان
Africa	آفریقا
Africa	رده:آفریقا
African American	آمریکائیان آفریقایی‌تبار
Afrikaans	آفریکانس
Agamemnon	آگاممنون
Agate	عقیق
Agatha Christie	آگاتا کریستی
Aggression	پرخاشگری
Agra	اگرا
Agriculture	کشاورزی
Aikido	آیکیدو
Airbus	ایرباس
Aircraft	هواگرد
Aircraft carrier	ناو هواپیمابر
Airport	فرودگاه
Ajax	آژاکس
Ajax (mythology)	آیاس
Ajax (programming)	آژاکس (برنامه‌نویسی)
Akhenaten	آخناتون
Akira Kurosawa	آکیرا کوروساوا
Al Capone	آل کاپون
Al Gore	ال گور
Al-Qaeda	القاعده
Alabama	آلاباما
Alan Turing	آلن تورینگ
Alaska	آلاسکا
Albania	آلبانی
Albania	رده:آلبانی
