Dutch	﻿English
zwart	black
blauw	blue
bruin	brown
grij	gray
groen	green
oranje	orange
roze	pink
rood	red
violet	violet
wit	white
geel	yellow
[het] paar	couple
acht	eight
achttien	eighteen
tachtig	eighty
elf	eleven
vijftien	fifteen
vijftig	fifty
eerste, 1e	first
vijf	five
veertig	forty
vier	four
veertien	fourteen
honderd	hundred
miljoen	million
negen	nine
negentien	nineteen
negentig	ninety
niets	nothing
één	one
zeven	seven
zeventien	seventeen
zeventig	seventy
zes	six
zestien	sixteen
zestig	sixty
tien	ten
[de] derde, 3de	third
dertien	thirteen
dertig	thirty
duizend	thousand
duizend	thousand
drie	three
twintig	twenty
twee	two
[de] arm	arm
[de] rug	back
[de] snavel	beak
[het] bloed	blood
[de] romp	body
[het] bot	bone
[de] hersenen, [de] hersens	brain
[de] adem	breath
[de] cel	cell
[de] borst, [de] borstkast	chest
[de] borstkast	chest
[de] kin	chin
[het] oor	ear
[het] oog	eye
[het] gezicht, [het] gelaat	face
[de] vinger	finger
[de] voet	foot
[het] voorhoofd	forehead
[het] gen	gene
[het] haar, [de] haren (pl.)	hair
[het] haar	hair
[de] hand	hand
[het] hoofd	head
[het] hart	heart
[de] knie	knee
[het] been	leg
[de] lip	lip
[de] mond	mouth
[de] spier	muscle
[de] nagel	nail
[de] hals	neck
[de] zenuw	nerve
[de] neus	nose
[de] huid	skin
[de] maag	stomach
[de] staart	tail
[de] keel	throat
[de] duim	thumb
[de] teen	toe
[de] tong	tongue
[de] tand	tooth
[de] vleugel	wing
[de] mier	ant
[de] beer {m}, [de] berin {f}	bear
[de] bij	bee
[de] vogel	bird
[de] kat, [de] poes {f}	cat
[de] koe	cow
[de] hond	dog
[de] olifant	elephant
[de] vis	fish
[de] vlieg	fly
[de] geit	goat
[het] paard	horse
[het] insect	insect
[de] leeuw	lion
[de] aap {m}, [de] apin {f}	monkey
[het] zwijn, [het] varken	pig
[het] schaap	sheep
[de] slang, [het] serpent (archaism)	snake
[de] baby	baby
[de] geboorte	birth
[de] verjaardag	birthday
[de] jongen	boy
[de] broer	brother
[het] kind	child
[de] dochter	daughter
[de] dood	death
[de] familie	family
[de] vader	father
[de] vriend {m}, [de] vriendin {f}	friend
[het] meisje	girl
[de] grootvader, [de] opa	grandfather
[de] mens, [de] homosapien	human
[de] echtgenoot	husband
[het] leven	life
[de] (volwassen) man	man
[het] huwelijk	marriage
[de] moeder	mother
[de] buurman {m}, [de] buurvrouw {f}	neighbor
[de] ouder	parent
[de] persoon	person
[de] relatie	relationship
[de] zus	sister
[de] zoon	son
[de] bruiloft	wedding
[het] huwelijk	wedding
[de] echtgenote, [de] vrouw	wife
[de] vrouw	woman
[het] bier	beer
[de] koffie	coffee
[het] drankje	drink
[de] melk	milk
[de] milkshake	milkshake
[de] thee	tea
[het] water	water
[de] wijn	wine
[het] brood	bread
[het] ontbijt	breakfast
[de] boter	butter
[de] cake	cake
[de] kaas	cheese
[de] chocola, [de] chocolade	chocolate
[het] ei	egg
[het] voedsel	food
[de] vrucht	fruit
[de] lunch, [het] middageten	lunch
[de] maaltijd	meal
[het] vlees	meat
[de] olie	oil
[de] rijst	rice
[de] salade	salad
[het] zout, [het] tafelzout	salt
[de] sandwich	sandwich
[de] saus	sauce
[de] soep	soup
[de] suiker	sugar
[het] zoet	sweet
[de] appel	apple
abrikoos	apricot
banaan	banana
moerbei	blackberry
kers	cherry
citroen	lemon
[de] noot	nut
[de] sinaasappel	orange
perzik	peach
peer	pear
ananas	pineapple
pruim	plum
framboos	raspberry
aardbei	strawberry
boon	bean
kool	cabbage
