English	Arabic
black	أسود
blue	أزرق
brown	بني
gray	رمادي
green	أخضر
orange	برتقالي
pink	وردي
red	أحمر
violet	بنفسجي
white	أبيض
yellow	أصفر
eight	ثمانية
eighteen	ثمانية عشر
eighty	ثمانون
eleven	أحد عشر
fifteen	خمسة عشر
fifty	خمسون
five	خمسة
forty	أربعون
four	أربعة
fourteen	أربعة عشر
hundred	مائة
million	مليون
nine	تسعة
nineteen	تسعة عشر
ninety	تسعون
nothing	صِفر، لا شيء
one	واحد
seven	سبعة
seventeen	سبعة عشر (sábʕaʈ ʕášar)
seventy	سبعون
six	ستة
sixteen	ستة عشر
sixty	ستون
ten	عشرة
thirteen	ثلاثة عشر
thirty	ثلاثون
thousand	ألف
thousand	ألف
three	ثلاثة
twenty	عشرون
two	اثنان
arm	ذراع
back	ظهر
beak	منقار
blood	دم
body	جسم, جسد
bone	عظم
brain	دماغ
breath	نفس
cell	خلية
chest	صدر
chest	صدر
chin	ذقن
ear	أذن
eye	عين
face	وجه
finger	إسبع, إصبع
foot	قدم
forehead	جبهة
gene	مورثه
hair	شعر
hair	وبر
hand	يد, كف
head	رأس
heart	قلب
knee	ركبة
leg	ساق
lip	شفة
mouth	فم
muscle	عضلة
nail	ظفر
neck	عنق
nerve	عصب
nose	أنف
skin	جلد
stomach	معدة
tail	ذيل
throat	بلعوم
thumb	إبهام
toe	إبهام الرجل
tongue	لسان
tooth	سن
wing	جناح
ant	نملة
bear	دب
bee	نحلة
bird	طائر
cat	قط
cow	بقرة
dog	كلب
elephant	فيل
fish	سمك
fly	ذبابة
goat	عنزة
horse	حصان
insect	حشرة
lion	أسد
monkey	قرد
pig	خنزير
sheep	خروف
snake	أفعى
baby	رضيع
birth	ولادة
birthday	يوم ميلاد, عيد ميلاد
boy	ولد, صبي
brother	أخ
child	ولد
daughter	ابنة
death	موت
family	عائلة
father	أب
friend	صديق
girl	بنت
grandfather	جد
human	رجل, إنسان
husband	زوج
life	حياه
man	رجل
marriage	زواج، حياة الزواج
mother	أم
neighbor	جار
parent	أحد الوالِدين
person	شخص
relationship	قرابة
sister	أخت
son	ابن
wedding	زواج (zawá:j) (m)
wedding	عرس
wife	زوجة
woman	امرأة
beer	بيرة
coffee	قهوة
drink	شراب
milk	حليب
milkshake	كوكتيل
tea	شاي
water	ماء
wine	نبيذ
bread	خبز
breakfast	إفطار
butter	زبدة
cake	كعك
cheese	جبن
chocolate	شوكولا
egg	بيضة
food	طعام
fruit	فاكهة
lunch	غداء
meal	وجبة
meat	لحم
oil	زيت
rice	أرز
salad	سلطة
salt	ملح
sandwich	السندويتش
sauce	صلصة
soup	حساء
sugar	سكر
sweet	حلاوة
apple	تفاحة
apricot	مشمش
banana	موز
blackberry	تُوت
cherry	كرز
lemon	ليمون
nut	جوز
orange	برتقال
peach	دراق
pear	إجاص
pineapple	أناناس
plum	خوخ
raspberry	توت أحمر, توت العليق
strawberry	فراولة
bean	فاصولياء
cabbage	ملفوف
carrot	جزر
cucumber	خيار
garlic	ثوم
olive	زيتون
onion	بصل
parsnip	جزر أبيض
pea	البازلاء
potato	بطاطس
radish	الفجل
tomato	طماطم
address	عنوان
bathroom	الحمّام
bedroom	غرفة نوم
brick	قرميد
door	باب
floor	أرضية
floor	طابق
garage	مرآب
garden	بستان
gate	بوابة
hall	صاله، ردهه
home	مسكن
house	بيت
kitchen	مطبخ
roof	سقف
room	غرفة
shower	حمام, دش
step	سلم
toilet	مرحاض
wall	جدار
well	بئر
window	نافذة
bed	سرير
carpet	سجادة
chair	كرسي
cupboard	خِزانه
curtain	ستارة
desk	مكتب
furniture	أثاث
seat	مقعد للجلوس
shelf	رف
sink	المغسلة
table	طاولة
bag	الحقيبة
boot	جزمة
cloth	ثوب
clothing	ملابِس، ألبِسه، أغطِيه
coat	معطف
collar	ياقة
hat	قبعة
jacket	السترة
jewel	مجوهرات
ring	خاتم
shirt	قميص
shoe	حذاء
skirt	تنورة
sock	جورب
suitcase	الحقيبة
tie	ربطة عنق
actor	ممثل
actress	الممثّلة
businessman	رجل أعمال
expert	خبير
general	لواء
journalist	صحفي
judge	قاضي
leader	زعيم
minister	وزير
musician	موسيقي
photographer	مصور
pilot	قبطان
policeman	شرطي
politician	سياسي، رجل سياسه
president	رئيس الدوله
professional	محترف
representative	ممثل
sailor	بحار
scientist	العالم
secretary	سكرتير
servant	خادم
soldier	جندي
writer	كاتب ؛ مؤلف
airport	مطار
bank	مصرف
bridge	جسر
building	بناء
capital	عاصمة
castle	قلعة
church	كنيسة
cinema	سينما
city	مدينة
factory	مصنع
flat	شقة
hospital	مستشفى
hotel	فُندق
library	مكتبة
park	حديقة
prison	سجن
restaurant	المطعم
road	طريق
school	مدرسة
station	محطة
street	شارع
structure	بنية
subway	المترو
supermarket	سوبرماركِت: متجر كبير تباع فيه السِلع بطريقة ال
theater	مسرح
town	مدينة
university	الجامعة
village	قرية
accident	حادث
boat	قارب
bus	باص, حافلة ؛ باص
car	سيارة
curve	منحنى
express	قِطار سريع
flight	طيران
journey	رحلة
passenger	راكب
plane	طائرة
ship	سفينة
skid	قسيمة
track	سكة, سكة حديدية
train	قطار
transport	نقل
air	هواء
animal	حيوان
branch	فرع
evolution	تطوير, تطور
farm	مزرعة
field	حقل
fire	نار
flower	زهرة
forest	غابة
grass	عشب
leaf	ورق
life	حياة
lightning	برق
moisture	رطوبة
nature	الطبيعه
plant	نبات
root	جذر
sex	جنس
sky	سماء
sleep	نوم
smell	رائحة
smoke	دخان
spring	نبع
stem	جذع
stream	تيار
tree	شجرة
wave	موجة
weather	طقس
world	عالم
bank	ضفة ضِفة النهر
beach	شاطئ, شّاطئ
current	تيار
direction	اتجاه
Earth	الأرض
east	شرق
height	مِقياس الإرتِفاع
hill	تل
island	جزيرة
lake	بحيرة
land	أرض
map	خريطة
Moon	قمر
north	شمال
plain	حقل
river	نهر
sea	بحر
south	جنوب
space	فضاء
star	نجمة
sun	شمس
west	غرب
acid	حامض
chemical	كيميائي
chemical element	عنصر
coal	فحم
cotton	قطن
dust	غبار
earth	أرض
fat	دهن
glass	زجاج
glue	صمغ
grain	حبيبة, بذرة
ice	جليد
iron	حديد
leather	جلد
liquid	سائل
matter	ماده
metallic element	معدن
oil	نفط
poison	سم
powder	مسحوق
sand	رمل
silk	حرير
soap	صابون
steel	فولاذ
wood	خشب
wool	صوف
bag	حقيبة
basket	سلة
bottle	قارورة
box	صندوق
can	صفيحة
cup	قدح
drawer	درج
envelope	مغلف
glass	كأس
plate	صحن
camera	آلة تصوير
camera	آلة تصوير
cellular phone	هاتف نقال
clock	ساعة
computer	حاسوب
elevator	مصعد
engine	محرك
instrument	أداة
machine	آلة
oven	فرن
television	التلفاز
watch	ساعة
addition	إضافة, جمع
angle	زاوية
area	مساحه
circle	دائرة
curve	منحنى
degree	درجة
degree	مستوى
difference	إختِلاف
distance	مسافة
division	تقسيم
edge	حافة
element	عنصر
function	وظيفه، عمل
half	نصف
limit	حد
line	خط
net	شبكة
order	حكم
outside	خارِج، الجِهة الخارجِيه
percent	نسبة مئوية
point	نقطة
purpose	غاية
result	نتيجة
root	جذر
rule	قاعدة
set	مجموعة
side	جانب
square	مربع
square	مربع
substitution	استبدال
surface	سطح خارِجي
total	مبلغ
ability	مقدِرة
act	تصرف
action	عمل، إجراء
activity	فعل
addition	إضافة
amount	مقدار
attack	هجوم
attempt	محاولة
attitude	موقِف
back	خلف
behavior	سلوك
bit	قطعة
blow	ضربة
break	استراحة
campaign	حملةٌ عسكرِيه
case	حاله
chance	فرصة
change	تغيير
choice	اختيار
condition	شرط
connection	اتصال
connection	اتصال
crack	شق
crush	سحق
cut	قطع
damage	أذية, ضرر
danger	خطر
decoration	زخرفة
destruction	تدمير
detail	تفصيل
dominance	تحكم
drop	قطرة
duty	واجب
effort	جهد
fall	سقوط
feature	ميزة
fight	قتال
front	أمام
hit	ضرب، إصابه
hole	ثقب, فجوة
increase	نمو
increase	زيادة
internet	إنترنت
jolt	ارتجاج
kick	ركلة
kind	نوع
knot	عقدة
list	ﻻئحة
majority	أغلبية
matter	أمر
mind	عقل
operation	إجراء
opposite	مضاد
outburst	مباغتة
part	جزء
part	جزء
piece	قِطعه
place	موقع
position	موضع
power	قوة
practice	تمرين
project	واجب
property	خاصية
quality	جودة
responsibility	مسؤولِيه
rest	راحة
return	عوده
rise	صعود
risk	مخاطرة
seat	مقعد
set	'طقم
silence	سكون
situation	حاله، وضع
state	حاله
step	خطوة
stop	توقف
taste	مذاق
thing	شيء
top	قمة
touch	لمس
treatment	تدبير
tremble	اهتزاز
trick	خدعة
type	نوع، طِراز، نموذج
use	استخدام
way	وسيلة
wear	البِلى بالإستِعمال العادي
whole	وحده كامِله
will	إرادة
wish	رغبة
afternoon	عصر
age	عمر
April	نيسان % أبريل
August	آب % أغسطس
autumn	خريف
beginning	بداية
century	مِئة سنه
date	تاريخ
day	يوم
December	كانون الأول % ديسمبر
end	نهاية
evening	أمسية
February	شباط % فبراير
Friday	الجمعة
future	مستقبل
hour	ساعة
January	كانون الثاني % يناير
July	تموز % يوليو
June	حزيران % يونيو
May	أيار % مايو
midnight	منتصف الليل
minute	دقيقة
moment	لحظه
Monday	الاثنين
month	شهر
morning	صباح
night	ليل
November	تشربن الثاني % نوفمبر
now	الآن
October	تشرين الأول % أكتوبر
past	ماضي
pause	إستِراحه، فترة إستِراحه
period	فتره
present	حاضر
Saturday	السبت
season	موسِم
second	ثانية
September	أيلول % سبتمبر
spring	ربيع
summer	صيف
Sunday	الأحد
Thursday	الخميس
tomorrow	غد
Tuesday	الثلاثاء
Wednesday	الأربعاء
week	أسبوع
weekend	نهاية الأسبوع
while	فترة
winter	شتاء
year	سنة
art	فن
artist	فنان، رسام، نحات
band	فرقة
brush	فرشاة
color	لون, مادة تلوين
concert	جوقة موسيقية, حفلة موسيقية
design	تصميم
diversity	الاختلاف
entertainment	استمتاع
hit	ضربة ناجِحه، عمل ناجِح
image	رأي، فِكره عامه
ink	حبر
invention	اختراع
manner	سلوك
movie	فيلم
museum	متحف
music	موسيقى
note	نوتة
orchestra	أوركسترا
paint	طلاء
painting	الصورة
paper	ورق
pen	قلم
pencil	قلم رصاص
picture	صورة
poem	قصيده
poetry	شعر
rhythm	إيقاع
shape	شكل
singer	مغنٍ
song	أغنية
stage	منصة
style	نمط
vogue	زي، موضه
account	حساب
advantage	فائِده
advertisement	إعلان
advice	نصِيحه
agreement	موافقة, اتفاق
attention	انتباه
authority	سلطة
banknote	ورقة نقدية
bargain	إتفاق على بيع وشِراء
brand	نمط
business	أعمال
capital	عاصمة
change	فكة
cheque	شيك مصرفي
committee	مبعوث
company	شركة
competition	منافسة
complaint	تهمه، إتِهام
contract	عقد، إلتِزام، تعهد، إتِفاقِيه
copy	نسخة
council	مجلِـس (استِشاري)
customer	زبون
demand	حاجة
department	قسم
difficulty	صعوبه
director	مدير
economy	إقتِصاد الدوله
environment	بيئة
experience	خبرة
firm	شركة
form	نموذج
group	مجموعة
help	مساعدة
holiday	عطلة
income	دخل، إيراد شهري
industry	مصنع
insurance	تأمين
interest	فائدة
invoice	حساب
job	عمل
law	قانون
leave	في إجازه، في عطله
loss	فقدان
management	إرشاد، توجيه
mark	رمز
market	سوق
material	مادة
mean	متوسِط
meeting	اجتماع
money	مال
occupation	مِهنه، وظيفه
offer	تقديم
office	مكتب
officer	ضابِط شرطه
operation	عملية
owner	مالك
package	حزمة
payment	دفع
plan	مشروع
price	ثمن
problem	مشكلة
product	منتوج
profit	صافي
property	ملكية
rate	نسبة
rest	باقي
reward	مكافأة
right	حق
sale	بيع
section	قسم
service	خِدمه
share	سهم
shop	دكان
skill	براعه، حِذق
staff	هيئه، طاقم
structure	هيكلية
success	نجاح
support	دعم
table	مصفوفة
tax	ضريبة
team	فريق
trade	تجارة
value	قيمة
work	عمل
worker	عامل
announcement	إعلان
answer	جواب
approval	استحسان
argument	برهان
book	كتاب
call	مكالمه هاتفيه، إتِصال هاتفي
character	غرافيم
controversy	حجة
cry	صياح
data	معطيات، بيانات
decision	قرار
dictionary	قاموس, قاموس ؛ معجم
discussion	مناقشة
doubt	شك
experience	تجربة
feeling	شعور
humor	دعابة
idea	فكرة
information	معلومة، معلومات
interest	اهتمام
interview	مقابلة
language	لغة
language	لغه
letter	حرف
letter	رسالة
lie	بهتان
look	منظر, مظهر
magazine	مجلة
mail	بريد
memory	ذاكرة
memory	ذكرى
mistake	خطأ
name	اسم
newspaper	صحيفة
note	تعليق
number	عدد
opinion	رأي
page	صفحة
pronunciation	لفظ
proposal	إقتِراح، عرض
protest	احتجاج
question	سؤال
reaction	ردة فعل
reason	سبب
relation	علاقة
request	طلب
secret	سر
sentence	جملة
sign	إشارة
speech	حديث
spelling	تهجِئه
standard	مقدار معين من
statement	تصريح
subject	موضوع
suggestion	اقتراح
voice	صوت
word	كلمة
writing	كتابة
good day	نهارك سعيد (naharak saeed)
good luck	حظ سعيد (HaZZ sa3iid!), حظا سعيدا (HáZZan sa3iidan!)
good morning	صباح الخير (ʂabá:ħ al-χéir)
hello	مرحبا'مرحبًا (márħaban)
how are you	كيف حالك (kayf Haalak? m., kayf Haalik? f.)
no	لا
thank you very much	شكرا جزيلا (shúkran jaziilan!), ألف شكر ('alf shukr!)
yes	نعم
Britain	المملكة المتحدة
China	الصين
Czech Republic	تشيكيا
France	فرنسا
Germany	ألمانيا
India	الهند
Italy	إيطاليا
Japan	اليابان
Spain	إسبانيا
United States of America	الولايات المتحدة الأمريكية
class	صنف
education	تعليم
education	تعليم
education	تعليم
examination	امتحان
grade	علامة
knowledge	معرفة
student	تلميذ
teacher	معلم
training	تدريب
fear	خوف
hate	كره
love	حب
pleasure	سرور
promise	أمل
shock	صدمة
care	انتباه
cold	زكام
cough	سعال
disease	مرض
doctor	طبيب
health	صحة
menstruation	حيض
nurse	ممرض
operation	عملية, عملية جراحية
pain	ألم
patient	مريض
stitch	غرزة
blade	نصل
board	لوح
card	بطاقة
chain	سلسلة
club	النادي
cover	غطاء
feather	ريش
flag	علم
frame	إطار
handle	مقبض
menu	قائمة (qā'imâ'''
nut	علبة مجوفة
pin	دبوس
pipe	أنبوب
postage	طابع بريد
present	هدية
sail	شراع, حاجز معدني
scroll	لفافة
seed	بذرة
stick	عود
stone	حجر
ticket	تذكرة
wheel	عجلة
wire	سلك
balance	ميزان
bulk	حجم
charge	شحنةٌ كهربائِيه
energy	طاقة
light	ضوء
mass	وزن
measurement	قياس
mirror	مرآة
movement	حركة
pressure	ضغط
process	إجراء
size	حجم
sound	صوت
steam	بخار
strength	قوة
time	وقت
unit	وحدة
weight	وزن
boyfriend	صديق، رفيق، خليل
date	موعد
guest	ضيف ؛ مدعو
honey	عزيز
kiss	تقبيل
party	عِيْد
sex	جنس
smile	ابتسامة
surprise	مفاجأة
visit	زيارة
alternative	خيار بين إثنين
biology	علم الأحياء
cause	سبب
chemistry	كيمياء
comparison	مقارنة
consequence	تأثير
control	سيطرة
discipline	مجال
discovery	اكتشاف
event	حدث
evidence	برهان
example	أنموذج
fact	حقيقة
issue	قضِيه
kernel	نواة فكرة
method	منهج
model	طِراز
phase	مرحلة
procedure	إجراء
production	الإنتاج
program	برنامج
project	مشروع، خطه
range	مجال
research	بحث
science	علم
society	مجمتع
system	نظام
technology	تكنولوجيا
theory	نظرية
trend	مَيْل
trouble	صعوبة
user	المستعمل
army	جيش
base	قاعدة
club	نادٍ
company	رفقة
contest	منافسة
country	دولة
court	محكمة
crime	جريمة
culture	حضاره
democracy	جمهورية
dominion	حكم
election	انتخابات
existence	وجود
female	أنثى
government	حكومة
history	تاريخ
individual	فرد
institution	مؤسسه
king	ملك
male	ذكر
member	عضو
nation	وطن
news	خبر
noise	ضجيج
order	أمر
organization	منظمة
pass	جواز مرور
passport	جواز سفر
peace	سلام
people	أشخاص
police	شرطه
policy	سِياسه
population	شعب
public	جمهور
punishment	عقاب
religion	إيمان
religion	دين
state	دوله، وِلايه
title	عنوان
union	نِقابه، منظمة
war	حرب
will	إرادة
will	وصية
award	جائزة
ball	كرة
baseball	كرة القاعدة, كرة القاعدة ؛ بيسبول
bike	دراجة
championship	بطولة
competitor	منافِس
cup	كأس
football	لعبة كرة القدم
game	لعبه للإستِمتاع
goal	هدف
goal	الغاية
gold	ذهب
golf	غولف
jump	قفزة
match	مباراة
player	لاعب
record	رقم قياسي
silver	فضة
tennis	كرة المضرب
throw	طرح، إلقاء، رمي
win	الفوز
bell	جرس
button	زر
gun	سلاح
hammer	مطرقة
hook	خطاف
key	مفتاح
lock	قفل
match	عيدان كبريت
nail	مسمار
needle	إبرة
pump	مضخة
rope	حبل
scissors	مقص
spring	نابض
stamp	دمغة
whip	سوط
cloud	سحاب
dew	ندى
fog	ضباب
frost	صقيع
rain	مطر
rainbow	قوس قزح
snow	ثلج
storm	عاصفة
thunder	برق
wind	ريح, رياح
