English	Bulgarian
0 (number)	Нула
1	1
1 (number)	1 (число)
10	10
100	100
1000	1000
101	101
105	105
11	11
110	110
115	115
12	12
120	120
125	125
13	13
130	130
135	135
14	14
140	140
144	144
145	145
15	15
150	150
155	155
16	16
160	160
165	165
17	17
170	170
1728	1728
175	175
18	18
180	180
19	19
190	190
2	2
20	20
200	200
21	21
22	22
23	23
24	24
24 (TV series)	24 (сериал)
25	25
26	26
27	27
28	28
29	29
3	3
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
40	40
400	400
41	41
42	42
42 (number)	42 (число)
43	43
44	44
45	45
46	46
47	47
48	48
49	49
49 (number)	49 (число)
5	5
5 (number)	5 (число)
50	50
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
A (Cyrillic)	А
A cappella	А капела
ABC	ABC
AIDS	Синдром на придобитата имунна недостатъчност
ALGOL	ALGOL
ATP	АТП
AZ (football club)	АЗ Алкмаар
Aachen	Аахен
Aalborg	Олборг
Aarhus	Орхус
Aaron	Аарон (Библия)
Abadan	Абадан
Abbreviation	Абревиатура
Abdomen	Корем
Abel Tasman	Абел Тасман
Aberdeen	Абърдийн
Abidjan	Абиджан
Abkhazia	Абхазия
Abkhazia	Категория:Абхазия
Abortion	Аборт
Abraham Lincoln	Ейбрахам Линкълн
Absinthe	Абсент
Absolute magnitude	Абсолютна звездна величина
Absolute value	Абсолютна стойност
Absolute zero	Абсолютна нула
Absolutism (European history)	Абсолютизъм
Abu Dhabi	Абу Даби
Abu Dhabi (emirate)	Абу Даби
Abuja	Абуджа
Acacia	Акация
Academy Award	Награди на филмовата академия на САЩ
Acapulco	Акапулко
Acceleration	Ускорение
Accipitridae	Ястребови
Accountancy	Счетоводство
Accountancy	Категория:Счетоводство
Accra	Акра
Accusative case	Винителен падеж
Acetaldehyde	Ацеталдехид
Acetic acid	Оцетна киселина
Acetylene	Ацетилен
Acheron	Ахерон
Achillea millefolium	Бял равнец
Achilles	Ахил
Acid	Киселина
Acne vulgaris	Акне
Aconcagua	Аконкагуа
Acoustics	Акустика
Acoustics	Категория:Акустика
Acre	Акър
Acre	Акра (Израел)
Acre (state)	Акри
Acropolis	Акропол
Actor	Актьор
Acupuncture	Акупунктура
Ada (programming language)	Ada
Adam	Адам
Adam Smith	Адам Смит
Adana	Адана
Addiction	Пристрастяване
Addis Ababa	Адис Абеба
Adelaide	Аделаида
Adenine	Аденин
Adenosine triphosphate	Аденозинтрифосфат
Adiabatic process	Адиабатен процес
Adjective	Прилагателно име
Admiral	Адмирал
Adolescence	Юношество
Adolf Eichmann	Адолф Айхман
Adolf Hitler	Адолф Хитлер
Adonis	Адонис
Adoption	Осиновяване
Adrenal gland	Надбъбречна жлеза
Adriatic Sea	Адриатическо море
Adsorption	Адсорбция
Adverb	Наречие
Advertising	Реклама
Aegean Sea	Егейско море
Aeneas	Еней
Aeneid	Енеида
Aeolus	Еол
Aerodynamics	Аеродинамика
Aerosol	Аерозол
Aeschylus	Есхил
Aesop	Езоп
Aesthetics	Естетика
Afghanistan	Афганистан
Afghanistan	Категория:Афганистан
Africa	Африка
Africa	Категория:Африка
Afrikaans	Африкаанс
Agamemnon	Агамемнон
Agate	Ахат
Agatha Christie	Агата Кристи
Aggression	Агресия (психология)
Agnosticism	Агностицизъм
Agoraphobia	Агорафобия
Agra	Агра (град Индия)
Agriculture	Земеделие
Agriculture	Категория:Земеделие
Agrigento	Агридженто
Aikido	Айкидо
Air force	Военновъздушни сили
Airbus	Еърбъс
Aircraft	Летателен апарат
Aircraft	Категория:Самолети
Airline	Авиокомпания
Airport	Летище
Ajax	Аякс
Ajax (mythology)	Аякс Теламонид
Ajax (programming)	AJAX
Akhenaten	Ехнатон
Akira Kurosawa	Акира Куросава
Al Capone	Ал Капоне
Al Gore	Ал Гор
Al-Qaeda	Ал-Каида
Alabama	Алабама
Alabama	Категория:Алабама
Alan Shepard	Алън Шепърд
Alan Turing	Алън Тюринг
Alaska	Аляска
Alaska	Категория:Аляска
Albania	Албания
Albania	Категория:Албания
Albany	Олбани
Albatross	Албатрос
Albedo	Албедо
Albert Abraham Michelson	Албърт Майкелсън
Albert Camus	Албер Камю
Albert Einstein	Алберт Айнщайн
Albert Schweitzer	Алберт Швайцер
Albert Speer	Алберт Шпеер
Alberta	Алберта
Albinism	Албинизъм
Albuquerque	Албакърки
Alchemy	Алхимия
Alchemy	Категория:Алхимия
Alcohol	Алкохол
Alcoholism	Алкохолизъм
Aldehyde	Алдехид
Aldous Huxley	Олдъс Хъксли
Aleksandr Solzhenitsyn	Александър Солженицин
Aleppo	Халеб
Aleutian Islands	Алеутски острови
Alexander	Александър
Alexander Fleming	Александър Флеминг
Alexander Graham Bell	Александър Бел
Alexander Pope	Александър Поуп
Alexander Pushkin	Александър Пушкин
Alexander the Great	Александър Македонски
Alexandre Dumas	Александър Дюма - баща
Alexandre Dumas	Александър Дюма син
Alexandria	Александрия
Alexis de Tocqueville	Алексис дьо Токвил
Alfred Hitchcock	Алфред Хичкок
Alfred Nobel	Алфред Нобел
Alfred the Great	Алфред Велики
Algae	Водорасли
Algebra	Алгебра
Algebra	Категория:Алгебра
Algebraic number	Алгебрично число
Algeria	Алжир
Algeria	Категория:Алжир
Algiers	Алжир (град)
Algorithm	Алгоритъм
Alhambra	Алхамбра
Ali	Али ибн Абу Талиб
Alkali metal	Група 1А на периодичната система
Alkaloid	Алкалоид
Alkane	Алкан
Alkene	Алкен
Alkyne	Алкин
Allah	Аллах
Allegory	Алегория
Allele	Алел
Allen Ginsberg	Алън Гинсбърг
Allergy	Алергия
Alliteration	Алитерация
Allosaurus	Алозаври
Allotropy	Алотропия
Alloy	Сплав
Almanac	Алманах
Almaty	Алмати
Almond	Бадем
Aloe	Алое
Alpha (letter)	Алфа (буква)
Alpha Centauri	Алфа Центавър
Alphabet	Азбука
Alps	Алпи
Alps	Категория:Алпи
Alsace	Елзас
Altair	Алтаир
Altar	Олтар
Altay Mountains	Алтай
Alternating current	Променлив ток
Alternative medicine	Категория:Алтернативна медицина
Alternative medicine	Алтернативна медицина
Altruism	Алтруизъм
Aluminium	Алуминий
Alvar Aalto	Алвар Аалто
Alzheimer's disease	Болест на Алцхаймер
Amanita muscaria	Червена мухоморка
Amanita phalloides	Зелена мухоморка
Amaryllidaceae	Кокичеви
Amazon River	Амазонка (река)
Ambassador	Посланик
Amelia Earhart	Амелия Ерхарт
American Bison	Бизон
American Black Bear	Черна мечка
American Civil War	Американска гражданска война
American Revolutionary War	Американска война за независимост
American Samoa	Американска Самоа
American Standard Code for Information Interchange	ASCII
American football	Американски футбол
American football	Категория:Американски футбол
Amerigo Vespucci	Америго Веспучи
Amethyst	Аметист
Amharic	Амхарски език
Amide	Амид
Amino acid	Аминокиселина
Amish	Амиши
Amman	Аман
Ammeter	Амперметър
Ammonia	Амоняк
Amnesty	Амнистия
Ampere	Ампер
Amphetamine	Амфетамин
Amphibian	Земноводни
Amphitheatre	Амфитеатър
Amplitude	Амплитуда
Amsterdam	Амстердам
Amsterdam	Категория:Амстердам
Amun	Амон
Anabaptist	Анабаптизъм
Anagram	Анаграма
Anaheim	Анахайм
Anal sex	Анален секс
Analytic geometry	Аналитична геометрия
Anarchism	Анархизъм
Anarchism	Категория:Анархизъм
Anatidae	Патицови
Anatole France	Анатол Франс
Anatomy	Категория:Анатомия
Anaxagoras	Анаксагор
Anaximander	Анаксимандър
Anchor	Котва
Anchorage	Анкоридж
Ancient Greek	Старогръцки език
Ancient history	Категория:Античност
Andalusia	Андалусия
Andaman Sea	Андаманско море
Andes	Анди
Andhra Pradesh	Андхра Прадеш
Andorra	Андора
Andorra	Категория:Андора
Andrea Palladio	Андреа Паладио
Andrei Sakharov	Андрей Сахаров
Andrei Tarkovsky	Андрей Тарковски
Andrew Jackson	Андрю Джаксън
Andrew Johnson	Андрю Джонсън
Andrew Lloyd Webber	Андрю Лойд Уебър
Android	Андроид
Andromeda	Андромеда
Andromeda (constellation)	Андромеда (съзвездие)
Andromeda Galaxy	Андромеда (галактика)
Andy Warhol	Анди Уорхол
Anemia	Анемия
Anemometer	Анемометър
Angara River	Ангара
Angel	Ангел
Angel Falls	Анхел
Angle	Ъгъл
Angola	Ангола
Angola	Категория:Ангола
Anguilla	Ангуила
Angular momentum	Момент на импулса
Anicius Manlius Severinus Boethius	Боеций
Aniline	Анилин
Animal	Животни
Animation	Анимация
Anime	Аниме
Anime	Категория:Аниме
Animism	Анимизъм
Anise	Анасон
Ankara	Анкара
Annapolis	Анаполис (Мериленд)
Annapurna	Анапурна
Anne Boleyn	Ана Болейн
Annelid	Прешленести червеи
Annunciation	Благовещение
Anode	Анод
Anorexia nervosa	Анорексия нервоза
Anseriformes	Гъскоподобни
Anseriformes	Категория:Гъскоподобни
Ant	Мравки
Antakya	Антакия
Antalya	Анталия
Antananarivo	Антананариво
Antarctica	Антарктида
Antarctica	Категория:Антарктида
Antares	Антарес
Antenna (radio)	Антена
Anthony Hopkins	Антъни Хопкинс
Anthrax	Антракс
Anthropology	Антропология
Anthropology	Категория:Антропология
Anthroposophy	Антропософия
Antibiotic	Антибиотик
Antibody	Антитяло
Antichrist	Антихрист
Antigen	Антиген
Antigone	Антигона
Antigua and Barbuda	Антигуа и Барбуда
Antigua and Barbuda	Категория:Антигуа и Барбуда
Antimatter	Антиматерия
Antimony	Антимон
Antipope	Антипапа
Antisemitism	Антисемитизъм
Antisemitism	Категория:Антисемитизъм
Antlia	Помпа (съзвездие)
Antofagasta	Антофагаста
Antoine Lavoisier	Антоан Лавоазие
Anton Bruckner	Антон Брукнер
Anton Chekhov	Антон Чехов
Antonio Vivaldi	Антонио Вивалди
Antonym	Антоним
Antwerp	Антверпен
Antwerp (province)	Антверпен (провинция)
Anubis	Анубис
Anus	Анус
Aorta	Аорта
Apache	Апачи
Apatite	Апатит
Aphasia	Афазия
Aphorism	Афоризъм
Aphrodite	Афродита
Apia	Апия
Apiaceae	Сенникоцветни
Apocrypha	Апокриф
Apodiformes	Бързолетоподобни
Apollo	Аполон
Apollo program	Аполо
Apollo program	Категория:Програма Аполо
Apoptosis	Апоптоза
Appalachian Mountains	Апалачи
Appendicitis	Апендицит
Apple	Ябълка
Apricot	Кайсия
April	Април
April 14	14 април
Apse	Апсида (архитектура)
Apulia	Пулия
Aqaba	Акаба
Aqua regia	Царска вода
