English	Frisian
100	100
1000	1000
101	101
105	105
110	110
12	12
125	125
130	130
140	140
145	145
16	16
17	17
1728	1728
180	180
19	19
28	28
400	400
43	43
47	47
500	500
53	53
58	58
71	71
83	83
9	9
97	97
98	98
Abraham Lincoln	Abraham Lincoln
Adolf Hitler	Adolf Hitler
Adriatic Sea	Adriatyske See
Afghanistan	Afganistan
Afghanistan	Kategory:Afganistan
Africa	Afrika
Africa	Kategory:Afrika
Afrikaans	Afrikaansk
Agatha Christie	Agatha Christie
Agriculture	Lânbou
Aircraft	Loftfartúch
Ajax	Ajax
Al-Qaeda	Al Kaida
Alabama	Alabama
Alaska	Alaska
Albania	Albaanje
Albatross	Albatrossen
Albert Einstein	Albert Einstein
Aldous Huxley	Aldous Huxley
Alexander Graham Bell	Alexander Graham Bell
Alexander the Great	Aleksander de Grutte
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Algebra	Algebra
Algeria	Algerije
Algiers	Algiers
Alliteration	Alliteraasje
Alps	Alpen
Alsace	Elsas
Amazon River	Amazone
Ambrose	Ambrosius
American football	Amerikaansk Fuotbal
Amsterdam	Amsterdam
Amsterdam	Kategory:Amsterdam
Anagram	Anagram
Anatidae	Einfûgels
Anatomy	Anatomy
Andalusia	Andalûsje
Andorra	Andorra
Andy Warhol	Andy Warhol
Angel	Ingel
Angola	Angoala
Animal	Dier
Animism	Animisme
Anseriformes	Goeseftigen
Antarctica	Antarktika
Anthropology	Antropology
Anthropology	Kategory:Antropology
Antigua and Barbuda	Antigua en Barbûda
April	April
April 14	14 april
Apulia	Apulje
Aqueduct	Akwadukt
Aquitaine	Akwitaanje
Arabic language	Arabysk
Aragon	Arragon
Archaeology	Argeology
Archbishop	Aartsbiskop
Architecture	Boukeunst
Argentina	Argentynje
Arianism	Arianisme
Aristotle	Aristoteles
Arizona	Arizona
Arkansas	Arkansas
Armenia	Armeenje
Armenia	Kategory:Armeenje
Arnhem	Arnhim
Art	Keunst
Arts	Kategory:Keunst
Asia	Aazje
Asia	Kategory:Aazje
Astrology	Astrology
Astronaut	Romtefarder
Astronomer	Astronoom
Astronomy	Stjerrekunde
Astronomy	Kategory:Stjerrekunde
Athens	Atene
Atlantic Ocean	Atlantyske Oseaan
Atlantic Ocean	Kategory:Atlantyske Oseaan
Attila the Hun	Attila
August	Augustus
August 1	1 augustus
August 15	15 augustus
August 6	6 augustus
Augustine of Hippo	Augustinus
Australia	Austraalje (lân)
Australia	Kategory:Austraalje
Austria	Eastenryk
Auvergne (region)	Auvergne
Azerbaijan	Azerbeidzjan
Babylonia	Babyloanje
Bahrain	De Barein
Baku	Bakoe
Balearic Islands	Balearen
Ballet	Ballet
Baltic Sea	Eastsee
Bangladesh	Banglades
Baptist	Baptisme
Barbados	Barbados
Bari	Bary (stêd)
Barn Owl	Goudûle
Barn Swallow	Boereswel
Basilicata	Basilikata
Basse-Normandie	Leech-Normandje
Bassoon	Fagot
Battle of Verdun	Slach by Ferdun
Battle of Waterloo	Slach by Waterloo
Bavaria	Beieren
Bay of Biscay	Golf fan Biskaje
Beak	Snaffel
Beaver	Bevers
Bede	Beda
Beijing	Peking
Belarus	Wyt-Ruslân
Belgium	Belgje
Belgium	Kategory:Belgje
Belisarius	Belisarius
Belize	Belize
Benelux	Benelúks
Benin	Benyn
Benito Mussolini	Benito Mussolini
Beowulf	Beowulf
Bering Sea	Beringsee
Bering Strait	Beringstrjitte
Berlin	Berlyn
Beverly Hills	Beverly Hills
Bhutan	Bûtan
Bible	Bibel
Biochemistry	Biogemy
Biology	Biology
Biology	Kategory:Biology
Bird	Fûgels
Bisexuality	Biseksualiteit
Bishop	Biskop
Bit	Bit
Black Kite	Swarte Glee
Black Sea	Swarte See
Black Stork	Swarte Earrebarre
Black hole	Swart gat
Blackbird	Klyster
Blues	Blues
Boar	Wylde baarch
Bob Dylan	Bob Dylan
Bolivia	Bolivia
Bolzano	Bolzano
Bosnia and Herzegovina	Bosnje
Botswana	Botswana
Bourgogne	Boergonje (regio)
Brandenburg	Brandenboarch
Brazil	Brazylje
Bremen (state)	Bremen (dielsteat)
Bretagne	Bretanje (regio)
British Empire	Britske Ryk
Bronze	Brûns
Bronze Age	Brûnstiid
Bruges	Brugge
Brunei	Brûnei
Brussels	Brussel
Bucharest	Bûkarest
Budapest	Boedapest
Buddhism	Boedisme
Building	Bouwurk
Bulgaria	Bulgarije
Burgomaster	Boargemaster
Burkina Faso	Bûrkina Faso
Burma	Birma
Buster Keaton	Buster Keaton
Butter	Bûter
Calabria	Kalaabrje
Calendar	Kalinder
California	Kalifornje
Cambodia	Kambodja
Cameroon	Kameroen
Campania	Kampanje
Canada	Kanada
Canada	Kategory:Kanada
Canary Islands	Kanaryske Eilannen
Cannibalism	Kannibalisme
