Telugu	English
సున్న	0 (number)
ఒకటి	1 (number)
పది	10 (number)
రెండు	2 (number)
మూడు	3 (number)
ఆరు	6 (number)
ఏడు	7 (number)
ఎనిమిది	8 (number)
ఎయిడ్స్	AIDS
ఉదరము	Abdomen
అబ్‌ఖజియా	Abkhazia
తుమ్మ	Acacia
త్వరణము	Acceleration
మొటిమ	Acne vulgaris
ఆక్యుపంక్చర్	Acupuncture
ఆడం స్మిత్	Adam Smith
ఎడాల్ఫ్ హిట్లర్	Adolf Hitler
అధివృక్క గ్రంధి	Adrenal gland
ఆఫ్ఘనిస్తాన్	Afghanistan
ఆఫ్రికా	Africa
ఆగ్రా	Agra
వ్యవసాయం	Agriculture
అలాన్ ట్యూరింగ్‌	Alan Turing
ఆల్బర్ట్ ఐన్‌స్టీన్	Albert Einstein
అలెగ్జాండర్ పుష్కిన్	Alexander Pushkin
అలెగ్జాండర్	Alexander the Great
ఆల్ ఫ్రెడ్ నోబెల్	Alfred Nobel
అల్జీరియా	Algeria
అల్గారిథం	Algorithm
క్షార లోహము	Alkali metal
అల్యూమినియం	Aluminium
ఎమైనో ఆమ్లాలు	Amino acid
ఉభయచరము	Amphibian
శరీర నిర్మాణ శాస్త్రము	Anatomy
ఆంధ్ర ప్రదేశ్	Andhra Pradesh
అంగోలా	Angola
జంతువు	Animal
పశు పోషణ	Animal husbandry
అంకారా	Ankara
అనెలిడా	Annelid
చీమ	Ant
అంటోన్ చెకోవ్	Anton Chekhov
అంబెల్లిఫెరె	Apiaceae
ఏప్రిల్	April
ఏప్రిల్ 14	April 14
అరేబియా సముద్రము	Arabian Sea
ఆర్మేనియా	Armenia
ధమని	Artery
గౌటు	Arthritis
ఆర్థ్రోపోడా	Arthropod
రాతినార	Asbestos
ఆసియా	Asia
అసోం	Assam
ఆస్టరేసి	Asteraceae
ఆస్టెరాయిడ్ పట్టీ	Asteroid belt
ఉబ్బసము	Asthma
వ్యోమగామి	Astronaut
ఖగోళ శాస్త్రము	Astronomy
ఆగష్టు	August
ఆగష్టు 1	August 1
ఆగష్టు 15	August 15
ఆగష్టు 6	August 6
ఆస్ట్రేలియా	Australia
కారు	Automobile
ఇబ్నె సీనా	Avicenna
గొడ్డలి	Axe
అజర్‌బైజాన్	Azerbaijan
బాక్టీరియా	Bacteria
బహ్రయిన్	Bahrain
వెదురు	Bamboo
అరటి	Banana
బెంగుళూరు	Bangalore
బంగ్లాదేశ్	Bangladesh
భారమితి	Barometer
గబ్బిలం	Bat
ఎలుగుబంటి	Bear
పరుపు	Bed
బెంగాల్	Bengal
బెనిన్	Benin
భూటాన్	Bhutan
బైబిల్	Bible
మహావిస్ఫోటం	Big Bang
బీహార్	Bihar
పైత్యరసం	Bile
బిల్ గేట్స్	Bill Gates
జీవ శాస్త్రము	Biology
పక్షి	Bird
నలుపు	Black
కాలబిలము	Black hole
బ్లాగు	Blog
రక్తం	Blood
రక్తనాళాలు	Blood vessel
నీలము	Blue
బాబీ ఫిషర్	Bobby Fischer
ఎముక	Bone
బోస్టన్	Boston
మూస:Bot	Bot
బోత్సువానా	Botswana
బ్రహ్మ	Brahma
బ్రహ్మపుత్రా నది	Brahmaputra River
ఇత్తడి	Brass
ఇటుక	Brick
వంతెన	Bridge
కంచు	Bronze
బ్రూస్ లీ	Bruce Lee
బ్రూనై	Brunei
బౌద్ధ మతము	Buddhism
తుమ్మెద	Bumblebee
బర్కీనా ఫాసో	Burkina Faso
మయన్మార్	Burma
బస్సు	Bus
వెన్న	Butter
సీ	C (programming language)
కాల్షియమ్	Calcium
కేలండర్	Calendar
కాలిఫోర్నియా	California
కంబోడియా	Cambodia
కామెరూన్	Cameroon
కెనడా	Canada
కాలువ	Canal
కేప్ వర్దె	Cape Verde
పిండిపదార్ధాలు	Carbohydrate
కార్బన్	Carbon
ఏలకులు	Cardamom
కీటకాహార మొక్కలు	Carnivorous plant
కరోలస్ లిన్నేయస్	Carolus Linnaeus
కాలీఫ్లవరు	Cauliflower
గుహ	Cave
జీవకణం	Cell (biology)
సిమెంటు	Cement
సెంటీమీటరు	Centimetre
సెంట్రల్ ఆఫ్రికన్ రిపబ్లిక్	Central African Republic
సెరిస్ (మరుగుజ్జు గ్రహం)	Ceres (dwarf planet)
బద్దెపురుగు	Cestoda
చాద్	Chad
చార్లీ చాప్లిన్	Charlie Chaplin
చే గెవారా	Che Guevara
రసాయన శాస్త్రము	Chemistry
చెన్నై	Chennai
చదరంగం (ఆట)	Chess
శనగలు	Chickpea
పిల్లలు	Child
కలరా	Cholera
కార్డేటా	Chordate
వారసవాహిక	Chromosome
మేఘం	Cloud
నిడేరియా	Cnidaria
బొద్దింక	Cockroach
కొబ్బరి	Coconut
కాఫీ	Coffee
కొలంబో	Colombo
రంగు	Color
తోకచుక్క	Comet
జలుబు	Common cold
కమ్యూనిజం	Communism
కొమొరోస్	Comoros
సంకీర్ణ సంఖ్యలు	Complex number
కంప్యూటరు	Computer
కంప్యూటరు హార్డువేరు	Computer hardware
రాగి	Copper
క్రికెట్	Cricket
క్యూబా	Cuba
దోసకాయలు	Cucumber
కుకుర్బిటేసి	Cucurbitaceae
Curitiba	Curitiba
సైప్రస్	Cyprus
డీఆక్సీరైబో కేంద్రక ఆమ్లం	DNA
ఖర్జూరం	Date Palm
డిసెంబర్	December
డిసెంబర్ 31	December 31
డిసెంబర్ 8	December 8
నిర్వచనము	Definition
ఢిల్లీ	Delhi
ప్రజాస్వామ్యం	Democracy
డెన్మార్క్	Denmark
ఎడారి	Desert
మధుమేహం	Diabetes mellitus
వజ్రం	Diamond
అతిసారం	Diarrhea
ద్విదళబీజాలు	Dicotyledon
నిఘంటువు	Dictionary
వర్గం:అయోమయ నివృత్తి	Disambiguation
వ్యాధి	Disease
కుక్క	Dog
గాడిద	Donkey
తలుపు	Door
దుబాయ్	Dubai
గద్ద	Eagle
చెవి	Ear
భూమి	Earth
భూకంపం	Earthquake
తూర్పు తైమూర్	East Timor
జీవావరణ శాస్త్రము	Ecology
ఆర్థిక శాస్త్రము	Economics
ఎడ్మండ్ హిల్లరీ	Edmund Hillary
విద్య	Education
వంకాయ	Eggplant
ఈఫిల్ టవర్	Eiffel Tower
విద్యుత్తు	Electricity
విద్యుద్విశ్లేషణ	Electrolysis
ఎలక్ట్రాన్	Electron
ఎలక్ట్రాన్ సూక్ష్మదర్శిని	Electron microscope
ఏనుగు	Elephant
ఈము	Emu
భూమధ్య రేఖ	Equator
ఎరిస్ (మరుగుజ్జు గ్రహం)	Eris (dwarf planet)
అన్నవాహిక	Esophagus
ఐరోపా	Europe
ఫాబేసి	Fabaceae
Template:మూలాలు అవసరం	Fact
ఫెలోపియన్ నాళాలు	Fallopian tube
కుటుంబము (జీవశాస్త్రం)	Family (biology)
ఇంటి పేర్లు	Family name
ఫిబ్రవరి	February
ఫిబ్రవరి 12	February 12
ఫిబ్రవరి 14	February 14
ఫిబ్రవరి 2	February 2
ఫిబ్రవరి 22	February 22
ఫిబ్రవరి 29	February 29
జ్వరం	Fever
ఫిడెల్ కాస్ట్రో	Fidel Castro
మైదాన హాకీ	Field hockey
సినిమా	Film
ప్రధమచికిత్స	First aid
చేప	Fish
ప్లాటీహెల్మింథిస్	Flatworm
వరద	Flood
ఫ్లోరిడా	Florida
వేణువు	Flute
ఆహారం	Food
ఫుట్ బాల్	Football (soccer)
అడవి	Forest
వన్య శాస్త్రము	Forestry
కోట	Fortification
శుక్రవారము	Friday
పౌర్ణమి	Full moon
శిలీంధ్రం	Fungus
గేలక్సీ	Galaxy
గెలీలియో గెలీలి	Galileo Galilei
పిత్తాశయము	Gallbladder
వినాయకుడు	Ganesha
గంగా నది	Ganges
గౌతమ బుద్ధుడు	Gautama Buddha
ప్రజాతి	Genus
భూగోళ శాస్త్రము	Geography
జ్యామితి	Geometry
జార్జి బెర్నార్డ్ షా	George Bernard Shaw
జార్జియా	Georgia (U.S. state)
జెర్మనీ	Germany
గ్రంధి	Gland
గ్లాస్గో	Glasgow
గాజు (పదార్ధం)	Glass
కళ్ళద్దాలు	Glasses
ప్రపంచీకరణ	Globalization
గ్లూకోస్	Glucose
నేతోస్టొమాటా	Gnathostomata
గోవా	Goa
దేవుడు	God
బంగారం	Gold
గోల్ఫ్	Golf
గౌటు	Gout
చైనా మహా కుడ్యము	Great Wall of China
గ్రెగోరియన్‌ కాలెండరు	Gregorian calendar
గుజరాత్	Gujarat
వివృతబీజాలు	Gymnosperm
హదీసులు	Hadith
వడగళ్ళు	Hail
హజ్	Hajj
హలాల్	Halal
హనుమంతుడు	Hanuman
తల	Head
గుండె	Heart
భారజలం	Heavy water
హెలెన్ కెల్లర్	Helen Keller
నరకం	Hell
షడ్భుజి	Hexagon
హిమాలయాలు	Himalayas
హిందూమతము	Hinduism
చరిత్ర	History
హొమియోపతీ	Homeopathy
తేనె	Honey
హాంగ్‌కాంగ్	Hong Kong
కొమ్ము	Horn (anatomy)
ఇల్లు	House
భుజాస్థి	Humerus
ఆకలి	Hunger
హైదరాబాదు	Hyderabad
హైడ్రోజన్	Hydrogen
ఐపాడ్	IPod
ఇమామ్	Imam
భారత దేశము	India
వర్గం:భారత దేశము	India
హిందూ మహాసముద్రం	Indian Ocean
ఇందిరా గాంధీ	Indira Gandhi
ఇండోనేషియా	Indonesia
ఇంద్రుడు	Indra
ఫ్లూ	Influenza
కీటకము	Insect
ఇంటర్నెట్	Internet
అయోడిన్	Iodine
ఇరాన్	Iran
ఇరాక్	Iraq
ఇనుము	Iron
ఐజాక్ న్యూటన్	Isaac Newton
ఇస్లాం మతం	Islam
