English	Macedonian
1	1
10	10
100	100
1000	1000
101	101
105	105
11	11
110	110
115	115
12	12
120	120
125	125
13	13
130	130
135	135
14	14
140	140
144	144
145	145
15	15
150	150
155	155
16	16
160	160
165	165
17	17
170	170
1728	1728
175	175
18	18
180	180
19	19
190	190
1990s	Категорија:1990-ти
2	2
20	20
200	200
21	21
22	22
23	23
24	24
24 (TV series)	24 (ТВ серија)
25	25
26	26
27	27
28	28
29	29
3	3
30	30
300	300
31	31
32	32
33	33
34	34
35	35
36	36
37	37
38	38
39	39
4	4
40	40
400	400
41	41
42	42
43	43
44	44
45	45
46	46
47	47
48	48
49	49
5	5
50	50
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
60	60
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
80	80
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A cappella	A cappella
AIDS	СИДА
Abdomen	Стомачна празнина
Aberdeen	Абердин
Abidjan	Абиџан
Abortion	Абортус
Abraham	Авраам
Abraham Lincoln	Абрахам Линколн
Absinthe	Апсинт
Abstraction	Апстракција
Abuja	Абуџа
Academy Award	Оскар
Accountancy	Сметководство
Achilles	Ахил
Acid	Киселина
Acid rain	Кисели дождови
Acre	Акра (мерна единица)
Acre	Акра (Израел)
Acropolis	Акропол
Actor	Глумец
Adana	Адана
Adenosine triphosphate	Аденозин трифосфат
Adolf Hitler	Адолф Хитлер
Adrenal gland	Надбубрежна жлезда
Adriatic Sea	Јадранско Море
Afghanistan	Авганистан
Africa	Африка
Africa	Категорија:Африка
Afrikaans	Африканс
Agatha Christie	Агата Кристи
Agnosticism	Агностицизам
Agora	Агора
Agriculture	Земјоделство
Aikido	Аикидо
Airport	Аеродром
Ajax (programming)	AJAX
Al-Qaeda	Ал-Каеда
Alabama	Алабама
Alan Turing	Алан Тјуринг
Alaska	Аљаска
Albania	Албанија
Albania	Категорија:Албанија
Albany	Олбени, Њујорк
Albert Camus	Албер Ками
Albert Einstein	Алберт Ајнштајн
Alberta	Алберта
Album	Музички албум
Alchemy	Алхемија
Alcohol	Алкохол
Alcoholic beverage	Алкохолен пијалок
Alcoholism	Алкохолизам
Aldehyde	Алдехид
Alexander	Александар
Alexander Graham Bell	Александар Грејам Бел
Alexander Pushkin	Александар Сергеевич Пушкин
