Marathi	English
इ.स. १	1
इ.स. १०	10
इ.स. १००	100
इ.स. १०००	1000
वर्ग:इ.स. १०००	1000
सहस्र	1000 (number)
इ.स. १०१	101
इ.स. १०५	105
इ.स. ११	11
इ.स. ११०	110
इ.स. ११५	115
इ.स. १२	12
वर्ग:इ.स. १२	12
इ.स. १२०	120
इ.स. १२५	125
इ.स. १३	13
इ.स. १३०	130
इ.स. १३५	135
इ.स. १४	14
वर्ग:इ.स. १४	14
इ.स. १४०	140
इ.स. १४४	144
इ.स. १४५	145
इ.स. १५	15
इ.स. १५०	150
इ.स.चे १५३० चे दशक	1530s
इ.स. १५५	155
इ.स. १६	16
वर्ग:इ.स. १६	16
इ.स. १६०	160
इ.स. १६५	165
इ.स. १७	17
वर्ग:इ.स. १७	17
इ.स. १७०	170
इ.स. १७२८	1728
इ.स. १७५	175
इ.स.चे १७५० चे दशक	1750s
वर्ग:इ.स.चे १७५० चे दशक	1750s
इ.स.चे १७६० चे दशक	1760s
वर्ग:इ.स.चे १७६० चे दशक	1760s
इ.स.चे १७७० चे दशक	1770s
वर्ग:इ.स.चे १७७० चे दशक	1770s
इ.स.चे १७८० चे दशक	1780s
वर्ग:इ.स.चे १७८० चे दशक	1780s
इ.स.चे १७९० चे दशक	1790s
वर्ग:इ.स.चे १७९० चे दशक	1790s
इ.स. १८	18
इ.स. १८०	180
इ.स.चे १८२० चे दशक	1820s
वर्ग:इ.स.चे १८२० चे दशक	1820s
इ.स.चे १८३० चे दशक	1830s
वर्ग:इ.स.चे १८३० चे दशक	1830s
इ.स.चे १८४० चे दशक	1840s
वर्ग:इ.स.चे १८४० चे दशक	1840s
इ.स.चे १८५० चे दशक	1850s
इ.स.चे १८६० चे दशक	1860s
वर्ग:इ.स.चे १८६० चे दशक	1860s
इ.स.चे १८७० चे दशक	1870s
वर्ग:इ.स.चे १८७० चे दशक	1870s
इ.स.चे १८८० चे दशक	1880s
वर्ग:इ.स.चे १८८० चे दशक	1880s
इ.स.चे १८९० चे दशक	1890s
वर्ग:इ.स.चे १८९० चे दशक	1890s
इ.स. १९	19
इ.स. १९०	190
इ.स.चे १९०० चे दशक	1900s
वर्ग:इ.स.चे १९०० चे दशक	1900s
इ.स.चे १९२० चे दशक	1920s
वर्ग:इ.स.चे १९२० चे दशक	1920s
इ.स.चे १९३० चे दशक	1930s
वर्ग:इ.स.चे १९३० चे दशक	1930s
इ.स.चे १९४० चे दशक	1940s
वर्ग:इ.स.चे १९४० चे दशक	1940s
इ.स.चे १९५० चे दशक	1950s
वर्ग:इ.स.चे १९५० चे दशक	1950s
इ.स.चे १९६० चे दशक	1960s
वर्ग:इ.स.चे १९६० चे दशक	1960s
इ.स.चे १९७० चे दशक	1970s
वर्ग:इ.स.चे १९७० चे दशक	1970s
इ.स.चे १९८० चे दशक	1980s
वर्ग:इ.स.चे १९८० चे दशक	1980s
इ.स.चे १९९० चे दशक	1990s
वर्ग:इ.स.चे १९९० चे दशक	1990s
इ.स. २	2
इ.स. २०	20
इ.स. २००	200
इ.स. २१	21
इ.स. २२	22
इ.स. २३	23
इ.स. २४	24
इ.स. २५	25
इ.स. २६	26
इ.स. २७	27
इ.स. २८	28
इ.स. २९	29
इ.स. ३	3
इ.स. ३०	30
इ.स. ३००	300
इ.स. ३१	31
इ.स. ३२	32
इ.स. ३३	33
इ.स. ३४	34
इ.स. ३५	35
इ.स. ३६	36
इ.स. ३७	37
इ.स. ३८	38
इ.स. ३९	39
इ.स. ४	4
इ.स. ४०	40
इ.स. ४००	400
इ.स. ४१	41
इ.स. ४२	42
इ.स. ४३	43
इ.स. ४४	44
इ.स. ४५	45
इ.स. ४६	46
इ.स. ४७	47
इ.स. ४८	48
इ.स. ४९	49
इ.स. ५	5
५	5 (number)
इ.स. ५०	50
इ.स. ५००	500
वर्ग:इ.स. ५००	500
इ.स. ५१	51
इ.स. ५२	52
इ.स. ५३	53
इ.स. ५४	54
इ.स. ५५	55
इ.स. ५६	56
इ.स. ५७	57
इ.स. ५८	58
इ.स. ५९	59
इ.स. ६	6
इ.स. ६०	60
इ.स. ६१	61
इ.स. ६२	62
इ.स. ६३	63
इ.स. ६४	64
इ.स. ६५	65
इ.स. ६६	66
इ.स. ६७	67
इ.स. ६८	68
इ.स. ६९	69
इ.स. ७	7
इ.स. ७०	70
इ.स. ७१	71
इ.स. ७२	72
इ.स. ७३	73
इ.स. ७४	74
इ.स. ७५	75
इ.स. ७६	76
इ.स. ७७	77
इ.स. ७८	78
इ.स. ७९	79
इ.स. ८	8
इ.स. ८०	80
इ.स. ८१	81
इ.स. ८२	82
इ.स. ८३	83
इ.स. ८४	84
इ.स. ८५	85
इ.स. ८६	86
इ.स. ८७	87
इ.स. ८८	88
इ.स. ८९	89
इ.स. ९	9
इ.स. ९०	90
इ.स. ९१	91
इ.स. ९२	92
इ.स. ९३	93
इ.स. ९४	94
इ.स. ९५	95
इ.स. ९६	96
इ.स. ९७	97
इ.स. ९८	98
इ.स. ९९	99
एड्स	AIDS
अब्राहम लिंकन	Abraham Lincoln
आक्रा	Accra
अकिलिस	Achilles
अदिस अबाबा	Addis Ababa
एडन	Aden
पौगंडावस्था	Adolescence
एडॉल्फ हिटलर	Adolf Hitler
अफगाणिस्तान	Afghanistan
वर्ग:अफगाणिस्तान	Afghanistan
आफ्रिका	Africa
अगाथा ख्रिस्ती	Agatha Christie
विमानतळ	Airport
अलाबामा	Alabama
वर्ग:अलाबामा	Alabama
ऍलन शेपर्ड	Alan Shepard
ऍलन ट्युरिंग	Alan Turing
अलास्का	Alaska
वर्ग:अलास्का	Alaska
आल्बेनिया	Albania
अल्बर्ट आइनस्टाइन	Albert Einstein
आल्बर्टा	Alberta
अल्केमी	Alchemy
अलेक्सांद्र सोल्झेनित्झिन	Aleksandr Solzhenitsyn
अलेक्झांडर ग्रॅहॅम बेल	Alexander Graham Bell
अलेक्झांडर पोप	Alexander Pope
अलेक्झांडर पुश्किन	Alexander Pushkin
अलेक्झांडर द ग्रेट	Alexander the Great
आल्फ्रेड नोबेल	Alfred Nobel
बीजगणित	Algebra
अल्जीरिया	Algeria
वर्ग:अल्जीरिया	Algeria
अल्जीयर्स	Algiers
अल्माटी	Almaty
आल्प्स	Alps
ऍल्युमिनियम	Aluminium
अमेरिकन गृहयुद्ध	American Civil War
अमेरिकन सामोआ	American Samoa
अमेरिकन फुटबॉल	American football
अम्मान	Amman
अँपियर	Ampere
ऍम्स्टरडॅम	Amsterdam
अमुन रा	Amun
आमुर नदी	Amur
अनतोल फ्रांस	Anatole France
अँडर्स सेल्सियस	Anders Celsius
अँडीझ पर्वतरांग	Andes
आंध्र प्रदेश	Andhra Pradesh
आंदोरा	Andorra
आंद्रेई सखारोव्ह	Andrei Sakharov
अँड्रु जॅक्सन	Andrew Jackson
अँड्रु जॉन्सन	Andrew Johnson
देवयानी दीर्घिका	Andromeda Galaxy
कोन	Angle
अँगोला	Angola
अँग्विला	Anguilla
अंकारा	Ankara
अन्नपूर्णा १	Annapurna
ऍन बोलेन	Anne Boleyn
अंटार्क्टिका	Antarctica
अँटिगा आणि बार्बुडा	Antigua and Barbuda
अँटिमोनी	Antimony
आंतोन चेखव	Anton Chekhov
अँतोनियो विवाल्डी	Antonio Vivaldi
अँटवर्प	Antwerp
अपोलो मोहीम	Apollo program
एप्रिल	April
एप्रिल १४	April 14
एप्रिल फूल्स दिन	April Fools' Day
अरबी समुद्र	Arabian Sea
आर्क्टिक महासागर	Arctic Ocean
आर्जेन्टीना	Argentina
वर्ग:आर्जेन्टीना	Argentina
आर्गॉन	Argon
ऍरिस्टोटल	Aristotle
अंकगणित	Arithmetic
ऍरिझोना	Arizona
वर्ग:ऍरिझोना	Arizona
आर्कान्सा	Arkansas
वर्ग:आर्कान्सा	Arkansas
आर्मेनिया	Armenia
