Bulgarian	﻿English
кафе без мляко	black
син (m)	blue
кафяв	brown
сив цвят	gray
не дозрял	green
ориндж	orange
розов	pink
червен (červen) (m)	red
виолетов	violet
бял	white
жълт	yellow
двойка	couple
осем	eight
осемдесет	eighty
единадесет	eleven
петдесет	fifty
пет	five
четиридесет	forty
от милион	million
девет	nine
деветдесет	ninety
нищо	nothing
седемдесет (sédemdeset)	seventy
шест	six
шестдесет	sixty
трети	third
тринадесет	thirteen
тридесет	thirty
хиляда	thousand
хиляда	thousand
три	three
двадесет (dvadeset)	twenty
две (dve)	two
ръка	arm
гръб	back
клюн	beak
кръв	blood
труп	body
кост	bone
мозък	brain
дъх	breath
клетка	cell
брадичка	chin
ухо	ear
очи	eye
лице	face
пръст	finger
чело	forehead
ген	gene
коса	hair
косъм	hair
ръка	hand
глава	head
сърце	heart
коляно	knee
крак	leg
устна	lip
уста	mouth
мускули	muscle
нокът	nail
шия	neck
нерв	nerve
нос	nose
кожа	skin
стомах	stomach
опашка	tail
гърло	throat
палец	thumb
език	tongue
зъб	tooth
крило	wing
мравка	ant
мечка	bear
пчела	bee
птица	bird
котка	cat
крава	cow
куче	dog
слон	elephant
риба	fish
муха	fly
коза	goat
кон	horse
насекомо	insect
лъв	lion
маймуна	monkey
прасе	pig
овца	sheep
змия	snake
бебе	baby
раждане	birth
рожден ден	birthday
момче	boy
брат	brother
дъщеря	daughter
смърт	death
семейство	family
баща	father
приятел	friend
момиче	girl
баба и дядо	grandfather
човек	human
съпруг	husband
мъж	man
брак	marriage
майка	mother
съсед	neighbor
родител	parent
човек	person
отношение	relationship
сестра	sister
син	son
сватба	wedding
съпруга	wife
жена	woman
бира	beer
кафе	coffee
питие	drink
мляко	milk
чай	tea
вода	water
вино	wine
хляб	bread
закуска	breakfast
масло	butter
торта	cake
сирене	cheese
шоколад	chocolate
яйце	egg
храна	food
плод	fruit
обед	lunch
ядене	meal
месо	meat
масло	oil
Ориз	rice
салата	salad
сол	salt
сандвич	sandwich
сос	sauce
супа	soup
захар	sugar
ябълка	apple
кайсия	apricot
банан	banana
къпина	blackberry
череша	cherry
лимон	lemon
ядка	nut
портокал	orange
праскова	peach
круша	pear
ананас	pineapple
слива	plum
малина	raspberry
ягода	strawberry
бобена култура	bean
зелка	cabbage
морков	carrot
краставица	cucumber
чесън	garlic
маслина	olive
лук	onion
пащърнак	parsnip
картоф	potato
репичка	radish
домат	tomato
адрес	address
баня	bathroom
спалня	bedroom
тухла	brick
врата	door
под	floor
етаж	floor
гараж	garage
градина	garden
порта	gate
дом	home
къща	house
кухня	kitchen
покрив	roof
стая	room
душ	shower
праг	step
умивалня	toilet
стена	wall
кладенец	well
прозорец	window
легло	bed
килим	carpet
стол	chair
килер	cupboard
завеса	curtain
писалище	desk
мебели	furniture
полица	shelf
мивка	sink
маса	table
торба	bag
ботуш	boot
плат	cloth
облекло	clothing
връхна дреха	coat
яка	collar
шапка	hat
жакет	jacket
скъпоценен камък	jewel
пръстен	ring
риза	shirt
обувка	shoe
пола	skirt
чорап	sock
куфар	suitcase
вратовръзка	tie
актьор	actor
бизнесмен	businessman
експерт	expert
генерал	general
журналист	journalist
съдия	judge
лидер	leader
министър	minister
човек добър в музиката	musician
фотограф	photographer
пилот	pilot
полицай	policeman
политик	politician
президент	president
професионалист	professional
представител	representative
моряк	sailor
учен	scientist
прислужник	servant
войник	soldier
писател	writer
летище	airport
банка	bank
мост	bridge
сграда	building
столица	capital
замък	castle
църква	church
кино	cinema
голям град	city
работилница	factory
апартамент	flat
болница	hospital
хотел	hotel
библиотека	library
парк	park
затвор	prison
ресторант	restaurant
път	road
училище	school
пункт	station
улица	street
строителство	structure
метро	subway
супермаркет	supermarket
театър	theater
град	town
университет	university
Село	village
нещастен случай	accident
лодка	boat
автобус	bus
автомобил	car
експресен влак	express
летене	flight
пътуване	journey
пътник	passenger
самолет	plane
кораб	ship
релси	track
влак	train
въздух	air
животно	animal
клон	branch
произход	evolution
стопанство	farm
ливада	field
пламък	fire
цвете	flower
гора	forest
трева	grass
листо	leaf
живот	life
мълния	lightning
влага	moisture
природа	nature
растение	plant
корен	root
пол	sex
небе	sky
сън	sleep
миризма	smell
изпарение	smoke
източник	spring
стъбло	stem
струя	stream
дърво	tree
време	weather
свят	world
бряг	bank
плаж	beach
посока	direction
Земя	Earth
изток	east
височина	height
хълм	hill
остров	island
езеро	lake
земя	land
карта	map
спътник	Moon
север	north
равнина	plain
река	river
океан	sea
южна част	south
звезда	star
слънце	sun
запад	west
киселина	acid
химикал	chemical
element химичен елемент	chemical
въглен	coal
Памук	cotton
пясък	dust
земя	earth
мазнина	fat
стъкло	glass
лепило	glue
зърно (n), зрънце (n) (2)	grain
Лед	ice
желязо	iron
кожа	leather
течност	liquid
материя	matter
element метал	metallic
нефт	oil
отрова	poison
прах	powder
пясък	sand
коприна	silk
сапун	soap
стомана	steel
дърво	wood
вълна	wool
сак (sak) (m), чанта (čanta) (f)	bag
кошница	basket
бутилка	bottle
кутия	box
консерва	can
чашка	cup
чекмедже	drawer
плик	envelope
чаша	glass
блюдо	plate
фотоапарат	camera
камера	camera
phone клетъчен телефон	cellular
часовник	clock
компютър	computer
асансьор	elevator
двигател	engine
инструмент	instrument
машина	machine
фурна	oven
телевизор	television
часовник	watch
събиране	addition
ъгъл	angle
площ	area
окръжност	circle
извивка	curve
градус	degree
ниво	degree
разстояние	distance
разделяне	division
ръб	edge
химичен елемент	element
функция	function
половина (polovína) (f)	half
граница	limit
линия	line
мрежа	net
количество	percent
точка	point
причина	purpose
изход	result
правило	rule
множество	set
край	side
квадрат	square
повърхност	surface
количество	total
способност	ability
действие	act
оживление	activity
допълнение	addition
атака	attack
опит	attempt
нагласа	attitude
задна част	back
държание	behavior
късче	bit
удар	blow
пауза	break
военни операции	campaign
дело	case
случай	chance
промяна	change
право на избор	choice
състояние	condition
конектор	connection
пукване	crack
разрез	cut
щета	damage
опасност	danger
украса	decoration
разрушаване	destruction
власт	dominance
капка	drop
усилие	effort
капитулация	fall
отличителна черта	feature
сражение	fight
фасада	front
удар	hit
дупка	hole
растеж	increase
интернет	internet
ритник	kick
вид	kind
възел	knot
списък	list
мнозинство	majority
тема	matter
разсъдък	mind
в действие	operation
противоположност	opposite
изблик	outburst
част	part
откъслек	piece
място	place
местоположение	position
сила	power
практика	practice
задача	project
свойство	property
качество	quality
безоблачност	quiet
отчет	report
отговорност	responsibility
спокойствие	rest
връщане	return
изкачване	rise
опасност	risk
комплект	set
тишина	silence
ситуация	situation
парче	slice
положение	state
стъпка	step
вкус	taste
ръст	top
докосване	touch
хитрост	trick
вид	type
употреба	use
износване	wear
цяло	whole
воля	will
желания	wish
следобед	afternoon
старост	age
Април	April
август	August
есен	autumn
започване	beginning
век	century
дата	date
ден	day
Декември	December
край (kraj) (m)	end
вечер	evening
Февруари	February
Петък	Friday
бъдеще	future
час	hour
Януари	January
Юли	July
Юни	June
май	May
полунощ	midnight
минута	minute
миг	moment
Понеделник	Monday
месец (mésets) (m), месеци (mésetsi) (p)	month
сутрин	morning
нощ	night
Ноември	November
в момента	now
Октомври	October
минало	past
прекъсване	pause
период	period
настояще	present
Събота	Saturday
сезон	season
секунда	second
Септември	September
пролет	spring
лято	summer
Неделя	Sunday
Четвъртък	Thursday
Вторник	Tuesday
Сряда	Wednesday
седмица	week
края на седмицата	weekend
време	while
зима	winter
година	year
изкуство	art
художник	artist
банда	band
четка	brush
концерт	concert
план	design
разнообразност	diversity
забавление	entertainment
хит	hit
мастило	ink
начин	manner
покритие	movie
музей	museum
музика	music
тон	note
оркестър	orchestra
боя	paint
картина	painting
хартия	paper
перо	pen
молив	pencil
отражение	picture
стихотворение	poem
поезия	poetry
ритъм	rhythm
форма	shape
певец	singer
песен	song
сцена	stage
вид	style
стил	vogue
сметка	account
преимущество	advantage
реклама	advertisement
съвет	advice
внимание	attention
власт	authority
банкнота	banknote
сделка	bargain
марка	brand
бизнес	business
капитал	capital
дребни пари	change
чек	cheque
комисия	committee
дружество	company
конкуренция	competition
обвинение	complaint
договор	contract
Себестойност, цена	cost
съвет	council
учебен час	course
клиент	customer
потребност	demand
отдел	department
трудност	difficulty
мениджър	director
икономика	economy
околна среда	environment
опит	experience
фирма	firm
формуляр	form
група	group
помощ	help
празник	holiday
приход	income
промишленост	industry
застраховане	insurance
лихва	interest
отчет	invoice
работа	job
закон	law
отпуска	leave
загуба	loss
насока	management
маркер	mark
пазар	market
суровина	material
среда	mean
събрание	meeting
пари	money
работа	occupation
предлагане	offer
Офис (канцелария)	office
чиновник	officer
притежател	owner
пакет	package
плащане	payment
план	plan
цена	price
проблем	problem
Продукт	product
печалба	profit
притежание	property
стойност	rate
остатък	rest
награда	reward
право	right
продажба	sale
обслужване	service
дял	share
магазин	shop
Представление, шоу	show
умение	skill
персонал	staff
успех	success
финансова помощ	support
таблица	table
данък	tax
отбор	team
търговия	trade
ценност	value
работа	work
работник	worker
съобщение	announcement
отговор	answer
одобрение	approval
аргумент	argument
книга	book
обаждане	call
буква	character
спор	controversy
вик	cry
информация	data
решение	decision
речник	dictionary
разискване	discussion
съмнение	doubt
преживяване	experience
чувства	feeling
хумор	humor
идея	idea
информация (f)	information
интерес	interest
интервю	interview
език	language
език	language
буква	letter
писмо	letter
лъжа	lie
поглеждане	look
списание	magazine
поща	mail
памет	memory
спомен	memory
грешка	mistake
име	name
вестник	newspaper
забележка	note
число	number
мнение	opinion
страница	page
произношение	pronunciation
предложение	proposal
възражение	protest
въпрос	question
реакция	reaction
причина	reason
отношения	relation
искане	request
тайна (tajna) (f)	secret
изречение	sentence
реч	speech
правопис	spelling
критерий	standard
излагане (izlagane) (n)	statement
тема	subject
предложение	suggestion
глас	voice
дума	word
писане	writing
day добър ден (dóbar dén)	good
morning добро утро (dóbro útro)	good
здрасти	hello
are you как си (kak si?), как сте (kak ste?)	how
thanks много благодаря, много ви благодаря	many
you very much благодаря много (blagodarjá mnógo)	thank
да	yes
GB	Britain
Китай	China
Republic Чешка република	Czech
Република Франция	France
Федерална република Германия	Germany
Република Индия	India
Италия	Italy
Япония	Japan
Кралство Испания	Spain
States of America САЩ	United
категория	class
образование	education
обучение	education
бележка за успех	grade
знание	knowledge
студент	student
учител	teacher
обучение	training
страх	fear
омраза	hate
любов	love
удоволствие	pleasure
шок	shock
надзор	care
настинка	cold
кашляне	cough
болест	disease
лекар	doctor
здраве	health
менструация	menstruation
операция	operation
болка	pain
пациент	patient
бримка	stitch
острие	blade
карта	card
синджир	chain
прът	club
перо	feather
знаме	flag
рамка	frame
дръжка	handle
меню	menu
гайка	nut
тръба	pipe
пощенска марка	postage
подарък	present
платно	sail
намотка	scroll
семе	seed
бастун	stick
камък	stone
билет	ticket
колело	wheel
жица	wire
баланс	balance
големина	bulk
заряд	charge
сила	energy
светлина	light
голямо доза	mass
измерване	measurement
огледало	mirror
движение	movement
натиск	pressure
процес	process
големина	size
Звук	sound
изпарение	steam
сила	strength
време	time
цифра	unit
тегло	weight
приятел	boyfriend
определям среща	date
гост	guest
любими	honey
целувка	kiss
прием	party
пол	sex
усмивка	smile
изненада	surprise
посещение	visit
избор	alternative
биология	biology
причина	cause
химия	chemistry
сравнение	comparison
последица	consequence
контрол	control
дисциплина	discipline
откривам	discovery
събитие	event
доказателство	evidence
мостра	example
факт	fact
въпрос	issue
същност	kernel
метод	method
фаза	phase
процедура	procedure
план	program
проект	project
диапазон	range
проучване	research
разследване	research
наука	science
общественост	society
система	system
техническа наука	technology
теория	theory
склонност	trend
грижа	trouble
потребител	user
войска	army
основа	base
кръжок	club
дружба	company
състезание	contest
страна	country
съд	court
нарушение	crime
култура	culture
република	democracy
власт	dominion
избори	election
съществуване	existence
правителство	government
история	history
индивид	individual
институция	institution
крал	king
член	member
нация	nation
Шум	noise
заповед	order
организация	organization
пропуск	pass
паспорт	passport
мир	peace
хора	people
полиция	police
политика	policy
население	population
население	public
наказание	punishment
вяра	religion
вяра	religion
държава	state
съюз	union
Война	war
воля	will
завещание	will
почести	award
топка	ball
бейзбол	baseball
велосипед	bike
шампионат	championship
състезател	competitor
купа	cup
футбол	football
игра	game
гол	goal
предназначение	goal
злато	gold
голф	golf
подскачане	jump
играч	player
