English	Finnish
black	musta
blue	sininen
brown	ruskea
gray	harmaa
green	raaka
orange	oranssi
pink	vaaleanpunainen
red	punainen
violet	violetti
white	valkoinen
yellow	Keltainen
couple	pari
eight	kahdeksan
eighteen	kahdeksantoista
eighty	kahdeksankymmentä
eleven	yksitoista
fifteen	viisitoista
fifty	viisikymmentä
five	viisi
forty	neljäkymmentä
four	neljä
fourteen	neljätoista
million	miljoona
nine	yhdeksän
nineteen	yhdeksäntoista
ninety	yhdeksänkymmentä
nothing	ei mitään
one	yksi
seven	seitsemän
seventy	seitsemänkymmentä
six	kuusi
sixteen	kuusitoista
sixty	kuusikymmentä
ten	kymmenen
third	kolmas
thirteen	kolmetoista
thirty	kolmekymmentä
thousand	tuhat
thousand	tuhat
three	kolme
twenty	kaksikymmentä
arm	käsivarsi
back	selkä
beak	nokka
blood	veri
body	yläruumis
bone	luu
brain	aivot
breath	henki
cell	solu
chest	rinta
chest	rinta
chin	leuka
ear	korva
eye	silmä
face	kasvot
finger	sormi
foot	jalka
forehead	otsa
gene	geeni
hair	hiukset
hair	karva
hand	käsi
head	pää
heart	sydän
knee	polvi
leg	jalka
lip	huuli
mouth	suu
muscle	lihas
nail	kynsi
neck	kaula
nerve	hermo
nose	nenä
skin	iho
stomach	maha
tail	häntä
throat	kurkku
thumb	peukalo
toe	varvas
tongue	kieli
tooth	hammas
wing	laita
ant	muurahainen
bear	karhu
bee	mehiläinen
bird	lintu
cat	kissa
cow	lehmä
dog	koira
elephant	norsu
fish	kala
fly	kärpänen
goat	vuohi
horse	hevonen
insect	hyönteinen
lion	leijona
monkey	apina
pig	sika
sheep	lammas
snake	käärme
baby	vauva
birth	syntymä
birthday	syntymäpäivä
boy	poika
brother	veli
child	lapsi
daughter	tytär
death	kuolema
family	suku
father	isä
friend	ystävä
girl	tyttö
grandfather	isoisä
human	ihminen
husband	aviomies
life	elämä
man	mies
marriage	avioliitto
mother	äiti
neighbor	naapuri
parent	vanhempi
person	henkilö
relationship	suhde
sister	sisko
son	poika
wedding	häät
wedding	häät
wife	vaimo
woman	nainen
beer	olut
coffee	kahvi
drink	juoma
milk	maito
milkshake	pirtelö
tea	tee
water	vesi
wine	viini
bread	leipä
breakfast	aamiainen
butter	voi
cake	kakku
cheese	juusto
chocolate	suklaa
egg	muna
food	ruoka
fruit	hedelmä
lunch	lounas
meal	ateria
meat	liha
oil	öljy
rice	riisi
salad	salaatti
salt	suola
sandwich	voileipä
sauce	kastike
soup	keitto
sugar	sokeri
sweet	makeus
apple	omena
apricot	aprikoosi
banana	banaani
blackberry	karhunvatukka
cherry	kirsikka
lemon	sitruuna
nut	pähkinä
orange	appelsiini
peach	persikka
pear	päärynä
pineapple	ananas
plum	luumu
raspberry	vattu
strawberry	mansikka
bean	papu
cabbage	kaali
carrot	porkkana
cucumber	kurkku
garlic	valkosipuli
olive	oliivi
onion	sipuli
parsnip	palsternakka
potato	peruna
radish	retiisi
tomato	tomaatti
address	osoite
bathroom	kylpyhuone
bedroom	makuuhuone
brick	tiili
door	ovi
floor	lattia
floor	kerros
garage	autotalli
garden	puutarha
gate	portti
hall	eteishalli
home	koti
house	talo
kitchen	keittiö
roof	katto
room	huone
shower	suihku
step	porras
toilet	käymälä
wall	muuri
well	lähde
window	ikkuna
bed	sänky
carpet	matto
chair	tuoli
cupboard	kaappi
curtain	verho
desk	kirjoituspöytä
furniture	huonekalut
seat	paikka
shelf	hylly
sink	pesuallas
table	pöytä
bag	laukku
boot	saapas
cloth	kangas
clothing	puku
coat	takki
collar	kaulus
hat	hattu
jacket	pikkutakki
jewel	jalokivi
ring	sormus
shirt	paita
shoe	kenkä
skirt	hame
sock	sukka
suitcase	matkalaukku
tie	kravatti
actor	näyttelijä
actress	näyttelijä
businessman	liikemies
expert	asiantuntija
general	kenraali
journalist	journalisti
judge	tuomari
leader	johtaja
minister	ministeri
musician	muusikko
photographer	valokuvaaja
pilot	luotsi
policeman	poliisi
politician	poliitikko
professional	ammattilainen
representative	edustaja
sailor	merimies
scientist	tiedemies
secretary	sihteeri
servant	palvelija
soldier	sotilas
writer	kirjailija
airport	lentoasema
bank	pankki
bridge	silta
building	rakennus
capital	pääkaupunki
castle	linna
church	kirkko
cinema	elokuvateatteri
city	kaupunki
factory	tehdas
flat	huoneisto
hospital	sairaala
hotel	hotelli
library	kirjasto
park	puisto
prison	vankila
restaurant	ravintola
road	tie
school	koulu
station	asema
street	katu
structure	rakentaminen
subway	maanalainen
supermarket	valintamyymälä
theater	teatteri
town	kaupunki
university	yliopisto
village	kylä
accident	onnettomuus
boat	vene
bus	bussi
car	auto
curve	mutka
express	pikajuna
flight	lento
journey	matka
passenger	matkustaja
plane	lentokone
ship	laiva
