Portuguese	﻿English
preto	black
azul	blue
marron	brown
cinzento	gray
verde	green
cor de laranja	orange
rosado	pink
vermelho	red
violeta	violet
branco	white
amarelo	yellow
par	couple
oito	eight
dezoito	eighteen
oitenta	eighty
onze	eleven
quinze	fifteen
cinquenta	fifty
cinco	five
quarenta	forty
quatro	four
quatorze	fourteen
milhão	million
nove	nine
dezenove	nineteen
noventa	ninety
nada	nothing
um	one
sete	seven
setenta	seventy
seis	six
dezesseis	sixteen
sessenta	sixty
dez	ten
terceiro	third
treze	thirteen
trinta	thirty
mil	thousand
mil	thousand
três	three
braço	arm
costas	back
bico	beak
sangue	blood
tronco	body
osso	bone
cérebro	brain
hálito	breath
célula	cell
peito	chest
peito	chest
queixo	chin
orelha	ear
olho	eye
rosto	face
dedo	finger
pé	foot
fronte	forehead
gene	gene
cabelo	hair
pelo	hair
mão	hand
cabeça	head
coração	heart
joelho	knee
perna	leg
lábio	lip
boca	mouth
músculo	muscle
unha	nail
pescoço	neck
nervo	nerve
nariz	nose
pele	skin
estômago	stomach
cauda	tail
garganta	throat
polegar	thumb
dedo do pé	toe
língua	tongue
dente	tooth
ala	wing
formiga	ant
urso	bear
abelha	bee
pássaro	bird
gato	cat
vaca	cow
cão	dog
elefante	elephant
peixe	fish
mosca	fly
cabra	goat
cavalo	horse
inseto	insect
leão	lion
macaco	monkey
porco	pig
ovelha	sheep
serpente	snake
tarde	afternoon
idade	age
abril	April
agosto	August
outono	autumn
começo	beginning
século	century
data	date
dia	day
dezembro	December
término	end
tarde	evening
fevereiro	February
Sexta-feira	Friday
futuro	future
hora	hour
janeiro	January
julho	July
junho	June
maio	May
meia-noite	midnight
minuto	minute
momento	moment
instante	moment
Segunda-feira	Monday
mês	month
manhã	morning
noite	night
novembro	November
agora	now
outubro	October
passado	past
intervalo	pause
período	period
presente	present
sábado	Saturday
temporada	season
segundo	second
setembro	September
primavera	spring
verão	summer
domingo	Sunday
Quinta-feira	Thursday
amanhã	tomorrow
Terça-feira	Tuesday
Quarta-feira	Wednesday
semana	week
fim de semana	weekend
um bocado	while
inverno	winter
ano	year
pão	bread
pequeno-almoço	breakfast
manteiga	butter
bolo	cake
queijo	cheese
chocolate	chocolate
ovo	egg
comida	food
fruta	fruit
almoço	lunch
comida	meal
carne	meat
óleo	oil
arroz	rice
salada	salad
sal	salt
sanduíche	sandwich
molho	sauce
sopa	soup
açúcar	sugar
doçura	sweet
cerveja	beer
café	coffee
bebida	drink
leite	milk
batido	milkshake
chá	tea
água	water
vinho	wine
maçã	apple
abricó	apricot
banana	banana
amora	blackberry
cereja	cherry
limão	lemon
noz	nut
laranja	orange
pêssego	peach
pera	pear
ananás	pineapple
ameixa	plum
framboesa	raspberry
morango	strawberry
feijão	bean
couve	cabbage
cenoura	carrot
pepino	cucumber
alho	garlic
azeitona	olive
cebola	onion
nabo	parsnip
batata	potato
rabanete	radish
tomate	tomato
infante	baby
nascimento	birth
aniversário	birthday
rapaz	boy
irmão	brother
filha	daughter
morte	death
família	family
pai	father
amigo	friend
rapariga	girl
avô	grandfather
humano	human
marido	husband
vida	life
homem	man
casamento	marriage
mãe	mother
vizinho	neighbor
pai	parent
pessoa	person
relacionamento	relationship
companheira	sister
filho	son
casamento	wedding
casamento	wedding
esposa	wife
mulher	woman
endereço	address
sala de banho	bathroom
quarto	bedroom
tijolo	brick
porta	door
soalho	floor
andar	floor
garagem	garage
jardim	garden
portão	gate
átrio	hall
lar	home
casa	house
cozinha	kitchen
telhado	roof
compartimento	room
chuveiro	shower
degrau	step
sanitário	toilet
muro	wall
poço	well
janela	window
leito	bed
carpete	carpet
cadeira	chair
armário	cupboard
cortina	curtain
secretária	desk
mobília	furniture
lugar	seat
prateleira	shelf
banca da cozinha	sink
mesa	table
saco	bag
bota	boot
pano	cloth
roupa	clothing
casaco	coat
colarinho	collar
chapéu	hat
casaco	jacket
jóia	jewel
anel	ring
camisa	shirt
sapato	shoe
saia	skirt
meia	sock
mala	suitcase
gravata	tie
ar	air
animal	animal
ramo	branch
evolução	evolution
quinta	farm
campo	field
chama	fire
flor	flower
bosque	forest
relva	grass
folha	leaf
vida	life
raio	lightning
humidade	moisture
natureza	nature
planta	plant
raiz	root
sexo	sex
céu	sky
sono	sleep
odor	smell
fumo	smoke
fonte	spring
haste	stem
corrente	stream
árvore	tree
onda	wave
tempo	weather
mundo	world
aeródromo	airport
banco	bank
ponte	bridge
edifício	building
capital	capital
castelo	castle
igreja	church
cinema	cinema
cidade	city
fábrica	factory
apartamento	flat
hospital	hospital
hotel	hotel
biblioteca	library
parque	park
prisão	prison
restaurante	restaurant
estrada	road
escola	school
estação	station
rua	street
construção	structure
metropolitano	subway
supermercado	supermarket
teatro	theater
vila	town
universidade	university
aldeia	village
acidente	accident
barco	boat
autocarro	bus
automóvel	car
curva	curve
rápido	express
vôo	flight
viagem	journey
passageiro	passenger
avião	plane
navio	ship
derrapagem	skid
carril	track
comboio	train
transporte	transport
actor	actor
atriz	actress
comerciante	businessman
perito	expert
general	general
jornalista	journalist
juiz	judge
líder	leader
ministro	minister
músico	musician
fotógrafo	photographer
piloto	pilot
polícia	policeman
político	politician
presidente	president
profissional	professional
representante	representative
marinheiro	sailor
cientista	scientist
secretária	secretary
criado	servant
soldado	soldier
escritor	writer
margem	bank
praia	beach
corrente	current
direcção	direction
Terra	Earth
leste	east
altitude	height
monte	hill
ilha	island
lago	lake
terra	land
mapa	map
lua	Moon
norte	north
planície	plain
zona	region
rio	river
mar	sea
sul	south
espaço	space
estrela	star
sol	sun
oeste	west
nuvem	cloud
orvalho	dew
nevoeiro	fog
geada	frost
chuva	rain
arco-íris	rainbow
neve	snow
tempestade	storm
trovão	thunder
vento	wind
ácido	acid
produto químico	chemical
element elemento	chemical
carvão	coal
algodão	cotton
pó	dust
terra	earth
gordura	fat
vidro	glass
cola	glue
grão	grain
gelo	ice
ferro	iron
couro	leather
líquido	liquid
matéria	matter
element metal	metallic
petróleo	oil
veneno	poison
pó	powder
areia	sand
seda	silk
sabão	soap
aço	steel
madeira	wood
lã	wool
saco	bag
cesto	basket
garrafa	bottle
caixa	box
lata	can
chávena	cup
gaveta	drawer
envelope	envelope
copo	glass
prato	plate
sino	bell
botão	button
arma	gun
martelo	hammer
gancho	hook
chave	key
fechadura	lock
fósforo	match
prego	nail
agulha	needle
bomba	pump
corda	rope
tesoura	scissors
mola	spring
carimbo	stamp
chicote	whip
adição	addition
ângulo	angle
área	area
círculo	circle
curva	curve
grau	degree
nível	degree
diferença	difference
