French	﻿English
un	another
mauvais	bad
de base	basic
beau	beautiful
meilleur	best
mieux	better
gros	big
propre	clean
froid	cold
exact	correct
noir	dark
difficile	difficult
sale	dirty
rapide	fast
sage	good
grand	great
merveilleux	great
heureux	happy
en bonne santé	healthy
lourd	heavy
chaud	hot
important	important
gauche	left
léger	light
petit	little
proche	near
neuf	new
beau	nice
ouvert	open
vrai	real
droit	right
fin	sharp
semblable	similar
lent	slow
mou	soft
fort	strong
faible	weak
incorrect	wrong
sur	after
il y a	ago
tout	all
facultatif	any
automatique	automatic
disponible	available
amer	bitter
ennuyeux	boring
l'un et l'autre	both
clair	bright
cassé	broken
central	central
certain	certain
bon marché	cheap
chimique	chemical
dégagé	clear
fermé	closed
courant	common
commun	common
complet	complete
conscient	conscious
barbare	cruel
actuel	current
dangereux	dangerous
fin	delicate
triste	deplorable
différent	different
dissemblable	different
bas	down
sec	dry
chaque	each
tôt	early
facile	easy
économique	economic
économe	economic
électrique	electric
égal	equal
pair	even
égal	even
tout	every
excellent	excellent
faux	fake
loin	far
gros	fat
gros	fat
peu	few
sans appel	final
financier	financial
solide	firm
déterminé	fixed
plat	flat
suivant	following
étranger	foreign
ancien	former
délicat	fragile
gratuit	free
fréquent	frequent
frais	fresh
premier	front
plein	full
total	full
plus loin	further
futur	future
général	general
probe	good
industriel	industrial
intéressant	interesting
international	international
dernier	last
tard	late
légal	legal
liquide	liquid
local	local
fort	loud
bas	low
chanceux	lucky
principal	main
majeur	major
beaucoup	many
métallique	metal
militaire	military
minuscule	minute
moderne	modern
plus	more
beaucoup	much
étroit	narrow
national	national
naturel	natural
nécessaire	necessary
adjacent	next
aucun	no
normal	normal
opposé	opposite
originel	original
autre	other
propre	own
parallèle	parallel
particulier	particular
passé	past
personnel	personal
physique	physical
politique	political
pauvre	poor
de vulgarisation	popular
possible	possible
présent	present
précédent	previous
privé	private
probable	probable
professionnel	professional
public	public
tranquille	quiet
prêt	ready
récent	recent
régulier	regular
responsable	responsible
rigide	rigid
violent	rough
rond	round
sûr	safe
même	same
deuxième	second
clandestin	secret
distinct	separate
sérieux	serious
établi	set
plusieurs	several
court	short
silencieux	silent
simple	simple
seul	single
petit	small
lisse	smooth
social	social
solide	solid
clairsemé	sparse
spécial	special
spécifique	specific
carré	square
normal	standard
gluant	sticky
droit	straight
bizarre	strange
élégant	stylish
soudain	sudden
sucré	sweet
haut	tall
épais	thick
mince	thin
serré	tight
vrai	true
laid	ugly
sous	under
exceptionnel	unusual
usuel	usual
courant	usual
divers	various
chaud	warm
mouillé	wet
totalité	whole
