English	French
another	un
bad	mauvais
basic	de base
beautiful	beau
best	meilleur
better	mieux
big	gros
clean	propre
cold	froid
correct	exact
dark	noir
difficult	difficile
dirty	sale
fast	rapide
good	sage
great	grand
great	merveilleux
happy	heureux
healthy	en bonne santé
heavy	lourd
hot	chaud
important	important
left	gauche
light	léger
little	petit
near	proche
new	neuf
nice	beau
open	ouvert
real	vrai
right	droit
sharp	fin
similar	semblable
slow	lent
soft	mou
strong	fort
weak	faible
wrong	incorrect
after	sur
ago	il y a
all	tout
any	facultatif
automatic	automatique
available	disponible
bitter	amer
boring	ennuyeux
both	l'un et l'autre
bright	clair
broken	cassé
central	central
certain	certain
cheap	bon marché
chemical	chimique
clear	dégagé
closed	fermé
common	courant
common	commun
complete	complet
conscious	conscient
cruel	barbare
current	actuel
dangerous	dangereux
delicate	fin
deplorable	triste
different	différent
different	dissemblable
down	bas
dry	sec
each	chaque
early	tôt
easy	facile
economic	économique
economic	économe
electric	électrique
equal	égal
even	pair
even	égal
every	tout
excellent	excellent
fake	faux
far	loin
fat	gros
fat	gros
few	peu
final	sans appel
financial	financier
firm	solide
fixed	déterminé
flat	plat
following	suivant
foreign	étranger
former	ancien
fragile	délicat
free	gratuit
frequent	fréquent
fresh	frais
front	premier
full	plein
full	total
further	plus loin
future	futur
general	général
good	probe
industrial	industriel
interesting	intéressant
international	international
last	dernier
late	tard
legal	légal
liquid	liquide
local	local
loud	fort
low	bas
lucky	chanceux
main	principal
major	majeur
many	beaucoup
metal	métallique
military	militaire
minute	minuscule
modern	moderne
more	plus
much	beaucoup
narrow	étroit
national	national
natural	naturel
necessary	nécessaire
next	adjacent
no	aucun
normal	normal
opposite	opposé
original	originel
other	autre
own	propre
parallel	parallèle
particular	particulier
past	passé
personal	personnel
physical	physique
political	politique
poor	pauvre
popular	de vulgarisation
possible	possible
present	présent
previous	précédent
private	privé
probable	probable
professional	professionnel
public	public
quiet	tranquille
ready	prêt
recent	récent
regular	régulier
responsible	responsable
rigid	rigide
rough	violent
round	rond
safe	sûr
same	même
second	deuxième
secret	clandestin
separate	distinct
serious	sérieux
set	établi
several	plusieurs
short	court
silent	silencieux
simple	simple
single	seul
small	petit
smooth	lisse
social	social
solid	solide
sparse	clairsemé
special	spécial
specific	spécifique
square	carré
standard	normal
sticky	gluant
straight	droit
strange	bizarre
stylish	élégant
sudden	soudain
sweet	sucré
tall	haut
thick	épais
thin	mince
tight	serré
true	vrai
ugly	laid
under	sous
unusual	exceptionnel
usual	usuel
usual	courant
various	divers
warm	chaud
wet	mouillé
whole	totalité
wide	large