English	Greek
black	μαύρος
blue	μπλε
brown	καφέ
gray	γκρι
green	πράσινο
orange	πορτοκαλής
pink	ροζ
red	κόκκινος
violet	μοβ
white	άσπρος
yellow	κίτρινος
couple	ζευγάρι
eight	οχτώ
eighteen	δεκαοχτώ
eighty	ογδόντα
eleven	έντεκα
fifteen	δεκαπέντε
fifty	πενήντα
first	πρώτος % πρώτη % πρώτο
five	πέντε
forty	σαράντα
four	τέσσερις % τέσσερις % τέσσερα
fourteen	δεκατέσσερα
hundred	εκατό(ν)
million	εκατομμύριο
nine	εννιά
nineteen	δεκαεννιά
ninety	ενενήντα
nothing	μηδέν
one	ένας
seven	εφτά
seventeen	δεκαεφατά
seventy	εβδομήντα
six	έξι
sixteen	δεκαέξι
sixty	εξήντα
ten	δέκα
third	τρίτος, τρίτη
thirteen	δεκατρία
thirty	τριάντα
thousand	χίλιοι
thousand	χίλια
three	τρεις, τρεις
twenty	είκοσι
two	δύο
arm	χέρι
back	ράχη
beak	ράμφος
blood	αίμα
body	κορμός
bone	κόκαλο
brain	εγκέφαλος
breath	ανάσα
cell	κελί
chest	στήθος
chest	στήθος
chin	πηγούνι, σαγόνι
ear	αφτί
eye	μάτι
face	πρόσωπο
finger	δάχτυλο
foot	πόδι
forehead	μέτωπο
gene	γονίδιο
hair	μαλλιά
hair	τρίχα
hand	χέρι
head	κεφάλι
heart	καρδιά
knee	γόνατο
leg	πόδι
lip	χείλος
mouth	στόμα
muscle	μυς
nail	νύχι
neck	λαιμός
nerve	νεύρο
nose	μύτη
skin	δέρμα
stomach	στομάχι
tail	ουρά
throat	λαρύγγι
thumb	αντίχειρας
toe	δάχτυλο ποδιού
tongue	γλώσσα
tooth	δόντι
wing	φτερό
ant	μυρμήγκι
bear	αρκούδα
bee	μέλισσα
bird	πουλί
cat	γάτα
cow	αγελάδα
dog	σκύλος
elephant	ελέφαντας
fish	ψάρι
fly	μύγα
goat	κατσίκα
horse	άλογο
insect	έντομο
lion	λιοντάρι
monkey	πίθηκος
pig	γουρούνι
sheep	πρόβατο
snake	φίδι
baby	βρέφος
birth	γέννα
birthday	γενέθλια
boy	αγόρι
brother	αδελφός
child	παιδί
daughter	κόρη
death	θάνατος
family	οικογένεια
father	πατέρας
friend	φίλος
girl	κοπέλα
grandfather	παππούς
human	άνθρωπος
husband	σύζυγος
life	βίος
man	άνδρας
marriage	γάμος
mother	μητέρα
neighbor	γείτονας
parent	γονιός
person	άτομο
relationship	σχέση
sister	αδερφή
son	γιος
wedding	τελετή γάμου
wedding	γάμος
wife	σύζυγος
woman	γυναίκα
beer	μπίρα
coffee	καφές
drink	ποτό
milk	γάλα
tea	τσάι
water	νερό
wine	κρασί
bread	ψωμί
breakfast	πρωινό
butter	βούτυρο
cake	κέικ
cheese	τυρί
chocolate	σοκολάτα
egg	αυγό
food	τροφή
fruit	καρπός
lunch	μεσημεριανό
meal	γεύμα
meat	κρέας
oil	λάδι
rice	ρύζι
salad	σαλάτα
salt	αλάτι
sandwich	σάντουιτς
sauce	σάλτσα
soup	σούπα
sugar	ζάχαρη
sweet	γλυκό % γλυκά
apple	μήλο
apricot	βερίκοκο
banana	μπανάνα
blackberry	βατόμουρο
cherry	κεράσι
lemon	λεμόνι
nut	καρύδι
orange	πορτοκάλι
peach	ροδάκινο
pear	αχλάδι
pineapple	ανανάς
plum	δαμάσκηνο
raspberry	σμέουρο
strawberry	φράουλα
bean	φασόλι
cabbage	λάχανο
carrot	καρότο
cucumber	αγγούρι
garlic	σκόρδο
olive	ελιά
onion	κρεμμύδι
parsnip	παστινάκι
pea	μπιζέλι
potato	πατάτα
radish	ραπάνι
tomato	ντομάτα
address	διεύθυνση
bathroom	μπάνιο
bedroom	υπνοδωμάτιο
brick	τούβλο
door	πόρτα
floor	πάτωμα
floor	όροφος
garage	γκαράζ
garden	κήπος
gate	αυλόπορτα
hall	χολ
home	σπίτι
house	σπίτι
kitchen	κουζίνα
roof	στέγη
room	δωμάτιο
shower	ντους
step	σκαλοπάτι
toilet	τουαλέτα
