English	Arabic
another	آخر
bad	سيئ
basic	قاعدي
beautiful	جميل
best	أفضل ، الأفضل
better	أفضل، أحسن
big	كبير
clean	نظيف
cold	بارد
correct	صحيح
dark	مظلم
difficult	صعب
dirty	وسخ
fast	سريع
good	جيد
great	عظيم
great	عظيم
happy	سعيد
healthy	صحي
heavy	ثقيل
high	عالي
hot	حار
left	يسار
light	خفيف
little	قليل
long	طويل
near	قريب
new	جديد
nice	جميل
open	مفتوح
real	حقيقي
right	يمين
sharp	حاد
slow	بطيء
soft	ناعم
strong	قوي
weak	ضعيف
wrong	خطأ
acid	حامض
ago	ماضِ، فِي الماضِي، منذ زمن
all	كل
any	اختياري
automatic	آلي
available	متيسِر، متاح، متوفِر
bitter	مر
boring	ممل
bright	لامع
broken	مكسور
certain	يقيني
cheap	رخيص
chemical	كيميائي
clear	صافي
closed	مغلق
color	ملون
common	شائع
common	مشترك
complete	مكتمل
conscious	واعي
cruel	وحشي
current	حالي
dangerous	خطِر
delicate	لذيذ
deplorable	تعيس
different	مختلف
different	مختلف
down	أسفل
dry	جاف
each	كل
early	مبكر
easy	سهل
economic	إقتِصادي
economic	مقتصِد
electric	كهربائي
equal	مساوي
even	زوجي
even	متساوي
every	كل
excellent	ممتاز
fake	خطأ
false	خطأ
far	بعيد
fat	سمين
fat	دسم
few	قليل
final	نِهائي
financial	مالي
firm	صلب
first	أول
fixed	محدد
flat	مسطح
following	التالي
foreign	غريب
former	سابِق
fragile	هش
free	مجاني
frequent	متكرر
fresh	طازج
front	أمامي
full	كامل, مليء
full	كامل
future	مستقبلي
general	عام
industrial	صِناعي
interesting	مهِم, * ممتِع
international	دولي، اممي
last	أخير
late	متأخر
legal	قانوني
light	خفيف
liquid	سائل
local	محلي
loud	مرتفع, صاخب
low	منخفض
lucky	محظوظ
main	رئيسي
major	عظيم، كبير، رئيسي
many	كثير
metal	معدني
military	عسكري
minute	دقيق
more	أكثر
much	كثير
narrow	ضيق
national	وطني
natural	طبيعي
necessary	ضروري
no	غير
normal	عادي
off	مطفأ
on	مشغل
opposite	مضاد
original	أصلي، أولي
other	آخر
parallel	متوازي
particular	خاص
past	ماضي
personal	خصوصي
physical	جسدي
political	سياسي
poor	فقير
popular	شعبي، مفهوم عند أكثرية الشعب
possible	ممكن
present	حالي
previous	سابِق
private	خاص
probable	تقريبي
professional	مِهني
public	عمومي
quiet	ساكن
ready	جاهز
recent	جديد
regular	اعتيادي
responsible	مسؤول
rigid	قاسي
rough	خشن
round	دائري
safe	آمن
same	مثل
second	ثاني
secret	سري, مستتر
separate	مفصول
serious	جاد
set	معين سلفا
several	عِدة
short	قصير
silent	ساكن
silver	فضي
simple	بسيط
single	وحيد، مفرد
small	صغير
smooth	مصقول
solid	صلب
sparse	نحيل
special	خاص
specific	معين، محدد، خاص
square	مربع
standard	نموذجي، موحد، عادي
sticky	لاصق
straight	مستقيم
strange	غريب
stylish	أنيق، على الطِراز
sudden	فجائي
sweet	حلو
tall	طويل
thick	كثيف
thin	نحيف
tight	محكم
true	حقيقي
ugly	قبيح
under	تحت
unusual	غير عادي
usual	عادي
warm	دافئ
wet	رطب
whole	كامِل، تام
wide	عريض