Polish	English
0 (liczba)	0 (number)
1	1
1 (liczba)	1 (number)
10	10
10 (liczba)	10 (number)
100	100
1000	1000
1000 (liczba)	1000 (number)
101	101
105	105
11	11
11 (liczba)	11 (number)
110	110
115	115
12	12
12 (liczba)	12 (number)
120	120
125	125
13	13
13 (liczba)	13 (number)
130	130
135	135
14	14
14 (liczba)	14 (number)
140	140
144	144
145	145
15	15
15 (liczba)	15 (number)
150	150
155	155
16	16
16 (liczba)	16 (number)
160	160
165	165
17	17
17 (liczba)	17 (number)
170	170
1728	1728
175	175
Lata 50. XVIII wieku	1750s
Lata 60. XVIII wieku	1760s
Lata 70. XVIII wieku	1770s
Lata 80. XVIII wieku	1780s
Lata 90. XVIII wieku	1790s
18	18
18 (liczba)	18 (number)
180	180
Lata 20. XIX wieku	1820s
Lata 30. XIX wieku	1830s
Lata 40. XIX wieku	1840s
Lata 50. XIX wieku	1850s
Lata 60. XIX wieku	1860s
Lata 70. XIX wieku	1870s
Lata 80. XIX wieku	1880s
Lata 90. XIX wieku	1890s
19	19
19 (liczba)	19 (number)
190	190
Lata 1900-1909	1900s
Lata 20. XX wieku	1920s
Lata 30. XX wieku	1930s
Lata 40. XX wieku	1940s
Lata 50. XX wieku	1950s
Lata 60. XX wieku	1960s
Lata 70. XX wieku	1970s
Lata 80. XX wieku	1980s
Lata 90. XX wieku	1990s
2	2
2 (liczba)	2 (number)
20	20
20 (liczba)	20 (number)
200	200
21	21
21 (liczba)	21 (number)
22	22
22 (liczba)	22 (number)
23	23
23 (liczba)	23 (number)
24	24
24 godziny	24 (TV series)
24 (liczba)	24 (number)
25	25
25 (liczba)	25 (number)
26	26
26 (liczba)	26 (number)
27	27
27 (liczba)	27 (number)
28	28
28 (liczba)	28 (number)
29	29
29 (liczba)	29 (number)
3	3
3 (liczba)	3 (number)
30	30
30 (liczba)	30 (number)
300	300
31	31
31 (liczba)	31 (number)
32	32
32 (liczba)	32 (number)
33	33
33 (liczba)	33 (number)
34	34
34 (liczba)	34 (number)
35	35
35 (liczba)	35 (number)
36	36
36 (liczba)	36 (number)
37	37
37 (liczba)	37 (number)
38	38
38 (liczba)	38 (number)
39	39
39 (liczba)	39 (number)
4	4
4 (liczba)	4 (number)
40	40
40 (liczba)	40 (number)
400	400
41	41
41 (liczba)	41 (number)
42	42
42 (liczba)	42 (number)
43	43
43 (liczba)	43 (number)
44	44
45	45
45 (liczba)	45 (number)
46	46
46 (liczba)	46 (number)
47	47
48	48
49	49
49 (liczba)	49 (number)
5	5
5 (liczba)	5 (number)
50	50
50 (liczba)	50 (number)
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (liczba)	6 (number)
60	60
60 (liczba)	60 (number)
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (liczba)	7 (number)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (liczba)	8 (number)
80	80
80 (liczba)	80 (number)
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (liczba)	9 (number)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
А (cyrylica)	A (Cyrillic)
A cappella	A cappella
ABC	ABC
Zespół nabytego niedoboru odporności	AIDS
Algol (język programowania)	ALGOL
ATP (ujednoznacznienie)	ATP
AZ Alkmaar	AZ (football club)
Akwizgran	Aachen
Aalborg	Aalborg
Aare	Aar
Mrównik	Aardvark
Århus	Aarhus
Aaron (postać biblijna)	Aaron
Abakus (liczydło)	Abacus
Abadan	Abadan
Opat	Abbot
Skrót	Abbreviation
Odwłok	Abdomen
Abel Tasman	Abel Tasman
Grupa przemienna	Abelian group
Aberdeen	Aberdeen
Abidżan	Abidjan
Abchazja	Abkhazia
Kategoria:Abchazja	Abkhazia
Abolicjonizm	Abolitionism
Aborcja	Abortion
Abraham (postać biblijna)	Abraham
Abraham Lincoln	Abraham Lincoln
Absynt	Absinthe
Absolutna wielkość gwiazdowa	Absolute magnitude
Wartość bezwzględna	Absolute value
Zero bezwzględne	Absolute zero
Absolutyzm władzy	Absolutism (European history)
Abstrakcjonizm	Abstract art
Ekspresjonizm abstrakcyjny	Abstract expressionism
Abstrakcja (filozofia)	Abstraction
Abu Zabi	Abu Dhabi
Abu Zabi	Abu Dhabi (emirate)
Abudża	Abuja
Akacja	Acacia
Nagroda Akademii Filmowej	Academy Award
Acapulco	Acapulco
Przyspieszenie	Acceleration
Jastrzębiowate	Accipitridae
Akordeon	Accordion
Rachunkowość	Accountancy
Kategoria:Rachunkowość	Accountancy
Akra (Ghana)	Accra
Biernik	Accusative case
Aldehyd octowy	Acetaldehyde
Kwas octowy	Acetic acid
Aceton	Acetone
Acetylocholina	Acetylcholine
Etyn	Acetylene
Acheron	Acheron
Krwawnik pospolity	Achillea millefolium
Achilles	Achilles
Kwasy	Acid
Kwaśny deszcz	Acid rain
Trądzik młodzieńczy	Acne vulgaris
Aconcagua	Aconcagua
Żołądź (botanika)	Acorn
Akustyka	Acoustics
Kategoria:Akustyka	Acoustics
Akr	Acre
Akka	Acre
Acre	Acre (state)
Akropol	Acropolis
Aktynowce	Actinide
Aktyn	Actinium
Aktor	Actor
Dzieje Apostolskie	Acts of the Apostles
Akupunktura	Acupuncture
Argumentum ad hominem	Ad hominem
Ada (informatyka)	Ada (programming language)
Adam Smith	Adam Smith
Adana	Adana
Baobab	Adansonia
Uzależnienie	Addiction
Addis Abeba	Addis Ababa
Dodawanie	Addition
Adelajda	Adelaide
Aden	Aden
Adenina	Adenine
Adenozynotrifosforan	Adenosine triphosphate
Przemiana adiabatyczna	Adiabatic process
Adyga	Adige
Przymiotnik	Adjective
Admirał	Admiral
Dojrzewanie	Adolescence
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Adonis (mitologia grecka)	Adonis
Adopcja	Adoption
Nadnercze	Adrenal gland
Morze Adriatyckie	Adriatic Sea
Adsorpcja	Adsorption
Dorosłość	Adult
Adwent	Advent
Przysłówek	Adverb
Reklama	Advertising
Morze Egejskie	Aegean Sea
Eneasz (mitologia)	Aeneas
Eneida	Aeneid
Eol	Aeolus
Aerodynamika	Aerodynamics
Aerozol	Aerosol
Ajschylos	Aeschylus
Ezop	Aesop
Estetyka	Aesthetics
Zrostek	Affix
Afganistan	Afghanistan
Kategoria:Afganistan	Afghanistan
Afryka	Africa
Kategoria:Afryka	Africa
Afroamerykanin	African American
Język afrikaans	Afrikaans
Agamemnon	Agamemnon
Agar-agar	Agar
Agat	Agate
Agatha Christie	Agatha Christie
Agresja (psychologia)	Aggression
Bezżuchwowce	Agnatha
Agnostycyzm	Agnosticism
Agora	Agora
Agorafobia	Agoraphobia
Agra	Agra
Rolnictwo	Agriculture
Kategoria:Rolnictwo	Agriculture
Agrigento	Agrigento
Aikido	Aikido
Ain (departament)	Ain
Wojska lotnicze	Air force
Airbus	Airbus
Statek powietrzny	Aircraft
Kategoria:Samoloty	Aircraft
Lotniskowiec	Aircraft carrier
Linie lotnicze	Airline
Lotnisko	Airport
Ajax	Ajax
Ajaks Wielki	Ajax (mythology)
AJAX	Ajax (programming)
Echnaton	Akhenaten
Akira Kurosawa	Akira Kurosawa
Al Capone	Al Capone
Al Gore	Al Gore
Al-Kaida	Al-Qaeda
Alabama	Alabama
Kategoria:Alabama	Alabama
Alan Shepard	Alan Shepard
Alan Mathison Turing	Alan Turing
Alanina	Alanine
Alaska	Alaska
Kategoria:Alaska	Alaska
Alban Berg	Alban Berg
Albania	Albania
Kategoria:Albania	Albania
Albany (Nowy Jork)	Albany
Albatrosy	Albatross
Albedo	Albedo
Albert Abraham Michelson	Albert Abraham Michelson
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer (ojciec)	Albert Speer
Alberta (prowincja Kanady)	Alberta
Albinizm	Albinism
Albit	Albite
Album (wydawnictwo muzyczne)	Album
Albuquerque (Nowy Meksyk)	Albuquerque
Alchemia	Alchemy
Kategoria:Alchemia	Alchemy
Alkohole	Alcohol
Napój alkoholowy	Alcoholic beverage
Alkoholizm	Alcoholism
Aldebaran	Aldebaran
Aldehydy	Aldehyde
Olsza	Alder
Aldous Huxley	Aldous Huxley
Alec Guinness	Alec Guinness
Aleksander Sołżenicyn	Aleksandr Solzhenitsyn
Aleppo	Aleppo
Aleuty	Aleutian Islands
Alexander	Alexander
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Hamilton	Alexander Hamilton
Alexander Pope	Alexander Pope
Aleksander Puszkin	Alexander Pushkin
Aleksander Macedoński	Alexander the Great
Aleksander Dumas (ojciec)	Alexandre Dumas
Aleksander Dumas (syn)	Alexandre Dumas
Aleksandria	Alexandria
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Nobel
Alfred North Whitehead	Alfred North Whitehead
Alfred Russel Wallace	Alfred Russel Wallace
Alfred Wielki	Alfred the Great
Glony	Algae
Algebra	Algebra
Kategoria:Algebra	Algebra
Liczby algebraiczne	Algebraic number
Algieria	Algeria
Kategoria:Algieria	Algeria
Algier	Algiers
Algorytm	Algorithm
Alhambra	Alhambra
Ali ibn Abi Talib	Ali
Metale alkaliczne	Alkali metal
Alkaloidy	Alkaloid
Alkany	Alkane
Alkeny	Alkene
Alkiny	Alkyne
Allah	Allah
Alegoria	Allegory
Allel	Allele
Allen Ginsberg	Allen Ginsberg
Alergia	Allergy
Aliteracja	Alliteration
Alofon	Allophone
Allozaur	Allosaurus
Alotropia	Allotropy
Stop metali	Alloy
Almanach	Almanac
Ałma-Ata	Almaty
Migdałowiec zwyczajny	Almond
Aloes	Aloe
Alfa	Alpha (letter)
Alfa Centauri	Alpha Centauri
Promieniowanie alfa	Alpha particle
Alfabet	Alphabet
Alpy	Alps
