English	Hungarian
0 (number)	0 (szám)
1	1
1 (number)	1 (szám)
10	10
10 (number)	10 (szám)
100	100
100 (number)	100 (szám)
1000	1000
1000 (number)	1000 (szám)
101	101
105	105
11	11
11 (number)	11 (szám)
110	110
115	115
12	12
12 (number)	12 (szám)
120	120
125	125
13	13
13 (number)	13 (szám)
130	130
135	135
14	14
14 (number)	14 (szám)
140	140
144	144
145	145
15	15
15 (number)	15 (szám)
150	150
1530s	1530-as évek
155	155
16	16
16 (number)	16 (szám)
160	160
165	165
17	17
17 (number)	17 (szám)
170	170
1728	1728
175	175
1750s	1750-es évek
1760s	1760-as évek
1770s	1770-es évek
1780s	1780-as évek
1790s	1790-es évek
18	18
18 (number)	18 (szám)
180	180
1820s	1820-as évek
1830s	1830-as évek
1840s	1840-es évek
1850s	1850-es évek
1860s	1860-as évek
1870s	1870-es évek
1880s	1880-as évek
1890s	1890-es évek
1890s	Kategória:1890-es évek
19	19
19 (number)	19 (szám)
190	190
1900s	1900-as évek
1900s	Kategória:1900-as évek
1920s	1920-as évek
1920s	Kategória:1920-as évek
1930s	1930-as évek
1930s	Kategória:1930-as évek
1940s	1940-es évek
1940s	Kategória:1940-es évek
1950s	1950-es évek
1950s	Kategória:1950-es évek
1960s	1960-as évek
1960s	Kategória:1960-as évek
1970s	1970-es évek
1970s	Kategória:1970-es évek
1980s	1980-as évek
1980s	Kategória:1980-as évek
1990s	1990-es évek
1990s	Kategória:1990-es évek
2	2
2 (number)	2 (szám)
20	20
20 (number)	20 (szám)
200	200
21	21
21 (number)	21 (szám)
22	22
22 (number)	22 (szám)
23	23
23 (number)	23 (szám)
24	24
24 (TV series)	24 (televíziós sorozat)
24 (number)	24 (szám)
25	25
25 (number)	25 (szám)
26	26
26 (number)	26 (szám)
27	27
27 (number)	27 (szám)
28	28
28 (number)	28 (szám)
29	29
29 (number)	29 (szám)
3	3
3 (number)	3 (szám)
30	30
30 (number)	30 (szám)
300	300
31	31
31 (number)	31 (szám)
32	32
32 (number)	32 (szám)
33	33
33 (number)	33 (szám)
34	34
34 (number)	34 (szám)
35	35
35 (number)	35 (szám)
36	36
36 (number)	36 (szám)
37	37
37 (number)	37 (szám)
38	38
38 (number)	38 (szám)
39	39
39 (number)	39 (szám)
4	4
4 (number)	4 (szám)
40	40
40 (number)	40 (szám)
400	400
41	41
41 (number)	41 (szám)
42	42
42 (number)	42 (szám)
43	43
43 (number)	43 (szám)
44	44
45	45
45 (number)	45 (szám)
46	46
46 (number)	46 (szám)
47	47
48	48
49	49
49 (number)	49 (szám)
5	5
5 (number)	5 (szám)
50	50
50 (number)	50 (szám)
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (number)	6 (szám)
60	60
60 (number)	60 (szám)
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (number)	7 (szám)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (number)	8 (szám)
80	80
80 (number)	80 (szám)
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (number)	9 (szám)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
A cappella	A cappella
ABC	ABC
AIDS	AIDS
ALGOL	ALGOL
ATP	ATP
AZ (football club)	AZ Alkmaar
Aachen	Aachen
Aalborg	Aalborg
Aar	Aare
Aardvark	Földimalac
Aarhus	Århus
Abacus	Abakusz
Abadan	Ábádán
Abbot	Apát
Abbreviation	Rövidítés
Abel Tasman	Abel Janszoon Tasman
Abelian group	Abel-csoport
Abkhazia	Abházia
Abkhazia	Kategória:Abházia
Abolitionism	Abolicionizmus
Abortion	Terhességmegszakítás
Abraham	Ábrahám (ősatya)
Abraham Lincoln	Abraham Lincoln
Absinthe	Abszint
Absolute magnitude	Abszolút fényesség
Absolute value	Abszolútérték-függvény
Absolute zero	Abszolút nulla fok
Abstract art	Absztrakt művészet
Abstract expressionism	Absztrakt expresszionizmus
Abstraction	Absztrakció
Abu Dhabi	Abu Dzabi
Abuja	Abuja
Acacia	Akácia
Academy Award	Oscar-díj
Acceleration	Gyorsulás
Accipitridae	Vágómadárfélék
Accordion	Harmonika
Accra	Accra
Accusative case	Tárgyeset
Acetaldehyde	Acetaldehid
Acetic acid	Ecetsav
Acetone	Aceton
Acetylcholine	Acetilkolin
Acetylene	Acetilén
Acheron	Akherón
Achillea millefolium	Közönséges cickafark
Achilles	Akhilleusz
Acid	Sav
Acid rain	Savas eső
Aconcagua	Aconcagua
Acorn	Makk
Acoustics	Kategória:Akusztika
Acropolis	Fellegvár
Actinium	Aktínium
Actor	Színész
Acts of the Apostles	Apostolok Cselekedetei
Ad hominem	Argumentum ad hominem
Ada (programming language)	Ada (programozási nyelv)
Adam Smith	Adam Smith
Adana	Adana
Addiction	Függőség
Addis Ababa	Addisz-Abeba
Adenine	Adenin
Adenosine triphosphate	Adenozin-trifoszfát
Adjective	Melléknév
Admiral	Tengernagy
Adolf Eichmann	Adolf Eichmann
Adolf Hitler	Adolf Hitler
Adonis	Adónisz
Adoption	Örökbefogadás
Adrenal gland	Mellékvese
Adriatic Sea	Adriai-tenger
Advent	Advent
Adverb	Határozószó
Advertising	Reklám
Aegean Sea	Égei-tenger
Aeneas	Aineiasz
Aeolus	Aiolosz
Aerodynamics	Aerodinamika
Aerosol	Aeroszol
Aeschylus	Aiszkhülosz
Aesop	Aiszóposz
Aesthetics	Esztétika
Affix	Toldalék
Afghanistan	Afganisztán
Afghanistan	Kategória:Afganisztán
Africa	Afrika
Africa	Kategória:Afrika
Afrikaans	Afrikaans nyelv
Agamemnon	Agamemnón
Agar	Agaragar
Agate	Achát
Agatha Christie	Agatha Christie
Aggression	Agresszió
Agnatha	Állkapocs nélküliek
Agnosticism	Agnoszticizmus
Agora	Agora
Agra	Agra
Agriculture	Mezőgazdaság
Agriculture	Kategória:Mezőgazdaság
Agrigento	Agrigento
Aikido	Aikidó
Airbus	Airbus
Aircraft	Repülőgép
Aircraft carrier	Repülőgép-hordozó
Airline	Légitársaság
Airport	Repülőtér
Ajax	Ajax (egyértelműsítő lap)
Ajax (mythology)	Aiasz (Telamón fia)
Ajax (programming)	Ajax
Akhenaten	Ehnaton
Akira Kurosawa	Kuroszava Akira
Al Capone	Al Capone
Al Gore	Al Gore
Al-Qaeda	Al-Káida
Alabama	Alabama
Alabama	Kategória:Alabama
Alan Shepard	Alan Shepard
Alan Turing	Alan Turing
Alanine	Alanin
Alaska	Alaszka
Alaska	Kategória:Alaszka
Alban Berg	Alban Berg
Albania	Albánia
Albania	Kategória:Albánia
Albatross	Albatroszfélék
Albedo	Albedó
Albert Camus	Albert Camus
Albert Einstein	Albert Einstein
Albert Schweitzer	Albert Schweitzer
Albert Speer	Albert Speer
Alberta	Alberta (tartomány)
Albinism	Albinizmus
Albite	Albit
Album	Nagylemez
Albuquerque	Albuquerque
Alchemy	Alkímia
Alchemy	Kategória:Alkímia
Alcohol	Alkoholok
Aldous Huxley	Aldous Huxley
Alec Guinness	Alec Guinness
Aleksandr Solzhenitsyn	Alekszandr Iszajevics Szolzsenyicin
Aleppo	Aleppó
Aleutian Islands	Aleut-szigetek
Alexander	Alexander
Alexander Fleming	Alexander Fleming
Alexander Graham Bell	Alexander Graham Bell
Alexander Pope	Alexander Pope
Alexander Pushkin	Alekszandr Szergejevics Puskin
Alexander the Great	III. Alexandrosz makedón király
Alexandre Dumas	Id. Alexandre Dumas
Alexandria	Alexandria
Alexis de Tocqueville	Alexis de Tocqueville
Alfred Dreyfus	Alfred Dreyfus
Alfred Hitchcock	Alfred Hitchcock
Alfred Nobel	Alfred Bernhard Nobel
Alfred North Whitehead	Alfred North Whitehead
Alfred the Great	Alfréd angol király
Algae	Alga
Algebra	Algebra
Algebra	Kategória:Algebra
Algebraic number	Algebrai szám
Algeria	Algéria
Algeria	Kategória:Algéria
Algiers	Algír
Algorithm	Algoritmus
Alhambra	Alhambra
Ali	Ali kalifa
Alkali metal	Alkálifém
Alkaloid	Alkaloidok
Alkane	Alkánok
Alkene	Alkének
Alkyne	Alkinek
Allah	Allah
Allegory	Allegória
Allele	Allél
Allen Ginsberg	Allen Ginsberg
Allergy	Allergia
Allophone	Allofón
Allosaurus	Allosaurus
Allotropy	Allotrópia
Almaty	Almati
Almond	Mandula
Alpha (letter)	Alfa
Alpha Centauri	Alfa Centauri
Alphabet	Ábécé
Alps	Alpok
Alsace	Elzász
Alternative medicine	Kategória:Természetgyógyászat
Alternative medicine	Alternatív gyógymód
Altruism	Altruizmus
Aluminium	Alumínium
Aluminium oxide	Alumínium-oxid
Alvar Aalto	Alvar Aalto
Alzheimer's disease	Alzheimer-kór
Amanita muscaria	Légyölő galóca
Amanita phalloides	Gyilkos galóca
Amaryllidaceae	Amarilliszfélék
Amazon River	Amazonas
Amber	Borostyán (ásvány)
Ambrose	Szent Ambrus
American Bison	Amerikai bölény
American Black Bear	Fekete medve
American Civil War	Amerikai polgárháború
American Revolutionary War	Amerikai függetlenségi háború
American Samoa	Amerikai Szamoa
American Standard Code for Information Interchange	ASCII
American football	Amerikai futball
American football	Kategória:Amerikai futball
Americium	Amerícium
Amerigo Vespucci	Amerigo Vespucci
Amethyst	Ametiszt
Amine	Aminok
Amino acid	Aminosav
Amish	Amisok
Amman	Ammán
Ammeter	Villamos műszerek
Ammonia	Ammónia
Amnesia	Amnézia
Amnesty	Amnesztia
Ampere	Amper
Amphetamine	Amfetamin
Amphibian	Kétéltűek
Amphitheatre	Amfiteátrum
Amphora	Amfóra
Amsterdam	Amszterdam
Amun	Ámon
Amur	Amur
Anabaptist	Anabaptizmus
Anagram	Anagramma
Analytic geometry	Koordinátageometria
Anarchism	Anarchizmus
Anarchism	Kategória:Anarchizmus
Anatidae	Récefélék
Anatole France	Anatole France
Anatomy	Kategória:Anatómia
Anatomy	Anatómia
Anaxagoras	Klazomenai Anaxagorasz
Anaximander	Anaximandrosz
Anchorage	Anchorage
Ancient Greek	Ógörög nyelv
