English	Hindi
about	इधर-उधर [idhar-udhar]
above	ऊपर [oopar]
again	फिर से [phir se]
almost	लगभग [lagabhag]
along	समानान्तर [samaanaantar]
already	पहले से [pahale se]
always	हमेशा [hameshaa]
approximately	तकरीबन [takareeban]
as	जैसे [jaise]
behind	के पीछे [ke peechhe]
between	के बीच [ke beech]
directly	सीधे [seedhe]
early	प्रारंभ में [praarambh men]
either	दो में से कोई एक
enough	पर्याप्त [paryaapt]
exactly	ठीक-ठीक [theek-theek]
finally	अंत में [ant men]
first	आरम्भ में
here	इस समय [is samay]
here	इस स्थान पर
however	फिर भी [phir bhee]
immediately	सीधे [seedhe]
in	में [men]
indeed	सचमुच [sachamuch]
inside	अंदर की ओर [andar kee or]
instead	के बदले में [ke badale men]
late	देर रात [der raat]
least	कम से कम मात्रा में
little	छोटा [chhotaa]
merely	केवल [keval]
not	नहीं [naheen]
now	अभी [abhee]
obviously	स्पष्ट रूप से [spasht roop se]
once	एक बार [ek baar]
outside	बाहर [baahar]
particularly	विशेष रूप से [vishesh roop se]
possibly	शायद [shaayad]
probably	संभवत [sambhavat]
quickly	फुर्ती से
really	वास्तव में [vaastav men]
really	सचमुच [sachamuch]
recently	हाल में [haal men]
slowly	धीरे-धीरे [dheere-dheere]
so	वैसा
sometimes	अक्सर [aksar]
soon	शीघ्रता से [sheeghrataa se]
still	अभी तक [abhee tak]
such	ऐसा [aisaa]
suddenly	अचानक (achānak)
surely	निश्चित रूप से [nishchit roop se]
then	तब [tab]
therefore	इसलिए [isalie]
today	आज [aaj]
together	एक साथ [ek saath]
tomorrow	कल आने वाला
tonight	आज की रात [aaj kee raat]
too	भी [bhee]
usually	लम्ब रूम में
very	यथार्थ में
well	सही [sahee]
why	क्यों [kyon]